district_id,name,population
DISTRICT_0078,Larsenstad District,679540
DISTRICT_0079,Tylerside District,
DISTRICT_0080,Jacquelineshire District,75180
DISTRICT_0081,Port Mike District,27054
DISTRICT_0082,Fieldsmouth District,99814
DISTRICT_0083,Maldonadoland District,61265
DISTRICT_0084,West Jennyhaven District,27728
DISTRICT_0085,New Harryborough District,107521
DISTRICT_0086,North Alexandraborough District,
DISTRICT_0087,Lake Jessicaberg District,47615
DISTRICT_0088,Reyesfort District,
DISTRICT_0089,Ricardoburgh District,12683
DISTRICT_0090,Grayborough District,19001
DISTRICT_0091,Morganhaven District,105544
DISTRICT_0092,Lopezchester District,355378
DISTRICT_0093,East Louiston District,
DISTRICT_0094,Michelebury District,
DISTRICT_0095,Traceybury District,59823
DISTRICT_0096,Alexandraside District,13353
DISTRICT_0097,Wigginsmouth District,123675
DISTRICT_0098,Thomasstad District,172611
DISTRICT_0099,Lake Joebury District,34804
DISTRICT_0100,Lake Gregport District,34062
DISTRICT_0101,Cooperside District,
DISTRICT_0102,Nguyenstad District,35452
DISTRICT_0103,New Lukeport District,55306
DISTRICT_0104,Debbiemouth District,743903
DISTRICT_0105,North Steven District,44514
DISTRICT_0106,Gloriaton District,
DISTRICT_0107,Port Eddie District,27527
DISTRICT_0108,Ryanport District,146243
DISTRICT_0109,Lake Victoria District,48171
DISTRICT_0110,West Todd District,27467
DISTRICT_0111,Mistyland District,292308
DISTRICT_0112,Heathermouth District,328904
DISTRICT_0113,Lake Diana District,29129
DISTRICT_0114,East Kylebury District,6375
DISTRICT_0115,South Stuartmouth District,200589
DISTRICT_0116,Pattersonburgh District,26329
DISTRICT_0117,Durhamside District,154623
DISTRICT_0118,West Sarahland District,
DISTRICT_0119,West Shawnfurt District,174750
DISTRICT_0120,Dwaynemouth District,13996
DISTRICT_0121,Arthurtown District,143906
DISTRICT_0122,Sosahaven District,60908
DISTRICT_0123,New Stephenberg District,19058
DISTRICT_0124,Rebekahbury District,36737
DISTRICT_0125,Brooksborough District,
DISTRICT_0126,Robertview District,67987
DISTRICT_0127,North Amandachester District,120728
DISTRICT_0128,Hayeshaven District,641605
DISTRICT_0129,Davidfort District,9162
DISTRICT_0130,East Adam District,416922
DISTRICT_0131,Edwardsbury District,67861
DISTRICT_0132,Port Samuelhaven District,
DISTRICT_0133,Hickmanfort District,12132
DISTRICT_0134,Knappfort District,47717
DISTRICT_0135,North Matthewport District,
DISTRICT_0136,Steinchester District,51376
DISTRICT_0137,Michaelport District,367098
DISTRICT_0138,North Christinaside District,10494
DISTRICT_0139,Sabrinamouth District,59011
DISTRICT_0140,South Amymouth District,13321
DISTRICT_0141,Port Jenniferborough District,92629
DISTRICT_0142,East Michael District,173557
DISTRICT_0143,South Julie District,36137
DISTRICT_0144,Lake Joshua District,
DISTRICT_0145,Codyberg District,76018
DISTRICT_0146,Matthewhaven District,101122
DISTRICT_0147,Port Antonioview District,97261
DISTRICT_0148,Aliciahaven District,263797
DISTRICT_0149,West Cory District,16559
DISTRICT_0150,Ashleyton District,135436
DISTRICT_0151,Herreraburgh District,250448
DISTRICT_0152,North Aaron District,7084
DISTRICT_0153,Lake Christopherborough District,
DISTRICT_0154,Moralesbury District,32695
DISTRICT_0155,Kevintown District,54294
DISTRICT_0156,Jamesville District,90872
DISTRICT_0157,Nicholasport District,33367
DISTRICT_0158,Anthonyburgh District,26612
DISTRICT_0159,South Robertfurt District,62378
DISTRICT_0160,Kevinborough District,16241
DISTRICT_0161,Johnhaven District,
DISTRICT_0162,Brookeberg District,
DISTRICT_0163,South Sean District,15084
DISTRICT_0164,Carrstad District,133195
DISTRICT_0165,Henryland District,104308
DISTRICT_0166,Patriciatown District,7547
DISTRICT_0167,West Jerryfurt District,26553
DISTRICT_0168,East Deborah District,250930
DISTRICT_0169,East Kristi District,18445
DISTRICT_0170,New Heatherfurt District,
DISTRICT_0171,Jamieview District,104242
DISTRICT_0172,Palmerborough District,153287
DISTRICT_0173,Shirleymouth District,44274
DISTRICT_0174,Lake Ashley District,29231
DISTRICT_0175,Port Melissa District,329998
DISTRICT_0176,Josephhaven District,482472
DISTRICT_0177,West Cassie District,193809
DISTRICT_0178,New Richardport District,66328
DISTRICT_0179,West Douglas District,22699
DISTRICT_0180,Mosleyberg District,22102
DISTRICT_0181,Christianstad District,112085
DISTRICT_0182,Ortizville District,98921
DISTRICT_0183,South Staceyborough District,321874
DISTRICT_0184,Port David District,130684
DISTRICT_0185,South Gregoryshire District,9860
DISTRICT_0186,Stevensport District,211575
DISTRICT_0187,Pearsontown District,18075
DISTRICT_0188,New Kyle District,37768
DISTRICT_0189,Amyland District,80841
DISTRICT_0190,Michelleborough District,656580
DISTRICT_0191,Thompsonport District,2500252
DISTRICT_0192,Johnsonport District,124003
DISTRICT_0193,East Cassandrashire District,48058
DISTRICT_0194,Tylerhaven District,113710
DISTRICT_0195,Lake Mary District,173717
DISTRICT_0196,Stephanieborough District,40749
DISTRICT_0197,South Casey District,516202
DISTRICT_0198,South Michelleville District,78911
DISTRICT_0199,Lake Sandrastad District,108802
DISTRICT_0200,Xavierbury District,133133
DISTRICT_0201,Shannonburgh District,99300
DISTRICT_0202,Hayeshaven District,163853
DISTRICT_0203,West Joel District,
DISTRICT_0204,South Jerryberg District,30639
DISTRICT_0205,Pamelashire District,15991
DISTRICT_0206,Lake Christian District,101458
DISTRICT_0207,Butlerchester District,152470
DISTRICT_0208,Amberborough District,
DISTRICT_0209,North Danielland District,446587
DISTRICT_0210,Mcdonaldmouth District,59473
DISTRICT_0211,Weisstown District,
DISTRICT_0212,Johnhaven District,
DISTRICT_0213,South Kelseymouth District,37627
DISTRICT_0214,South Allison District,137949
DISTRICT_0215,West Russell District,165863
DISTRICT_0216,New Sarahton District,42076
DISTRICT_0217,Jamesside District,
DISTRICT_0218,Thomashaven District,9687
DISTRICT_0219,Lake Frederickmouth District,39009
DISTRICT_0220,Kimberlytown District,174287
DISTRICT_0221,Caldwellland District,119401
DISTRICT_0222,Saraport District,109184
DISTRICT_0223,Russellport District,63559
DISTRICT_0224,Janetport District,60383
DISTRICT_0225,Lake Jamesmouth District,27108
DISTRICT_0226,North Robinchester District,138495
DISTRICT_0227,Riverafurt District,99227
DISTRICT_0228,Robertport District,108057
DISTRICT_0229,East Danielburgh District,
DISTRICT_0230,Rodneyville District,
DISTRICT_0231,Calhounmouth District,
DISTRICT_0232,West Angela District,33704
DISTRICT_0233,Erikview District,
DISTRICT_0234,Cohenfort District,137609
DISTRICT_0235,Johnsonhaven District,37405
DISTRICT_0236,Lake Mikayla District,213613
DISTRICT_0237,Thomasborough District,
DISTRICT_0238,West Melissaberg District,135982
DISTRICT_0239,New John District,11624
DISTRICT_0240,New Seanton District,256358
DISTRICT_0241,South Whitney District,81920
DISTRICT_0242,North Joannafurt District,38440
DISTRICT_0243,East Stephaniestad District,71115
DISTRICT_0244,New Alexisstad District,7104
DISTRICT_0245,West Cynthia District,97771
DISTRICT_0246,Prestonstad District,17409
DISTRICT_0247,Harrischester District,11811
DISTRICT_0248,South Johnstad District,
DISTRICT_0249,New Bridget District,
DISTRICT_0250,West Tiffanyfurt District,
DISTRICT_0251,Port Andrea District,
DISTRICT_0252,New Shannonborough District,31477
DISTRICT_0253,East Jennyberg District,7716
DISTRICT_0254,New Sonyachester District,15680
DISTRICT_0255,Morrismouth District,263807
DISTRICT_0256,Joshuafurt District,49658
DISTRICT_0257,Jesusmouth District,31009
DISTRICT_0258,Patriciashire District,72549
DISTRICT_0259,South Sara District,109331
DISTRICT_0260,Ariasland District,228862
DISTRICT_0261,Brianhaven District,340509
DISTRICT_0262,Smithburgh District,38881
DISTRICT_0263,Ethanton District,12194
DISTRICT_0264,Lake Kaylahaven District,36455
DISTRICT_0265,Boltonshire District,
DISTRICT_0266,Palmerville District,18835
DISTRICT_0267,West Cheryltown District,18985
DISTRICT_0268,Thompsonton District,90449
DISTRICT_0269,Myersport District,56478
DISTRICT_0270,South Lisaport District,62277
DISTRICT_0271,West Kristen District,
DISTRICT_0272,Riddlefurt District,45411
DISTRICT_0273,Weststad District,19750
DISTRICT_0274,Port Jaimeport District,174248
DISTRICT_0275,Johnberg District,207378
DISTRICT_0276,Lake Donald District,6532
DISTRICT_0277,Lake Jessicaport District,19625
DISTRICT_0278,Lynchshire District,9938
DISTRICT_0279,West Cassandraborough District,27445
DISTRICT_0280,Lake Lindaside District,54169
DISTRICT_0281,Emilystad District,10513
DISTRICT_0282,Alyssaton District,19806
DISTRICT_0283,Erikamouth District,
DISTRICT_0284,New Jenniferberg District,76781
DISTRICT_0285,Batesborough District,65069
DISTRICT_0286,West Melissafort District,25182
DISTRICT_0287,Nathanborough District,74026
DISTRICT_0288,Port Heatherhaven District,31069
DISTRICT_0289,West Paul District,43218
DISTRICT_0290,West Maria District,446030
DISTRICT_0291,Port John District,299105
DISTRICT_0292,Austinmouth District,12588
DISTRICT_0293,Lake Douglas District,162053
DISTRICT_0294,Jonview District,158526
DISTRICT_0295,Wolfeshire District,15094
DISTRICT_0296,Ryanland District,159936
DISTRICT_0297,Christinefurt District,379085
DISTRICT_0298,New Thomas District,15567
DISTRICT_0299,Lake Danielleberg District,19910
DISTRICT_0300,New Shawn District,
DISTRICT_0301,Rojasmouth District,82933
DISTRICT_0302,South Mary District,116049
DISTRICT_0303,South Kathryn District,90102
DISTRICT_0304,Adkinsshire District,95686
DISTRICT_0305,West Sabrinaview District,
DISTRICT_0306,Sandersstad District,210403
DISTRICT_0307,Perezhaven District,243654
DISTRICT_0308,West Amyland District,45466
DISTRICT_0309,Harrellborough District,56830
DISTRICT_0310,North Mary District,9534
DISTRICT_0311,East Patriciafurt District,110980
DISTRICT_0312,North Cynthia District,118951
DISTRICT_0313,Starkhaven District,55568
DISTRICT_0314,Peterton District,230780
DISTRICT_0315,South Stacyside District,40099
DISTRICT_0316,North Linda District,117892
DISTRICT_0317,Gibsonberg District,17613
DISTRICT_0318,Scottville District,58205
DISTRICT_0319,Johnsonmouth District,48570
DISTRICT_0320,Connieside District,78461
DISTRICT_0321,Schmitttown District,
DISTRICT_0322,Lewistown District,51135
DISTRICT_0323,New Kelly District,161337
DISTRICT_0324,Amandahaven District,35450
DISTRICT_0325,West Charlesville District,
DISTRICT_0326,West Cherylton District,
DISTRICT_0327,Port Elizabeth District,314187
DISTRICT_0328,West Gregoryborough District,
DISTRICT_0329,Jeffreyton District,136988
DISTRICT_0330,North Seth District,32742
DISTRICT_0331,East Jonmouth District,82140
DISTRICT_0332,Lake Taylorchester District,
DISTRICT_0333,West Kevin District,45193
DISTRICT_0334,Port Jenna District,23376
DISTRICT_0335,Travisside District,26143
DISTRICT_0336,Lake Jeffery District,19941
DISTRICT_0337,Lake Shannonmouth District,22066
DISTRICT_0338,Shaunhaven District,55236
DISTRICT_0339,South Kathy District,
DISTRICT_0340,Bradleychester District,135735
DISTRICT_0341,New Michael District,356716
DISTRICT_0342,Wardfort District,29849
DISTRICT_0343,New Alexa District,79800
DISTRICT_0344,Smithfort District,109056
DISTRICT_0345,New Lori District,
DISTRICT_0346,Mooreside District,65587
DISTRICT_0347,Jamesside District,145979
DISTRICT_0348,Allenside District,106798
DISTRICT_0349,Shaunhaven District,13558
DISTRICT_0350,Moranland District,169903
DISTRICT_0351,North Connor District,
DISTRICT_0352,Lake Elizabeth District,23957
DISTRICT_0353,Taraport District,62662
DISTRICT_0354,North Lori District,135943
DISTRICT_0355,New Nicholasland District,46575
DISTRICT_0356,Russoshire District,216982
DISTRICT_0357,Jeremiahburgh District,1021361
DISTRICT_0358,Davidhaven District,23314
DISTRICT_0359,Watkinsshire District,11415
DISTRICT_0360,Melindafort District,86213
DISTRICT_0361,New Drewview District,142325
DISTRICT_0362,West Sara District,
DISTRICT_0363,Kellyville District,342460
DISTRICT_0364,West William District,12012
DISTRICT_0365,Gabriellabury District,137516
DISTRICT_0366,New Glenn District,28939
DISTRICT_0367,Reillyberg District,471301
DISTRICT_0368,Wagnerton District,654101
DISTRICT_0369,Lake Andrewchester District,23861
DISTRICT_0370,Grantville District,30962
DISTRICT_0371,Gomezshire District,167964
DISTRICT_0372,North Teresafurt District,37625
DISTRICT_0373,Nicholsberg District,56698
DISTRICT_0374,Port Scott District,61726
DISTRICT_0375,West Timothyport District,5981
DISTRICT_0376,South Sean District,58888
DISTRICT_0377,West Nancy District,26168
DISTRICT_0378,Stephenmouth District,33131
DISTRICT_0379,West Brianview District,338526
DISTRICT_0380,Lake Danielhaven District,13255
DISTRICT_0381,Jamesfort District,158870
DISTRICT_0382,Port Rebeccaport District,
DISTRICT_0383,Marioside District,42799
DISTRICT_0384,Andrewton District,154576
DISTRICT_0385,East Gregory District,90044
DISTRICT_0386,Smithville District,
DISTRICT_0387,Port Michelleport District,191342
DISTRICT_0388,North Cheryl District,40232
DISTRICT_0389,Lake John District,28719
DISTRICT_0390,Michaelside District,16282
DISTRICT_0391,Lake Robert District,22236
DISTRICT_0392,New Dianaview District,2061435
DISTRICT_0393,Dustinfurt District,266629
DISTRICT_0394,West Jim District,11833
DISTRICT_0395,Heidistad District,12247
DISTRICT_0396,West Faithmouth District,106749
DISTRICT_0397,Lake James District,115464
DISTRICT_0398,Morganhaven District,
DISTRICT_0399,Davidland District,44092
DISTRICT_0400,Lake Amandaville District,51506
DISTRICT_0401,New Rebeccaside District,
DISTRICT_0402,Gonzalesburgh District,66374
DISTRICT_0403,New Leeshire District,4174
DISTRICT_0404,New Desiree District,45444
DISTRICT_0405,East Carl District,21553
DISTRICT_0406,Lake Peggy District,73884
DISTRICT_0407,Smithshire District,2152866
DISTRICT_0408,Sanderston District,93057
DISTRICT_0409,Ramirezborough District,41100
DISTRICT_0410,Curtisville District,180983
DISTRICT_0411,Graybury District,106854
DISTRICT_0412,Robertton District,99122
DISTRICT_0413,North Jack District,124022
DISTRICT_0414,Jeffburgh District,706340
DISTRICT_0415,East Thomasstad District,15412
DISTRICT_0416,East Patricia District,105699
DISTRICT_0417,Lake Cindyshire District,19699
DISTRICT_0418,Jeffreyport District,116612
DISTRICT_0419,New Pamela District,19882
DISTRICT_0420,Lake Tylerfurt District,36285
DISTRICT_0421,Lanceview District,
DISTRICT_0422,New Brenda District,193103
DISTRICT_0423,Gregoryfort District,180258
DISTRICT_0424,Port Markville District,13428
DISTRICT_0425,East Jenniferborough District,63954
DISTRICT_0426,Brownbury District,25552
DISTRICT_0427,Ronaldbury District,13224
DISTRICT_0428,Taylorview District,46146
DISTRICT_0429,Lake Robert District,41349
DISTRICT_0430,New Allison District,1101363
DISTRICT_0431,Clarkfort District,100664
DISTRICT_0432,Mclaughlinview District,11462
DISTRICT_0433,Jesusmouth District,
DISTRICT_0434,Michaelside District,203956
DISTRICT_0435,Blakemouth District,733902
DISTRICT_0436,North Richard District,8926
DISTRICT_0437,Waltonmouth District,6273
DISTRICT_0438,Port Richardhaven District,565326
DISTRICT_0439,South Katrina District,95562
DISTRICT_0440,Michellebury District,21121
DISTRICT_0441,Cooperton District,113726
DISTRICT_0442,New Linda District,2532
DISTRICT_0443,Jamesstad District,60117
DISTRICT_0444,New Krystal District,88732
DISTRICT_0445,East Lisa District,181520
DISTRICT_0446,North Williamside District,17735
DISTRICT_0447,Danielbury District,66358
DISTRICT_0448,South Stephanie District,19722
DISTRICT_0449,Port Ashleyland District,
DISTRICT_0450,Port Kevinport District,20446
DISTRICT_0451,New Malik District,36690
DISTRICT_0452,Cynthiatown District,18124
DISTRICT_0453,Williamstown District,130791
DISTRICT_0454,Bruceberg District,167735
DISTRICT_0455,Williamsview District,
DISTRICT_0456,Barkerville District,62685
DISTRICT_0457,Lake Timothyfort District,10526
DISTRICT_0458,Sarahland District,41788
DISTRICT_0459,Lake Dennis District,56373
DISTRICT_0460,Martinfurt District,1390191
DISTRICT_0461,Brianside District,15766
DISTRICT_0462,Williamsbury District,346976
DISTRICT_0463,Welchfurt District,198041
DISTRICT_0464,Hoffmanstad District,
DISTRICT_0465,New Gary District,494026
DISTRICT_0466,Starkberg District,
DISTRICT_0467,Josefurt District,95510
DISTRICT_0468,New Ann District,56176
DISTRICT_0469,Brittanyfurt District,259959
DISTRICT_0470,Loveville District,223186
DISTRICT_0471,Jamesview District,28259
DISTRICT_0472,South Lauraton District,12294
DISTRICT_0473,New Rhondaville District,46930
DISTRICT_0474,Wendychester District,22924
DISTRICT_0475,Brendanhaven District,55479
DISTRICT_0476,Port Chadhaven District,264322
DISTRICT_0477,Leonfurt District,34587
DISTRICT_0478,South Jenniferborough District,
DISTRICT_0479,Tonyaport District,64191
DISTRICT_0480,Lake Geraldborough District,165730
DISTRICT_0481,Lake Mariaton District,4038
DISTRICT_0482,Robertmouth District,28910
DISTRICT_0483,Kirbymouth District,
DISTRICT_0484,Loweburgh District,252734
DISTRICT_0485,Lake Elizabethchester District,33180
DISTRICT_0486,Martinezshire District,6298
DISTRICT_0487,North Maryshire District,125951
DISTRICT_0488,North Michael District,27933
DISTRICT_0489,Lake Donnaberg District,14362
DISTRICT_0490,Lake Andreaton District,
DISTRICT_0491,Michaelchester District,47981
DISTRICT_0492,North Amandaside District,28978
DISTRICT_0493,West Alexandra District,4244
DISTRICT_0494,Abbottshire District,175690
DISTRICT_0495,North Tina District,276467
DISTRICT_0496,Port Christopher District,130852
DISTRICT_0497,Port Heathermouth District,15287
DISTRICT_0498,Angelatown District,47014
DISTRICT_0499,Chaseside District,59407
DISTRICT_0500,Andrewport District,122829
DISTRICT_0501,Acostatown District,133520
DISTRICT_0502,Port Stephenhaven District,24809
DISTRICT_0503,Lake Samanthamouth District,66065
DISTRICT_0504,Port Coreyville District,
DISTRICT_0505,West Kathleen District,343515
DISTRICT_0506,South Marytown District,
DISTRICT_0507,Lake Deniseland District,154333
DISTRICT_0508,Saunderschester District,66210
DISTRICT_0509,East Marie District,
DISTRICT_0510,Lonnieton District,97901
DISTRICT_0511,East Dominicborough District,
DISTRICT_0512,South Jasonberg District,
DISTRICT_0513,Port Paul District,138341
DISTRICT_0514,Port Shellyton District,35184
DISTRICT_0515,Lake John District,33678
DISTRICT_0516,Mollyfurt District,85467
DISTRICT_0517,Stephaniemouth District,104382
DISTRICT_0518,Mooreland District,75868
DISTRICT_0519,Richardtown District,
DISTRICT_0520,New Anna District,460445
DISTRICT_0521,New Jamesville District,216609
DISTRICT_0522,Paulafurt District,75264
DISTRICT_0523,Mcguiremouth District,185270
DISTRICT_0524,West Joshuafurt District,17343
DISTRICT_0525,East Scottberg District,96520
DISTRICT_0526,Port Mistyfurt District,525007
DISTRICT_0527,Davidside District,46089
DISTRICT_0528,Rogerborough District,21651
DISTRICT_0529,East Theresahaven District,27377
DISTRICT_0530,Port Dawn District,16194
DISTRICT_0531,Duffyfort District,23348
DISTRICT_0532,South Gabrielaville District,38383
DISTRICT_0533,New Timothyland District,11084
DISTRICT_0534,North Taramouth District,61006
DISTRICT_0535,Wilsonbury District,176792
DISTRICT_0536,Anthonyborough District,20144
DISTRICT_0537,Johnsonton District,
DISTRICT_0538,Lake Jonathan District,110519
DISTRICT_0539,New William District,206219
DISTRICT_0540,South Ryanburgh District,27189
DISTRICT_0541,North Tamara District,
DISTRICT_0542,New Allenchester District,16150
DISTRICT_0543,Markbury District,174258
DISTRICT_0544,Tracymouth District,73585
DISTRICT_0545,Leeborough District,
DISTRICT_0546,East Randychester District,14607
DISTRICT_0547,Dominguezville District,20453
DISTRICT_0548,Michelleborough District,122598
DISTRICT_0549,West Cheryl District,19186
DISTRICT_0550,South Michelle District,104385
DISTRICT_0551,East Jerry District,
DISTRICT_0552,West Jasmineland District,165679
DISTRICT_0553,Antonioville District,13642
DISTRICT_0554,Neilland District,116164
DISTRICT_0555,Susanmouth District,126849
DISTRICT_0556,Johnsonville District,25948
DISTRICT_0557,East Christopher District,120382
DISTRICT_0558,North Cassidyburgh District,81840
DISTRICT_0559,Lake Paula District,
DISTRICT_0560,Port Robert District,17849
DISTRICT_0561,Markport District,5680
DISTRICT_0562,Lake Brianton District,91087
DISTRICT_0563,Nicholasmouth District,9156
DISTRICT_0564,Chelseaborough District,67131
DISTRICT_0565,Jeremyville District,43645
DISTRICT_0566,West Robert District,135262
DISTRICT_0567,West Caitlinland District,41670
DISTRICT_0568,Morrisberg District,40322
DISTRICT_0569,East Seth District,144097
DISTRICT_0570,North Emmastad District,89506
DISTRICT_0571,Medinabury District,87499
DISTRICT_0572,South Brianland District,105147
DISTRICT_0573,East Stephen District,9483
DISTRICT_0574,Coxmouth District,148471
DISTRICT_0575,East Brandonborough District,124861
DISTRICT_0576,Susanside District,17676
DISTRICT_0577,West Charles District,44672
DISTRICT_0578,Port Jenniferberg District,57115
DISTRICT_0579,Jamietown District,50950
DISTRICT_0580,Beardburgh District,89378
DISTRICT_0581,Kellyburgh District,333580
DISTRICT_0582,West Kevin District,219283
DISTRICT_0583,Susanberg District,12398
DISTRICT_0584,South Kaylabury District,126308
DISTRICT_0585,North Shelby District,294996
DISTRICT_0586,Catherineview District,95241
DISTRICT_0587,Christinafort District,221721
DISTRICT_0588,Taylorhaven District,669793
DISTRICT_0589,North Robertmouth District,204526
DISTRICT_0590,New Davidshire District,80754
DISTRICT_0591,Feliciaberg District,209841
DISTRICT_0592,Kelseyburgh District,71243
DISTRICT_0593,North Kaylaburgh District,61616
DISTRICT_0594,Nathanielville District,39273
DISTRICT_0595,Port Catherine District,390856
DISTRICT_0596,North Keith District,
DISTRICT_0597,Ibarrabury District,376563
DISTRICT_0598,New Kelsey District,109080
DISTRICT_0599,Underwoodshire District,11168
