province_id,name,population,area
PROVINCE_0077,South Dakota,1213465,5165.67
PROVINCE_0078,Mississippi,652821,4552.82
PROVINCE_0079,Mississippi,1031522,9581.51
PROVINCE_0080,South Carolina,1062666,3279.15
PROVINCE_0081,Wyoming,,
PROVINCE_0082,Wisconsin,837088,8104.93
PROVINCE_0083,Iowa,11275085,8020.61
PROVINCE_0084,South Carolina,2637355,
PROVINCE_0085,New York,795182,9611.44
PROVINCE_0086,Tennessee,3190653,20082.58
PROVINCE_0087,Florida,753626,3121.77
PROVINCE_0088,Utah,6214367,
PROVINCE_0089,Michigan,2017761,5801.67
PROVINCE_0090,Minnesota,1034860,1843.72
PROVINCE_0091,Iowa,2250816,3290.57
PROVINCE_0092,Nevada,133355,4798.97
PROVINCE_0093,Illinois,248332,21201.52
PROVINCE_0094,Illinois,226048,10816.39
PROVINCE_0095,Hawaii,1469040,10026.12
PROVINCE_0096,Vermont,13599192,20660.68
PROVINCE_0097,Louisiana,27338874,6966.66
PROVINCE_0098,Wisconsin,,12450.44
PROVINCE_0099,Oregon,2424612,7233.34
PROVINCE_0100,Alaska,96617,
PROVINCE_0101,Delaware,562562,4268.28
PROVINCE_0102,Ohio,399154,554.08
PROVINCE_0103,Massachusetts,504242,6990.4
PROVINCE_0104,North Dakota,950362,38755.31
PROVINCE_0105,Louisiana,620991,22445.31
PROVINCE_0106,Minnesota,75280,
PROVINCE_0107,Idaho,,31563.09
PROVINCE_0108,Oklahoma,267843,8933.14
PROVINCE_0109,Utah,1681077,10067.29
PROVINCE_0110,Wisconsin,21937668,4107.55
PROVINCE_0111,North Dakota,331990,5723.41
PROVINCE_0112,Michigan,34807,15952.14
PROVINCE_0113,New Jersey,805802,30463.15
PROVINCE_0114,Alaska,5617197,6950.78
PROVINCE_0115,Wyoming,18656150,4938.38
PROVINCE_0116,New Hampshire,215051,8107.79
PROVINCE_0117,New Hampshire,2410582,15698.61
PROVINCE_0118,Washington,626914,1655.34
PROVINCE_0119,New Jersey,1036823,648.2
PROVINCE_0120,Colorado,48743415,4422.27
PROVINCE_0121,Colorado,146655,2115.86
PROVINCE_0122,Utah,1715534,4633.4
PROVINCE_0123,California,,6887.35
PROVINCE_0124,Massachusetts,,4921.79
PROVINCE_0125,Hawaii,1379423,40043.21
PROVINCE_0126,New Mexico,1851063,11607.65
PROVINCE_0127,New Jersey,695017,11277.01
PROVINCE_0128,Minnesota,1752892,16065.48
PROVINCE_0129,New Jersey,743802,2315.27
PROVINCE_0130,Kansas,2871085,25413.17
PROVINCE_0131,New Mexico,716795,7455.14
PROVINCE_0132,Nebraska,2038939,16941.62
PROVINCE_0133,Virginia,1154331,2492.29
PROVINCE_0134,Rhode Island,5818018,1466.84
PROVINCE_0135,Missouri,1119115,19923.97
PROVINCE_0136,Wisconsin,,
PROVINCE_0137,New York,7036983,3004.13
PROVINCE_0138,Rhode Island,338396,3113.09
PROVINCE_0139,Nebraska,481531,27944.57
PROVINCE_0140,Mississippi,522340,2189.98
PROVINCE_0141,Iowa,8237548,49362.2
PROVINCE_0142,Arizona,60479,
PROVINCE_0143,Pennsylvania,97255096,16354.05
PROVINCE_0144,Pennsylvania,5274948,5644.97
PROVINCE_0145,California,1643821,15732.85
PROVINCE_0146,Texas,1113644,4453.63
PROVINCE_0147,Vermont,1793672,6774.55
PROVINCE_0148,Vermont,2494431,8476.15
PROVINCE_0149,Nevada,,2690.8
