LAKE,RIVER
LAKE_0073,RIVER_0134
LAKE_0073,RIVER_0147
LAKE_0074,RIVER_0101
LAKE_0074,RIVER_0111
LAKE_0074,RIVER_0076
LAKE_0075,RIVER_0103
LAKE_0075,RIVER_0148
LAKE_0075,RIVER_0054
LAKE_0076,RIVER_0084
LAKE_0076,RIVER_0099
LAKE_0077,RIVER_0141
LAKE_0078,RIVER_0049
LAKE_0079,RIVER_0126
LAKE_0079,RIVER_0067
LAKE_0080,RIVER_0143
LAKE_0080,RIVER_0117
LAKE_0080,RIVER_0101
LAKE_0081,RIVER_0001
LAKE_0081,RIVER_0095
LAKE_0081,RIVER_0119
LAKE_0082,RIVER_0047
LAKE_0083,RIVER_0122
LAKE_0084,RIVER_0022
LAKE_0084,RIVER_0138
LAKE_0085,RIVER_0062
LAKE_0085,RIVER_0001
LAKE_0086,RIVER_0025
LAKE_0086,RIVER_0144
LAKE_0086,RIVER_0047
LAKE_0087,RIVER_0006
LAKE_0088,RIVER_0092
LAKE_0088,RIVER_0110
LAKE_0088,RIVER_0125
LAKE_0089,RIVER_0055
LAKE_0090,RIVER_0036
LAKE_0091,RIVER_0122
LAKE_0091,RIVER_0054
LAKE_0091,RIVER_0034
LAKE_0092,RIVER_0144
LAKE_0093,RIVER_0074
LAKE_0093,RIVER_0066
LAKE_0094,RIVER_0047
LAKE_0095,RIVER_0034
LAKE_0095,RIVER_0082
LAKE_0095,RIVER_0061
LAKE_0096,RIVER_0101
LAKE_0097,RIVER_0096
LAKE_0097,RIVER_0047
LAKE_0098,RIVER_0042
LAKE_0098,RIVER_0112
LAKE_0099,RIVER_0060
LAKE_0099,RIVER_0040
