PROVINCE,CITY
PROVINCE_0117,CITY_0104
PROVINCE_0092,CITY_0105
PROVINCE_0093,CITY_0106
PROVINCE_0029,CITY_0107
PROVINCE_0079,CITY_0108
PROVINCE_0017,CITY_0109
PROVINCE_0131,CITY_0110
PROVINCE_0108,CITY_0111
PROVINCE_0068,CITY_0112
PROVINCE_0133,CITY_0113
PROVINCE_0040,CITY_0114
PROVINCE_0051,CITY_0115
PROVINCE_0000,CITY_0116
PROVINCE_0128,CITY_0117
PROVINCE_0133,CITY_0118
PROVINCE_0033,CITY_0119
PROVINCE_0081,CITY_0120
PROVINCE_0133,CITY_0121
PROVINCE_0101,CITY_0122
PROVINCE_0131,CITY_0123
PROVINCE_0070,CITY_0124
PROVINCE_0027,CITY_0125
PROVINCE_0146,CITY_0126
PROVINCE_0107,CITY_0127
PROVINCE_0040,CITY_0128
PROVINCE_0062,CITY_0129
PROVINCE_0056,CITY_0130
PROVINCE_0043,CITY_0131
PROVINCE_0109,CITY_0132
PROVINCE_0007,CITY_0133
PROVINCE_0092,CITY_0134
PROVINCE_0140,CITY_0135
PROVINCE_0096,CITY_0136
PROVINCE_0071,CITY_0137
PROVINCE_0042,CITY_0138
PROVINCE_0117,CITY_0139
PROVINCE_0107,CITY_0140
PROVINCE_0123,CITY_0141
PROVINCE_0074,CITY_0142
PROVINCE_0132,CITY_0143
PROVINCE_0053,CITY_0144
PROVINCE_0025,CITY_0145
PROVINCE_0113,CITY_0146
PROVINCE_0049,CITY_0147
PROVINCE_0000,CITY_0148
PROVINCE_0098,CITY_0149
PROVINCE_0103,CITY_0150
PROVINCE_0046,CITY_0151
PROVINCE_0054,CITY_0152
PROVINCE_0022,CITY_0153
PROVINCE_0095,CITY_0154
PROVINCE_0023,CITY_0155
PROVINCE_0135,CITY_0156
PROVINCE_0023,CITY_0157
PROVINCE_0119,CITY_0158
PROVINCE_0138,CITY_0159
PROVINCE_0128,CITY_0160
PROVINCE_0038,CITY_0161
PROVINCE_0075,CITY_0162
PROVINCE_0037,CITY_0163
PROVINCE_0097,CITY_0164
PROVINCE_0092,CITY_0165
PROVINCE_0087,CITY_0166
PROVINCE_0144,CITY_0167
PROVINCE_0079,CITY_0168
PROVINCE_0106,CITY_0169
PROVINCE_0140,CITY_0170
PROVINCE_0005,CITY_0171
PROVINCE_0107,CITY_0172
PROVINCE_0039,CITY_0173
PROVINCE_0060,CITY_0174
PROVINCE_0034,CITY_0175
PROVINCE_0117,CITY_0176
PROVINCE_0036,CITY_0177
PROVINCE_0056,CITY_0178
PROVINCE_0121,CITY_0179
PROVINCE_0030,CITY_0180
PROVINCE_0115,CITY_0181
PROVINCE_0128,CITY_0182
PROVINCE_0148,CITY_0183
PROVINCE_0006,CITY_0184
PROVINCE_0038,CITY_0185
PROVINCE_0043,CITY_0186
PROVINCE_0058,CITY_0187
PROVINCE_0120,CITY_0188
PROVINCE_0146,CITY_0189
PROVINCE_0014,CITY_0190
PROVINCE_0009,CITY_0191
PROVINCE_0109,CITY_0192
PROVINCE_0080,CITY_0193
PROVINCE_0069,CITY_0194
PROVINCE_0138,CITY_0195
PROVINCE_0114,CITY_0196
PROVINCE_0014,CITY_0197
PROVINCE_0141,CITY_0198
PROVINCE_0071,CITY_0199
PROVINCE_0119,CITY_0200
PROVINCE_0114,CITY_0201
PROVINCE_0148,CITY_0202
PROVINCE_0082,CITY_0203
PROVINCE_0066,CITY_0204
PROVINCE_0018,CITY_0205
PROVINCE_0113,CITY_0206
PROVINCE_0107,CITY_0207
PROVINCE_0127,CITY_0208
PROVINCE_0080,CITY_0209
PROVINCE_0080,CITY_0210
PROVINCE_0051,CITY_0211
PROVINCE_0134,CITY_0212
PROVINCE_0019,CITY_0213
PROVINCE_0139,CITY_0214
PROVINCE_0138,CITY_0215
PROVINCE_0010,CITY_0216
PROVINCE_0115,CITY_0217
PROVINCE_0053,CITY_0218
PROVINCE_0118,CITY_0219
PROVINCE_0131,CITY_0220
PROVINCE_0016,CITY_0221
PROVINCE_0090,CITY_0222
PROVINCE_0149,CITY_0223
PROVINCE_0016,CITY_0224
PROVINCE_0082,CITY_0225
PROVINCE_0126,CITY_0226
PROVINCE_0014,CITY_0227
PROVINCE_0142,CITY_0228
PROVINCE_0148,CITY_0229
PROVINCE_0077,CITY_0230
PROVINCE_0094,CITY_0231
PROVINCE_0130,CITY_0232
PROVINCE_0099,CITY_0233
PROVINCE_0042,CITY_0234
PROVINCE_0103,CITY_0235
PROVINCE_0140,CITY_0236
PROVINCE_0053,CITY_0237
PROVINCE_0129,CITY_0238
PROVINCE_0067,CITY_0239
PROVINCE_0140,CITY_0240
PROVINCE_0131,CITY_0241
PROVINCE_0113,CITY_0242
PROVINCE_0105,CITY_0243
PROVINCE_0052,CITY_0244
PROVINCE_0134,CITY_0245
PROVINCE_0005,CITY_0246
PROVINCE_0039,CITY_0247
PROVINCE_0004,CITY_0248
PROVINCE_0122,CITY_0249
PROVINCE_0102,CITY_0250
PROVINCE_0020,CITY_0251
PROVINCE_0038,CITY_0252
PROVINCE_0060,CITY_0253
PROVINCE_0102,CITY_0254
PROVINCE_0027,CITY_0255
PROVINCE_0046,CITY_0256
PROVINCE_0029,CITY_0257
PROVINCE_0007,CITY_0258
PROVINCE_0085,CITY_0259
PROVINCE_0022,CITY_0260
PROVINCE_0140,CITY_0261
PROVINCE_0139,CITY_0262
PROVINCE_0025,CITY_0263
PROVINCE_0039,CITY_0264
PROVINCE_0145,CITY_0265
PROVINCE_0138,CITY_0266
PROVINCE_0133,CITY_0267
PROVINCE_0099,CITY_0268
PROVINCE_0025,CITY_0269
PROVINCE_0130,CITY_0270
PROVINCE_0034,CITY_0271
PROVINCE_0006,CITY_0272
PROVINCE_0125,CITY_0273
PROVINCE_0001,CITY_0274
PROVINCE_0102,CITY_0275
PROVINCE_0099,CITY_0276
PROVINCE_0009,CITY_0277
PROVINCE_0030,CITY_0278
PROVINCE_0012,CITY_0279
PROVINCE_0116,CITY_0280
PROVINCE_0033,CITY_0281
PROVINCE_0056,CITY_0282
PROVINCE_0123,CITY_0283
PROVINCE_0037,CITY_0284
PROVINCE_0142,CITY_0285
PROVINCE_0036,CITY_0286
PROVINCE_0099,CITY_0287
PROVINCE_0141,CITY_0288
PROVINCE_0059,CITY_0289
PROVINCE_0057,CITY_0290
PROVINCE_0070,CITY_0291
PROVINCE_0130,CITY_0292
PROVINCE_0111,CITY_0293
PROVINCE_0077,CITY_0294
PROVINCE_0116,CITY_0295
PROVINCE_0011,CITY_0296
PROVINCE_0062,CITY_0297
PROVINCE_0080,CITY_0298
PROVINCE_0011,CITY_0299
