PROVINCE,COUNTRY
PROVINCE_0087,COUNTRY_049
PROVINCE_0088,COUNTRY_041
PROVINCE_0089,COUNTRY_026
PROVINCE_0090,COUNTRY_002
PROVINCE_0091,COUNTRY_017
PROVINCE_0092,COUNTRY_005
PROVINCE_0093,COUNTRY_049
PROVINCE_0094,COUNTRY_031
PROVINCE_0095,COUNTRY_030
PROVINCE_0096,COUNTRY_047
PROVINCE_0097,COUNTRY_026
PROVINCE_0098,COUNTRY_021
PROVINCE_0099,COUNTRY_045
PROVINCE_0100,COUNTRY_027
PROVINCE_0101,COUNTRY_006
PROVINCE_0102,COUNTRY_010
PROVINCE_0103,COUNTRY_044
PROVINCE_0104,COUNTRY_016
PROVINCE_0105,COUNTRY_032
PROVINCE_0106,COUNTRY_004
PROVINCE_0107,COUNTRY_022
PROVINCE_0108,COUNTRY_026
PROVINCE_0109,COUNTRY_038
PROVINCE_0110,COUNTRY_046
PROVINCE_0111,COUNTRY_035
PROVINCE_0112,COUNTRY_047
PROVINCE_0113,COUNTRY_020
PROVINCE_0114,COUNTRY_029
PROVINCE_0115,COUNTRY_044
PROVINCE_0116,COUNTRY_001
PROVINCE_0117,COUNTRY_048
PROVINCE_0118,COUNTRY_003
PROVINCE_0119,COUNTRY_041
PROVINCE_0120,COUNTRY_041
PROVINCE_0121,COUNTRY_011
PROVINCE_0122,COUNTRY_040
PROVINCE_0123,COUNTRY_028
PROVINCE_0124,COUNTRY_041
PROVINCE_0125,COUNTRY_008
PROVINCE_0126,COUNTRY_000
PROVINCE_0127,COUNTRY_025
PROVINCE_0128,COUNTRY_012
PROVINCE_0129,COUNTRY_040
PROVINCE_0130,COUNTRY_019
PROVINCE_0131,COUNTRY_020
PROVINCE_0132,COUNTRY_036
PROVINCE_0133,COUNTRY_005
PROVINCE_0134,COUNTRY_007
PROVINCE_0135,COUNTRY_010
PROVINCE_0136,COUNTRY_015
PROVINCE_0137,COUNTRY_033
PROVINCE_0138,COUNTRY_045
PROVINCE_0139,COUNTRY_049
PROVINCE_0140,COUNTRY_041
PROVINCE_0141,COUNTRY_048
PROVINCE_0142,COUNTRY_008
PROVINCE_0143,COUNTRY_038
PROVINCE_0144,COUNTRY_043
PROVINCE_0145,COUNTRY_026
PROVINCE_0146,COUNTRY_020
PROVINCE_0147,COUNTRY_028
PROVINCE_0148,COUNTRY_030
PROVINCE_0149,COUNTRY_047
