CITY,DISTRICT
CITY_0155,DISTRICT_0073
CITY_0237,DISTRICT_0074
CITY_0002,DISTRICT_0075
CITY_0082,DISTRICT_0076
CITY_0266,DISTRICT_0077
CITY_0284,DISTRICT_0078
CITY_0045,DISTRICT_0079
CITY_0148,DISTRICT_0080
CITY_0047,DISTRICT_0081
CITY_0061,DISTRICT_0082
CITY_0067,DISTRICT_0083
CITY_0273,DISTRICT_0084
CITY_0235,DISTRICT_0085
CITY_0153,DISTRICT_0086
CITY_0162,DISTRICT_0087
CITY_0069,DISTRICT_0088
CITY_0248,DISTRICT_0089
CITY_0038,DISTRICT_0090
CITY_0109,DISTRICT_0091
CITY_0223,DISTRICT_0092
CITY_0243,DISTRICT_0093
CITY_0261,DISTRICT_0094
CITY_0188,DISTRICT_0095
CITY_0251,DISTRICT_0096
CITY_0194,DISTRICT_0097
CITY_0150,DISTRICT_0098
CITY_0219,DISTRICT_0099
CITY_0096,DISTRICT_0100
CITY_0036,DISTRICT_0101
CITY_0122,DISTRICT_0102
CITY_0283,DISTRICT_0103
CITY_0040,DISTRICT_0104
CITY_0019,DISTRICT_0105
CITY_0255,DISTRICT_0106
CITY_0154,DISTRICT_0107
CITY_0056,DISTRICT_0108
CITY_0194,DISTRICT_0109
CITY_0062,DISTRICT_0110
CITY_0295,DISTRICT_0111
CITY_0146,DISTRICT_0112
CITY_0086,DISTRICT_0113
CITY_0127,DISTRICT_0114
CITY_0077,DISTRICT_0115
CITY_0060,DISTRICT_0116
CITY_0178,DISTRICT_0117
CITY_0145,DISTRICT_0118
CITY_0024,DISTRICT_0119
CITY_0038,DISTRICT_0120
CITY_0121,DISTRICT_0121
CITY_0042,DISTRICT_0122
CITY_0171,DISTRICT_0123
CITY_0111,DISTRICT_0124
CITY_0169,DISTRICT_0125
CITY_0026,DISTRICT_0126
CITY_0210,DISTRICT_0127
CITY_0221,DISTRICT_0128
CITY_0094,DISTRICT_0129
CITY_0198,DISTRICT_0130
CITY_0034,DISTRICT_0131
CITY_0208,DISTRICT_0132
CITY_0280,DISTRICT_0133
CITY_0129,DISTRICT_0134
CITY_0176,DISTRICT_0135
CITY_0172,DISTRICT_0136
CITY_0085,DISTRICT_0137
CITY_0165,DISTRICT_0138
CITY_0089,DISTRICT_0139
CITY_0254,DISTRICT_0140
CITY_0159,DISTRICT_0141
CITY_0038,DISTRICT_0142
CITY_0001,DISTRICT_0143
CITY_0071,DISTRICT_0144
CITY_0186,DISTRICT_0145
CITY_0144,DISTRICT_0146
CITY_0249,DISTRICT_0147
CITY_0033,DISTRICT_0148
CITY_0238,DISTRICT_0149
CITY_0298,DISTRICT_0150
CITY_0277,DISTRICT_0151
CITY_0141,DISTRICT_0152
CITY_0266,DISTRICT_0153
CITY_0269,DISTRICT_0154
CITY_0183,DISTRICT_0155
CITY_0218,DISTRICT_0156
CITY_0199,DISTRICT_0157
CITY_0144,DISTRICT_0158
CITY_0259,DISTRICT_0159
CITY_0291,DISTRICT_0160
CITY_0113,DISTRICT_0161
CITY_0029,DISTRICT_0162
CITY_0015,DISTRICT_0163
CITY_0189,DISTRICT_0164
CITY_0054,DISTRICT_0165
CITY_0174,DISTRICT_0166
CITY_0221,DISTRICT_0167
CITY_0231,DISTRICT_0168
CITY_0178,DISTRICT_0169
CITY_0205,DISTRICT_0170
CITY_0106,DISTRICT_0171
CITY_0187,DISTRICT_0172
CITY_0186,DISTRICT_0173
CITY_0258,DISTRICT_0174
CITY_0151,DISTRICT_0175
CITY_0074,DISTRICT_0176
CITY_0094,DISTRICT_0177
CITY_0229,DISTRICT_0178
CITY_0044,DISTRICT_0179
CITY_0233,DISTRICT_0180
CITY_0079,DISTRICT_0181
CITY_0199,DISTRICT_0182
CITY_0206,DISTRICT_0183
CITY_0068,DISTRICT_0184
CITY_0185,DISTRICT_0185
CITY_0207,DISTRICT_0186
CITY_0187,DISTRICT_0187
CITY_0013,DISTRICT_0188
CITY_0132,DISTRICT_0189
CITY_0195,DISTRICT_0190
CITY_0004,DISTRICT_0191
CITY_0243,DISTRICT_0192
CITY_0011,DISTRICT_0193
CITY_0021,DISTRICT_0194
CITY_0042,DISTRICT_0195
CITY_0150,DISTRICT_0196
CITY_0140,DISTRICT_0197
CITY_0056,DISTRICT_0198
CITY_0113,DISTRICT_0199
CITY_0002,DISTRICT_0200
CITY_0193,DISTRICT_0201
CITY_0260,DISTRICT_0202
CITY_0215,DISTRICT_0203
CITY_0092,DISTRICT_0204
CITY_0133,DISTRICT_0205
CITY_0020,DISTRICT_0206
CITY_0262,DISTRICT_0207
CITY_0227,DISTRICT_0208
CITY_0052,DISTRICT_0209
CITY_0002,DISTRICT_0210
CITY_0001,DISTRICT_0211
CITY_0210,DISTRICT_0212
CITY_0209,DISTRICT_0213
CITY_0277,DISTRICT_0214
CITY_0030,DISTRICT_0215
CITY_0139,DISTRICT_0216
CITY_0051,DISTRICT_0217
CITY_0248,DISTRICT_0218
CITY_0069,DISTRICT_0219
CITY_0274,DISTRICT_0220
CITY_0072,DISTRICT_0221
CITY_0003,DISTRICT_0222
CITY_0241,DISTRICT_0223
CITY_0208,DISTRICT_0224
CITY_0086,DISTRICT_0225
CITY_0098,DISTRICT_0226
CITY_0256,DISTRICT_0227
CITY_0056,DISTRICT_0228
CITY_0062,DISTRICT_0229
CITY_0179,DISTRICT_0230
CITY_0082,DISTRICT_0231
CITY_0071,DISTRICT_0232
CITY_0117,DISTRICT_0233
CITY_0073,DISTRICT_0234
CITY_0282,DISTRICT_0235
CITY_0075,DISTRICT_0236
CITY_0092,DISTRICT_0237
CITY_0089,DISTRICT_0238
CITY_0284,DISTRICT_0239
CITY_0079,DISTRICT_0240
CITY_0145,DISTRICT_0241
CITY_0006,DISTRICT_0242
CITY_0274,DISTRICT_0243
CITY_0142,DISTRICT_0244
CITY_0241,DISTRICT_0245
CITY_0167,DISTRICT_0246
CITY_0079,DISTRICT_0247
CITY_0269,DISTRICT_0248
CITY_0098,DISTRICT_0249
CITY_0183,DISTRICT_0250
CITY_0152,DISTRICT_0251
CITY_0016,DISTRICT_0252
CITY_0000,DISTRICT_0253
CITY_0139,DISTRICT_0254
CITY_0047,DISTRICT_0255
CITY_0019,DISTRICT_0256
CITY_0283,DISTRICT_0257
CITY_0137,DISTRICT_0258
CITY_0231,DISTRICT_0259
CITY_0059,DISTRICT_0260
CITY_0116,DISTRICT_0261
CITY_0190,DISTRICT_0262
CITY_0052,DISTRICT_0263
CITY_0059,DISTRICT_0264
CITY_0126,DISTRICT_0265
CITY_0177,DISTRICT_0266
CITY_0015,DISTRICT_0267
CITY_0160,DISTRICT_0268
CITY_0099,DISTRICT_0269
CITY_0163,DISTRICT_0270
CITY_0226,DISTRICT_0271
CITY_0074,DISTRICT_0272
CITY_0084,DISTRICT_0273
CITY_0271,DISTRICT_0274
CITY_0067,DISTRICT_0275
CITY_0003,DISTRICT_0276
CITY_0223,DISTRICT_0277
CITY_0148,DISTRICT_0278
CITY_0060,DISTRICT_0279
CITY_0184,DISTRICT_0280
CITY_0250,DISTRICT_0281
CITY_0284,DISTRICT_0282
CITY_0020,DISTRICT_0283
CITY_0237,DISTRICT_0284
CITY_0268,DISTRICT_0285
CITY_0123,DISTRICT_0286
CITY_0014,DISTRICT_0287
CITY_0065,DISTRICT_0288
CITY_0276,DISTRICT_0289
CITY_0008,DISTRICT_0290
CITY_0037,DISTRICT_0291
CITY_0012,DISTRICT_0292
CITY_0153,DISTRICT_0293
CITY_0052,DISTRICT_0294
CITY_0147,DISTRICT_0295
CITY_0168,DISTRICT_0296
CITY_0124,DISTRICT_0297
CITY_0154,DISTRICT_0298
CITY_0039,DISTRICT_0299
CITY_0170,DISTRICT_0300
CITY_0064,DISTRICT_0301
CITY_0261,DISTRICT_0302
CITY_0048,DISTRICT_0303
CITY_0134,DISTRICT_0304
CITY_0147,DISTRICT_0305
CITY_0240,DISTRICT_0306
CITY_0284,DISTRICT_0307
CITY_0209,DISTRICT_0308
CITY_0232,DISTRICT_0309
CITY_0147,DISTRICT_0310
CITY_0065,DISTRICT_0311
CITY_0281,DISTRICT_0312
CITY_0018,DISTRICT_0313
CITY_0089,DISTRICT_0314
CITY_0043,DISTRICT_0315
CITY_0261,DISTRICT_0316
CITY_0284,DISTRICT_0317
CITY_0114,DISTRICT_0318
CITY_0011,DISTRICT_0319
CITY_0197,DISTRICT_0320
CITY_0113,DISTRICT_0321
CITY_0176,DISTRICT_0322
CITY_0254,DISTRICT_0323
CITY_0286,DISTRICT_0324
CITY_0012,DISTRICT_0325
CITY_0116,DISTRICT_0326
CITY_0237,DISTRICT_0327
CITY_0285,DISTRICT_0328
CITY_0299,DISTRICT_0329
CITY_0059,DISTRICT_0330
CITY_0074,DISTRICT_0331
CITY_0049,DISTRICT_0332
CITY_0113,DISTRICT_0333
CITY_0227,DISTRICT_0334
CITY_0128,DISTRICT_0335
CITY_0122,DISTRICT_0336
CITY_0206,DISTRICT_0337
CITY_0294,DISTRICT_0338
CITY_0007,DISTRICT_0339
CITY_0163,DISTRICT_0340
CITY_0169,DISTRICT_0341
CITY_0282,DISTRICT_0342
CITY_0165,DISTRICT_0343
CITY_0176,DISTRICT_0344
CITY_0252,DISTRICT_0345
CITY_0190,DISTRICT_0346
CITY_0292,DISTRICT_0347
CITY_0156,DISTRICT_0348
CITY_0010,DISTRICT_0349
CITY_0278,DISTRICT_0350
CITY_0142,DISTRICT_0351
CITY_0095,DISTRICT_0352
CITY_0294,DISTRICT_0353
CITY_0000,DISTRICT_0354
CITY_0214,DISTRICT_0355
CITY_0220,DISTRICT_0356
CITY_0290,DISTRICT_0357
CITY_0025,DISTRICT_0358
CITY_0152,DISTRICT_0359
CITY_0183,DISTRICT_0360
CITY_0078,DISTRICT_0361
CITY_0266,DISTRICT_0362
CITY_0278,DISTRICT_0363
CITY_0219,DISTRICT_0364
CITY_0007,DISTRICT_0365
CITY_0193,DISTRICT_0366
CITY_0034,DISTRICT_0367
CITY_0024,DISTRICT_0368
CITY_0198,DISTRICT_0369
CITY_0169,DISTRICT_0370
CITY_0215,DISTRICT_0371
CITY_0235,DISTRICT_0372
CITY_0123,DISTRICT_0373
CITY_0119,DISTRICT_0374
CITY_0231,DISTRICT_0375
CITY_0139,DISTRICT_0376
CITY_0190,DISTRICT_0377
CITY_0227,DISTRICT_0378
CITY_0022,DISTRICT_0379
CITY_0042,DISTRICT_0380
CITY_0204,DISTRICT_0381
CITY_0162,DISTRICT_0382
CITY_0073,DISTRICT_0383
CITY_0227,DISTRICT_0384
CITY_0212,DISTRICT_0385
CITY_0047,DISTRICT_0386
CITY_0114,DISTRICT_0387
CITY_0214,DISTRICT_0388
CITY_0286,DISTRICT_0389
CITY_0035,DISTRICT_0390
CITY_0153,DISTRICT_0391
CITY_0282,DISTRICT_0392
CITY_0029,DISTRICT_0393
CITY_0071,DISTRICT_0394
CITY_0183,DISTRICT_0395
CITY_0112,DISTRICT_0396
CITY_0010,DISTRICT_0397
CITY_0262,DISTRICT_0398
CITY_0143,DISTRICT_0399
CITY_0099,DISTRICT_0400
CITY_0245,DISTRICT_0401
CITY_0204,DISTRICT_0402
CITY_0082,DISTRICT_0403
CITY_0203,DISTRICT_0404
CITY_0151,DISTRICT_0405
CITY_0137,DISTRICT_0406
CITY_0154,DISTRICT_0407
CITY_0235,DISTRICT_0408
CITY_0255,DISTRICT_0409
CITY_0092,DISTRICT_0410
CITY_0165,DISTRICT_0411
CITY_0004,DISTRICT_0412
CITY_0272,DISTRICT_0413
CITY_0144,DISTRICT_0414
CITY_0094,DISTRICT_0415
CITY_0123,DISTRICT_0416
CITY_0072,DISTRICT_0417
CITY_0128,DISTRICT_0418
CITY_0089,DISTRICT_0419
CITY_0108,DISTRICT_0420
CITY_0154,DISTRICT_0421
CITY_0262,DISTRICT_0422
CITY_0002,DISTRICT_0423
CITY_0016,DISTRICT_0424
CITY_0140,DISTRICT_0425
CITY_0040,DISTRICT_0426
CITY_0232,DISTRICT_0427
CITY_0064,DISTRICT_0428
CITY_0157,DISTRICT_0429
CITY_0056,DISTRICT_0430
CITY_0169,DISTRICT_0431
CITY_0175,DISTRICT_0432
CITY_0126,DISTRICT_0433
CITY_0203,DISTRICT_0434
CITY_0055,DISTRICT_0435
CITY_0167,DISTRICT_0436
CITY_0273,DISTRICT_0437
CITY_0173,DISTRICT_0438
CITY_0161,DISTRICT_0439
CITY_0234,DISTRICT_0440
CITY_0144,DISTRICT_0441
CITY_0299,DISTRICT_0442
CITY_0014,DISTRICT_0443
CITY_0196,DISTRICT_0444
CITY_0089,DISTRICT_0445
CITY_0255,DISTRICT_0446
CITY_0288,DISTRICT_0447
CITY_0193,DISTRICT_0448
CITY_0007,DISTRICT_0449
CITY_0083,DISTRICT_0450
CITY_0142,DISTRICT_0451
CITY_0084,DISTRICT_0452
CITY_0188,DISTRICT_0453
CITY_0231,DISTRICT_0454
CITY_0031,DISTRICT_0455
CITY_0122,DISTRICT_0456
CITY_0109,DISTRICT_0457
CITY_0113,DISTRICT_0458
CITY_0073,DISTRICT_0459
CITY_0173,DISTRICT_0460
CITY_0149,DISTRICT_0461
CITY_0183,DISTRICT_0462
CITY_0092,DISTRICT_0463
CITY_0113,DISTRICT_0464
CITY_0042,DISTRICT_0465
CITY_0164,DISTRICT_0466
CITY_0275,DISTRICT_0467
CITY_0071,DISTRICT_0468
CITY_0268,DISTRICT_0469
CITY_0198,DISTRICT_0470
CITY_0115,DISTRICT_0471
CITY_0023,DISTRICT_0472
CITY_0143,DISTRICT_0473
CITY_0010,DISTRICT_0474
CITY_0071,DISTRICT_0475
CITY_0222,DISTRICT_0476
CITY_0200,DISTRICT_0477
CITY_0094,DISTRICT_0478
CITY_0046,DISTRICT_0479
CITY_0226,DISTRICT_0480
CITY_0080,DISTRICT_0481
CITY_0050,DISTRICT_0482
CITY_0248,DISTRICT_0483
CITY_0151,DISTRICT_0484
CITY_0080,DISTRICT_0485
CITY_0071,DISTRICT_0486
CITY_0067,DISTRICT_0487
CITY_0013,DISTRICT_0488
CITY_0154,DISTRICT_0489
CITY_0044,DISTRICT_0490
CITY_0208,DISTRICT_0491
CITY_0237,DISTRICT_0492
CITY_0277,DISTRICT_0493
CITY_0090,DISTRICT_0494
CITY_0061,DISTRICT_0495
CITY_0183,DISTRICT_0496
CITY_0123,DISTRICT_0497
CITY_0090,DISTRICT_0498
CITY_0207,DISTRICT_0499
CITY_0195,DISTRICT_0500
CITY_0107,DISTRICT_0501
CITY_0243,DISTRICT_0502
CITY_0002,DISTRICT_0503
CITY_0202,DISTRICT_0504
CITY_0113,DISTRICT_0505
CITY_0064,DISTRICT_0506
CITY_0181,DISTRICT_0507
CITY_0016,DISTRICT_0508
CITY_0110,DISTRICT_0509
CITY_0062,DISTRICT_0510
CITY_0118,DISTRICT_0511
CITY_0080,DISTRICT_0512
CITY_0256,DISTRICT_0513
CITY_0023,DISTRICT_0514
CITY_0154,DISTRICT_0515
CITY_0272,DISTRICT_0516
CITY_0183,DISTRICT_0517
CITY_0003,DISTRICT_0518
CITY_0094,DISTRICT_0519
CITY_0077,DISTRICT_0520
CITY_0023,DISTRICT_0521
CITY_0214,DISTRICT_0522
CITY_0048,DISTRICT_0523
CITY_0299,DISTRICT_0524
CITY_0024,DISTRICT_0525
CITY_0054,DISTRICT_0526
CITY_0295,DISTRICT_0527
CITY_0122,DISTRICT_0528
CITY_0124,DISTRICT_0529
CITY_0108,DISTRICT_0530
CITY_0191,DISTRICT_0531
CITY_0115,DISTRICT_0532
CITY_0250,DISTRICT_0533
CITY_0249,DISTRICT_0534
CITY_0043,DISTRICT_0535
CITY_0031,DISTRICT_0536
CITY_0001,DISTRICT_0537
CITY_0029,DISTRICT_0538
CITY_0011,DISTRICT_0539
CITY_0094,DISTRICT_0540
CITY_0297,DISTRICT_0541
CITY_0174,DISTRICT_0542
CITY_0220,DISTRICT_0543
CITY_0050,DISTRICT_0544
CITY_0192,DISTRICT_0545
CITY_0074,DISTRICT_0546
CITY_0094,DISTRICT_0547
CITY_0174,DISTRICT_0548
CITY_0192,DISTRICT_0549
CITY_0143,DISTRICT_0550
CITY_0252,DISTRICT_0551
CITY_0032,DISTRICT_0552
CITY_0263,DISTRICT_0553
CITY_0188,DISTRICT_0554
CITY_0181,DISTRICT_0555
CITY_0158,DISTRICT_0556
CITY_0001,DISTRICT_0557
CITY_0230,DISTRICT_0558
CITY_0296,DISTRICT_0559
CITY_0073,DISTRICT_0560
CITY_0116,DISTRICT_0561
CITY_0000,DISTRICT_0562
CITY_0146,DISTRICT_0563
CITY_0176,DISTRICT_0564
CITY_0111,DISTRICT_0565
CITY_0069,DISTRICT_0566
CITY_0119,DISTRICT_0567
CITY_0042,DISTRICT_0568
CITY_0197,DISTRICT_0569
CITY_0239,DISTRICT_0570
CITY_0238,DISTRICT_0571
CITY_0273,DISTRICT_0572
CITY_0038,DISTRICT_0573
CITY_0145,DISTRICT_0574
CITY_0169,DISTRICT_0575
CITY_0192,DISTRICT_0576
CITY_0148,DISTRICT_0577
CITY_0225,DISTRICT_0578
CITY_0147,DISTRICT_0579
CITY_0125,DISTRICT_0580
CITY_0227,DISTRICT_0581
CITY_0006,DISTRICT_0582
CITY_0060,DISTRICT_0583
CITY_0151,DISTRICT_0584
CITY_0180,DISTRICT_0585
CITY_0100,DISTRICT_0586
CITY_0053,DISTRICT_0587
CITY_0041,DISTRICT_0588
CITY_0231,DISTRICT_0589
CITY_0255,DISTRICT_0590
CITY_0219,DISTRICT_0591
CITY_0215,DISTRICT_0592
CITY_0219,DISTRICT_0593
CITY_0174,DISTRICT_0594
CITY_0029,DISTRICT_0595
CITY_0176,DISTRICT_0596
CITY_0090,DISTRICT_0597
CITY_0241,DISTRICT_0598
CITY_0214,DISTRICT_0599
