road_id,name,length,highway_type
ROAD_0146,Kevin Creek Highway,19.59,secondary
ROAD_0147,Zachary Glen Highway,45.5,secondary
ROAD_0148,Cross Dale Highway,80.66,trunk
ROAD_0149,Brittany Fall Highway,35.09,trunk
ROAD_0150,Judith Camp Highway,20.29,motorway
ROAD_0151,Tracy Wells Highway,5.41,primary
ROAD_0152,White Bridge Highway,6.92,motorway
ROAD_0153,Sarah Locks Highway,14.8,tertiary
ROAD_0154,Robinson Center Highway,10.92,
ROAD_0155,Jordan Junction Highway,16.66,secondary
ROAD_0156,Alvarado Stravenue Highway,21.26,trunk
ROAD_0157,Hatfield Lake Highway,34.11,motorway
ROAD_0158,Lane Lodge Highway,18.72,trunk
ROAD_0159,Noah Mill Highway,32.67,primary
ROAD_0160,Reilly Lane Highway,,
ROAD_0161,Shelley Lane Highway,2.79,motorway
ROAD_0162,Jackie Mews Highway,7.85,motorway
ROAD_0163,Williams Roads Highway,17.39,motorway
ROAD_0164,Sandra Landing Highway,5.99,unclassified
ROAD_0165,Michael Camp Highway,36.6,trunk
ROAD_0166,Sylvia Port Highway,92.83,primary
ROAD_0167,Darren Garden Highway,67.95,secondary
ROAD_0168,Chavez Village Highway,16.23,trunk
ROAD_0169,Washington Port Highway,89.19,secondary
ROAD_0170,Collins Forges Highway,23.3,motorway
ROAD_0171,Wolfe Garden Highway,14.34,motorway
ROAD_0172,Perry Route Highway,10.88,trunk
ROAD_0173,Stewart Greens Highway,14.84,unclassified
ROAD_0174,Joshua Wells Highway,13.62,secondary
ROAD_0175,Hartman Summit Highway,23.82,primary
ROAD_0176,Louis Keys Highway,,
ROAD_0177,Murray Isle Highway,20.15,motorway
ROAD_0178,Williams Views Highway,31.09,secondary
ROAD_0179,Wilson Light Highway,66.07,motorway
ROAD_0180,Jessica Well Highway,51.91,tertiary
ROAD_0181,Stanley Lights Highway,4.55,trunk
ROAD_0182,Norris Branch Highway,1.56,motorway
ROAD_0183,Steven Ports Highway,51.13,trunk
ROAD_0184,Bennett Stravenue Highway,5.12,trunk
ROAD_0185,Cox Tunnel Highway,16.04,motorway
ROAD_0186,Christopher Burg Highway,6.23,
ROAD_0187,Kelsey Flats Highway,,
ROAD_0188,Chad Coves Highway,34.52,
ROAD_0189,Michael Key Highway,42.91,trunk
ROAD_0190,Craig Drive Highway,11.29,unclassified
ROAD_0191,Smith Crossing Highway,1.51,tertiary
ROAD_0192,Chelsea Mission Highway,11.63,primary
ROAD_0193,Pope Neck Highway,29.72,primary
ROAD_0194,Vaughn Shoal Highway,4.58,unclassified
ROAD_0195,Smith Path Highway,24.13,unclassified
ROAD_0196,Brandon Ridge Highway,19.78,unclassified
ROAD_0197,Emma Pine Highway,35.85,trunk
ROAD_0198,Pamela Burg Highway,22.64,motorway
ROAD_0199,Lori Fort Highway,,secondary
ROAD_0200,Joseph Springs Highway,66.46,trunk
ROAD_0201,Gabrielle Lane Highway,17.14,primary
ROAD_0202,Brandon Brook Highway,19.54,tertiary
ROAD_0203,Wayne Mills Highway,7.9,tertiary
ROAD_0204,Jake Viaduct Highway,12.89,motorway
ROAD_0205,Hogan Manors Highway,8.29,trunk
ROAD_0206,Kirby Throughway Highway,16.9,motorway
ROAD_0207,Freeman Underpass Highway,111.24,primary
ROAD_0208,Jacob Fort Highway,5.09,primary
ROAD_0209,Clark Court Highway,4.0,secondary
ROAD_0210,Tyler Knolls Highway,87.46,secondary
ROAD_0211,James Neck Highway,16.29,trunk
ROAD_0212,Liu River Highway,10.29,secondary
ROAD_0213,Paul Pike Highway,56.82,tertiary
ROAD_0214,Jones Square Highway,10.96,motorway
ROAD_0215,Gregory Greens Highway,124.71,motorway
ROAD_0216,Grant Walks Highway,39.56,trunk
ROAD_0217,Holland Junction Highway,12.33,primary
ROAD_0218,Joshua Junctions Highway,173.7,primary
ROAD_0219,Chad Garden Highway,10.96,primary
ROAD_0220,Anna Hills Highway,42.19,unclassified
ROAD_0221,Mora Shoal Highway,27.09,unclassified
ROAD_0222,Ashley Fords Highway,,
ROAD_0223,Bonilla Common Highway,95.73,unclassified
ROAD_0224,Jason Mount Highway,,
ROAD_0225,Brandon Lock Highway,9.46,motorway
ROAD_0226,Kevin Isle Highway,31.82,tertiary
ROAD_0227,Douglas Street Highway,,secondary
ROAD_0228,Roberts Cliff Highway,150.41,unclassified
ROAD_0229,Michael Skyway Highway,23.02,secondary
ROAD_0230,Mitchell Crest Highway,13.94,motorway
ROAD_0231,Terry Forge Highway,24.16,unclassified
ROAD_0232,Rhonda Groves Highway,5.22,primary
ROAD_0233,Nicholas Heights Highway,7.6,motorway
ROAD_0234,Miller Turnpike Highway,66.71,tertiary
ROAD_0235,Michelle Vista Highway,10.41,primary
ROAD_0236,Berry Way Highway,7.05,trunk
ROAD_0237,Thompson Meadows Highway,34.35,motorway
ROAD_0238,Jennifer Turnpike Highway,65.74,secondary
ROAD_0239,Raymond Locks Highway,41.22,tertiary
ROAD_0240,Davis Forks Highway,54.38,primary
ROAD_0241,Richard Cliffs Highway,9.42,trunk
ROAD_0242,Carrie Valleys Highway,4.85,primary
ROAD_0243,Kevin Port Highway,90.14,secondary
ROAD_0244,Rice Plaza Highway,14.55,trunk
ROAD_0245,Frank Viaduct Highway,15.63,secondary
ROAD_0246,Michael Row Highway,75.81,unclassified
ROAD_0247,Jacob Highway Highway,35.03,motorway
ROAD_0248,Benjamin Gardens Highway,31.69,primary
ROAD_0249,Allen Estate Highway,,
ROAD_0250,Douglas Shoal Highway,10.55,unclassified
ROAD_0251,Moreno Rapids Highway,50.8,unclassified
ROAD_0252,Katrina Keys Highway,21.26,primary
ROAD_0253,April Gardens Highway,26.27,motorway
ROAD_0254,Nicole Keys Highway,92.62,trunk
ROAD_0255,Bradley Place Highway,,
ROAD_0256,Michael Circle Highway,34.41,tertiary
ROAD_0257,Buckley Plains Highway,58.7,motorway
ROAD_0258,Downs Plaza Highway,13.94,unclassified
ROAD_0259,Bonnie Unions Highway,8.68,tertiary
ROAD_0260,Eileen Circles Highway,7.07,secondary
ROAD_0261,Robinson Curve Highway,2.81,motorway
ROAD_0262,Hall Manors Highway,156.99,primary
ROAD_0263,Erickson Square Highway,6.66,secondary
ROAD_0264,Austin Hollow Highway,16.1,tertiary
ROAD_0265,Farmer Roads Highway,15.23,tertiary
ROAD_0266,Felicia Haven Highway,27.31,trunk
ROAD_0267,Long Flats Highway,45.41,trunk
ROAD_0268,Glover Square Highway,47.49,motorway
ROAD_0269,Bradley Port Highway,11.21,tertiary
ROAD_0270,Justin Glens Highway,16.99,trunk
ROAD_0271,Jennifer Gateway Highway,26.64,unclassified
ROAD_0272,Barrett Mountains Highway,15.66,tertiary
ROAD_0273,Bailey Circles Highway,100.22,motorway
ROAD_0274,Hill Bypass Highway,32.82,unclassified
ROAD_0275,Peck Forest Highway,41.88,primary
ROAD_0276,Cook Road Highway,38.97,primary
ROAD_0277,Harris Heights Highway,64.94,motorway
ROAD_0278,Patrick Knoll Highway,24.07,trunk
ROAD_0279,Hernandez Forge Highway,5.49,tertiary
ROAD_0280,Tammy Track Highway,29.95,unclassified
ROAD_0281,Cochran Squares Highway,10.47,tertiary
ROAD_0282,Alexander Place Highway,,tertiary
ROAD_0283,Amanda Way Highway,36.1,motorway
ROAD_0284,Kristine Estate Highway,69.29,tertiary
ROAD_0285,Karen Stream Highway,20.52,trunk
ROAD_0286,Michael Wells Highway,27.35,secondary
ROAD_0287,Lindsay Brook Highway,110.19,motorway
ROAD_0288,Tim Landing Highway,25.55,unclassified
ROAD_0289,Megan Stream Highway,270.88,unclassified
ROAD_0290,Torres Inlet Highway,35.36,secondary
ROAD_0291,Patrick Stravenue Highway,3.45,unclassified
ROAD_0292,Chavez Path Highway,,secondary
ROAD_0293,Cox Camp Highway,29.4,secondary
ROAD_0294,Donald Lodge Highway,72.95,secondary
ROAD_0295,Johnson Views Highway,39.38,tertiary
ROAD_0296,Lisa Glen Highway,17.49,unclassified
ROAD_0297,Jimenez Mission Highway,5.9,primary
ROAD_0298,Cochran Centers Highway,16.3,trunk
ROAD_0299,David Causeway Highway,8.58,tertiary
ROAD_0300,Nichole Lock Highway,11.24,primary
ROAD_0301,Joshua Road Highway,36.18,motorway
ROAD_0302,Scott Center Highway,106.69,trunk
ROAD_0303,Melissa Tunnel Highway,29.8,motorway
ROAD_0304,David Way Highway,6.07,secondary
ROAD_0305,Brandon Lodge Highway,31.33,secondary
ROAD_0306,Sanchez Cliffs Highway,66.46,trunk
ROAD_0307,Fisher Vista Highway,10.92,tertiary
ROAD_0308,Hudson Square Highway,17.57,trunk
ROAD_0309,Young Greens Highway,20.38,secondary
ROAD_0310,Morrison Coves Highway,9.16,secondary
ROAD_0311,Lamb Fort Highway,38.41,primary
ROAD_0312,Krystal Ferry Highway,17.8,motorway
ROAD_0313,Megan Street Highway,30.56,tertiary
ROAD_0314,Erik Forest Highway,8.27,trunk
ROAD_0315,Jennifer Wells Highway,,
ROAD_0316,Chavez Locks Highway,41.36,primary
ROAD_0317,Alexandra Brooks Highway,13.83,motorway
ROAD_0318,Williams Land Highway,112.95,primary
ROAD_0319,Peters Valley Highway,13.47,secondary
ROAD_0320,John Manor Highway,25.15,
ROAD_0321,Williamson Squares Highway,51.04,tertiary
ROAD_0322,Jason Manor Highway,4.86,secondary
ROAD_0323,Mcdonald Curve Highway,3.45,tertiary
ROAD_0324,Hurley Key Highway,4.37,tertiary
ROAD_0325,Anthony Mews Highway,70.99,motorway
ROAD_0326,Cory Pike Highway,11.57,motorway
ROAD_0327,Tracy Fields Highway,259.36,primary
ROAD_0328,Jonathan Circle Highway,11.42,primary
ROAD_0329,Washington Prairie Highway,24.16,trunk
ROAD_0330,Ford Ways Highway,93.89,secondary
ROAD_0331,Kimberly Garden Highway,,
ROAD_0332,Monica Union Highway,157.83,trunk
ROAD_0333,Richards Bridge Highway,67.25,tertiary
ROAD_0334,Amanda Garden Highway,55.93,tertiary
ROAD_0335,Mccoy Canyon Highway,36.33,secondary
ROAD_0336,Vasquez Radial Highway,43.74,unclassified
ROAD_0337,Erica Squares Highway,11.57,tertiary
ROAD_0338,Norton Ridges Highway,8.86,tertiary
ROAD_0339,Gregory Drive Highway,20.02,unclassified
ROAD_0340,Nancy Highway Highway,16.94,secondary
ROAD_0341,Bennett Vista Highway,12.77,primary
ROAD_0342,Santana Grove Highway,40.3,motorway
ROAD_0343,Gray Ridges Highway,52.21,tertiary
ROAD_0344,Caleb Ranch Highway,21.94,unclassified
ROAD_0345,Kelly Spring Highway,,
ROAD_0346,Kathy Shore Highway,,
ROAD_0347,Pearson Ports Highway,16.55,trunk
ROAD_0348,Ashley Isle Highway,,trunk
ROAD_0349,Derek Station Highway,3.11,motorway
ROAD_0350,Eduardo Coves Highway,18.49,secondary
ROAD_0351,Roberts Hill Highway,17.78,unclassified
ROAD_0352,Douglas Cliff Highway,91.24,tertiary
ROAD_0353,Murphy Hill Highway,37.74,secondary
ROAD_0354,Obrien Vista Highway,7.21,unclassified
ROAD_0355,Phillips Ports Highway,128.26,unclassified
ROAD_0356,Hernandez Harbor Highway,68.1,trunk
ROAD_0357,Carroll Bypass Highway,35.95,unclassified
ROAD_0358,Tanya Rue Highway,16.01,secondary
ROAD_0359,Russo Village Highway,7.69,trunk
ROAD_0360,Cynthia Gateway Highway,13.84,tertiary
ROAD_0361,David Meadow Highway,59.67,primary
ROAD_0362,Gonzalez Path Highway,132.24,unclassified
ROAD_0363,Shannon Plains Highway,94.0,unclassified
ROAD_0364,Vickie Station Highway,12.32,secondary
ROAD_0365,Hart Street Highway,6.56,trunk
ROAD_0366,Troy Stravenue Highway,23.12,primary
ROAD_0367,Diana Brook Highway,3.43,primary
ROAD_0368,Robert Island Highway,27.75,unclassified
ROAD_0369,Taylor Rapid Highway,17.33,unclassified
ROAD_0370,Joshua Highway Highway,12.6,secondary
ROAD_0371,Robert Gardens Highway,4.08,unclassified
ROAD_0372,Garcia Landing Highway,33.57,motorway
ROAD_0373,Jenny Branch Highway,11.79,tertiary
ROAD_0374,Gomez Falls Highway,6.23,secondary
ROAD_0375,Andrew Mall Highway,1.14,trunk
ROAD_0376,Chelsey Crest Highway,19.54,primary
ROAD_0377,Kimberly Extension Highway,118.19,motorway
ROAD_0378,Smith Mountains Highway,105.77,secondary
ROAD_0379,Jessica Parkways Highway,12.72,unclassified
ROAD_0380,Aguirre Oval Highway,11.0,trunk
ROAD_0381,Crystal Avenue Highway,32.1,primary
ROAD_0382,Kimberly Centers Highway,7.4,unclassified
ROAD_0383,Gina Glen Highway,27.16,motorway
ROAD_0384,Thomas Expressway Highway,43.21,tertiary
ROAD_0385,Gray Via Highway,68.51,motorway
ROAD_0386,John Crossing Highway,18.17,tertiary
ROAD_0387,Miller Burgs Highway,,
ROAD_0388,Travis Parkways Highway,8.35,motorway
ROAD_0389,Hicks Trace Highway,8.79,
ROAD_0390,Mahoney Lodge Highway,16.01,unclassified
ROAD_0391,Kristina Courts Highway,29.0,secondary
ROAD_0392,Krista Islands Highway,50.08,trunk
ROAD_0393,Marcus Village Highway,9.0,primary
ROAD_0394,Mckenzie Valley Highway,,unclassified
ROAD_0395,Destiny Drive Highway,15.32,tertiary
ROAD_0396,Christine Court Highway,19.66,motorway
ROAD_0397,William Squares Highway,9.51,trunk
ROAD_0398,Jessica Mill Highway,1.78,trunk
ROAD_0399,Rosales Rapids Highway,48.62,motorway
ROAD_0400,Elizabeth Road Highway,41.97,secondary
ROAD_0401,Sandra Estate Highway,15.16,trunk
ROAD_0402,Butler Light Highway,21.48,primary
ROAD_0403,Mccormick Village Highway,33.65,motorway
ROAD_0404,Nathaniel Green Highway,4.21,tertiary
ROAD_0405,Tyler Ridge Highway,11.83,primary
ROAD_0406,Amy Wall Highway,44.45,unclassified
ROAD_0407,Patrick Street Highway,5.73,secondary
ROAD_0408,Emma Cliff Highway,26.94,trunk
ROAD_0409,Finley Viaduct Highway,5.17,secondary
ROAD_0410,Burns Coves Highway,32.02,motorway
ROAD_0411,Harris Grove Highway,19.38,unclassified
ROAD_0412,Wood Drive Highway,3.99,primary
ROAD_0413,Andrea Way Highway,64.38,motorway
ROAD_0414,Alfred Terrace Highway,9.64,primary
ROAD_0415,Davis Burg Highway,8.93,trunk
ROAD_0416,Kristin Forges Highway,24.55,unclassified
ROAD_0417,Townsend Brook Highway,63.35,secondary
ROAD_0418,Nicole Mission Highway,7.27,motorway
ROAD_0419,Kimberly Garden Highway,21.36,motorway
ROAD_0420,Mason Cove Highway,30.84,trunk
ROAD_0421,Hart Lane Highway,,
ROAD_0422,William Stream Highway,23.96,primary
ROAD_0423,Macdonald Harbors Highway,13.92,primary
ROAD_0424,Casey Ferry Highway,,
ROAD_0425,Conway Curve Highway,21.89,unclassified
ROAD_0426,Dawn Court Highway,6.87,primary
ROAD_0427,Sonya Lights Highway,1.08,unclassified
ROAD_0428,Wolf Courts Highway,31.08,unclassified
ROAD_0429,Diana Tunnel Highway,49.6,unclassified
ROAD_0430,Galvan Streets Highway,1.89,primary
ROAD_0431,Sanders Circle Highway,7.32,trunk
ROAD_0432,Michael Station Highway,37.31,trunk
ROAD_0433,Christopher Camp Highway,157.2,secondary
ROAD_0434,Miller Landing Highway,20.51,tertiary
ROAD_0435,Davis Vista Highway,9.7,unclassified
ROAD_0436,Kimberly Fields Highway,16.73,secondary
ROAD_0437,Richard Port Highway,79.43,unclassified
ROAD_0438,Megan Mountain Highway,10.53,trunk
ROAD_0439,Elizabeth Springs Highway,9.03,tertiary
ROAD_0440,Moore Keys Highway,12.39,motorway
ROAD_0441,Greene Turnpike Highway,7.74,tertiary
ROAD_0442,Newman Tunnel Highway,22.71,motorway
ROAD_0443,Denise Center Highway,,motorway
ROAD_0444,Miller Vista Highway,27.75,trunk
ROAD_0445,Daniel Stream Highway,15.61,tertiary
ROAD_0446,Harrison Rapids Highway,15.0,unclassified
ROAD_0447,Anthony Mountain Highway,4.21,tertiary
ROAD_0448,Dorothy Tunnel Highway,48.58,tertiary
ROAD_0449,Holly Branch Highway,18.58,motorway
ROAD_0450,Lewis Unions Highway,16.77,tertiary
ROAD_0451,Reed Knoll Highway,,
ROAD_0452,Andrea Valley Highway,27.08,secondary
ROAD_0453,Carter Trace Highway,9.47,motorway
ROAD_0454,Murray Garden Highway,,
ROAD_0455,Kelly Grove Highway,63.34,tertiary
ROAD_0456,Melissa Parkways Highway,22.49,motorway
ROAD_0457,Walker Haven Highway,,
ROAD_0458,Chavez Plains Highway,50.36,unclassified
ROAD_0459,Mary Freeway Highway,10.3,unclassified
ROAD_0460,Sabrina Lakes Highway,130.75,primary
ROAD_0461,Cassandra Junction Highway,59.15,secondary
ROAD_0462,Jeremy Trace Highway,12.84,secondary
ROAD_0463,Sarah Burgs Highway,72.31,unclassified
ROAD_0464,Hawkins Lodge Highway,21.5,tertiary
ROAD_0465,Chan Street Highway,47.12,primary
ROAD_0466,Christopher Villages Highway,32.61,tertiary
ROAD_0467,Elizabeth Loop Highway,8.62,trunk
ROAD_0468,Jennifer Village Highway,10.55,trunk
ROAD_0469,Daniel Freeway Highway,56.26,motorway
ROAD_0470,Jenkins Villages Highway,14.37,secondary
ROAD_0471,Tina Station Highway,13.41,tertiary
ROAD_0472,Johnson Mills Highway,7.73,secondary
ROAD_0473,Wong Cove Highway,30.68,trunk
ROAD_0474,Lisa Forks Highway,157.99,trunk
ROAD_0475,Holly Centers Highway,6.91,unclassified
ROAD_0476,Rogers Course Highway,20.58,motorway
ROAD_0477,Phillip Stravenue Highway,82.45,secondary
ROAD_0478,Figueroa Plaza Highway,18.55,motorway
ROAD_0479,Charlene Falls Highway,31.58,motorway
ROAD_0480,David Prairie Highway,6.94,motorway
ROAD_0481,Jeffrey Parks Highway,30.82,unclassified
ROAD_0482,Burnett Glen Highway,16.66,motorway
ROAD_0483,Bradley Glens Highway,53.82,motorway
ROAD_0484,Donna Fort Highway,65.85,trunk
ROAD_0485,Carl Station Highway,267.62,motorway
ROAD_0486,Barrett Way Highway,35.86,primary
ROAD_0487,Alvarez Summit Highway,27.82,unclassified
ROAD_0488,Harris Fords Highway,24.4,tertiary
ROAD_0489,Bailey Garden Highway,14.11,unclassified
ROAD_0490,Pamela Mountains Highway,28.18,trunk
ROAD_0491,Blankenship Stravenue Highway,14.95,trunk
ROAD_0492,Moore Roads Highway,23.77,tertiary
ROAD_0493,Jennifer Prairie Highway,75.01,primary
ROAD_0494,Mason Pike Highway,7.34,tertiary
ROAD_0495,Kim Trail Highway,62.8,unclassified
ROAD_0496,Lucas Burg Highway,74.97,unclassified
ROAD_0497,Christopher Mountain Highway,17.85,tertiary
ROAD_0498,Frank Rest Highway,2.41,primary
ROAD_0499,Alexandra Manors Highway,10.94,unclassified
