city_id,name,population,area,latitude,longitude
CITY_0034,Craigville,49254,1812.31,-40.67006,132.70434
CITY_0035,Castilloton,1220675,434.46,9.75204,99.574867
CITY_0036,South Nicoleview,58792,2056.2,27.25567,97.531864
CITY_0037,East Richard,107078,101.48,59.353525,124.121962
CITY_0038,North Brittanyland,468631,73.45,-52.844171,93.968637
CITY_0039,New Joebury,32855,381.63,-88.020751,45.439316
CITY_0040,Parkville,218752,592.33,-65.360587,-132.751844
CITY_0041,North Marilynberg,890274,390.45,72.003356,-168.290575
CITY_0042,Port Damonborough,20136,51.04,67.300214,151.505225
CITY_0043,Rodrigueztown,206906,369.03,17.534358,41.994113
CITY_0044,East Sonya,228170,109.46,18.093035,106.753425
CITY_0045,Travischester,449715,788.14,29.706601,-6.651953
CITY_0046,Vanessaville,32596,,,-137.769052
CITY_0047,South Laurastad,29243,157.61,74.59415,-134.933115
CITY_0048,New Johntown,320784,241.32,-14.621306,66.803503
CITY_0049,North Benjaminborough,239445,139.88,-21.035065,-25.089878
CITY_0050,West Scott,225401,378.92,3.405187,-107.811098
CITY_0051,Wilsonfurt,255348,1048.53,-81.546126,-3.025963
CITY_0052,Mckayton,67236,150.55,-60.068994,-156.884783
CITY_0053,Stevenfurt,220120,667.84,42.846051,29.509705
CITY_0054,Gonzalezville,238230,237.4,-75.09624,-83.162374
CITY_0055,Wardfurt,64301,182.57,18.56738,107.121276
CITY_0056,Thomasbury,1840424,362.48,-45.83716,-68.269695
CITY_0057,Lake Cesar,,143.27,-19.926789,
CITY_0058,Michaelshire,34589,231.91,-38.035127,-175.816606
CITY_0059,Teresatown,382131,121.77,-25.978911,-153.91912
CITY_0060,Acevedoville,45840,2877.64,39.428263,-38.70232
CITY_0061,Johnsonview,452801,417.91,-36.518091,-7.22202
CITY_0062,Port Davidfurt,733933,200.39,11.952835,36.007397
CITY_0063,Whitefort,56000,499.69,-4.310928,-75.001472
CITY_0064,South Maria,569428,360.56,29.46081,70.193479
CITY_0065,Dawnborough,,323.45,,129.644063
CITY_0066,Justinfurt,473865,745.58,41.862977,100.746356
CITY_0067,Port Jessicahaven,1916154,860.49,-51.310732,-165.737223
CITY_0068,Suzanneton,118301,237.34,-84.387036,-7.017499
CITY_0069,West Robertstad,61092,226.83,-42.792472,-142.225136
CITY_0070,East Anthonytown,51206,306.42,17.114028,-92.863794
CITY_0071,Baileyberg,56356,40.37,-80.743354,175.198534
CITY_0072,New Troymouth,147232,88.66,-0.654076,-128.701605
CITY_0073,Johnsonland,253595,1582.68,17.431713,-0.400265
CITY_0074,Stanleyport,233210,2090.1,-29.8361,42.536064
CITY_0075,South Christophertown,477031,314.49,48.764197,72.887389
CITY_0076,Harriston,165529,718.06,-70.812314,21.473526
CITY_0077,North William,1076896,550.73,-76.475199,-176.482495
CITY_0078,West Robertport,115375,8768.15,41.073976,-62.473929
CITY_0079,South Anita,5588491,1235.92,-0.811563,6.376192
CITY_0080,East Michelle,367091,354.99,33.912431,-148.36806
CITY_0081,East Ericabury,53406,155.16,-11.731079,-53.774305
CITY_0082,Wrightport,40450,80.93,-45.647634,-168.046881
CITY_0083,Carrilloborough,304739,494.46,57.438417,-151.711741
CITY_0084,Munozchester,121722,189.36,53.894858,-37.107621
CITY_0085,South Erikland,411761,97.29,35.045365,-132.222329
CITY_0086,Marshallside,301103,211.33,-41.013875,24.314705
CITY_0087,Lake Caitlinland,148052,136.79,16.24152,68.207389
CITY_0088,Robertport,54131,,-25.024699,108.211212
CITY_0089,North Maryville,22713,974.22,,-107.945912
CITY_0090,South Rose,91083,400.23,,-119.70627
CITY_0091,Zacharystad,495497,1772.14,-65.372646,-142.355577
CITY_0092,Daviston,214984,435.88,81.042724,49.11489
CITY_0093,New Kelly,32226,170.5,-9.718961,74.331262
CITY_0094,West Daniel,203849,1850.34,-56.676073,-168.628988
CITY_0095,Harrisborough,268582,691.53,7.542171,157.036409
CITY_0096,Martinhaven,51584,142.99,67.13025,-161.290338
CITY_0097,Wendyside,198757,333.51,41.80048,14.866681
CITY_0098,North Amanda,175548,168.07,55.181007,75.261787
CITY_0099,Port Janiceport,36832,101.21,28.581006,133.548885
CITY_0100,Jameschester,259139,,,77.071296
CITY_0101,Lake Melissamouth,337398,2722.8,62.855217,108.62211
CITY_0102,Jackshire,665282,99.63,-45.059758,-57.797931
CITY_0103,Williamschester,,708.37,-1.903507,113.337041
CITY_0104,Port Helenfurt,27147,210.47,-50.1823,-151.158655
CITY_0105,East Courtneytown,48089,247.86,87.780241,142.133996
CITY_0106,Josephfurt,317917,223.1,79.930681,17.133255
CITY_0107,New Kevin,317401,170.04,-82.903174,114.227197
CITY_0108,Lake Robinchester,317922,423.49,37.003531,-17.165418
CITY_0109,Nicholsmouth,24362385,175.75,76.544697,51.68797
CITY_0110,Warnerborough,341860,528.72,-57.496438,9.504958
CITY_0111,Codystad,712286,383.66,12.230141,83.372228
CITY_0112,South Christinashire,562531,317.68,74.787894,-150.613206
CITY_0113,Owensville,379575,162.79,-83.889724,-158.27325
CITY_0114,North Matthewstad,108028,226.61,35.535648,-91.042836
CITY_0115,Lake Olivia,436550,858.68,-36.477179,-122.563915
CITY_0116,Wilkersonstad,59595,665.75,76.391315,133.842084
CITY_0117,West Chelsea,,151.78,84.790484,-101.082965
CITY_0118,Lisaberg,86597,445.56,79.967968,171.311492
CITY_0119,North Sydney,181033,855.24,-4.641441,-58.717515
CITY_0120,West James,3298756,75.99,65.167677,-114.43755
CITY_0121,West Denise,14365,694.62,62.018892,104.291463
CITY_0122,West Jenniferfort,397177,207.97,-32.561915,57.134799
CITY_0123,North Bryanport,19999,713.8,59.204785,-0.649542
CITY_0124,Fordchester,,,-83.338626,19.930878
CITY_0125,South Elizabethbury,670403,66.36,17.328578,78.91264
CITY_0126,New Jennifer,176939,79.24,-48.598409,-97.756293
CITY_0127,Osborneland,40091,423.3,-68.297961,178.68021
CITY_0128,North Joseph,64222,523.07,-76.148424,170.925538
CITY_0129,Port Jill,393752,163.32,35.33198,54.117247
CITY_0130,Alexisport,62976,764.02,-28.822507,-108.164718
CITY_0131,Hillmouth,215646,76.59,40.458019,64.882167
CITY_0132,Kathrynville,172688,377.63,-78.235859,-154.008573
CITY_0133,Sharonbury,69767,120.18,-33.247739,-168.965099
CITY_0134,North Jordanland,2642212,210.22,7.108433,-87.23416
CITY_0135,Nicholasland,371050,423.01,52.33017,-13.455736
CITY_0136,Williamside,11699,170.65,-32.624549,132.578102
CITY_0137,Mullinsmouth,207397,274.64,22.660448,81.780865
CITY_0138,Stevenhaven,68849,1103.56,69.475995,87.374348
CITY_0139,Lake Benjamin,,,20.855374,-26.8224
CITY_0140,East Mark,58088,930.47,-48.067295,-55.463403
CITY_0141,West Carlosshire,,130.36,-85.607859,-46.426045
CITY_0142,West Samuelfurt,313791,685.26,66.617797,175.553843
CITY_0143,Harveyborough,501561,1705.42,-86.171506,-165.560691
CITY_0144,North Stacymouth,34187,34.07,67.446301,132.131339
CITY_0145,Port Kent,105361,181.84,5.208684,28.323147
CITY_0146,North Mark,87778,718.43,79.032186,-22.098449
CITY_0147,Nicholasborough,69610,329.3,53.780982,81.092758
CITY_0148,North Amyland,1615395,584.73,89.62814,-4.799181
CITY_0149,Morganton,275536,220.53,-26.871873,134.432366
CITY_0150,Feliciamouth,31598,439.92,48.093892,144.252671
CITY_0151,Marcview,536713,345.27,-17.652436,-28.180466
CITY_0152,Lake Kevinfort,2568424,1296.96,-3.622388,-80.341993
CITY_0153,Port Nicoleport,622939,520.31,22.950983,33.246118
CITY_0154,Lake Johnchester,22579,565.44,67.261881,148.450804
CITY_0155,North James,86724,267.23,87.135024,-104.161612
CITY_0156,Wendyport,844909,247.74,48.289214,44.26797
CITY_0157,East Dennis,64862,261.76,-14.801979,47.361679
CITY_0158,North Michael,289805,598.52,-14.15574,83.920688
CITY_0159,South Tracieville,445531,264.81,42.764814,-132.635633
CITY_0160,Howardborough,48775,539.03,-47.020114,77.696987
CITY_0161,New Danielborough,150635,3214.42,-70.11466,147.251707
CITY_0162,North Susan,,964.03,-26.168012,
CITY_0163,Allenchester,42971,291.19,-38.296982,-94.484403
CITY_0164,Port Robertoborough,117202,1341.06,-36.664538,169.702234
CITY_0165,Lake Brookehaven,32140,268.25,-47.950605,-114.848297
CITY_0166,Gibsonland,1358830,52.56,-82.423226,127.578634
CITY_0167,Brandonstad,25357,147.22,,-2.779972
CITY_0168,New Alanside,91852,62.13,87.79003,-90.996813
CITY_0169,South Keith,192906,283.86,-13.000836,133.469964
CITY_0170,Wolfefurt,1059868,410.93,-20.821204,-19.690108
CITY_0171,South Olivia,25169,2156.92,32.336511,5.334247
CITY_0172,Catherineburgh,738305,559.44,-50.7143,-50.675987
CITY_0173,Hannahstad,164934,324.05,80.993013,33.462307
CITY_0174,Sellersfurt,45435,924.64,51.542103,-121.131406
CITY_0175,Breannachester,296776,44.21,-73.90602,-39.210647
CITY_0176,East Angela,210823,510.61,-14.83546,168.988436
CITY_0177,Christopherstad,74586,872.07,68.241295,-87.071964
CITY_0178,New Michaelhaven,178214,91.97,80.051764,56.425199
CITY_0179,South Davidside,98626,1266.17,-5.867728,-62.931577
CITY_0180,Christopherville,188635,565.94,20.41405,98.450325
CITY_0181,Port Todd,384911,266.32,-59.93389,-132.885482
CITY_0182,Villarrealhaven,1279297,759.59,88.410353,169.135576
CITY_0183,Hendersonmouth,32560,3907.66,-48.299094,-16.635765
CITY_0184,Justinmouth,2605000,483.89,79.691719,-95.021833
CITY_0185,Patrickfort,12865,517.09,26.936397,-153.541171
CITY_0186,Paulafort,133609,254.84,19.392623,-118.887154
CITY_0187,Benjamintown,349693,172.46,2.283932,7.118621
CITY_0188,Port Aprilfurt,234518,925.5,-48.479434,-58.678856
CITY_0189,Joshuaside,72438,171.39,-58.224954,118.398012
CITY_0190,Port Steven,124174,433.36,-50.312482,-24.880491
CITY_0191,East Michaelshire,85742,250.22,-56.441113,-90.462862
CITY_0192,West Ruben,,651.31,,42.172195
CITY_0193,Aarontown,491139,563.22,,74.439798
CITY_0194,Kristinbury,258880,1138.58,-79.588318,-119.864913
CITY_0195,North Blakestad,66119,242.25,84.438473,-119.657082
CITY_0196,New Kimberlybury,524122,308.01,69.081459,-166.798286
CITY_0197,New James,242677,151.6,76.995411,85.104725
CITY_0198,Bairdhaven,468232,258.71,89.083408,58.96963
CITY_0199,Walterton,368987,588.34,-58.698855,-9.132885
CITY_0200,Fullerside,55398,860.05,-18.676437,123.901362
CITY_0201,Hernandezstad,78571,160.43,46.482926,110.041255
CITY_0202,Port Jessica,429974,,35.283711,
CITY_0203,New Gregory,359863,1564.99,-62.298737,132.577661
CITY_0204,Kingmouth,158391,609.99,56.849962,-105.897164
CITY_0205,New Natalie,189572,2635.41,-49.600697,-139.708937
CITY_0206,Jaredfort,856803,186.09,-49.712829,-82.89014
CITY_0207,Gainesbury,75429,116.2,6.655396,-159.448732
CITY_0208,South Kristenstad,331448,68.12,16.729188,11.22103
CITY_0209,Port Holly,125135,1800.9,14.415517,157.178049
CITY_0210,Lake Claytonside,122640,776.17,-73.532369,-165.836325
CITY_0211,Richardsonbury,679022,381.62,67.942955,-136.040431
CITY_0212,South Kristen,475937,533.77,-42.191992,-17.20835
CITY_0213,Lake Jennifer,468627,130.91,-66.687314,156.195006
CITY_0214,North Melissa,888351,4655.26,69.974654,-66.183802
CITY_0215,Lake Tammyton,167260,459.08,82.01727,2.604531
CITY_0216,North Cassandra,394959,450.07,65.182971,-165.033771
CITY_0217,Lake Lucasberg,108733,833.61,55.712893,-126.596448
CITY_0218,East Tommyberg,248057,652.63,27.943557,175.186844
CITY_0219,Gregorystad,137422,504.66,9.154327,167.442731
CITY_0220,Lisatown,184627,183.01,-74.342383,-178.221607
CITY_0221,Claytonshire,352816,646.43,-16.478422,162.652243
CITY_0222,Patrickfort,56179,2649.23,,
CITY_0223,West Michael,2470925,1549.09,-43.244319,132.450586
CITY_0224,New Benjamin,44010,1984.63,40.21562,-16.293652
CITY_0225,Alexisstad,33575,241.96,-0.742368,5.61457
CITY_0226,Jeremyfurt,733471,149.96,-75.411681,-4.015231
CITY_0227,South Laura,455504,355.74,-50.367024,60.071133
CITY_0228,Alexandermouth,366354,426.55,32.986577,-129.725548
CITY_0229,East Ruthberg,368372,1204.95,-76.296445,-169.209508
CITY_0230,Port Nicolehaven,160184,74.26,63.217245,-69.145221
CITY_0231,Richardstad,50694,1862.27,-0.873625,73.685075
CITY_0232,Andreside,179610,344.46,-3.494416,-107.332757
CITY_0233,North Sergioside,67486,263.25,16.633401,62.435676
CITY_0234,New Jamie,578188,146.63,58.442574,169.168337
CITY_0235,North Dana,134433,77.1,-27.394343,-146.195742
CITY_0236,North Brittanyfort,55650,918.89,32.042907,
CITY_0237,North Drew,107172,434.12,11.831754,-20.249921
CITY_0238,Port Marissatown,278399,111.06,-41.934911,132.531212
CITY_0239,North Mary,78210,110.49,68.153398,-116.226076
CITY_0240,Tanyafort,55888,288.36,53.536684,69.345343
CITY_0241,Wolfville,223416,2140.99,28.52133,121.721504
CITY_0242,Wesleyport,223788,311.19,63.104711,160.061119
CITY_0243,East Amanda,84201,89.73,66.112956,65.96929
CITY_0244,Josephmouth,88225,315.53,37.505336,-1.017085
CITY_0245,Morrowview,220062,307.13,60.662399,42.425006
CITY_0246,Melindaland,24772,27.2,35.544863,132.805794
CITY_0247,Mitchellton,26115,382.11,32.425339,25.419509
CITY_0248,Howellland,63960,320.24,21.350048,-169.060659
CITY_0249,Sarahburgh,123317,809.33,45.488995,155.14153
CITY_0250,Taraton,243818,2563.06,-61.451081,68.22963
CITY_0251,Jomouth,1107884,1244.59,68.556737,63.544819
CITY_0252,Port Elizabeth,496310,308.31,66.931835,-102.356945
CITY_0253,New Keithfort,132201,133.42,-84.735489,57.198769
CITY_0254,Coxside,158780,5288.87,58.647015,-38.208814
CITY_0255,North Andrew,44210,428.04,-66.803424,54.443872
CITY_0256,New Sarah,158884,409.09,-29.678606,-141.626509
CITY_0257,Erikamouth,111830,393.81,43.831486,56.82431
CITY_0258,Port Maryhaven,247591,491.81,-61.063219,179.788941
CITY_0259,North Andrew,55525,349.2,57.234064,-162.643666
CITY_0260,Andersonview,319703,227.32,59.784152,171.782706
CITY_0261,North Judymouth,1193690,233.49,,-33.513134
CITY_0262,Lake Brittanymouth,141295,390.43,-88.850543,133.471242
CITY_0263,Paulfort,274367,234.29,-38.333136,101.658774
CITY_0264,North Linda,399187,197.78,21.046845,24.125854
CITY_0265,Allenberg,96607,448.73,86.613512,85.841715
CITY_0266,Ashleyshire,217797,312.63,23.726435,136.265602
CITY_0267,Rhodesport,165441,1815.28,-43.235355,-34.509484
CITY_0268,Andrewberg,184790,28.48,24.121027,-62.268062
CITY_0269,Port Morgan,59580,1201.72,7.197368,60.333619
CITY_0270,West Daniel,168024,1402.6,50.372171,110.824539
CITY_0271,New Kathleentown,310953,50.73,-70.743485,94.422649
CITY_0272,East Jenniferton,1073555,286.38,46.985022,107.212914
CITY_0273,Cindyshire,566397,278.26,7.427984,-23.190007
CITY_0274,Port Stephen,2674136,98.74,83.338561,114.420318
CITY_0275,Zimmermanview,60020,185.34,-28.46301,-136.72474
CITY_0276,Hutchinsonfurt,505860,132.88,23.871941,16.016075
CITY_0277,Jenniferfurt,206559,2326.85,77.765059,-177.926882
CITY_0278,Port Jenniferton,2804522,1028.32,-71.548249,-63.149101
CITY_0279,Jamesstad,56909,1438.79,78.701128,-48.073847
CITY_0280,Christianville,54631,830.2,33.81943,-37.377831
CITY_0281,Kathrynport,74666,130.44,-77.789329,70.368194
CITY_0282,Port Kevintown,10290,238.76,-35.826558,-40.119084
CITY_0283,Laramouth,82167,658.11,37.470976,-18.470296
CITY_0284,West Eric,60665,118.85,-77.876892,-94.484113
CITY_0285,Edwardshaven,197898,823.03,14.790683,-45.629355
CITY_0286,Johnsonport,253795,317.25,-27.74105,-98.182934
CITY_0287,Gallowayshire,1865467,277.32,21.764793,-153.649467
CITY_0288,Valentinetown,559921,821.36,-81.766434,37.241494
CITY_0289,West Tracyview,76881,629.08,66.876625,60.556607
CITY_0290,Matthewstad,50617,281.19,85.228014,43.016525
CITY_0291,East Terri,308505,1286.05,84.398014,-13.142144
CITY_0292,Port Emilychester,29251,136.86,44.93733,-43.277119
CITY_0293,South Robert,1760126,746.9,-66.584477,130.800114
CITY_0294,Liville,754093,730.04,46.487375,6.869443
CITY_0295,North Brian,88439,296.03,-85.574355,-7.494524
CITY_0296,Zacharyburgh,17552,558.99,-86.017761,-170.768856
CITY_0297,South Jeremy,946034,115.46,,-57.150782
CITY_0298,Hansenfurt,140238,1016.4,-2.044226,-43.129577
CITY_0299,Robertchester,813548,335.32,48.673335,-36.423799
