DISTRICT,PROVINCE
DISTRICT_0100,PROVINCE_0126
DISTRICT_0101,PROVINCE_0086
DISTRICT_0102,PROVINCE_0119
DISTRICT_0103,PROVINCE_0033
DISTRICT_0104,PROVINCE_0022
DISTRICT_0105,PROVINCE_0081
DISTRICT_0106,PROVINCE_0135
DISTRICT_0107,PROVINCE_0110
DISTRICT_0108,PROVINCE_0036
DISTRICT_0109,PROVINCE_0066
DISTRICT_0110,PROVINCE_0029
DISTRICT_0111,PROVINCE_0080
DISTRICT_0112,PROVINCE_0011
DISTRICT_0113,PROVINCE_0032
DISTRICT_0114,PROVINCE_0127
DISTRICT_0115,PROVINCE_0071
DISTRICT_0116,PROVINCE_0092
DISTRICT_0117,PROVINCE_0110
DISTRICT_0118,PROVINCE_0072
DISTRICT_0119,PROVINCE_0067
DISTRICT_0120,PROVINCE_0067
DISTRICT_0121,PROVINCE_0132
DISTRICT_0122,PROVINCE_0080
DISTRICT_0123,PROVINCE_0111
DISTRICT_0124,PROVINCE_0042
DISTRICT_0125,PROVINCE_0080
DISTRICT_0126,PROVINCE_0125
DISTRICT_0127,PROVINCE_0038
DISTRICT_0128,PROVINCE_0142
DISTRICT_0129,PROVINCE_0112
DISTRICT_0130,PROVINCE_0013
DISTRICT_0131,PROVINCE_0048
DISTRICT_0132,PROVINCE_0038
DISTRICT_0133,PROVINCE_0013
DISTRICT_0134,PROVINCE_0058
DISTRICT_0135,PROVINCE_0046
DISTRICT_0136,PROVINCE_0009
DISTRICT_0137,PROVINCE_0120
DISTRICT_0138,PROVINCE_0066
DISTRICT_0139,PROVINCE_0041
DISTRICT_0140,PROVINCE_0119
DISTRICT_0141,PROVINCE_0111
DISTRICT_0142,PROVINCE_0029
DISTRICT_0143,PROVINCE_0126
DISTRICT_0144,PROVINCE_0010
DISTRICT_0145,PROVINCE_0113
DISTRICT_0146,PROVINCE_0091
DISTRICT_0147,PROVINCE_0143
DISTRICT_0148,PROVINCE_0124
DISTRICT_0149,PROVINCE_0117
DISTRICT_0150,PROVINCE_0126
DISTRICT_0151,PROVINCE_0028
DISTRICT_0152,PROVINCE_0037
DISTRICT_0153,PROVINCE_0031
DISTRICT_0154,PROVINCE_0089
DISTRICT_0155,PROVINCE_0023
DISTRICT_0156,PROVINCE_0052
DISTRICT_0157,PROVINCE_0072
DISTRICT_0158,PROVINCE_0046
DISTRICT_0159,PROVINCE_0043
DISTRICT_0160,PROVINCE_0130
DISTRICT_0161,PROVINCE_0069
DISTRICT_0162,PROVINCE_0144
DISTRICT_0163,PROVINCE_0149
DISTRICT_0164,PROVINCE_0054
DISTRICT_0165,PROVINCE_0149
DISTRICT_0166,PROVINCE_0001
DISTRICT_0167,PROVINCE_0134
DISTRICT_0168,PROVINCE_0146
DISTRICT_0169,PROVINCE_0046
DISTRICT_0170,PROVINCE_0106
DISTRICT_0171,PROVINCE_0019
DISTRICT_0172,PROVINCE_0063
DISTRICT_0173,PROVINCE_0127
DISTRICT_0174,PROVINCE_0024
DISTRICT_0175,PROVINCE_0084
DISTRICT_0176,PROVINCE_0006
DISTRICT_0177,PROVINCE_0072
DISTRICT_0178,PROVINCE_0031
DISTRICT_0179,PROVINCE_0100
DISTRICT_0180,PROVINCE_0095
DISTRICT_0181,PROVINCE_0027
DISTRICT_0182,PROVINCE_0082
DISTRICT_0183,PROVINCE_0039
DISTRICT_0184,PROVINCE_0007
DISTRICT_0185,PROVINCE_0020
DISTRICT_0186,PROVINCE_0117
DISTRICT_0187,PROVINCE_0122
DISTRICT_0188,PROVINCE_0116
DISTRICT_0189,PROVINCE_0068
DISTRICT_0190,PROVINCE_0001
DISTRICT_0191,PROVINCE_0084
DISTRICT_0192,PROVINCE_0011
DISTRICT_0193,PROVINCE_0115
DISTRICT_0194,PROVINCE_0083
DISTRICT_0195,PROVINCE_0145
DISTRICT_0196,PROVINCE_0033
DISTRICT_0197,PROVINCE_0054
DISTRICT_0198,PROVINCE_0012
DISTRICT_0199,PROVINCE_0072
DISTRICT_0200,PROVINCE_0082
DISTRICT_0201,PROVINCE_0014
DISTRICT_0202,PROVINCE_0018
DISTRICT_0203,PROVINCE_0140
DISTRICT_0204,PROVINCE_0097
DISTRICT_0205,PROVINCE_0023
DISTRICT_0206,PROVINCE_0102
DISTRICT_0207,PROVINCE_0065
DISTRICT_0208,PROVINCE_0045
DISTRICT_0209,PROVINCE_0061
DISTRICT_0210,PROVINCE_0102
DISTRICT_0211,PROVINCE_0022
DISTRICT_0212,PROVINCE_0005
DISTRICT_0213,PROVINCE_0053
DISTRICT_0214,PROVINCE_0041
DISTRICT_0215,PROVINCE_0099
DISTRICT_0216,PROVINCE_0103
DISTRICT_0217,PROVINCE_0072
DISTRICT_0218,PROVINCE_0039
DISTRICT_0219,PROVINCE_0030
DISTRICT_0220,PROVINCE_0076
DISTRICT_0221,PROVINCE_0125
DISTRICT_0222,PROVINCE_0110
DISTRICT_0223,PROVINCE_0079
DISTRICT_0224,PROVINCE_0033
DISTRICT_0225,PROVINCE_0091
DISTRICT_0226,PROVINCE_0024
DISTRICT_0227,PROVINCE_0094
DISTRICT_0228,PROVINCE_0131
DISTRICT_0229,PROVINCE_0051
DISTRICT_0230,PROVINCE_0125
DISTRICT_0231,PROVINCE_0114
DISTRICT_0232,PROVINCE_0099
DISTRICT_0233,PROVINCE_0121
DISTRICT_0234,PROVINCE_0068
DISTRICT_0235,PROVINCE_0144
DISTRICT_0236,PROVINCE_0108
DISTRICT_0237,PROVINCE_0023
DISTRICT_0238,PROVINCE_0108
DISTRICT_0239,PROVINCE_0094
DISTRICT_0240,PROVINCE_0047
DISTRICT_0241,PROVINCE_0111
DISTRICT_0242,PROVINCE_0109
DISTRICT_0243,PROVINCE_0023
DISTRICT_0244,PROVINCE_0010
DISTRICT_0245,PROVINCE_0131
DISTRICT_0246,PROVINCE_0087
DISTRICT_0247,PROVINCE_0118
DISTRICT_0248,PROVINCE_0057
DISTRICT_0249,PROVINCE_0039
DISTRICT_0250,PROVINCE_0126
DISTRICT_0251,PROVINCE_0134
DISTRICT_0252,PROVINCE_0134
DISTRICT_0253,PROVINCE_0021
DISTRICT_0254,PROVINCE_0074
DISTRICT_0255,PROVINCE_0119
DISTRICT_0256,PROVINCE_0111
DISTRICT_0257,PROVINCE_0020
DISTRICT_0258,PROVINCE_0122
DISTRICT_0259,PROVINCE_0076
DISTRICT_0260,PROVINCE_0038
DISTRICT_0261,PROVINCE_0032
DISTRICT_0262,PROVINCE_0076
DISTRICT_0263,PROVINCE_0063
DISTRICT_0264,PROVINCE_0133
DISTRICT_0265,PROVINCE_0109
DISTRICT_0266,PROVINCE_0075
DISTRICT_0267,PROVINCE_0145
DISTRICT_0268,PROVINCE_0012
DISTRICT_0269,PROVINCE_0141
DISTRICT_0270,PROVINCE_0019
DISTRICT_0271,PROVINCE_0011
DISTRICT_0272,PROVINCE_0131
DISTRICT_0273,PROVINCE_0027
DISTRICT_0274,PROVINCE_0130
DISTRICT_0275,PROVINCE_0108
DISTRICT_0276,PROVINCE_0105
DISTRICT_0277,PROVINCE_0024
DISTRICT_0278,PROVINCE_0118
DISTRICT_0279,PROVINCE_0145
DISTRICT_0280,PROVINCE_0064
DISTRICT_0281,PROVINCE_0090
DISTRICT_0282,PROVINCE_0065
DISTRICT_0283,PROVINCE_0149
DISTRICT_0284,PROVINCE_0020
DISTRICT_0285,PROVINCE_0128
DISTRICT_0286,PROVINCE_0004
DISTRICT_0287,PROVINCE_0029
DISTRICT_0288,PROVINCE_0118
DISTRICT_0289,PROVINCE_0045
DISTRICT_0290,PROVINCE_0046
DISTRICT_0291,PROVINCE_0100
DISTRICT_0292,PROVINCE_0011
DISTRICT_0293,PROVINCE_0021
DISTRICT_0294,PROVINCE_0106
DISTRICT_0295,PROVINCE_0076
DISTRICT_0296,PROVINCE_0080
DISTRICT_0297,PROVINCE_0116
DISTRICT_0298,PROVINCE_0115
DISTRICT_0299,PROVINCE_0067
DISTRICT_0300,PROVINCE_0087
DISTRICT_0301,PROVINCE_0047
DISTRICT_0302,PROVINCE_0054
DISTRICT_0303,PROVINCE_0047
DISTRICT_0304,PROVINCE_0020
DISTRICT_0305,PROVINCE_0066
DISTRICT_0306,PROVINCE_0027
DISTRICT_0307,PROVINCE_0111
DISTRICT_0308,PROVINCE_0136
DISTRICT_0309,PROVINCE_0004
DISTRICT_0310,PROVINCE_0001
DISTRICT_0311,PROVINCE_0101
DISTRICT_0312,PROVINCE_0029
DISTRICT_0313,PROVINCE_0003
DISTRICT_0314,PROVINCE_0043
DISTRICT_0315,PROVINCE_0122
DISTRICT_0316,PROVINCE_0117
DISTRICT_0317,PROVINCE_0103
DISTRICT_0318,PROVINCE_0124
DISTRICT_0319,PROVINCE_0077
DISTRICT_0320,PROVINCE_0092
DISTRICT_0321,PROVINCE_0101
DISTRICT_0322,PROVINCE_0077
DISTRICT_0323,PROVINCE_0022
DISTRICT_0324,PROVINCE_0032
DISTRICT_0325,PROVINCE_0034
DISTRICT_0326,PROVINCE_0003
DISTRICT_0327,PROVINCE_0048
DISTRICT_0328,PROVINCE_0028
DISTRICT_0329,PROVINCE_0004
DISTRICT_0330,PROVINCE_0048
DISTRICT_0331,PROVINCE_0006
DISTRICT_0332,PROVINCE_0053
DISTRICT_0333,PROVINCE_0123
DISTRICT_0334,PROVINCE_0037
DISTRICT_0335,PROVINCE_0061
DISTRICT_0336,PROVINCE_0111
DISTRICT_0337,PROVINCE_0137
DISTRICT_0338,PROVINCE_0048
DISTRICT_0339,PROVINCE_0022
DISTRICT_0340,PROVINCE_0077
DISTRICT_0341,PROVINCE_0118
DISTRICT_0342,PROVINCE_0037
DISTRICT_0343,PROVINCE_0121
DISTRICT_0344,PROVINCE_0108
DISTRICT_0345,PROVINCE_0005
DISTRICT_0346,PROVINCE_0029
DISTRICT_0347,PROVINCE_0042
DISTRICT_0348,PROVINCE_0039
DISTRICT_0349,PROVINCE_0113
DISTRICT_0350,PROVINCE_0124
DISTRICT_0351,PROVINCE_0120
DISTRICT_0352,PROVINCE_0005
DISTRICT_0353,PROVINCE_0115
DISTRICT_0354,PROVINCE_0149
DISTRICT_0355,PROVINCE_0062
DISTRICT_0356,PROVINCE_0051
DISTRICT_0357,PROVINCE_0075
DISTRICT_0358,PROVINCE_0145
DISTRICT_0359,PROVINCE_0100
DISTRICT_0360,PROVINCE_0013
DISTRICT_0361,PROVINCE_0085
DISTRICT_0362,PROVINCE_0002
DISTRICT_0363,PROVINCE_0026
DISTRICT_0364,PROVINCE_0110
DISTRICT_0365,PROVINCE_0106
DISTRICT_0366,PROVINCE_0126
DISTRICT_0367,PROVINCE_0148
DISTRICT_0368,PROVINCE_0141
DISTRICT_0369,PROVINCE_0074
DISTRICT_0370,PROVINCE_0009
DISTRICT_0371,PROVINCE_0124
DISTRICT_0372,PROVINCE_0102
DISTRICT_0373,PROVINCE_0124
DISTRICT_0374,PROVINCE_0131
DISTRICT_0375,PROVINCE_0124
DISTRICT_0376,PROVINCE_0059
DISTRICT_0377,PROVINCE_0015
DISTRICT_0378,PROVINCE_0135
DISTRICT_0379,PROVINCE_0004
DISTRICT_0380,PROVINCE_0108
DISTRICT_0381,PROVINCE_0147
DISTRICT_0382,PROVINCE_0080
DISTRICT_0383,PROVINCE_0141
DISTRICT_0384,PROVINCE_0016
DISTRICT_0385,PROVINCE_0068
DISTRICT_0386,PROVINCE_0106
DISTRICT_0387,PROVINCE_0121
DISTRICT_0388,PROVINCE_0029
DISTRICT_0389,PROVINCE_0126
DISTRICT_0390,PROVINCE_0088
DISTRICT_0391,PROVINCE_0114
DISTRICT_0392,PROVINCE_0111
DISTRICT_0393,PROVINCE_0005
DISTRICT_0394,PROVINCE_0041
DISTRICT_0395,PROVINCE_0073
DISTRICT_0396,PROVINCE_0049
DISTRICT_0397,PROVINCE_0120
DISTRICT_0398,PROVINCE_0088
DISTRICT_0399,PROVINCE_0112
DISTRICT_0400,PROVINCE_0059
DISTRICT_0401,PROVINCE_0129
DISTRICT_0402,PROVINCE_0056
DISTRICT_0403,PROVINCE_0086
DISTRICT_0404,PROVINCE_0119
DISTRICT_0405,PROVINCE_0033
DISTRICT_0406,PROVINCE_0075
DISTRICT_0407,PROVINCE_0099
DISTRICT_0408,PROVINCE_0106
DISTRICT_0409,PROVINCE_0092
DISTRICT_0410,PROVINCE_0120
DISTRICT_0411,PROVINCE_0041
DISTRICT_0412,PROVINCE_0053
DISTRICT_0413,PROVINCE_0072
DISTRICT_0414,PROVINCE_0022
DISTRICT_0415,PROVINCE_0123
DISTRICT_0416,PROVINCE_0033
DISTRICT_0417,PROVINCE_0044
DISTRICT_0418,PROVINCE_0051
DISTRICT_0419,PROVINCE_0040
DISTRICT_0420,PROVINCE_0125
DISTRICT_0421,PROVINCE_0025
DISTRICT_0422,PROVINCE_0106
DISTRICT_0423,PROVINCE_0126
DISTRICT_0424,PROVINCE_0077
DISTRICT_0425,PROVINCE_0060
DISTRICT_0426,PROVINCE_0053
DISTRICT_0427,PROVINCE_0142
DISTRICT_0428,PROVINCE_0012
DISTRICT_0429,PROVINCE_0004
DISTRICT_0430,PROVINCE_0091
DISTRICT_0431,PROVINCE_0066
DISTRICT_0432,PROVINCE_0091
DISTRICT_0433,PROVINCE_0040
DISTRICT_0434,PROVINCE_0044
DISTRICT_0435,PROVINCE_0128
DISTRICT_0436,PROVINCE_0008
DISTRICT_0437,PROVINCE_0016
DISTRICT_0438,PROVINCE_0086
DISTRICT_0439,PROVINCE_0110
DISTRICT_0440,PROVINCE_0029
DISTRICT_0441,PROVINCE_0058
DISTRICT_0442,PROVINCE_0030
DISTRICT_0443,PROVINCE_0143
DISTRICT_0444,PROVINCE_0057
DISTRICT_0445,PROVINCE_0124
DISTRICT_0446,PROVINCE_0066
DISTRICT_0447,PROVINCE_0087
DISTRICT_0448,PROVINCE_0090
DISTRICT_0449,PROVINCE_0011
DISTRICT_0450,PROVINCE_0142
DISTRICT_0451,PROVINCE_0068
DISTRICT_0452,PROVINCE_0038
DISTRICT_0453,PROVINCE_0131
DISTRICT_0454,PROVINCE_0026
DISTRICT_0455,PROVINCE_0012
DISTRICT_0456,PROVINCE_0112
DISTRICT_0457,PROVINCE_0117
DISTRICT_0458,PROVINCE_0028
DISTRICT_0459,PROVINCE_0027
DISTRICT_0460,PROVINCE_0026
DISTRICT_0461,PROVINCE_0143
DISTRICT_0462,PROVINCE_0010
DISTRICT_0463,PROVINCE_0129
DISTRICT_0464,PROVINCE_0026
DISTRICT_0465,PROVINCE_0042
DISTRICT_0466,PROVINCE_0030
DISTRICT_0467,PROVINCE_0052
DISTRICT_0468,PROVINCE_0092
DISTRICT_0469,PROVINCE_0040
DISTRICT_0470,PROVINCE_0074
DISTRICT_0471,PROVINCE_0113
DISTRICT_0472,PROVINCE_0129
DISTRICT_0473,PROVINCE_0127
DISTRICT_0474,PROVINCE_0025
DISTRICT_0475,PROVINCE_0039
DISTRICT_0476,PROVINCE_0093
DISTRICT_0477,PROVINCE_0085
DISTRICT_0478,PROVINCE_0035
DISTRICT_0479,PROVINCE_0031
DISTRICT_0480,PROVINCE_0051
DISTRICT_0481,PROVINCE_0112
DISTRICT_0482,PROVINCE_0106
DISTRICT_0483,PROVINCE_0001
DISTRICT_0484,PROVINCE_0062
DISTRICT_0485,PROVINCE_0121
DISTRICT_0486,PROVINCE_0087
DISTRICT_0487,PROVINCE_0073
DISTRICT_0488,PROVINCE_0129
DISTRICT_0489,PROVINCE_0043
DISTRICT_0490,PROVINCE_0021
DISTRICT_0491,PROVINCE_0068
DISTRICT_0492,PROVINCE_0095
DISTRICT_0493,PROVINCE_0106
DISTRICT_0494,PROVINCE_0092
DISTRICT_0495,PROVINCE_0062
DISTRICT_0496,PROVINCE_0038
DISTRICT_0497,PROVINCE_0135
DISTRICT_0498,PROVINCE_0107
DISTRICT_0499,PROVINCE_0058
DISTRICT_0500,PROVINCE_0035
DISTRICT_0501,PROVINCE_0109
DISTRICT_0502,PROVINCE_0105
DISTRICT_0503,PROVINCE_0104
DISTRICT_0504,PROVINCE_0117
DISTRICT_0505,PROVINCE_0132
DISTRICT_0506,PROVINCE_0092
DISTRICT_0507,PROVINCE_0007
DISTRICT_0508,PROVINCE_0113
DISTRICT_0509,PROVINCE_0037
DISTRICT_0510,PROVINCE_0002
DISTRICT_0511,PROVINCE_0132
DISTRICT_0512,PROVINCE_0017
DISTRICT_0513,PROVINCE_0021
DISTRICT_0514,PROVINCE_0086
DISTRICT_0515,PROVINCE_0080
DISTRICT_0516,PROVINCE_0102
DISTRICT_0517,PROVINCE_0042
DISTRICT_0518,PROVINCE_0111
DISTRICT_0519,PROVINCE_0015
DISTRICT_0520,PROVINCE_0100
DISTRICT_0521,PROVINCE_0009
DISTRICT_0522,PROVINCE_0038
DISTRICT_0523,PROVINCE_0147
DISTRICT_0524,PROVINCE_0014
DISTRICT_0525,PROVINCE_0133
DISTRICT_0526,PROVINCE_0075
DISTRICT_0527,PROVINCE_0107
DISTRICT_0528,PROVINCE_0102
DISTRICT_0529,PROVINCE_0141
DISTRICT_0530,PROVINCE_0077
DISTRICT_0531,PROVINCE_0080
DISTRICT_0532,PROVINCE_0088
DISTRICT_0533,PROVINCE_0002
DISTRICT_0534,PROVINCE_0071
DISTRICT_0535,PROVINCE_0135
DISTRICT_0536,PROVINCE_0037
DISTRICT_0537,PROVINCE_0103
DISTRICT_0538,PROVINCE_0114
DISTRICT_0539,PROVINCE_0052
DISTRICT_0540,PROVINCE_0139
DISTRICT_0541,PROVINCE_0113
DISTRICT_0542,PROVINCE_0088
DISTRICT_0543,PROVINCE_0103
DISTRICT_0544,PROVINCE_0050
DISTRICT_0545,PROVINCE_0077
DISTRICT_0546,PROVINCE_0021
DISTRICT_0547,PROVINCE_0009
DISTRICT_0548,PROVINCE_0137
DISTRICT_0549,PROVINCE_0085
DISTRICT_0550,PROVINCE_0099
DISTRICT_0551,PROVINCE_0032
DISTRICT_0552,PROVINCE_0133
DISTRICT_0553,PROVINCE_0138
DISTRICT_0554,PROVINCE_0072
DISTRICT_0555,PROVINCE_0054
DISTRICT_0556,PROVINCE_0023
DISTRICT_0557,PROVINCE_0130
DISTRICT_0558,PROVINCE_0141
DISTRICT_0559,PROVINCE_0079
DISTRICT_0560,PROVINCE_0133
DISTRICT_0561,PROVINCE_0087
DISTRICT_0562,PROVINCE_0040
DISTRICT_0563,PROVINCE_0005
DISTRICT_0564,PROVINCE_0007
DISTRICT_0565,PROVINCE_0138
DISTRICT_0566,PROVINCE_0066
DISTRICT_0567,PROVINCE_0061
DISTRICT_0568,PROVINCE_0077
DISTRICT_0569,PROVINCE_0108
DISTRICT_0570,PROVINCE_0129
DISTRICT_0571,PROVINCE_0028
DISTRICT_0572,PROVINCE_0015
DISTRICT_0573,PROVINCE_0095
DISTRICT_0574,PROVINCE_0066
DISTRICT_0575,PROVINCE_0129
DISTRICT_0576,PROVINCE_0090
DISTRICT_0577,PROVINCE_0031
DISTRICT_0578,PROVINCE_0012
DISTRICT_0579,PROVINCE_0031
DISTRICT_0580,PROVINCE_0114
DISTRICT_0581,PROVINCE_0076
DISTRICT_0582,PROVINCE_0146
DISTRICT_0583,PROVINCE_0001
DISTRICT_0584,PROVINCE_0116
DISTRICT_0585,PROVINCE_0086
DISTRICT_0586,PROVINCE_0060
DISTRICT_0587,PROVINCE_0148
DISTRICT_0588,PROVINCE_0144
DISTRICT_0589,PROVINCE_0136
DISTRICT_0590,PROVINCE_0059
DISTRICT_0591,PROVINCE_0089
DISTRICT_0592,PROVINCE_0076
DISTRICT_0593,PROVINCE_0072
DISTRICT_0594,PROVINCE_0146
DISTRICT_0595,PROVINCE_0035
DISTRICT_0596,PROVINCE_0096
DISTRICT_0597,PROVINCE_0133
DISTRICT_0598,PROVINCE_0063
DISTRICT_0599,PROVINCE_0026
