COUNTRY,ETHNICITY,percentage
COUNTRY_011,ETHNICITY_0092,36.53
COUNTRY_011,ETHNICITY_0081,12.8
COUNTRY_011,ETHNICITY_0064,2.63
COUNTRY_011,ETHNICITY_0145,22.32
COUNTRY_012,ETHNICITY_0044,28.39
COUNTRY_012,ETHNICITY_0017,71.61
COUNTRY_013,ETHNICITY_0022,1.57
COUNTRY_013,ETHNICITY_0109,40.76
COUNTRY_013,ETHNICITY_0068,3.14
COUNTRY_013,ETHNICITY_0018,54.53
COUNTRY_014,ETHNICITY_0144,76.17
COUNTRY_014,ETHNICITY_0087,23.83
COUNTRY_015,ETHNICITY_0109,30.17
COUNTRY_015,ETHNICITY_0069,21.37
COUNTRY_015,ETHNICITY_0004,35.95
COUNTRY_015,ETHNICITY_0145,12.51
COUNTRY_016,ETHNICITY_0147,71.28
COUNTRY_016,ETHNICITY_0096,28.72
COUNTRY_017,ETHNICITY_0054,34.56
COUNTRY_017,ETHNICITY_0082,8.14
COUNTRY_017,ETHNICITY_0115,7.59
COUNTRY_017,ETHNICITY_0140,18.78
COUNTRY_017,ETHNICITY_0127,21.05
COUNTRY_017,ETHNICITY_0091,9.88
COUNTRY_018,ETHNICITY_0015,4.64
COUNTRY_018,ETHNICITY_0122,14.76
COUNTRY_018,ETHNICITY_0000,80.6
COUNTRY_019,ETHNICITY_0004,45.13
COUNTRY_019,ETHNICITY_0064,53.8
COUNTRY_019,ETHNICITY_0043,1.08
COUNTRY_020,ETHNICITY_0040,11.67
COUNTRY_020,ETHNICITY_0003,19.24
COUNTRY_020,ETHNICITY_0018,32.77
COUNTRY_020,ETHNICITY_0127,0.93
COUNTRY_020,ETHNICITY_0024,35.39
COUNTRY_021,ETHNICITY_0022,56.93
COUNTRY_021,ETHNICITY_0038,15.74
COUNTRY_021,ETHNICITY_0078,27.33
COUNTRY_022,ETHNICITY_0051,30.44
COUNTRY_022,ETHNICITY_0146,69.56
COUNTRY_023,ETHNICITY_0110,2.79
COUNTRY_023,ETHNICITY_0103,9.08
COUNTRY_023,ETHNICITY_0118,88.13
COUNTRY_024,ETHNICITY_0145,3.77
COUNTRY_024,ETHNICITY_0116,7.04
COUNTRY_024,ETHNICITY_0103,16.0
COUNTRY_024,ETHNICITY_0009,19.28
COUNTRY_024,ETHNICITY_0144,38.2
COUNTRY_024,ETHNICITY_0133,15.71
COUNTRY_025,ETHNICITY_0055,46.05
COUNTRY_025,ETHNICITY_0018,28.43
COUNTRY_025,ETHNICITY_0042,3.54
COUNTRY_025,ETHNICITY_0109,5.02
COUNTRY_025,ETHNICITY_0125,16.96
COUNTRY_026,ETHNICITY_0059,14.81
COUNTRY_026,ETHNICITY_0020,39.86
COUNTRY_026,ETHNICITY_0047,25.46
COUNTRY_026,ETHNICITY_0033,14.39
COUNTRY_026,ETHNICITY_0112,5.48
COUNTRY_027,ETHNICITY_0007,9.99
COUNTRY_027,ETHNICITY_0117,33.27
COUNTRY_027,ETHNICITY_0086,21.38
COUNTRY_027,ETHNICITY_0147,28.09
COUNTRY_027,ETHNICITY_0135,7.27
COUNTRY_028,ETHNICITY_0121,13.44
COUNTRY_028,ETHNICITY_0139,23.66
COUNTRY_028,ETHNICITY_0107,3.69
COUNTRY_028,ETHNICITY_0090,8.36
COUNTRY_028,ETHNICITY_0060,45.85
COUNTRY_028,ETHNICITY_0053,5.01
COUNTRY_029,ETHNICITY_0079,13.95
COUNTRY_029,ETHNICITY_0051,1.46
COUNTRY_029,ETHNICITY_0029,14.37
COUNTRY_029,ETHNICITY_0023,1.45
COUNTRY_029,ETHNICITY_0097,49.37
COUNTRY_029,ETHNICITY_0084,19.4
COUNTRY_030,ETHNICITY_0048,36.44
COUNTRY_030,ETHNICITY_0007,28.6
COUNTRY_030,ETHNICITY_0131,20.92
COUNTRY_030,ETHNICITY_0148,14.04
COUNTRY_031,ETHNICITY_0046,23.08
COUNTRY_031,ETHNICITY_0059,37.1
COUNTRY_031,ETHNICITY_0031,8.16
COUNTRY_031,ETHNICITY_0037,31.66
COUNTRY_032,ETHNICITY_0040,53.11
COUNTRY_032,ETHNICITY_0030,46.89
COUNTRY_033,ETHNICITY_0017,26.21
COUNTRY_033,ETHNICITY_0090,10.16
COUNTRY_033,ETHNICITY_0006,0.16
COUNTRY_033,ETHNICITY_0089,11.96
COUNTRY_033,ETHNICITY_0124,30.83
COUNTRY_033,ETHNICITY_0096,20.68
COUNTRY_034,ETHNICITY_0072,10.68
COUNTRY_034,ETHNICITY_0144,70.79
COUNTRY_034,ETHNICITY_0116,7.74
COUNTRY_034,ETHNICITY_0122,10.8
COUNTRY_035,ETHNICITY_0012,74.46
COUNTRY_035,ETHNICITY_0000,25.54
COUNTRY_036,ETHNICITY_0107,39.62
COUNTRY_036,ETHNICITY_0143,22.43
COUNTRY_036,ETHNICITY_0118,37.94
COUNTRY_037,ETHNICITY_0078,10.32
COUNTRY_037,ETHNICITY_0079,53.9
COUNTRY_037,ETHNICITY_0139,18.59
COUNTRY_037,ETHNICITY_0111,16.45
COUNTRY_037,ETHNICITY_0127,0.74
COUNTRY_038,ETHNICITY_0076,2.65
COUNTRY_038,ETHNICITY_0146,7.03
COUNTRY_038,ETHNICITY_0114,2.36
COUNTRY_038,ETHNICITY_0115,80.94
COUNTRY_038,ETHNICITY_0079,7.01
COUNTRY_039,ETHNICITY_0107,38.61
COUNTRY_039,ETHNICITY_0051,61.39
COUNTRY_040,ETHNICITY_0088,13.68
COUNTRY_040,ETHNICITY_0109,1.02
COUNTRY_040,ETHNICITY_0008,30.63
COUNTRY_040,ETHNICITY_0065,50.29
COUNTRY_040,ETHNICITY_0084,4.38
COUNTRY_041,ETHNICITY_0005,96.39
COUNTRY_041,ETHNICITY_0104,3.61
COUNTRY_042,ETHNICITY_0090,54.66
COUNTRY_042,ETHNICITY_0080,28.53
COUNTRY_042,ETHNICITY_0056,16.81
COUNTRY_043,ETHNICITY_0050,7.25
COUNTRY_043,ETHNICITY_0009,33.19
COUNTRY_043,ETHNICITY_0098,16.83
COUNTRY_043,ETHNICITY_0069,6.19
COUNTRY_043,ETHNICITY_0144,36.54
COUNTRY_044,ETHNICITY_0047,14.94
COUNTRY_044,ETHNICITY_0118,35.1
COUNTRY_044,ETHNICITY_0112,2.24
COUNTRY_044,ETHNICITY_0020,27.63
COUNTRY_044,ETHNICITY_0028,20.08
COUNTRY_045,ETHNICITY_0091,2.05
COUNTRY_045,ETHNICITY_0035,19.87
COUNTRY_045,ETHNICITY_0145,9.75
COUNTRY_045,ETHNICITY_0097,48.55
COUNTRY_045,ETHNICITY_0057,2.56
COUNTRY_045,ETHNICITY_0082,17.23
COUNTRY_046,ETHNICITY_0012,11.96
COUNTRY_046,ETHNICITY_0094,78.09
COUNTRY_046,ETHNICITY_0119,9.95
COUNTRY_047,ETHNICITY_0045,58.56
COUNTRY_047,ETHNICITY_0094,41.44
COUNTRY_048,ETHNICITY_0028,4.11
COUNTRY_048,ETHNICITY_0041,21.24
COUNTRY_048,ETHNICITY_0135,70.84
COUNTRY_048,ETHNICITY_0118,3.8
COUNTRY_049,ETHNICITY_0052,29.87
COUNTRY_049,ETHNICITY_0109,38.21
COUNTRY_049,ETHNICITY_0076,18.18
COUNTRY_049,ETHNICITY_0060,0.8
COUNTRY_049,ETHNICITY_0020,12.94
