CITY,COUNTRY
CITY_0065,COUNTRY_030
CITY_0066,COUNTRY_035
CITY_0067,COUNTRY_010
CITY_0068,COUNTRY_032
CITY_0069,COUNTRY_003
CITY_0070,COUNTRY_025
CITY_0071,COUNTRY_016
CITY_0072,COUNTRY_031
CITY_0073,COUNTRY_037
CITY_0074,COUNTRY_024
CITY_0075,COUNTRY_039
CITY_0076,COUNTRY_043
CITY_0077,COUNTRY_022
CITY_0078,COUNTRY_049
CITY_0079,COUNTRY_018
CITY_0080,COUNTRY_020
CITY_0081,COUNTRY_003
CITY_0082,COUNTRY_001
CITY_0083,COUNTRY_037
CITY_0084,COUNTRY_002
CITY_0085,COUNTRY_008
CITY_0086,COUNTRY_023
CITY_0087,COUNTRY_022
CITY_0088,COUNTRY_047
CITY_0089,COUNTRY_037
CITY_0090,COUNTRY_001
CITY_0091,COUNTRY_048
CITY_0092,COUNTRY_040
CITY_0093,COUNTRY_021
CITY_0094,COUNTRY_024
CITY_0095,COUNTRY_006
CITY_0096,COUNTRY_027
CITY_0097,COUNTRY_022
CITY_0098,COUNTRY_022
CITY_0099,COUNTRY_026
CITY_0100,COUNTRY_022
CITY_0101,COUNTRY_003
CITY_0102,COUNTRY_042
CITY_0103,COUNTRY_015
CITY_0104,COUNTRY_015
CITY_0105,COUNTRY_015
CITY_0106,COUNTRY_041
CITY_0107,COUNTRY_019
CITY_0108,COUNTRY_037
CITY_0109,COUNTRY_005
CITY_0110,COUNTRY_044
CITY_0111,COUNTRY_004
CITY_0112,COUNTRY_019
CITY_0113,COUNTRY_007
CITY_0114,COUNTRY_021
CITY_0115,COUNTRY_010
CITY_0116,COUNTRY_001
CITY_0117,COUNTRY_034
CITY_0118,COUNTRY_020
CITY_0119,COUNTRY_002
CITY_0120,COUNTRY_029
CITY_0121,COUNTRY_042
CITY_0122,COUNTRY_027
CITY_0123,COUNTRY_036
CITY_0124,COUNTRY_032
CITY_0125,COUNTRY_026
CITY_0126,COUNTRY_017
CITY_0127,COUNTRY_001
CITY_0128,COUNTRY_044
CITY_0129,COUNTRY_030
CITY_0130,COUNTRY_037
CITY_0131,COUNTRY_001
CITY_0132,COUNTRY_020
CITY_0133,COUNTRY_024
CITY_0134,COUNTRY_036
CITY_0135,COUNTRY_024
CITY_0136,COUNTRY_020
CITY_0137,COUNTRY_036
CITY_0138,COUNTRY_006
CITY_0139,COUNTRY_031
CITY_0140,COUNTRY_006
CITY_0141,COUNTRY_044
CITY_0142,COUNTRY_043
CITY_0143,COUNTRY_013
CITY_0144,COUNTRY_021
CITY_0145,COUNTRY_031
CITY_0146,COUNTRY_032
CITY_0147,COUNTRY_048
CITY_0148,COUNTRY_042
CITY_0149,COUNTRY_021
CITY_0150,COUNTRY_010
CITY_0151,COUNTRY_039
CITY_0152,COUNTRY_019
CITY_0153,COUNTRY_023
CITY_0154,COUNTRY_027
CITY_0155,COUNTRY_012
CITY_0156,COUNTRY_031
CITY_0157,COUNTRY_040
CITY_0158,COUNTRY_004
CITY_0159,COUNTRY_034
CITY_0160,COUNTRY_013
CITY_0161,COUNTRY_018
CITY_0162,COUNTRY_016
CITY_0163,COUNTRY_003
CITY_0164,COUNTRY_019
CITY_0165,COUNTRY_036
CITY_0166,COUNTRY_025
CITY_0167,COUNTRY_014
CITY_0168,COUNTRY_039
CITY_0169,COUNTRY_047
CITY_0170,COUNTRY_005
CITY_0171,COUNTRY_045
CITY_0172,COUNTRY_037
CITY_0173,COUNTRY_006
CITY_0174,COUNTRY_037
CITY_0175,COUNTRY_021
CITY_0176,COUNTRY_017
CITY_0177,COUNTRY_004
CITY_0178,COUNTRY_036
CITY_0179,COUNTRY_033
CITY_0180,COUNTRY_030
CITY_0181,COUNTRY_027
CITY_0182,COUNTRY_013
CITY_0183,COUNTRY_022
CITY_0184,COUNTRY_004
CITY_0185,COUNTRY_041
CITY_0186,COUNTRY_019
CITY_0187,COUNTRY_032
CITY_0188,COUNTRY_019
CITY_0189,COUNTRY_027
CITY_0190,COUNTRY_042
CITY_0191,COUNTRY_034
CITY_0192,COUNTRY_020
CITY_0193,COUNTRY_012
CITY_0194,COUNTRY_026
CITY_0195,COUNTRY_025
CITY_0196,COUNTRY_016
CITY_0197,COUNTRY_039
CITY_0198,COUNTRY_032
CITY_0199,COUNTRY_029
CITY_0200,COUNTRY_042
CITY_0201,COUNTRY_048
CITY_0202,COUNTRY_035
CITY_0203,COUNTRY_011
CITY_0204,COUNTRY_001
CITY_0205,COUNTRY_040
CITY_0206,COUNTRY_045
CITY_0207,COUNTRY_033
CITY_0208,COUNTRY_011
CITY_0209,COUNTRY_036
CITY_0210,COUNTRY_031
CITY_0211,COUNTRY_013
CITY_0212,COUNTRY_042
CITY_0213,COUNTRY_047
CITY_0214,COUNTRY_029
CITY_0215,COUNTRY_017
CITY_0216,COUNTRY_040
CITY_0217,COUNTRY_034
CITY_0218,COUNTRY_039
CITY_0219,COUNTRY_049
CITY_0220,COUNTRY_027
CITY_0221,COUNTRY_036
CITY_0222,COUNTRY_046
CITY_0223,COUNTRY_040
CITY_0224,COUNTRY_003
CITY_0225,COUNTRY_033
CITY_0226,COUNTRY_012
CITY_0227,COUNTRY_023
CITY_0228,COUNTRY_029
CITY_0229,COUNTRY_009
CITY_0230,COUNTRY_015
CITY_0231,COUNTRY_009
CITY_0232,COUNTRY_047
CITY_0233,COUNTRY_043
CITY_0234,COUNTRY_048
CITY_0235,COUNTRY_019
CITY_0236,COUNTRY_027
CITY_0237,COUNTRY_026
CITY_0238,COUNTRY_020
CITY_0239,COUNTRY_004
CITY_0240,COUNTRY_040
CITY_0241,COUNTRY_013
CITY_0242,COUNTRY_026
CITY_0243,COUNTRY_017
CITY_0244,COUNTRY_018
CITY_0245,COUNTRY_041
CITY_0246,COUNTRY_010
CITY_0247,COUNTRY_016
CITY_0248,COUNTRY_043
CITY_0249,COUNTRY_038
CITY_0250,COUNTRY_015
CITY_0251,COUNTRY_025
CITY_0252,COUNTRY_015
CITY_0253,COUNTRY_007
CITY_0254,COUNTRY_009
CITY_0255,COUNTRY_012
CITY_0256,COUNTRY_001
CITY_0257,COUNTRY_015
CITY_0258,COUNTRY_019
CITY_0259,COUNTRY_029
CITY_0260,COUNTRY_031
CITY_0261,COUNTRY_035
CITY_0262,COUNTRY_027
CITY_0263,COUNTRY_027
CITY_0264,COUNTRY_041
CITY_0265,COUNTRY_002
CITY_0266,COUNTRY_012
CITY_0267,COUNTRY_010
CITY_0268,COUNTRY_017
CITY_0269,COUNTRY_008
CITY_0270,COUNTRY_001
CITY_0271,COUNTRY_016
CITY_0272,COUNTRY_017
CITY_0273,COUNTRY_042
CITY_0274,COUNTRY_035
CITY_0275,COUNTRY_011
CITY_0276,COUNTRY_041
CITY_0277,COUNTRY_002
CITY_0278,COUNTRY_046
CITY_0279,COUNTRY_031
CITY_0280,COUNTRY_001
CITY_0281,COUNTRY_003
CITY_0282,COUNTRY_005
CITY_0283,COUNTRY_020
CITY_0284,COUNTRY_038
CITY_0285,COUNTRY_019
CITY_0286,COUNTRY_004
CITY_0287,COUNTRY_026
CITY_0288,COUNTRY_023
CITY_0289,COUNTRY_042
CITY_0290,COUNTRY_042
CITY_0291,COUNTRY_005
CITY_0292,COUNTRY_025
CITY_0293,COUNTRY_046
CITY_0294,COUNTRY_008
CITY_0295,COUNTRY_015
CITY_0296,COUNTRY_007
CITY_0297,COUNTRY_036
CITY_0298,COUNTRY_047
CITY_0299,COUNTRY_032
