PROVINCE,CLIMATE_ZONE
PROVINCE_0100,CLIMATE_ZONE_003
PROVINCE_0101,CLIMATE_ZONE_005
PROVINCE_0102,CLIMATE_ZONE_007
PROVINCE_0103,CLIMATE_ZONE_009
PROVINCE_0104,CLIMATE_ZONE_004
PROVINCE_0105,CLIMATE_ZONE_013
PROVINCE_0106,CLIMATE_ZONE_012
PROVINCE_0107,CLIMATE_ZONE_018
PROVINCE_0108,CLIMATE_ZONE_017
PROVINCE_0109,CLIMATE_ZONE_001
PROVINCE_0110,CLIMATE_ZONE_013
PROVINCE_0111,CLIMATE_ZONE_019
PROVINCE_0112,CLIMATE_ZONE_000
PROVINCE_0113,CLIMATE_ZONE_017
PROVINCE_0114,CLIMATE_ZONE_015
PROVINCE_0115,CLIMATE_ZONE_004
PROVINCE_0116,CLIMATE_ZONE_012
PROVINCE_0117,CLIMATE_ZONE_003
PROVINCE_0118,CLIMATE_ZONE_014
PROVINCE_0119,CLIMATE_ZONE_013
PROVINCE_0120,CLIMATE_ZONE_000
PROVINCE_0121,CLIMATE_ZONE_014
PROVINCE_0122,CLIMATE_ZONE_005
PROVINCE_0123,CLIMATE_ZONE_006
PROVINCE_0124,CLIMATE_ZONE_009
PROVINCE_0125,CLIMATE_ZONE_017
PROVINCE_0126,CLIMATE_ZONE_007
PROVINCE_0127,CLIMATE_ZONE_016
PROVINCE_0128,CLIMATE_ZONE_019
PROVINCE_0129,CLIMATE_ZONE_007
PROVINCE_0130,CLIMATE_ZONE_010
PROVINCE_0131,CLIMATE_ZONE_019
PROVINCE_0132,CLIMATE_ZONE_011
PROVINCE_0133,CLIMATE_ZONE_007
PROVINCE_0134,CLIMATE_ZONE_016
PROVINCE_0135,CLIMATE_ZONE_004
PROVINCE_0136,CLIMATE_ZONE_017
PROVINCE_0137,CLIMATE_ZONE_000
PROVINCE_0138,CLIMATE_ZONE_009
PROVINCE_0139,CLIMATE_ZONE_000
PROVINCE_0140,CLIMATE_ZONE_011
PROVINCE_0141,CLIMATE_ZONE_013
PROVINCE_0142,CLIMATE_ZONE_003
PROVINCE_0143,CLIMATE_ZONE_004
PROVINCE_0144,CLIMATE_ZONE_018
PROVINCE_0145,CLIMATE_ZONE_019
PROVINCE_0146,CLIMATE_ZONE_013
PROVINCE_0147,CLIMATE_ZONE_010
PROVINCE_0148,CLIMATE_ZONE_000
PROVINCE_0149,CLIMATE_ZONE_017
