CITY,ETHNICITY,percentage
CITY_0087,ETHNICITY_0035,9.24
CITY_0087,ETHNICITY_0117,90.76
CITY_0088,ETHNICITY_0101,100.0
CITY_0089,ETHNICITY_0074,95.23
CITY_0089,ETHNICITY_0141,4.77
CITY_0090,ETHNICITY_0015,11.47
CITY_0090,ETHNICITY_0004,19.19
CITY_0090,ETHNICITY_0139,69.34
CITY_0091,ETHNICITY_0069,100.0
CITY_0092,ETHNICITY_0064,67.22
CITY_0092,ETHNICITY_0091,31.14
CITY_0092,ETHNICITY_0133,1.64
CITY_0093,ETHNICITY_0056,100.0
CITY_0094,ETHNICITY_0142,100.0
CITY_0095,ETHNICITY_0146,57.54
CITY_0095,ETHNICITY_0142,37.5
CITY_0095,ETHNICITY_0048,4.96
CITY_0096,ETHNICITY_0010,8.2
CITY_0096,ETHNICITY_0084,7.41
CITY_0096,ETHNICITY_0123,84.39
CITY_0097,ETHNICITY_0138,56.22
CITY_0097,ETHNICITY_0141,43.78
CITY_0098,ETHNICITY_0121,100.0
CITY_0099,ETHNICITY_0027,52.93
CITY_0099,ETHNICITY_0141,47.07
CITY_0100,ETHNICITY_0106,29.36
CITY_0100,ETHNICITY_0060,70.64
CITY_0101,ETHNICITY_0038,100.0
CITY_0102,ETHNICITY_0094,6.1
CITY_0102,ETHNICITY_0003,93.9
CITY_0103,ETHNICITY_0000,100.0
CITY_0104,ETHNICITY_0011,100.0
CITY_0105,ETHNICITY_0088,28.66
CITY_0105,ETHNICITY_0099,18.19
CITY_0105,ETHNICITY_0103,53.15
CITY_0106,ETHNICITY_0091,100.0
CITY_0107,ETHNICITY_0052,48.81
CITY_0107,ETHNICITY_0004,43.44
CITY_0107,ETHNICITY_0091,7.75
CITY_0108,ETHNICITY_0074,39.39
CITY_0108,ETHNICITY_0024,60.61
CITY_0109,ETHNICITY_0066,18.2
CITY_0109,ETHNICITY_0144,63.71
CITY_0109,ETHNICITY_0049,18.1
CITY_0110,ETHNICITY_0138,22.61
CITY_0110,ETHNICITY_0075,77.39
CITY_0111,ETHNICITY_0114,93.85
CITY_0111,ETHNICITY_0145,6.15
CITY_0112,ETHNICITY_0128,100.0
CITY_0113,ETHNICITY_0004,88.51
CITY_0113,ETHNICITY_0030,11.49
CITY_0114,ETHNICITY_0120,25.73
CITY_0114,ETHNICITY_0041,46.58
CITY_0114,ETHNICITY_0106,27.69
CITY_0115,ETHNICITY_0008,82.67
CITY_0115,ETHNICITY_0007,13.71
CITY_0115,ETHNICITY_0028,3.63
CITY_0116,ETHNICITY_0052,67.4
CITY_0116,ETHNICITY_0109,11.61
CITY_0116,ETHNICITY_0095,20.99
CITY_0117,ETHNICITY_0031,48.74
CITY_0117,ETHNICITY_0012,12.17
CITY_0117,ETHNICITY_0059,39.09
CITY_0118,ETHNICITY_0075,29.71
CITY_0118,ETHNICITY_0077,70.29
CITY_0119,ETHNICITY_0033,8.57
CITY_0119,ETHNICITY_0011,91.43
CITY_0120,ETHNICITY_0123,16.62
CITY_0120,ETHNICITY_0070,83.38
CITY_0121,ETHNICITY_0087,65.27
CITY_0121,ETHNICITY_0108,17.06
CITY_0121,ETHNICITY_0143,17.66
CITY_0122,ETHNICITY_0095,61.05
CITY_0122,ETHNICITY_0042,38.95
CITY_0123,ETHNICITY_0009,41.15
CITY_0123,ETHNICITY_0096,58.85
CITY_0124,ETHNICITY_0032,100.0
CITY_0125,ETHNICITY_0082,100.0
CITY_0126,ETHNICITY_0111,47.4
CITY_0126,ETHNICITY_0122,52.6
CITY_0127,ETHNICITY_0080,100.0
CITY_0128,ETHNICITY_0045,32.21
CITY_0128,ETHNICITY_0047,67.79
CITY_0129,ETHNICITY_0031,100.0
CITY_0130,ETHNICITY_0002,69.14
CITY_0130,ETHNICITY_0084,11.39
CITY_0130,ETHNICITY_0060,19.47
CITY_0131,ETHNICITY_0075,100.0
CITY_0132,ETHNICITY_0007,91.47
CITY_0132,ETHNICITY_0066,8.53
CITY_0133,ETHNICITY_0078,65.08
CITY_0133,ETHNICITY_0122,34.92
CITY_0134,ETHNICITY_0077,17.26
CITY_0134,ETHNICITY_0138,82.74
CITY_0135,ETHNICITY_0083,42.62
CITY_0135,ETHNICITY_0095,57.38
CITY_0136,ETHNICITY_0057,19.43
CITY_0136,ETHNICITY_0111,32.71
CITY_0136,ETHNICITY_0083,47.87
CITY_0137,ETHNICITY_0024,100.0
CITY_0138,ETHNICITY_0136,100.0
CITY_0139,ETHNICITY_0080,100.0
CITY_0140,ETHNICITY_0125,100.0
CITY_0141,ETHNICITY_0035,100.0
CITY_0142,ETHNICITY_0085,54.68
CITY_0142,ETHNICITY_0089,45.32
CITY_0143,ETHNICITY_0026,100.0
CITY_0144,ETHNICITY_0014,100.0
CITY_0145,ETHNICITY_0063,100.0
CITY_0146,ETHNICITY_0032,53.28
CITY_0146,ETHNICITY_0047,46.72
CITY_0147,ETHNICITY_0017,100.0
CITY_0148,ETHNICITY_0120,68.16
CITY_0148,ETHNICITY_0060,18.43
CITY_0148,ETHNICITY_0036,13.41
CITY_0149,ETHNICITY_0118,57.35
CITY_0149,ETHNICITY_0126,19.74
CITY_0149,ETHNICITY_0040,22.9
CITY_0150,ETHNICITY_0069,17.65
CITY_0150,ETHNICITY_0137,82.35
CITY_0151,ETHNICITY_0139,34.53
CITY_0151,ETHNICITY_0063,49.84
CITY_0151,ETHNICITY_0088,15.63
CITY_0152,ETHNICITY_0082,46.92
CITY_0152,ETHNICITY_0141,25.03
CITY_0152,ETHNICITY_0083,28.04
CITY_0153,ETHNICITY_0046,100.0
CITY_0154,ETHNICITY_0078,32.64
CITY_0154,ETHNICITY_0043,34.73
CITY_0154,ETHNICITY_0088,32.63
CITY_0155,ETHNICITY_0080,100.0
CITY_0156,ETHNICITY_0103,100.0
CITY_0157,ETHNICITY_0128,100.0
CITY_0158,ETHNICITY_0125,58.94
CITY_0158,ETHNICITY_0094,41.06
CITY_0159,ETHNICITY_0021,9.8
CITY_0159,ETHNICITY_0114,59.43
CITY_0159,ETHNICITY_0017,30.77
CITY_0160,ETHNICITY_0086,100.0
CITY_0161,ETHNICITY_0135,100.0
CITY_0162,ETHNICITY_0012,29.57
CITY_0162,ETHNICITY_0092,6.83
CITY_0162,ETHNICITY_0078,63.61
CITY_0163,ETHNICITY_0023,31.95
CITY_0163,ETHNICITY_0066,33.66
CITY_0163,ETHNICITY_0114,34.39
CITY_0164,ETHNICITY_0078,0.0
CITY_0164,ETHNICITY_0068,100.0
CITY_0165,ETHNICITY_0058,41.8
CITY_0165,ETHNICITY_0093,58.2
CITY_0166,ETHNICITY_0054,0.36
CITY_0166,ETHNICITY_0091,61.85
CITY_0166,ETHNICITY_0036,37.79
CITY_0167,ETHNICITY_0112,94.88
CITY_0167,ETHNICITY_0135,5.12
CITY_0168,ETHNICITY_0075,23.58
CITY_0168,ETHNICITY_0028,56.49
CITY_0168,ETHNICITY_0118,19.93
CITY_0169,ETHNICITY_0091,100.0
CITY_0170,ETHNICITY_0076,66.01
CITY_0170,ETHNICITY_0146,13.26
CITY_0170,ETHNICITY_0117,20.73
CITY_0171,ETHNICITY_0066,100.0
CITY_0172,ETHNICITY_0052,97.15
CITY_0172,ETHNICITY_0009,2.85
CITY_0173,ETHNICITY_0059,37.45
CITY_0173,ETHNICITY_0125,62.55
CITY_0174,ETHNICITY_0136,32.43
CITY_0174,ETHNICITY_0007,18.07
CITY_0174,ETHNICITY_0056,49.5
CITY_0175,ETHNICITY_0031,100.0
CITY_0176,ETHNICITY_0055,10.99
CITY_0176,ETHNICITY_0107,85.09
CITY_0176,ETHNICITY_0021,3.92
CITY_0177,ETHNICITY_0051,100.0
CITY_0178,ETHNICITY_0133,100.0
CITY_0179,ETHNICITY_0046,54.59
CITY_0179,ETHNICITY_0109,42.33
CITY_0179,ETHNICITY_0009,3.08
CITY_0180,ETHNICITY_0121,5.59
CITY_0180,ETHNICITY_0129,50.93
CITY_0180,ETHNICITY_0136,43.48
CITY_0181,ETHNICITY_0142,100.0
CITY_0182,ETHNICITY_0090,100.0
CITY_0183,ETHNICITY_0122,100.0
CITY_0184,ETHNICITY_0121,16.05
CITY_0184,ETHNICITY_0050,68.86
CITY_0184,ETHNICITY_0002,15.09
CITY_0185,ETHNICITY_0142,67.38
CITY_0185,ETHNICITY_0111,32.62
CITY_0186,ETHNICITY_0080,100.0
CITY_0187,ETHNICITY_0016,57.66
CITY_0187,ETHNICITY_0080,13.27
CITY_0187,ETHNICITY_0046,29.07
CITY_0188,ETHNICITY_0113,100.0
CITY_0189,ETHNICITY_0078,2.35
CITY_0189,ETHNICITY_0104,13.07
CITY_0189,ETHNICITY_0083,84.58
CITY_0190,ETHNICITY_0054,42.31
CITY_0190,ETHNICITY_0083,14.73
CITY_0190,ETHNICITY_0057,42.96
CITY_0191,ETHNICITY_0131,49.63
CITY_0191,ETHNICITY_0012,50.37
CITY_0192,ETHNICITY_0131,100.0
CITY_0193,ETHNICITY_0027,65.98
CITY_0193,ETHNICITY_0091,17.99
CITY_0193,ETHNICITY_0108,16.02
CITY_0194,ETHNICITY_0122,35.11
CITY_0194,ETHNICITY_0048,58.06
CITY_0194,ETHNICITY_0074,6.83
CITY_0195,ETHNICITY_0097,77.84
CITY_0195,ETHNICITY_0127,22.16
CITY_0196,ETHNICITY_0122,100.0
CITY_0197,ETHNICITY_0096,78.8
CITY_0197,ETHNICITY_0041,21.2
CITY_0198,ETHNICITY_0101,14.2
CITY_0198,ETHNICITY_0016,9.48
CITY_0198,ETHNICITY_0079,76.32
CITY_0199,ETHNICITY_0053,100.0
CITY_0200,ETHNICITY_0034,46.1
CITY_0200,ETHNICITY_0147,53.9
CITY_0201,ETHNICITY_0096,53.69
CITY_0201,ETHNICITY_0110,46.31
CITY_0202,ETHNICITY_0087,97.32
CITY_0202,ETHNICITY_0013,2.68
CITY_0203,ETHNICITY_0147,41.95
CITY_0203,ETHNICITY_0149,39.22
CITY_0203,ETHNICITY_0007,18.83
CITY_0204,ETHNICITY_0009,23.54
CITY_0204,ETHNICITY_0028,25.57
CITY_0204,ETHNICITY_0012,50.89
CITY_0205,ETHNICITY_0141,38.36
CITY_0205,ETHNICITY_0087,16.89
CITY_0205,ETHNICITY_0122,44.75
CITY_0206,ETHNICITY_0147,100.0
CITY_0207,ETHNICITY_0136,100.0
CITY_0208,ETHNICITY_0087,100.0
CITY_0209,ETHNICITY_0024,100.0
CITY_0210,ETHNICITY_0021,2.38
CITY_0210,ETHNICITY_0138,15.52
CITY_0210,ETHNICITY_0104,82.1
CITY_0211,ETHNICITY_0133,39.41
CITY_0211,ETHNICITY_0074,2.84
CITY_0211,ETHNICITY_0073,57.74
CITY_0212,ETHNICITY_0075,100.0
CITY_0213,ETHNICITY_0070,35.48
CITY_0213,ETHNICITY_0131,64.52
CITY_0214,ETHNICITY_0076,34.85
CITY_0214,ETHNICITY_0117,16.85
CITY_0214,ETHNICITY_0149,48.3
CITY_0215,ETHNICITY_0112,50.73
CITY_0215,ETHNICITY_0043,49.27
CITY_0216,ETHNICITY_0094,13.59
CITY_0216,ETHNICITY_0125,48.47
CITY_0216,ETHNICITY_0084,37.95
CITY_0217,ETHNICITY_0146,31.72
CITY_0217,ETHNICITY_0089,24.59
CITY_0217,ETHNICITY_0133,43.69
CITY_0218,ETHNICITY_0132,100.0
CITY_0219,ETHNICITY_0028,10.75
CITY_0219,ETHNICITY_0013,23.84
CITY_0219,ETHNICITY_0045,65.41
CITY_0220,ETHNICITY_0018,100.0
CITY_0221,ETHNICITY_0149,90.21
CITY_0221,ETHNICITY_0118,9.79
CITY_0222,ETHNICITY_0137,16.28
CITY_0222,ETHNICITY_0018,73.65
CITY_0222,ETHNICITY_0035,10.07
CITY_0223,ETHNICITY_0135,58.45
CITY_0223,ETHNICITY_0138,41.55
CITY_0224,ETHNICITY_0115,100.0
CITY_0225,ETHNICITY_0118,100.0
CITY_0226,ETHNICITY_0084,100.0
CITY_0227,ETHNICITY_0135,31.77
CITY_0227,ETHNICITY_0076,4.13
CITY_0227,ETHNICITY_0067,64.1
CITY_0228,ETHNICITY_0025,30.64
CITY_0228,ETHNICITY_0068,69.36
CITY_0229,ETHNICITY_0108,100.0
CITY_0230,ETHNICITY_0040,9.82
CITY_0230,ETHNICITY_0133,90.18
CITY_0231,ETHNICITY_0133,63.11
CITY_0231,ETHNICITY_0026,36.89
CITY_0232,ETHNICITY_0046,100.0
CITY_0233,ETHNICITY_0055,63.49
CITY_0233,ETHNICITY_0007,31.31
CITY_0233,ETHNICITY_0053,5.19
CITY_0234,ETHNICITY_0128,12.64
CITY_0234,ETHNICITY_0087,50.88
CITY_0234,ETHNICITY_0111,36.48
CITY_0235,ETHNICITY_0029,44.07
CITY_0235,ETHNICITY_0020,17.67
CITY_0235,ETHNICITY_0147,38.27
CITY_0236,ETHNICITY_0125,100.0
CITY_0237,ETHNICITY_0020,4.78
CITY_0237,ETHNICITY_0070,20.15
CITY_0237,ETHNICITY_0086,75.07
CITY_0238,ETHNICITY_0002,17.62
CITY_0238,ETHNICITY_0005,29.28
CITY_0238,ETHNICITY_0146,53.1
CITY_0239,ETHNICITY_0042,19.17
CITY_0239,ETHNICITY_0026,45.58
CITY_0239,ETHNICITY_0113,35.26
CITY_0240,ETHNICITY_0147,0.92
CITY_0240,ETHNICITY_0012,99.08
CITY_0241,ETHNICITY_0080,41.17
CITY_0241,ETHNICITY_0037,58.83
CITY_0242,ETHNICITY_0108,33.84
CITY_0242,ETHNICITY_0149,62.33
CITY_0242,ETHNICITY_0053,3.83
CITY_0243,ETHNICITY_0095,100.0
CITY_0244,ETHNICITY_0080,100.0
CITY_0245,ETHNICITY_0129,12.12
CITY_0245,ETHNICITY_0137,4.38
CITY_0245,ETHNICITY_0005,83.5
CITY_0246,ETHNICITY_0118,46.17
CITY_0246,ETHNICITY_0003,4.54
CITY_0246,ETHNICITY_0081,49.29
CITY_0247,ETHNICITY_0032,100.0
CITY_0248,ETHNICITY_0101,24.06
CITY_0248,ETHNICITY_0005,58.13
CITY_0248,ETHNICITY_0031,17.81
CITY_0249,ETHNICITY_0147,100.0
CITY_0250,ETHNICITY_0149,100.0
CITY_0251,ETHNICITY_0002,100.0
CITY_0252,ETHNICITY_0136,100.0
CITY_0253,ETHNICITY_0146,100.0
CITY_0254,ETHNICITY_0078,64.28
CITY_0254,ETHNICITY_0034,35.72
CITY_0255,ETHNICITY_0080,85.17
CITY_0255,ETHNICITY_0089,11.95
CITY_0255,ETHNICITY_0031,2.88
CITY_0256,ETHNICITY_0109,100.0
CITY_0257,ETHNICITY_0146,100.0
CITY_0258,ETHNICITY_0135,100.0
CITY_0259,ETHNICITY_0136,69.29
CITY_0259,ETHNICITY_0025,30.71
CITY_0260,ETHNICITY_0031,85.11
CITY_0260,ETHNICITY_0010,14.41
CITY_0260,ETHNICITY_0072,0.49
CITY_0261,ETHNICITY_0015,29.3
CITY_0261,ETHNICITY_0034,70.7
CITY_0262,ETHNICITY_0054,38.12
CITY_0262,ETHNICITY_0118,61.88
CITY_0263,ETHNICITY_0102,100.0
CITY_0264,ETHNICITY_0087,100.0
CITY_0265,ETHNICITY_0135,17.92
CITY_0265,ETHNICITY_0127,35.93
CITY_0265,ETHNICITY_0052,46.15
CITY_0266,ETHNICITY_0102,31.15
CITY_0266,ETHNICITY_0035,68.85
CITY_0267,ETHNICITY_0020,17.13
CITY_0267,ETHNICITY_0055,82.87
CITY_0268,ETHNICITY_0089,96.46
CITY_0268,ETHNICITY_0130,1.65
CITY_0268,ETHNICITY_0102,1.89
CITY_0269,ETHNICITY_0062,47.11
CITY_0269,ETHNICITY_0053,51.15
CITY_0269,ETHNICITY_0090,1.74
CITY_0270,ETHNICITY_0015,100.0
CITY_0271,ETHNICITY_0001,22.8
CITY_0271,ETHNICITY_0085,53.75
CITY_0271,ETHNICITY_0139,23.45
CITY_0272,ETHNICITY_0110,25.91
CITY_0272,ETHNICITY_0023,74.09
CITY_0273,ETHNICITY_0074,25.67
CITY_0273,ETHNICITY_0115,74.33
CITY_0274,ETHNICITY_0063,20.1
CITY_0274,ETHNICITY_0022,64.38
CITY_0274,ETHNICITY_0085,15.52
CITY_0275,ETHNICITY_0096,44.22
CITY_0275,ETHNICITY_0061,55.78
CITY_0276,ETHNICITY_0124,14.24
CITY_0276,ETHNICITY_0145,76.8
CITY_0276,ETHNICITY_0047,8.95
CITY_0277,ETHNICITY_0088,74.81
CITY_0277,ETHNICITY_0029,25.19
CITY_0278,ETHNICITY_0097,100.0
CITY_0279,ETHNICITY_0063,22.01
CITY_0279,ETHNICITY_0100,77.99
CITY_0280,ETHNICITY_0010,36.46
CITY_0280,ETHNICITY_0034,40.04
CITY_0280,ETHNICITY_0130,23.51
CITY_0281,ETHNICITY_0120,100.0
CITY_0282,ETHNICITY_0046,81.71
CITY_0282,ETHNICITY_0116,18.29
CITY_0283,ETHNICITY_0040,100.0
CITY_0284,ETHNICITY_0107,13.94
CITY_0284,ETHNICITY_0096,43.44
CITY_0284,ETHNICITY_0104,42.62
CITY_0285,ETHNICITY_0087,100.0
CITY_0286,ETHNICITY_0075,100.0
CITY_0287,ETHNICITY_0133,100.0
CITY_0288,ETHNICITY_0096,100.0
CITY_0289,ETHNICITY_0065,21.37
CITY_0289,ETHNICITY_0017,78.63
CITY_0290,ETHNICITY_0105,17.2
CITY_0290,ETHNICITY_0019,0.06
CITY_0290,ETHNICITY_0008,82.74
CITY_0291,ETHNICITY_0118,100.0
CITY_0292,ETHNICITY_0052,28.92
CITY_0292,ETHNICITY_0085,71.08
CITY_0293,ETHNICITY_0076,40.86
CITY_0293,ETHNICITY_0104,55.24
CITY_0293,ETHNICITY_0067,3.9
CITY_0294,ETHNICITY_0095,100.0
CITY_0295,ETHNICITY_0009,100.0
CITY_0296,ETHNICITY_0143,100.0
CITY_0297,ETHNICITY_0000,19.55
CITY_0297,ETHNICITY_0034,30.32
CITY_0297,ETHNICITY_0125,50.13
CITY_0298,ETHNICITY_0002,100.0
CITY_0299,ETHNICITY_0036,9.64
CITY_0299,ETHNICITY_0124,90.36
