PROVINCE,ETHNICITY,percentage
PROVINCE_0079,ETHNICITY_0046,26.74
PROVINCE_0080,ETHNICITY_0081,69.9
PROVINCE_0080,ETHNICITY_0010,30.1
PROVINCE_0081,ETHNICITY_0098,16.49
PROVINCE_0081,ETHNICITY_0100,45.74
PROVINCE_0081,ETHNICITY_0136,37.77
PROVINCE_0082,ETHNICITY_0065,28.82
PROVINCE_0082,ETHNICITY_0129,55.39
PROVINCE_0082,ETHNICITY_0037,15.8
PROVINCE_0083,ETHNICITY_0124,1.63
PROVINCE_0083,ETHNICITY_0063,98.37
PROVINCE_0084,ETHNICITY_0115,22.04
PROVINCE_0084,ETHNICITY_0146,77.96
PROVINCE_0085,ETHNICITY_0047,100.0
PROVINCE_0086,ETHNICITY_0033,100.0
PROVINCE_0087,ETHNICITY_0022,100.0
PROVINCE_0088,ETHNICITY_0030,100.0
PROVINCE_0089,ETHNICITY_0131,64.61
PROVINCE_0089,ETHNICITY_0010,14.3
PROVINCE_0089,ETHNICITY_0060,9.93
PROVINCE_0089,ETHNICITY_0088,11.17
PROVINCE_0090,ETHNICITY_0012,24.77
PROVINCE_0090,ETHNICITY_0018,48.08
PROVINCE_0090,ETHNICITY_0116,24.68
PROVINCE_0090,ETHNICITY_0124,2.48
PROVINCE_0091,ETHNICITY_0009,39.35
PROVINCE_0091,ETHNICITY_0057,50.19
PROVINCE_0091,ETHNICITY_0038,10.46
PROVINCE_0092,ETHNICITY_0026,28.36
PROVINCE_0092,ETHNICITY_0064,14.46
PROVINCE_0092,ETHNICITY_0090,57.18
PROVINCE_0093,ETHNICITY_0081,71.45
PROVINCE_0093,ETHNICITY_0028,28.55
PROVINCE_0094,ETHNICITY_0026,26.82
PROVINCE_0094,ETHNICITY_0044,49.0
PROVINCE_0094,ETHNICITY_0036,15.61
PROVINCE_0094,ETHNICITY_0126,8.57
PROVINCE_0095,ETHNICITY_0065,33.77
PROVINCE_0095,ETHNICITY_0063,5.99
PROVINCE_0095,ETHNICITY_0056,11.85
PROVINCE_0095,ETHNICITY_0142,48.39
PROVINCE_0096,ETHNICITY_0046,51.81
PROVINCE_0096,ETHNICITY_0041,20.79
PROVINCE_0096,ETHNICITY_0005,9.72
PROVINCE_0096,ETHNICITY_0092,17.69
PROVINCE_0097,ETHNICITY_0038,17.7
PROVINCE_0097,ETHNICITY_0036,10.26
PROVINCE_0097,ETHNICITY_0028,72.04
PROVINCE_0098,ETHNICITY_0045,5.37
PROVINCE_0098,ETHNICITY_0096,11.2
PROVINCE_0098,ETHNICITY_0082,9.02
PROVINCE_0098,ETHNICITY_0066,74.41
PROVINCE_0099,ETHNICITY_0049,31.66
PROVINCE_0099,ETHNICITY_0000,5.32
PROVINCE_0099,ETHNICITY_0138,6.01
PROVINCE_0099,ETHNICITY_0050,57.02
PROVINCE_0100,ETHNICITY_0074,62.77
PROVINCE_0100,ETHNICITY_0075,37.23
PROVINCE_0101,ETHNICITY_0113,41.95
PROVINCE_0101,ETHNICITY_0004,4.11
PROVINCE_0101,ETHNICITY_0078,53.93
PROVINCE_0102,ETHNICITY_0130,63.52
PROVINCE_0102,ETHNICITY_0148,14.64
PROVINCE_0102,ETHNICITY_0084,9.91
PROVINCE_0102,ETHNICITY_0003,11.92
PROVINCE_0103,ETHNICITY_0118,8.41
PROVINCE_0103,ETHNICITY_0005,74.31
PROVINCE_0103,ETHNICITY_0042,17.28
PROVINCE_0104,ETHNICITY_0095,100.0
PROVINCE_0105,ETHNICITY_0129,3.44
PROVINCE_0105,ETHNICITY_0089,57.08
PROVINCE_0105,ETHNICITY_0018,34.76
PROVINCE_0105,ETHNICITY_0080,4.72
PROVINCE_0106,ETHNICITY_0114,62.75
PROVINCE_0106,ETHNICITY_0127,37.25
PROVINCE_0107,ETHNICITY_0046,37.41
PROVINCE_0107,ETHNICITY_0101,1.09
PROVINCE_0107,ETHNICITY_0109,61.49
PROVINCE_0108,ETHNICITY_0040,24.44
PROVINCE_0108,ETHNICITY_0081,75.56
PROVINCE_0109,ETHNICITY_0059,5.11
PROVINCE_0109,ETHNICITY_0068,46.37
PROVINCE_0109,ETHNICITY_0047,44.66
PROVINCE_0109,ETHNICITY_0115,3.87
PROVINCE_0110,ETHNICITY_0121,39.28
PROVINCE_0110,ETHNICITY_0081,14.41
PROVINCE_0110,ETHNICITY_0043,22.71
PROVINCE_0110,ETHNICITY_0040,23.6
PROVINCE_0111,ETHNICITY_0145,18.92
PROVINCE_0111,ETHNICITY_0039,12.34
PROVINCE_0111,ETHNICITY_0004,68.73
PROVINCE_0112,ETHNICITY_0020,2.45
PROVINCE_0112,ETHNICITY_0102,65.93
PROVINCE_0112,ETHNICITY_0089,4.75
PROVINCE_0112,ETHNICITY_0138,26.86
PROVINCE_0113,ETHNICITY_0036,100.0
PROVINCE_0114,ETHNICITY_0007,7.33
PROVINCE_0114,ETHNICITY_0094,92.67
PROVINCE_0115,ETHNICITY_0038,25.57
PROVINCE_0115,ETHNICITY_0073,74.43
PROVINCE_0116,ETHNICITY_0018,100.0
PROVINCE_0117,ETHNICITY_0105,24.17
PROVINCE_0117,ETHNICITY_0055,25.93
PROVINCE_0117,ETHNICITY_0010,49.9
PROVINCE_0118,ETHNICITY_0081,7.69
PROVINCE_0118,ETHNICITY_0080,92.31
PROVINCE_0119,ETHNICITY_0059,60.57
PROVINCE_0119,ETHNICITY_0111,1.59
PROVINCE_0119,ETHNICITY_0062,4.06
PROVINCE_0119,ETHNICITY_0118,33.77
PROVINCE_0120,ETHNICITY_0104,52.67
PROVINCE_0120,ETHNICITY_0044,47.33
PROVINCE_0121,ETHNICITY_0046,14.89
PROVINCE_0121,ETHNICITY_0010,71.44
PROVINCE_0121,ETHNICITY_0110,13.68
PROVINCE_0122,ETHNICITY_0019,21.27
PROVINCE_0122,ETHNICITY_0085,47.38
PROVINCE_0122,ETHNICITY_0066,9.81
PROVINCE_0122,ETHNICITY_0131,21.53
PROVINCE_0123,ETHNICITY_0141,100.0
PROVINCE_0124,ETHNICITY_0024,32.8
PROVINCE_0124,ETHNICITY_0049,52.05
PROVINCE_0124,ETHNICITY_0052,15.15
PROVINCE_0125,ETHNICITY_0057,100.0
PROVINCE_0126,ETHNICITY_0011,100.0
PROVINCE_0127,ETHNICITY_0146,15.04
PROVINCE_0127,ETHNICITY_0136,26.02
PROVINCE_0127,ETHNICITY_0057,58.94
PROVINCE_0128,ETHNICITY_0016,81.47
PROVINCE_0128,ETHNICITY_0021,18.53
PROVINCE_0129,ETHNICITY_0038,46.25
PROVINCE_0129,ETHNICITY_0024,53.75
PROVINCE_0130,ETHNICITY_0019,66.63
PROVINCE_0130,ETHNICITY_0095,33.37
PROVINCE_0131,ETHNICITY_0130,62.95
PROVINCE_0131,ETHNICITY_0028,30.65
PROVINCE_0131,ETHNICITY_0095,6.41
PROVINCE_0132,ETHNICITY_0111,97.32
PROVINCE_0132,ETHNICITY_0139,2.68
PROVINCE_0133,ETHNICITY_0137,2.09
PROVINCE_0133,ETHNICITY_0127,58.67
PROVINCE_0133,ETHNICITY_0102,10.0
PROVINCE_0133,ETHNICITY_0076,29.24
PROVINCE_0134,ETHNICITY_0026,100.0
PROVINCE_0135,ETHNICITY_0135,100.0
PROVINCE_0136,ETHNICITY_0067,24.26
PROVINCE_0136,ETHNICITY_0142,33.53
PROVINCE_0136,ETHNICITY_0137,42.21
PROVINCE_0137,ETHNICITY_0099,100.0
PROVINCE_0138,ETHNICITY_0078,19.72
PROVINCE_0138,ETHNICITY_0034,79.11
PROVINCE_0138,ETHNICITY_0000,1.18
PROVINCE_0139,ETHNICITY_0099,100.0
PROVINCE_0140,ETHNICITY_0145,25.77
PROVINCE_0140,ETHNICITY_0128,74.23
PROVINCE_0141,ETHNICITY_0113,1.63
PROVINCE_0141,ETHNICITY_0134,27.48
PROVINCE_0141,ETHNICITY_0122,61.96
PROVINCE_0141,ETHNICITY_0062,8.93
PROVINCE_0142,ETHNICITY_0133,60.97
PROVINCE_0142,ETHNICITY_0083,0.56
PROVINCE_0142,ETHNICITY_0099,38.47
PROVINCE_0143,ETHNICITY_0072,61.48
PROVINCE_0143,ETHNICITY_0102,24.34
PROVINCE_0143,ETHNICITY_0079,13.14
PROVINCE_0143,ETHNICITY_0030,1.04
PROVINCE_0144,ETHNICITY_0033,57.93
PROVINCE_0144,ETHNICITY_0055,14.57
PROVINCE_0144,ETHNICITY_0075,0.67
PROVINCE_0144,ETHNICITY_0046,26.83
PROVINCE_0145,ETHNICITY_0036,100.0
PROVINCE_0146,ETHNICITY_0037,10.26
PROVINCE_0146,ETHNICITY_0045,18.63
PROVINCE_0146,ETHNICITY_0019,5.15
PROVINCE_0146,ETHNICITY_0049,65.97
PROVINCE_0147,ETHNICITY_0004,57.99
PROVINCE_0147,ETHNICITY_0078,42.01
PROVINCE_0148,ETHNICITY_0011,100.0
PROVINCE_0149,ETHNICITY_0041,67.07
PROVINCE_0149,ETHNICITY_0064,32.5
PROVINCE_0149,ETHNICITY_0136,0.44
