boundary_id,type,description
BOUNDARY_0136,political,Follow like allow group risk no hundred.
BOUNDARY_0137,maritime,Write country certainly no grow.
BOUNDARY_0138,maritime,
BOUNDARY_0139,administrative,No rather local business.
BOUNDARY_0140,maritime,Let if ten safe wide easy.
BOUNDARY_0141,political,Economy north draw Democrat network available.
BOUNDARY_0142,political,
BOUNDARY_0143,administrative,Real system should never let.
BOUNDARY_0144,natural,Test see difficult color truth scene way.
BOUNDARY_0145,natural,
BOUNDARY_0146,maritime,Nor position hotel charge structure animal.
BOUNDARY_0147,maritime,Only prepare hand most trouble bad.
BOUNDARY_0148,political,Peace fine see government woman tend test alone.
BOUNDARY_0149,administrative,Hold spring half consumer.
BOUNDARY_0150,maritime,Ability near phone put weight speech.
BOUNDARY_0151,administrative,Physical now for nothing work edge.
BOUNDARY_0152,administrative,Collection four general after ten.
BOUNDARY_0153,maritime,Big every everyone mouth national protect.
BOUNDARY_0154,maritime,House stop medical able.
BOUNDARY_0155,administrative,
BOUNDARY_0156,maritime,
BOUNDARY_0157,political,Never appear follow others act structure heavy.
BOUNDARY_0158,administrative,Knowledge develop feel.
BOUNDARY_0159,administrative,
BOUNDARY_0160,administrative,Investment drive finally back theory follow view any.
BOUNDARY_0161,natural,Base even baby response.
BOUNDARY_0162,political,Personal probably discuss describe yard small.
BOUNDARY_0163,administrative,
BOUNDARY_0164,maritime,
BOUNDARY_0165,administrative,Talk purpose defense institution artist wall establish.
BOUNDARY_0166,natural,
BOUNDARY_0167,maritime,Main little recent computer very town.
BOUNDARY_0168,administrative,Table street lose world up.
BOUNDARY_0169,political,
BOUNDARY_0170,maritime,Just beyond age blood.
BOUNDARY_0171,administrative,
BOUNDARY_0172,administrative,Party material compare source role form.
BOUNDARY_0173,administrative,Example live spring individual.
BOUNDARY_0174,administrative,
BOUNDARY_0175,political,Ever current trade full.
BOUNDARY_0176,administrative,Policy common financial resource.
BOUNDARY_0177,political,Manage relationship participant between whom sort green.
BOUNDARY_0178,administrative,Find couple that career.
BOUNDARY_0179,political,Fight once follow cut wrong analysis.
BOUNDARY_0180,maritime,
BOUNDARY_0181,natural,Car Mr floor push than accept field.
BOUNDARY_0182,maritime,Middle evidence book street need throw.
BOUNDARY_0183,maritime,Near able forward learn.
BOUNDARY_0184,maritime,Picture third guy line blue two action.
BOUNDARY_0185,administrative,
BOUNDARY_0186,natural,
BOUNDARY_0187,political,Either four shake meeting gun morning firm.
BOUNDARY_0188,political,Dinner large executive commercial risk top sometimes.
BOUNDARY_0189,political,Morning charge call performance.
BOUNDARY_0190,political,
BOUNDARY_0191,natural,Middle sister full certainly green.
BOUNDARY_0192,natural,Assume include section short between above.
BOUNDARY_0193,natural,Measure computer other join culture management.
BOUNDARY_0194,political,
BOUNDARY_0195,natural,Say school trial small measure.
BOUNDARY_0196,political,
BOUNDARY_0197,natural,
BOUNDARY_0198,natural,Ten suffer reason.
BOUNDARY_0199,political,Office both sit southern gas.
