PROVINCE,TIME_ZONE
PROVINCE_0071,TIME_ZONE_024
PROVINCE_0072,TIME_ZONE_046
PROVINCE_0073,TIME_ZONE_039
PROVINCE_0074,TIME_ZONE_021
PROVINCE_0075,TIME_ZONE_043
PROVINCE_0076,TIME_ZONE_029
PROVINCE_0077,TIME_ZONE_036
PROVINCE_0078,TIME_ZONE_002
PROVINCE_0079,TIME_ZONE_001
PROVINCE_0080,TIME_ZONE_043
PROVINCE_0081,TIME_ZONE_007
PROVINCE_0082,TIME_ZONE_010
PROVINCE_0083,TIME_ZONE_017
PROVINCE_0084,TIME_ZONE_034
PROVINCE_0085,TIME_ZONE_011
PROVINCE_0086,TIME_ZONE_049
PROVINCE_0087,TIME_ZONE_047
PROVINCE_0088,TIME_ZONE_021
PROVINCE_0089,TIME_ZONE_023
PROVINCE_0090,TIME_ZONE_017
PROVINCE_0091,TIME_ZONE_016
PROVINCE_0092,TIME_ZONE_011
PROVINCE_0093,TIME_ZONE_033
PROVINCE_0094,TIME_ZONE_025
PROVINCE_0095,TIME_ZONE_029
PROVINCE_0096,TIME_ZONE_037
PROVINCE_0097,TIME_ZONE_025
PROVINCE_0098,TIME_ZONE_012
PROVINCE_0099,TIME_ZONE_008
PROVINCE_0100,TIME_ZONE_022
PROVINCE_0101,TIME_ZONE_039
PROVINCE_0102,TIME_ZONE_018
PROVINCE_0103,TIME_ZONE_011
PROVINCE_0104,TIME_ZONE_040
PROVINCE_0105,TIME_ZONE_015
PROVINCE_0106,TIME_ZONE_040
PROVINCE_0107,TIME_ZONE_008
PROVINCE_0108,TIME_ZONE_043
PROVINCE_0109,TIME_ZONE_034
PROVINCE_0110,TIME_ZONE_047
PROVINCE_0111,TIME_ZONE_036
PROVINCE_0112,TIME_ZONE_017
PROVINCE_0113,TIME_ZONE_025
PROVINCE_0114,TIME_ZONE_014
PROVINCE_0115,TIME_ZONE_012
PROVINCE_0116,TIME_ZONE_034
PROVINCE_0117,TIME_ZONE_036
PROVINCE_0118,TIME_ZONE_006
PROVINCE_0119,TIME_ZONE_021
PROVINCE_0120,TIME_ZONE_025
PROVINCE_0121,TIME_ZONE_010
PROVINCE_0122,TIME_ZONE_016
PROVINCE_0123,TIME_ZONE_005
PROVINCE_0124,TIME_ZONE_043
PROVINCE_0125,TIME_ZONE_043
PROVINCE_0126,TIME_ZONE_020
PROVINCE_0127,TIME_ZONE_011
PROVINCE_0128,TIME_ZONE_034
PROVINCE_0129,TIME_ZONE_048
PROVINCE_0130,TIME_ZONE_021
PROVINCE_0131,TIME_ZONE_046
PROVINCE_0132,TIME_ZONE_030
PROVINCE_0133,TIME_ZONE_011
PROVINCE_0134,TIME_ZONE_021
PROVINCE_0135,TIME_ZONE_024
PROVINCE_0136,TIME_ZONE_010
PROVINCE_0137,TIME_ZONE_036
PROVINCE_0138,TIME_ZONE_010
PROVINCE_0139,TIME_ZONE_025
PROVINCE_0140,TIME_ZONE_037
PROVINCE_0141,TIME_ZONE_014
PROVINCE_0142,TIME_ZONE_044
PROVINCE_0143,TIME_ZONE_014
PROVINCE_0144,TIME_ZONE_021
PROVINCE_0145,TIME_ZONE_033
PROVINCE_0146,TIME_ZONE_038
PROVINCE_0147,TIME_ZONE_043
PROVINCE_0148,TIME_ZONE_023
PROVINCE_0149,TIME_ZONE_006
