PROVINCE,BOUNDARY
PROVINCE_0044,BOUNDARY_0186
PROVINCE_0044,BOUNDARY_0192
PROVINCE_0045,BOUNDARY_0154
PROVINCE_0046,BOUNDARY_0096
PROVINCE_0047,BOUNDARY_0005
PROVINCE_0047,BOUNDARY_0028
PROVINCE_0048,BOUNDARY_0195
PROVINCE_0049,BOUNDARY_0011
PROVINCE_0049,BOUNDARY_0033
PROVINCE_0049,BOUNDARY_0063
PROVINCE_0050,BOUNDARY_0068
PROVINCE_0051,BOUNDARY_0160
PROVINCE_0052,BOUNDARY_0003
PROVINCE_0052,BOUNDARY_0002
PROVINCE_0052,BOUNDARY_0027
PROVINCE_0053,BOUNDARY_0188
PROVINCE_0053,BOUNDARY_0086
PROVINCE_0053,BOUNDARY_0181
PROVINCE_0054,BOUNDARY_0051
PROVINCE_0055,BOUNDARY_0122
PROVINCE_0056,BOUNDARY_0113
PROVINCE_0056,BOUNDARY_0041
PROVINCE_0056,BOUNDARY_0078
PROVINCE_0057,BOUNDARY_0122
PROVINCE_0057,BOUNDARY_0039
PROVINCE_0058,BOUNDARY_0014
PROVINCE_0059,BOUNDARY_0177
PROVINCE_0059,BOUNDARY_0068
PROVINCE_0059,BOUNDARY_0160
PROVINCE_0060,BOUNDARY_0031
PROVINCE_0060,BOUNDARY_0005
PROVINCE_0060,BOUNDARY_0011
PROVINCE_0061,BOUNDARY_0139
PROVINCE_0062,BOUNDARY_0026
PROVINCE_0062,BOUNDARY_0130
PROVINCE_0063,BOUNDARY_0036
PROVINCE_0063,BOUNDARY_0000
PROVINCE_0064,BOUNDARY_0006
PROVINCE_0065,BOUNDARY_0109
PROVINCE_0066,BOUNDARY_0037
PROVINCE_0066,BOUNDARY_0090
PROVINCE_0067,BOUNDARY_0073
PROVINCE_0067,BOUNDARY_0057
PROVINCE_0067,BOUNDARY_0175
PROVINCE_0068,BOUNDARY_0175
PROVINCE_0068,BOUNDARY_0183
PROVINCE_0069,BOUNDARY_0125
PROVINCE_0070,BOUNDARY_0028
PROVINCE_0071,BOUNDARY_0026
PROVINCE_0072,BOUNDARY_0091
PROVINCE_0072,BOUNDARY_0019
PROVINCE_0073,BOUNDARY_0085
PROVINCE_0073,BOUNDARY_0030
PROVINCE_0073,BOUNDARY_0092
PROVINCE_0074,BOUNDARY_0011
PROVINCE_0075,BOUNDARY_0038
PROVINCE_0075,BOUNDARY_0045
PROVINCE_0075,BOUNDARY_0109
PROVINCE_0076,BOUNDARY_0085
PROVINCE_0076,BOUNDARY_0153
PROVINCE_0076,BOUNDARY_0046
PROVINCE_0077,BOUNDARY_0108
PROVINCE_0077,BOUNDARY_0038
PROVINCE_0077,BOUNDARY_0170
PROVINCE_0078,BOUNDARY_0077
PROVINCE_0078,BOUNDARY_0159
PROVINCE_0078,BOUNDARY_0073
PROVINCE_0079,BOUNDARY_0026
PROVINCE_0079,BOUNDARY_0069
PROVINCE_0080,BOUNDARY_0169
PROVINCE_0080,BOUNDARY_0094
PROVINCE_0081,BOUNDARY_0182
PROVINCE_0081,BOUNDARY_0019
PROVINCE_0082,BOUNDARY_0038
PROVINCE_0083,BOUNDARY_0037
PROVINCE_0083,BOUNDARY_0081
PROVINCE_0083,BOUNDARY_0099
PROVINCE_0084,BOUNDARY_0184
PROVINCE_0084,BOUNDARY_0122
PROVINCE_0085,BOUNDARY_0028
PROVINCE_0086,BOUNDARY_0109
PROVINCE_0086,BOUNDARY_0186
PROVINCE_0086,BOUNDARY_0071
PROVINCE_0087,BOUNDARY_0023
PROVINCE_0088,BOUNDARY_0032
PROVINCE_0088,BOUNDARY_0046
PROVINCE_0089,BOUNDARY_0090
PROVINCE_0089,BOUNDARY_0081
PROVINCE_0090,BOUNDARY_0108
PROVINCE_0090,BOUNDARY_0123
PROVINCE_0091,BOUNDARY_0105
PROVINCE_0091,BOUNDARY_0154
PROVINCE_0091,BOUNDARY_0162
PROVINCE_0092,BOUNDARY_0035
PROVINCE_0092,BOUNDARY_0167
PROVINCE_0093,BOUNDARY_0098
PROVINCE_0094,BOUNDARY_0140
PROVINCE_0094,BOUNDARY_0127
PROVINCE_0095,BOUNDARY_0136
PROVINCE_0095,BOUNDARY_0126
PROVINCE_0095,BOUNDARY_0137
PROVINCE_0096,BOUNDARY_0098
PROVINCE_0097,BOUNDARY_0148
PROVINCE_0098,BOUNDARY_0107
PROVINCE_0098,BOUNDARY_0134
PROVINCE_0098,BOUNDARY_0147
PROVINCE_0099,BOUNDARY_0191
PROVINCE_0099,BOUNDARY_0056
PROVINCE_0099,BOUNDARY_0179
PROVINCE_0100,BOUNDARY_0060
PROVINCE_0101,BOUNDARY_0000
PROVINCE_0101,BOUNDARY_0052
PROVINCE_0102,BOUNDARY_0092
PROVINCE_0103,BOUNDARY_0121
PROVINCE_0103,BOUNDARY_0034
PROVINCE_0103,BOUNDARY_0028
PROVINCE_0104,BOUNDARY_0089
PROVINCE_0105,BOUNDARY_0199
PROVINCE_0105,BOUNDARY_0035
PROVINCE_0106,BOUNDARY_0117
PROVINCE_0106,BOUNDARY_0036
PROVINCE_0107,BOUNDARY_0107
PROVINCE_0107,BOUNDARY_0062
PROVINCE_0107,BOUNDARY_0053
PROVINCE_0108,BOUNDARY_0014
PROVINCE_0109,BOUNDARY_0035
PROVINCE_0109,BOUNDARY_0030
PROVINCE_0109,BOUNDARY_0178
PROVINCE_0110,BOUNDARY_0036
PROVINCE_0110,BOUNDARY_0096
PROVINCE_0110,BOUNDARY_0187
PROVINCE_0111,BOUNDARY_0178
PROVINCE_0112,BOUNDARY_0095
PROVINCE_0112,BOUNDARY_0013
PROVINCE_0113,BOUNDARY_0027
PROVINCE_0113,BOUNDARY_0169
PROVINCE_0113,BOUNDARY_0148
PROVINCE_0114,BOUNDARY_0122
PROVINCE_0115,BOUNDARY_0040
PROVINCE_0115,BOUNDARY_0007
PROVINCE_0115,BOUNDARY_0037
PROVINCE_0116,BOUNDARY_0036
PROVINCE_0116,BOUNDARY_0020
PROVINCE_0117,BOUNDARY_0019
PROVINCE_0118,BOUNDARY_0145
PROVINCE_0119,BOUNDARY_0038
PROVINCE_0119,BOUNDARY_0195
PROVINCE_0120,BOUNDARY_0120
PROVINCE_0121,BOUNDARY_0035
PROVINCE_0121,BOUNDARY_0191
PROVINCE_0121,BOUNDARY_0135
PROVINCE_0122,BOUNDARY_0076
PROVINCE_0122,BOUNDARY_0120
PROVINCE_0122,BOUNDARY_0105
PROVINCE_0123,BOUNDARY_0086
PROVINCE_0123,BOUNDARY_0113
PROVINCE_0123,BOUNDARY_0165
PROVINCE_0124,BOUNDARY_0003
PROVINCE_0124,BOUNDARY_0073
PROVINCE_0124,BOUNDARY_0028
PROVINCE_0125,BOUNDARY_0015
PROVINCE_0126,BOUNDARY_0008
PROVINCE_0126,BOUNDARY_0154
PROVINCE_0126,BOUNDARY_0192
PROVINCE_0127,BOUNDARY_0128
PROVINCE_0128,BOUNDARY_0002
PROVINCE_0129,BOUNDARY_0108
PROVINCE_0129,BOUNDARY_0174
PROVINCE_0130,BOUNDARY_0141
PROVINCE_0130,BOUNDARY_0182
PROVINCE_0131,BOUNDARY_0146
PROVINCE_0131,BOUNDARY_0128
PROVINCE_0132,BOUNDARY_0181
PROVINCE_0132,BOUNDARY_0058
PROVINCE_0133,BOUNDARY_0040
PROVINCE_0133,BOUNDARY_0069
PROVINCE_0134,BOUNDARY_0133
PROVINCE_0135,BOUNDARY_0032
PROVINCE_0135,BOUNDARY_0190
PROVINCE_0136,BOUNDARY_0102
PROVINCE_0137,BOUNDARY_0014
PROVINCE_0137,BOUNDARY_0056
PROVINCE_0137,BOUNDARY_0100
PROVINCE_0138,BOUNDARY_0190
PROVINCE_0139,BOUNDARY_0154
PROVINCE_0139,BOUNDARY_0019
PROVINCE_0139,BOUNDARY_0177
PROVINCE_0140,BOUNDARY_0122
PROVINCE_0140,BOUNDARY_0080
PROVINCE_0141,BOUNDARY_0164
PROVINCE_0141,BOUNDARY_0103
PROVINCE_0141,BOUNDARY_0097
PROVINCE_0142,BOUNDARY_0013
PROVINCE_0143,BOUNDARY_0165
PROVINCE_0143,BOUNDARY_0108
PROVINCE_0144,BOUNDARY_0069
PROVINCE_0145,BOUNDARY_0026
PROVINCE_0146,BOUNDARY_0092
PROVINCE_0147,BOUNDARY_0199
PROVINCE_0147,BOUNDARY_0085
PROVINCE_0147,BOUNDARY_0007
PROVINCE_0148,BOUNDARY_0072
PROVINCE_0149,BOUNDARY_0138
