DISTRICT,BOUNDARY
DISTRICT_0134,BOUNDARY_0168
DISTRICT_0135,BOUNDARY_0078
DISTRICT_0135,BOUNDARY_0106
DISTRICT_0136,BOUNDARY_0001
DISTRICT_0137,BOUNDARY_0008
DISTRICT_0137,BOUNDARY_0003
DISTRICT_0138,BOUNDARY_0039
DISTRICT_0139,BOUNDARY_0132
DISTRICT_0139,BOUNDARY_0189
DISTRICT_0140,BOUNDARY_0085
DISTRICT_0140,BOUNDARY_0043
DISTRICT_0141,BOUNDARY_0061
DISTRICT_0141,BOUNDARY_0142
DISTRICT_0142,BOUNDARY_0049
DISTRICT_0142,BOUNDARY_0157
DISTRICT_0143,BOUNDARY_0013
DISTRICT_0143,BOUNDARY_0147
DISTRICT_0144,BOUNDARY_0032
DISTRICT_0144,BOUNDARY_0162
DISTRICT_0145,BOUNDARY_0186
DISTRICT_0145,BOUNDARY_0044
DISTRICT_0146,BOUNDARY_0081
DISTRICT_0146,BOUNDARY_0132
DISTRICT_0147,BOUNDARY_0111
DISTRICT_0148,BOUNDARY_0025
DISTRICT_0149,BOUNDARY_0129
DISTRICT_0150,BOUNDARY_0161
DISTRICT_0151,BOUNDARY_0195
DISTRICT_0151,BOUNDARY_0160
DISTRICT_0152,BOUNDARY_0141
DISTRICT_0152,BOUNDARY_0040
DISTRICT_0153,BOUNDARY_0052
DISTRICT_0153,BOUNDARY_0023
DISTRICT_0154,BOUNDARY_0006
DISTRICT_0155,BOUNDARY_0002
DISTRICT_0155,BOUNDARY_0160
DISTRICT_0156,BOUNDARY_0007
DISTRICT_0157,BOUNDARY_0146
DISTRICT_0158,BOUNDARY_0006
DISTRICT_0158,BOUNDARY_0190
DISTRICT_0159,BOUNDARY_0116
DISTRICT_0160,BOUNDARY_0047
DISTRICT_0160,BOUNDARY_0061
DISTRICT_0161,BOUNDARY_0076
DISTRICT_0162,BOUNDARY_0137
DISTRICT_0163,BOUNDARY_0185
DISTRICT_0164,BOUNDARY_0197
DISTRICT_0164,BOUNDARY_0066
DISTRICT_0165,BOUNDARY_0070
DISTRICT_0166,BOUNDARY_0036
DISTRICT_0167,BOUNDARY_0163
DISTRICT_0168,BOUNDARY_0028
DISTRICT_0169,BOUNDARY_0152
DISTRICT_0169,BOUNDARY_0031
DISTRICT_0170,BOUNDARY_0036
DISTRICT_0171,BOUNDARY_0067
DISTRICT_0171,BOUNDARY_0046
DISTRICT_0172,BOUNDARY_0019
DISTRICT_0173,BOUNDARY_0092
DISTRICT_0173,BOUNDARY_0053
DISTRICT_0174,BOUNDARY_0025
DISTRICT_0174,BOUNDARY_0125
DISTRICT_0175,BOUNDARY_0105
DISTRICT_0176,BOUNDARY_0124
DISTRICT_0177,BOUNDARY_0053
DISTRICT_0178,BOUNDARY_0096
DISTRICT_0178,BOUNDARY_0080
DISTRICT_0179,BOUNDARY_0041
DISTRICT_0179,BOUNDARY_0046
DISTRICT_0180,BOUNDARY_0002
DISTRICT_0180,BOUNDARY_0045
DISTRICT_0181,BOUNDARY_0030
DISTRICT_0182,BOUNDARY_0088
DISTRICT_0182,BOUNDARY_0123
DISTRICT_0183,BOUNDARY_0040
DISTRICT_0184,BOUNDARY_0031
DISTRICT_0184,BOUNDARY_0049
DISTRICT_0185,BOUNDARY_0137
DISTRICT_0186,BOUNDARY_0132
DISTRICT_0187,BOUNDARY_0055
DISTRICT_0188,BOUNDARY_0029
DISTRICT_0188,BOUNDARY_0055
DISTRICT_0189,BOUNDARY_0083
DISTRICT_0190,BOUNDARY_0056
DISTRICT_0191,BOUNDARY_0186
DISTRICT_0192,BOUNDARY_0068
DISTRICT_0193,BOUNDARY_0123
DISTRICT_0193,BOUNDARY_0051
DISTRICT_0194,BOUNDARY_0089
DISTRICT_0195,BOUNDARY_0119
DISTRICT_0195,BOUNDARY_0190
DISTRICT_0196,BOUNDARY_0111
DISTRICT_0196,BOUNDARY_0131
DISTRICT_0197,BOUNDARY_0049
DISTRICT_0197,BOUNDARY_0064
DISTRICT_0198,BOUNDARY_0050
DISTRICT_0199,BOUNDARY_0100
DISTRICT_0199,BOUNDARY_0026
DISTRICT_0200,BOUNDARY_0042
DISTRICT_0200,BOUNDARY_0052
DISTRICT_0201,BOUNDARY_0110
DISTRICT_0201,BOUNDARY_0114
DISTRICT_0202,BOUNDARY_0152
DISTRICT_0202,BOUNDARY_0191
DISTRICT_0203,BOUNDARY_0081
DISTRICT_0203,BOUNDARY_0159
DISTRICT_0204,BOUNDARY_0155
DISTRICT_0205,BOUNDARY_0109
DISTRICT_0205,BOUNDARY_0051
DISTRICT_0206,BOUNDARY_0095
DISTRICT_0206,BOUNDARY_0161
DISTRICT_0207,BOUNDARY_0115
DISTRICT_0208,BOUNDARY_0008
DISTRICT_0209,BOUNDARY_0150
DISTRICT_0209,BOUNDARY_0104
DISTRICT_0210,BOUNDARY_0154
DISTRICT_0210,BOUNDARY_0165
DISTRICT_0211,BOUNDARY_0101
DISTRICT_0211,BOUNDARY_0007
DISTRICT_0212,BOUNDARY_0046
DISTRICT_0213,BOUNDARY_0109
DISTRICT_0213,BOUNDARY_0047
DISTRICT_0214,BOUNDARY_0062
DISTRICT_0214,BOUNDARY_0018
DISTRICT_0215,BOUNDARY_0168
DISTRICT_0216,BOUNDARY_0095
DISTRICT_0216,BOUNDARY_0037
DISTRICT_0217,BOUNDARY_0031
DISTRICT_0217,BOUNDARY_0002
DISTRICT_0218,BOUNDARY_0176
DISTRICT_0218,BOUNDARY_0002
DISTRICT_0219,BOUNDARY_0054
DISTRICT_0219,BOUNDARY_0119
DISTRICT_0220,BOUNDARY_0059
DISTRICT_0220,BOUNDARY_0143
DISTRICT_0221,BOUNDARY_0098
DISTRICT_0222,BOUNDARY_0154
DISTRICT_0222,BOUNDARY_0054
DISTRICT_0223,BOUNDARY_0026
DISTRICT_0224,BOUNDARY_0183
DISTRICT_0224,BOUNDARY_0155
DISTRICT_0225,BOUNDARY_0146
DISTRICT_0226,BOUNDARY_0174
DISTRICT_0226,BOUNDARY_0193
DISTRICT_0227,BOUNDARY_0081
DISTRICT_0227,BOUNDARY_0050
DISTRICT_0228,BOUNDARY_0012
DISTRICT_0229,BOUNDARY_0127
DISTRICT_0229,BOUNDARY_0011
DISTRICT_0230,BOUNDARY_0107
DISTRICT_0230,BOUNDARY_0030
DISTRICT_0231,BOUNDARY_0115
DISTRICT_0232,BOUNDARY_0153
DISTRICT_0233,BOUNDARY_0151
DISTRICT_0233,BOUNDARY_0098
DISTRICT_0234,BOUNDARY_0147
DISTRICT_0235,BOUNDARY_0072
DISTRICT_0236,BOUNDARY_0164
DISTRICT_0237,BOUNDARY_0118
DISTRICT_0238,BOUNDARY_0033
DISTRICT_0238,BOUNDARY_0103
DISTRICT_0239,BOUNDARY_0136
DISTRICT_0240,BOUNDARY_0086
DISTRICT_0241,BOUNDARY_0017
DISTRICT_0242,BOUNDARY_0024
DISTRICT_0242,BOUNDARY_0106
DISTRICT_0243,BOUNDARY_0070
DISTRICT_0243,BOUNDARY_0081
DISTRICT_0244,BOUNDARY_0102
DISTRICT_0244,BOUNDARY_0020
DISTRICT_0245,BOUNDARY_0126
DISTRICT_0245,BOUNDARY_0156
DISTRICT_0246,BOUNDARY_0100
DISTRICT_0247,BOUNDARY_0178
DISTRICT_0247,BOUNDARY_0116
DISTRICT_0248,BOUNDARY_0164
DISTRICT_0248,BOUNDARY_0031
DISTRICT_0249,BOUNDARY_0158
DISTRICT_0249,BOUNDARY_0026
DISTRICT_0250,BOUNDARY_0057
DISTRICT_0251,BOUNDARY_0002
DISTRICT_0252,BOUNDARY_0026
DISTRICT_0253,BOUNDARY_0176
DISTRICT_0253,BOUNDARY_0185
DISTRICT_0254,BOUNDARY_0057
DISTRICT_0254,BOUNDARY_0043
DISTRICT_0255,BOUNDARY_0048
DISTRICT_0256,BOUNDARY_0137
DISTRICT_0256,BOUNDARY_0001
DISTRICT_0257,BOUNDARY_0066
DISTRICT_0258,BOUNDARY_0028
DISTRICT_0259,BOUNDARY_0077
DISTRICT_0260,BOUNDARY_0067
DISTRICT_0261,BOUNDARY_0176
DISTRICT_0261,BOUNDARY_0156
DISTRICT_0262,BOUNDARY_0069
DISTRICT_0262,BOUNDARY_0178
DISTRICT_0263,BOUNDARY_0035
DISTRICT_0264,BOUNDARY_0030
DISTRICT_0264,BOUNDARY_0032
DISTRICT_0265,BOUNDARY_0037
DISTRICT_0265,BOUNDARY_0192
DISTRICT_0266,BOUNDARY_0163
DISTRICT_0266,BOUNDARY_0114
DISTRICT_0267,BOUNDARY_0133
DISTRICT_0268,BOUNDARY_0147
DISTRICT_0269,BOUNDARY_0169
DISTRICT_0269,BOUNDARY_0125
DISTRICT_0270,BOUNDARY_0082
DISTRICT_0270,BOUNDARY_0197
DISTRICT_0271,BOUNDARY_0057
DISTRICT_0271,BOUNDARY_0023
DISTRICT_0272,BOUNDARY_0196
DISTRICT_0272,BOUNDARY_0075
DISTRICT_0273,BOUNDARY_0090
DISTRICT_0274,BOUNDARY_0168
DISTRICT_0275,BOUNDARY_0177
DISTRICT_0276,BOUNDARY_0019
DISTRICT_0277,BOUNDARY_0015
DISTRICT_0277,BOUNDARY_0054
DISTRICT_0278,BOUNDARY_0171
DISTRICT_0279,BOUNDARY_0119
DISTRICT_0280,BOUNDARY_0048
DISTRICT_0280,BOUNDARY_0124
DISTRICT_0281,BOUNDARY_0087
DISTRICT_0282,BOUNDARY_0151
DISTRICT_0283,BOUNDARY_0194
DISTRICT_0283,BOUNDARY_0079
DISTRICT_0284,BOUNDARY_0167
DISTRICT_0284,BOUNDARY_0039
DISTRICT_0285,BOUNDARY_0033
DISTRICT_0286,BOUNDARY_0093
DISTRICT_0287,BOUNDARY_0115
DISTRICT_0287,BOUNDARY_0158
DISTRICT_0288,BOUNDARY_0199
DISTRICT_0289,BOUNDARY_0048
DISTRICT_0289,BOUNDARY_0017
DISTRICT_0290,BOUNDARY_0108
DISTRICT_0290,BOUNDARY_0042
DISTRICT_0291,BOUNDARY_0147
DISTRICT_0291,BOUNDARY_0165
DISTRICT_0292,BOUNDARY_0037
DISTRICT_0293,BOUNDARY_0027
DISTRICT_0293,BOUNDARY_0190
DISTRICT_0294,BOUNDARY_0061
DISTRICT_0295,BOUNDARY_0117
DISTRICT_0296,BOUNDARY_0068
DISTRICT_0297,BOUNDARY_0121
DISTRICT_0298,BOUNDARY_0090
DISTRICT_0298,BOUNDARY_0067
DISTRICT_0299,BOUNDARY_0140
DISTRICT_0300,BOUNDARY_0090
DISTRICT_0301,BOUNDARY_0054
DISTRICT_0301,BOUNDARY_0038
DISTRICT_0302,BOUNDARY_0128
DISTRICT_0302,BOUNDARY_0110
DISTRICT_0303,BOUNDARY_0013
DISTRICT_0303,BOUNDARY_0112
DISTRICT_0304,BOUNDARY_0094
DISTRICT_0304,BOUNDARY_0025
DISTRICT_0305,BOUNDARY_0166
DISTRICT_0306,BOUNDARY_0187
DISTRICT_0306,BOUNDARY_0108
DISTRICT_0307,BOUNDARY_0075
DISTRICT_0308,BOUNDARY_0103
DISTRICT_0309,BOUNDARY_0152
DISTRICT_0310,BOUNDARY_0135
DISTRICT_0310,BOUNDARY_0155
DISTRICT_0311,BOUNDARY_0132
DISTRICT_0311,BOUNDARY_0110
DISTRICT_0312,BOUNDARY_0174
DISTRICT_0313,BOUNDARY_0165
DISTRICT_0314,BOUNDARY_0028
DISTRICT_0315,BOUNDARY_0029
DISTRICT_0316,BOUNDARY_0009
DISTRICT_0317,BOUNDARY_0061
DISTRICT_0317,BOUNDARY_0016
DISTRICT_0318,BOUNDARY_0070
DISTRICT_0319,BOUNDARY_0158
DISTRICT_0320,BOUNDARY_0100
DISTRICT_0320,BOUNDARY_0025
DISTRICT_0321,BOUNDARY_0187
DISTRICT_0322,BOUNDARY_0126
DISTRICT_0322,BOUNDARY_0052
DISTRICT_0323,BOUNDARY_0052
DISTRICT_0324,BOUNDARY_0163
DISTRICT_0324,BOUNDARY_0073
DISTRICT_0325,BOUNDARY_0187
DISTRICT_0325,BOUNDARY_0000
DISTRICT_0326,BOUNDARY_0047
DISTRICT_0327,BOUNDARY_0189
DISTRICT_0327,BOUNDARY_0078
DISTRICT_0328,BOUNDARY_0043
DISTRICT_0329,BOUNDARY_0174
DISTRICT_0329,BOUNDARY_0017
DISTRICT_0330,BOUNDARY_0047
DISTRICT_0331,BOUNDARY_0116
DISTRICT_0331,BOUNDARY_0036
DISTRICT_0332,BOUNDARY_0170
DISTRICT_0333,BOUNDARY_0109
DISTRICT_0333,BOUNDARY_0085
DISTRICT_0334,BOUNDARY_0045
DISTRICT_0335,BOUNDARY_0019
DISTRICT_0335,BOUNDARY_0043
DISTRICT_0336,BOUNDARY_0152
DISTRICT_0337,BOUNDARY_0121
DISTRICT_0337,BOUNDARY_0149
DISTRICT_0338,BOUNDARY_0125
DISTRICT_0339,BOUNDARY_0120
DISTRICT_0340,BOUNDARY_0011
DISTRICT_0341,BOUNDARY_0145
DISTRICT_0342,BOUNDARY_0058
DISTRICT_0342,BOUNDARY_0134
DISTRICT_0343,BOUNDARY_0193
DISTRICT_0344,BOUNDARY_0198
DISTRICT_0345,BOUNDARY_0025
DISTRICT_0346,BOUNDARY_0188
DISTRICT_0346,BOUNDARY_0085
DISTRICT_0347,BOUNDARY_0125
DISTRICT_0347,BOUNDARY_0188
DISTRICT_0348,BOUNDARY_0139
DISTRICT_0348,BOUNDARY_0065
DISTRICT_0349,BOUNDARY_0064
DISTRICT_0349,BOUNDARY_0093
DISTRICT_0350,BOUNDARY_0003
DISTRICT_0350,BOUNDARY_0090
DISTRICT_0351,BOUNDARY_0181
DISTRICT_0351,BOUNDARY_0085
DISTRICT_0352,BOUNDARY_0028
DISTRICT_0352,BOUNDARY_0069
DISTRICT_0353,BOUNDARY_0037
DISTRICT_0354,BOUNDARY_0056
DISTRICT_0354,BOUNDARY_0168
DISTRICT_0355,BOUNDARY_0091
DISTRICT_0356,BOUNDARY_0007
DISTRICT_0356,BOUNDARY_0062
DISTRICT_0357,BOUNDARY_0092
DISTRICT_0357,BOUNDARY_0052
DISTRICT_0358,BOUNDARY_0049
DISTRICT_0359,BOUNDARY_0163
DISTRICT_0359,BOUNDARY_0027
DISTRICT_0360,BOUNDARY_0160
DISTRICT_0360,BOUNDARY_0173
DISTRICT_0361,BOUNDARY_0134
DISTRICT_0361,BOUNDARY_0044
DISTRICT_0362,BOUNDARY_0173
DISTRICT_0362,BOUNDARY_0089
DISTRICT_0363,BOUNDARY_0100
DISTRICT_0363,BOUNDARY_0150
DISTRICT_0364,BOUNDARY_0070
DISTRICT_0364,BOUNDARY_0079
DISTRICT_0365,BOUNDARY_0010
DISTRICT_0366,BOUNDARY_0156
DISTRICT_0366,BOUNDARY_0031
DISTRICT_0367,BOUNDARY_0116
DISTRICT_0367,BOUNDARY_0145
DISTRICT_0368,BOUNDARY_0073
DISTRICT_0368,BOUNDARY_0028
DISTRICT_0369,BOUNDARY_0127
DISTRICT_0370,BOUNDARY_0119
DISTRICT_0371,BOUNDARY_0133
DISTRICT_0372,BOUNDARY_0159
DISTRICT_0372,BOUNDARY_0142
DISTRICT_0373,BOUNDARY_0077
DISTRICT_0374,BOUNDARY_0073
DISTRICT_0374,BOUNDARY_0016
DISTRICT_0375,BOUNDARY_0003
DISTRICT_0375,BOUNDARY_0116
DISTRICT_0376,BOUNDARY_0055
DISTRICT_0377,BOUNDARY_0151
DISTRICT_0377,BOUNDARY_0031
DISTRICT_0378,BOUNDARY_0125
DISTRICT_0379,BOUNDARY_0001
DISTRICT_0379,BOUNDARY_0110
DISTRICT_0380,BOUNDARY_0169
DISTRICT_0380,BOUNDARY_0000
DISTRICT_0381,BOUNDARY_0064
DISTRICT_0382,BOUNDARY_0089
DISTRICT_0383,BOUNDARY_0128
DISTRICT_0383,BOUNDARY_0170
DISTRICT_0384,BOUNDARY_0022
DISTRICT_0385,BOUNDARY_0036
DISTRICT_0385,BOUNDARY_0187
DISTRICT_0386,BOUNDARY_0110
DISTRICT_0387,BOUNDARY_0074
DISTRICT_0388,BOUNDARY_0008
DISTRICT_0389,BOUNDARY_0090
DISTRICT_0389,BOUNDARY_0063
DISTRICT_0390,BOUNDARY_0108
DISTRICT_0390,BOUNDARY_0102
DISTRICT_0391,BOUNDARY_0066
DISTRICT_0392,BOUNDARY_0152
DISTRICT_0392,BOUNDARY_0079
DISTRICT_0393,BOUNDARY_0144
DISTRICT_0394,BOUNDARY_0173
DISTRICT_0394,BOUNDARY_0082
DISTRICT_0395,BOUNDARY_0174
DISTRICT_0396,BOUNDARY_0064
DISTRICT_0397,BOUNDARY_0106
DISTRICT_0398,BOUNDARY_0077
DISTRICT_0399,BOUNDARY_0021
DISTRICT_0399,BOUNDARY_0076
DISTRICT_0400,BOUNDARY_0139
DISTRICT_0400,BOUNDARY_0046
DISTRICT_0401,BOUNDARY_0111
DISTRICT_0401,BOUNDARY_0024
DISTRICT_0402,BOUNDARY_0134
DISTRICT_0403,BOUNDARY_0177
DISTRICT_0403,BOUNDARY_0080
DISTRICT_0404,BOUNDARY_0119
DISTRICT_0404,BOUNDARY_0090
DISTRICT_0405,BOUNDARY_0119
DISTRICT_0405,BOUNDARY_0107
DISTRICT_0406,BOUNDARY_0118
DISTRICT_0406,BOUNDARY_0007
DISTRICT_0407,BOUNDARY_0196
DISTRICT_0408,BOUNDARY_0022
DISTRICT_0408,BOUNDARY_0193
DISTRICT_0409,BOUNDARY_0157
DISTRICT_0410,BOUNDARY_0062
DISTRICT_0410,BOUNDARY_0148
DISTRICT_0411,BOUNDARY_0032
DISTRICT_0411,BOUNDARY_0158
DISTRICT_0412,BOUNDARY_0013
DISTRICT_0412,BOUNDARY_0193
DISTRICT_0413,BOUNDARY_0032
DISTRICT_0413,BOUNDARY_0103
DISTRICT_0414,BOUNDARY_0118
DISTRICT_0415,BOUNDARY_0013
DISTRICT_0415,BOUNDARY_0021
DISTRICT_0416,BOUNDARY_0069
DISTRICT_0417,BOUNDARY_0085
DISTRICT_0418,BOUNDARY_0074
DISTRICT_0419,BOUNDARY_0176
DISTRICT_0419,BOUNDARY_0084
DISTRICT_0420,BOUNDARY_0031
DISTRICT_0421,BOUNDARY_0179
DISTRICT_0422,BOUNDARY_0132
DISTRICT_0423,BOUNDARY_0143
DISTRICT_0424,BOUNDARY_0034
DISTRICT_0424,BOUNDARY_0057
DISTRICT_0425,BOUNDARY_0077
DISTRICT_0426,BOUNDARY_0184
DISTRICT_0426,BOUNDARY_0001
DISTRICT_0427,BOUNDARY_0159
DISTRICT_0427,BOUNDARY_0176
DISTRICT_0428,BOUNDARY_0029
DISTRICT_0429,BOUNDARY_0000
DISTRICT_0430,BOUNDARY_0154
DISTRICT_0431,BOUNDARY_0133
DISTRICT_0432,BOUNDARY_0063
DISTRICT_0433,BOUNDARY_0026
DISTRICT_0434,BOUNDARY_0006
DISTRICT_0434,BOUNDARY_0129
DISTRICT_0435,BOUNDARY_0100
DISTRICT_0435,BOUNDARY_0014
DISTRICT_0436,BOUNDARY_0076
DISTRICT_0437,BOUNDARY_0123
DISTRICT_0437,BOUNDARY_0047
