CITY,RELIGION,percentage
CITY_0077,RELIGION_021,34.26
CITY_0077,RELIGION_019,43.34
CITY_0078,RELIGION_042,100.0
CITY_0079,RELIGION_032,100.0
CITY_0080,RELIGION_010,100.0
CITY_0081,RELIGION_048,45.46
CITY_0081,RELIGION_030,5.47
CITY_0081,RELIGION_010,49.07
CITY_0082,RELIGION_003,100.0
CITY_0083,RELIGION_035,100.0
CITY_0084,RELIGION_039,100.0
CITY_0085,RELIGION_034,84.38
CITY_0085,RELIGION_008,15.62
CITY_0086,RELIGION_014,0.87
CITY_0086,RELIGION_008,22.98
CITY_0086,RELIGION_042,76.15
CITY_0087,RELIGION_003,100.0
CITY_0088,RELIGION_005,33.87
CITY_0088,RELIGION_017,66.13
CITY_0089,RELIGION_031,50.84
CITY_0089,RELIGION_017,49.16
CITY_0090,RELIGION_013,41.85
CITY_0090,RELIGION_046,23.32
CITY_0090,RELIGION_008,34.83
CITY_0091,RELIGION_033,19.84
CITY_0091,RELIGION_047,76.94
CITY_0091,RELIGION_007,3.22
CITY_0092,RELIGION_026,100.0
CITY_0093,RELIGION_036,9.51
CITY_0093,RELIGION_038,90.49
CITY_0094,RELIGION_012,19.89
CITY_0094,RELIGION_044,39.2
CITY_0094,RELIGION_000,40.91
CITY_0095,RELIGION_008,0.45
CITY_0095,RELIGION_047,97.81
CITY_0095,RELIGION_040,1.74
CITY_0096,RELIGION_000,48.48
CITY_0096,RELIGION_008,38.32
CITY_0096,RELIGION_002,13.2
CITY_0097,RELIGION_013,33.6
CITY_0097,RELIGION_003,45.43
CITY_0097,RELIGION_017,20.97
CITY_0098,RELIGION_044,91.13
CITY_0098,RELIGION_009,4.01
CITY_0098,RELIGION_014,4.86
CITY_0099,RELIGION_008,100.0
CITY_0100,RELIGION_028,25.77
CITY_0100,RELIGION_031,70.66
CITY_0100,RELIGION_022,3.57
CITY_0101,RELIGION_044,100.0
CITY_0102,RELIGION_015,100.0
CITY_0103,RELIGION_045,56.82
CITY_0103,RELIGION_012,43.18
CITY_0104,RELIGION_049,100.0
CITY_0105,RELIGION_032,100.0
CITY_0106,RELIGION_026,100.0
CITY_0107,RELIGION_003,73.52
CITY_0107,RELIGION_026,26.48
CITY_0108,RELIGION_025,26.31
CITY_0108,RELIGION_012,73.69
CITY_0109,RELIGION_043,100.0
CITY_0110,RELIGION_022,100.0
CITY_0111,RELIGION_038,8.97
CITY_0111,RELIGION_014,65.11
CITY_0111,RELIGION_028,25.91
CITY_0112,RELIGION_029,44.36
CITY_0112,RELIGION_022,55.64
CITY_0113,RELIGION_037,97.3
CITY_0113,RELIGION_006,2.7
CITY_0114,RELIGION_034,73.67
CITY_0114,RELIGION_014,2.13
CITY_0114,RELIGION_008,24.2
CITY_0115,RELIGION_043,100.0
CITY_0116,RELIGION_041,100.0
CITY_0117,RELIGION_038,100.0
CITY_0118,RELIGION_026,100.0
CITY_0119,RELIGION_043,93.58
CITY_0119,RELIGION_047,6.14
CITY_0119,RELIGION_004,0.29
CITY_0120,RELIGION_019,19.74
CITY_0120,RELIGION_024,80.26
CITY_0121,RELIGION_002,16.59
CITY_0121,RELIGION_010,15.5
CITY_0121,RELIGION_037,67.91
CITY_0122,RELIGION_033,41.99
CITY_0122,RELIGION_013,50.1
CITY_0122,RELIGION_007,7.91
CITY_0123,RELIGION_016,100.0
CITY_0124,RELIGION_047,100.0
CITY_0125,RELIGION_017,7.17
CITY_0125,RELIGION_004,45.57
CITY_0125,RELIGION_039,47.27
CITY_0126,RELIGION_025,88.9
CITY_0126,RELIGION_010,11.1
CITY_0127,RELIGION_036,100.0
CITY_0128,RELIGION_012,100.0
CITY_0129,RELIGION_026,100.0
CITY_0130,RELIGION_000,57.46
CITY_0130,RELIGION_032,42.54
CITY_0131,RELIGION_023,100.0
CITY_0132,RELIGION_035,44.75
CITY_0132,RELIGION_023,55.25
CITY_0133,RELIGION_025,40.84
CITY_0133,RELIGION_029,59.16
CITY_0134,RELIGION_024,100.0
CITY_0135,RELIGION_044,100.0
CITY_0136,RELIGION_009,92.82
CITY_0136,RELIGION_005,7.18
CITY_0137,RELIGION_032,29.78
CITY_0137,RELIGION_025,9.41
CITY_0137,RELIGION_023,60.81
CITY_0138,RELIGION_003,32.69
CITY_0138,RELIGION_019,67.31
CITY_0139,RELIGION_018,9.64
CITY_0139,RELIGION_049,88.44
CITY_0139,RELIGION_048,1.93
CITY_0140,RELIGION_019,94.01
CITY_0140,RELIGION_041,5.99
CITY_0141,RELIGION_028,100.0
CITY_0142,RELIGION_025,40.54
CITY_0142,RELIGION_012,59.46
CITY_0143,RELIGION_019,89.8
CITY_0143,RELIGION_038,8.21
CITY_0143,RELIGION_049,1.98
CITY_0144,RELIGION_045,100.0
CITY_0145,RELIGION_036,100.0
CITY_0146,RELIGION_022,17.93
CITY_0146,RELIGION_000,82.07
CITY_0147,RELIGION_041,96.67
CITY_0147,RELIGION_038,3.33
CITY_0148,RELIGION_010,90.6
CITY_0148,RELIGION_029,9.4
CITY_0149,RELIGION_008,100.0
CITY_0150,RELIGION_024,100.0
CITY_0151,RELIGION_027,100.0
CITY_0152,RELIGION_005,100.0
CITY_0153,RELIGION_009,6.94
CITY_0153,RELIGION_016,93.06
CITY_0154,RELIGION_026,100.0
CITY_0155,RELIGION_008,4.04
CITY_0155,RELIGION_047,61.67
CITY_0155,RELIGION_021,34.29
CITY_0156,RELIGION_035,47.42
CITY_0156,RELIGION_044,44.52
CITY_0156,RELIGION_020,8.06
CITY_0157,RELIGION_043,16.9
CITY_0157,RELIGION_009,83.1
CITY_0158,RELIGION_043,100.0
CITY_0159,RELIGION_032,15.89
CITY_0159,RELIGION_040,41.93
CITY_0159,RELIGION_002,42.18
CITY_0160,RELIGION_047,15.1
CITY_0160,RELIGION_031,39.29
CITY_0160,RELIGION_038,45.61
CITY_0161,RELIGION_039,64.73
CITY_0161,RELIGION_006,15.78
CITY_0161,RELIGION_047,19.49
CITY_0162,RELIGION_026,46.03
CITY_0162,RELIGION_009,15.12
CITY_0162,RELIGION_040,38.84
CITY_0163,RELIGION_046,100.0
CITY_0164,RELIGION_045,20.26
CITY_0164,RELIGION_005,79.74
CITY_0165,RELIGION_038,4.33
CITY_0165,RELIGION_036,50.02
CITY_0165,RELIGION_043,45.65
CITY_0166,RELIGION_016,3.79
CITY_0166,RELIGION_014,96.21
CITY_0167,RELIGION_035,100.0
CITY_0168,RELIGION_015,24.24
CITY_0168,RELIGION_008,75.76
CITY_0169,RELIGION_018,19.57
CITY_0169,RELIGION_029,77.77
CITY_0169,RELIGION_011,2.66
CITY_0170,RELIGION_042,75.47
CITY_0170,RELIGION_003,24.53
CITY_0171,RELIGION_034,80.19
CITY_0171,RELIGION_015,19.81
CITY_0172,RELIGION_015,100.0
CITY_0173,RELIGION_012,69.77
CITY_0173,RELIGION_002,30.23
CITY_0174,RELIGION_015,25.2
CITY_0174,RELIGION_004,15.97
CITY_0174,RELIGION_005,58.83
CITY_0175,RELIGION_023,16.6
CITY_0175,RELIGION_042,44.44
CITY_0175,RELIGION_033,38.95
CITY_0176,RELIGION_025,66.9
CITY_0176,RELIGION_001,33.1
CITY_0177,RELIGION_046,22.94
CITY_0177,RELIGION_017,77.06
CITY_0178,RELIGION_029,25.79
CITY_0178,RELIGION_049,74.21
CITY_0179,RELIGION_024,52.84
CITY_0179,RELIGION_044,14.05
CITY_0179,RELIGION_036,33.11
CITY_0180,RELIGION_017,14.24
CITY_0180,RELIGION_031,5.85
CITY_0180,RELIGION_021,79.91
CITY_0181,RELIGION_025,24.76
CITY_0181,RELIGION_037,75.24
CITY_0182,RELIGION_046,32.35
CITY_0182,RELIGION_017,7.12
CITY_0182,RELIGION_049,60.52
CITY_0183,RELIGION_021,91.67
CITY_0183,RELIGION_012,7.34
CITY_0183,RELIGION_023,0.98
CITY_0184,RELIGION_027,100.0
CITY_0185,RELIGION_036,84.95
CITY_0185,RELIGION_030,15.05
CITY_0186,RELIGION_025,97.49
CITY_0186,RELIGION_024,2.51
CITY_0187,RELIGION_038,87.73
CITY_0187,RELIGION_049,6.41
CITY_0187,RELIGION_032,5.85
CITY_0188,RELIGION_004,5.65
CITY_0188,RELIGION_027,94.35
CITY_0189,RELIGION_017,100.0
CITY_0190,RELIGION_005,100.0
CITY_0191,RELIGION_021,100.0
CITY_0192,RELIGION_023,60.54
CITY_0192,RELIGION_001,39.46
CITY_0193,RELIGION_044,26.67
CITY_0193,RELIGION_000,32.67
CITY_0193,RELIGION_036,40.66
CITY_0194,RELIGION_039,9.1
CITY_0194,RELIGION_019,90.9
CITY_0195,RELIGION_005,5.21
CITY_0195,RELIGION_021,94.37
CITY_0195,RELIGION_011,0.42
CITY_0196,RELIGION_038,61.8
CITY_0196,RELIGION_009,38.2
CITY_0197,RELIGION_023,41.36
CITY_0197,RELIGION_036,58.64
CITY_0198,RELIGION_025,51.63
CITY_0198,RELIGION_019,48.37
CITY_0199,RELIGION_011,53.26
CITY_0199,RELIGION_007,46.74
CITY_0200,RELIGION_000,100.0
CITY_0201,RELIGION_017,23.42
CITY_0201,RELIGION_008,76.58
CITY_0202,RELIGION_023,100.0
CITY_0203,RELIGION_037,30.7
CITY_0203,RELIGION_007,44.26
CITY_0203,RELIGION_017,25.04
CITY_0204,RELIGION_024,100.0
CITY_0205,RELIGION_018,100.0
CITY_0206,RELIGION_042,100.0
CITY_0207,RELIGION_041,51.53
CITY_0207,RELIGION_034,48.47
CITY_0208,RELIGION_012,68.84
CITY_0208,RELIGION_015,29.94
CITY_0208,RELIGION_010,1.22
CITY_0209,RELIGION_007,52.06
CITY_0209,RELIGION_019,47.94
CITY_0210,RELIGION_019,39.92
CITY_0210,RELIGION_013,60.08
CITY_0211,RELIGION_003,54.49
CITY_0211,RELIGION_028,11.09
CITY_0211,RELIGION_036,34.41
CITY_0212,RELIGION_014,29.02
CITY_0212,RELIGION_042,70.98
CITY_0213,RELIGION_014,39.8
CITY_0213,RELIGION_006,60.2
CITY_0214,RELIGION_001,25.55
CITY_0214,RELIGION_034,67.03
CITY_0214,RELIGION_041,7.43
CITY_0215,RELIGION_046,1.87
CITY_0215,RELIGION_007,62.34
CITY_0215,RELIGION_031,35.79
CITY_0216,RELIGION_022,9.79
CITY_0216,RELIGION_010,30.21
CITY_0216,RELIGION_009,60.0
CITY_0217,RELIGION_005,100.0
CITY_0218,RELIGION_046,65.53
CITY_0218,RELIGION_035,34.47
CITY_0219,RELIGION_005,76.98
CITY_0219,RELIGION_035,23.02
CITY_0220,RELIGION_020,61.45
CITY_0220,RELIGION_010,38.55
CITY_0221,RELIGION_023,100.0
CITY_0222,RELIGION_017,22.72
CITY_0222,RELIGION_047,15.44
CITY_0222,RELIGION_011,61.84
CITY_0223,RELIGION_032,25.68
CITY_0223,RELIGION_029,74.32
CITY_0224,RELIGION_017,10.55
CITY_0224,RELIGION_043,89.45
CITY_0225,RELIGION_043,71.01
CITY_0225,RELIGION_031,0.05
CITY_0225,RELIGION_003,28.94
CITY_0226,RELIGION_031,100.0
CITY_0227,RELIGION_041,100.0
CITY_0228,RELIGION_041,100.0
CITY_0229,RELIGION_001,25.19
CITY_0229,RELIGION_044,15.68
CITY_0229,RELIGION_033,59.13
CITY_0230,RELIGION_021,29.02
CITY_0230,RELIGION_047,70.98
CITY_0231,RELIGION_014,100.0
CITY_0232,RELIGION_029,13.2
CITY_0232,RELIGION_028,86.8
CITY_0233,RELIGION_036,100.0
CITY_0234,RELIGION_025,72.6
CITY_0234,RELIGION_043,27.4
CITY_0235,RELIGION_026,54.01
CITY_0235,RELIGION_012,45.99
CITY_0236,RELIGION_029,100.0
CITY_0237,RELIGION_007,100.0
CITY_0238,RELIGION_003,5.84
CITY_0238,RELIGION_041,94.16
CITY_0239,RELIGION_048,100.0
CITY_0240,RELIGION_044,26.84
CITY_0240,RELIGION_022,20.16
CITY_0240,RELIGION_009,52.99
CITY_0241,RELIGION_034,94.1
CITY_0241,RELIGION_004,5.9
CITY_0242,RELIGION_023,100.0
CITY_0243,RELIGION_041,88.8
CITY_0243,RELIGION_033,11.2
CITY_0244,RELIGION_002,55.44
CITY_0244,RELIGION_001,21.65
CITY_0244,RELIGION_009,22.92
CITY_0245,RELIGION_043,31.72
CITY_0245,RELIGION_011,68.28
CITY_0246,RELIGION_008,10.13
CITY_0246,RELIGION_004,40.82
CITY_0246,RELIGION_019,49.05
CITY_0247,RELIGION_020,100.0
CITY_0248,RELIGION_042,89.37
CITY_0248,RELIGION_012,10.63
CITY_0249,RELIGION_027,100.0
CITY_0250,RELIGION_038,100.0
CITY_0251,RELIGION_014,11.35
CITY_0251,RELIGION_036,88.65
CITY_0252,RELIGION_007,61.38
CITY_0252,RELIGION_049,25.21
CITY_0252,RELIGION_013,13.41
CITY_0253,RELIGION_033,74.94
CITY_0253,RELIGION_040,25.06
CITY_0254,RELIGION_005,16.6
CITY_0254,RELIGION_031,80.86
CITY_0254,RELIGION_010,2.54
CITY_0255,RELIGION_012,100.0
CITY_0256,RELIGION_012,100.0
CITY_0257,RELIGION_039,69.9
CITY_0257,RELIGION_022,30.1
CITY_0258,RELIGION_045,94.14
CITY_0258,RELIGION_009,5.86
CITY_0259,RELIGION_049,5.07
CITY_0259,RELIGION_025,8.65
CITY_0259,RELIGION_011,86.28
CITY_0260,RELIGION_001,22.56
CITY_0260,RELIGION_038,13.94
CITY_0260,RELIGION_041,63.5
CITY_0261,RELIGION_036,100.0
CITY_0262,RELIGION_040,36.6
CITY_0262,RELIGION_031,20.84
CITY_0262,RELIGION_015,42.56
CITY_0263,RELIGION_008,25.19
CITY_0263,RELIGION_046,74.81
CITY_0264,RELIGION_039,28.43
CITY_0264,RELIGION_022,71.57
CITY_0265,RELIGION_043,8.48
CITY_0265,RELIGION_013,26.42
CITY_0265,RELIGION_015,65.1
CITY_0266,RELIGION_010,100.0
CITY_0267,RELIGION_040,100.0
CITY_0268,RELIGION_049,71.71
CITY_0268,RELIGION_028,19.36
CITY_0268,RELIGION_014,8.93
CITY_0269,RELIGION_039,10.12
CITY_0269,RELIGION_012,61.11
CITY_0269,RELIGION_033,28.77
CITY_0270,RELIGION_038,11.68
CITY_0270,RELIGION_011,87.35
CITY_0270,RELIGION_000,0.97
CITY_0271,RELIGION_023,63.1
CITY_0271,RELIGION_030,36.9
CITY_0272,RELIGION_044,36.99
CITY_0272,RELIGION_014,43.33
CITY_0272,RELIGION_022,19.69
CITY_0273,RELIGION_008,100.0
CITY_0274,RELIGION_027,100.0
CITY_0275,RELIGION_005,90.55
CITY_0275,RELIGION_032,9.45
CITY_0276,RELIGION_002,4.31
CITY_0276,RELIGION_030,95.69
CITY_0277,RELIGION_005,34.95
CITY_0277,RELIGION_003,65.05
CITY_0278,RELIGION_029,30.31
CITY_0278,RELIGION_002,9.15
CITY_0278,RELIGION_032,60.54
CITY_0279,RELIGION_024,100.0
CITY_0280,RELIGION_031,9.37
CITY_0280,RELIGION_007,24.82
CITY_0280,RELIGION_048,65.81
CITY_0281,RELIGION_010,49.9
CITY_0281,RELIGION_012,5.7
CITY_0281,RELIGION_024,44.4
CITY_0282,RELIGION_006,100.0
CITY_0283,RELIGION_031,100.0
CITY_0284,RELIGION_009,100.0
CITY_0285,RELIGION_006,11.8
CITY_0285,RELIGION_022,88.2
CITY_0286,RELIGION_035,67.07
CITY_0286,RELIGION_014,1.47
CITY_0286,RELIGION_043,31.46
CITY_0287,RELIGION_040,23.07
CITY_0287,RELIGION_011,63.06
CITY_0287,RELIGION_045,13.87
CITY_0288,RELIGION_031,100.0
CITY_0289,RELIGION_040,37.11
CITY_0289,RELIGION_027,24.27
CITY_0289,RELIGION_045,38.62
CITY_0290,RELIGION_034,99.72
CITY_0290,RELIGION_016,0.28
CITY_0291,RELIGION_030,64.67
CITY_0291,RELIGION_012,35.33
CITY_0292,RELIGION_028,87.14
CITY_0292,RELIGION_048,12.86
CITY_0293,RELIGION_008,80.65
CITY_0293,RELIGION_009,19.35
CITY_0294,RELIGION_013,100.0
CITY_0295,RELIGION_009,5.23
CITY_0295,RELIGION_010,11.83
CITY_0295,RELIGION_045,82.94
CITY_0296,RELIGION_001,1.28
CITY_0296,RELIGION_040,97.91
CITY_0296,RELIGION_006,0.81
CITY_0297,RELIGION_018,43.33
CITY_0297,RELIGION_016,18.39
CITY_0297,RELIGION_009,38.28
CITY_0298,RELIGION_035,73.96
CITY_0298,RELIGION_042,26.04
CITY_0299,RELIGION_036,10.62
CITY_0299,RELIGION_009,6.71
CITY_0299,RELIGION_045,82.66
