COUNTRY,BOUNDARY
COUNTRY_032,BOUNDARY_0070
COUNTRY_032,BOUNDARY_0053
COUNTRY_033,BOUNDARY_0022
COUNTRY_033,BOUNDARY_0027
COUNTRY_033,BOUNDARY_0033
COUNTRY_033,BOUNDARY_0161
COUNTRY_033,BOUNDARY_0190
COUNTRY_034,BOUNDARY_0010
COUNTRY_034,BOUNDARY_0150
COUNTRY_035,BOUNDARY_0049
COUNTRY_035,BOUNDARY_0180
COUNTRY_035,BOUNDARY_0114
COUNTRY_036,BOUNDARY_0019
COUNTRY_036,BOUNDARY_0139
COUNTRY_037,BOUNDARY_0077
COUNTRY_037,BOUNDARY_0185
COUNTRY_037,BOUNDARY_0121
COUNTRY_037,BOUNDARY_0194
COUNTRY_038,BOUNDARY_0136
COUNTRY_038,BOUNDARY_0184
COUNTRY_038,BOUNDARY_0039
COUNTRY_039,BOUNDARY_0032
COUNTRY_039,BOUNDARY_0049
COUNTRY_040,BOUNDARY_0140
COUNTRY_040,BOUNDARY_0182
COUNTRY_040,BOUNDARY_0064
COUNTRY_040,BOUNDARY_0194
COUNTRY_040,BOUNDARY_0143
COUNTRY_041,BOUNDARY_0093
COUNTRY_041,BOUNDARY_0114
COUNTRY_041,BOUNDARY_0161
COUNTRY_041,BOUNDARY_0183
COUNTRY_042,BOUNDARY_0111
COUNTRY_042,BOUNDARY_0017
COUNTRY_043,BOUNDARY_0107
COUNTRY_043,BOUNDARY_0134
COUNTRY_043,BOUNDARY_0128
COUNTRY_043,BOUNDARY_0005
COUNTRY_043,BOUNDARY_0042
COUNTRY_044,BOUNDARY_0178
COUNTRY_044,BOUNDARY_0033
COUNTRY_044,BOUNDARY_0074
COUNTRY_044,BOUNDARY_0011
COUNTRY_045,BOUNDARY_0177
COUNTRY_045,BOUNDARY_0048
COUNTRY_046,BOUNDARY_0126
COUNTRY_046,BOUNDARY_0175
COUNTRY_046,BOUNDARY_0136
COUNTRY_046,BOUNDARY_0131
COUNTRY_046,BOUNDARY_0019
COUNTRY_047,BOUNDARY_0112
COUNTRY_047,BOUNDARY_0192
COUNTRY_047,BOUNDARY_0130
COUNTRY_048,BOUNDARY_0143
COUNTRY_048,BOUNDARY_0199
COUNTRY_048,BOUNDARY_0099
COUNTRY_048,BOUNDARY_0102
COUNTRY_048,BOUNDARY_0155
COUNTRY_049,BOUNDARY_0052
COUNTRY_049,BOUNDARY_0047
COUNTRY_049,BOUNDARY_0000
COUNTRY_049,BOUNDARY_0040
