PROVINCE,LANGUAGE,percentage
PROVINCE_0047,LANGUAGE_0000,81.89
PROVINCE_0047,LANGUAGE_0027,2.8
PROVINCE_0048,LANGUAGE_0085,21.67
PROVINCE_0048,LANGUAGE_0072,2.05
PROVINCE_0048,LANGUAGE_0076,76.27
PROVINCE_0049,LANGUAGE_0016,57.54
PROVINCE_0049,LANGUAGE_0099,42.46
PROVINCE_0050,LANGUAGE_0074,27.78
PROVINCE_0050,LANGUAGE_0063,16.68
PROVINCE_0050,LANGUAGE_0002,55.54
PROVINCE_0051,LANGUAGE_0029,100.0
PROVINCE_0052,LANGUAGE_0015,78.03
PROVINCE_0052,LANGUAGE_0018,21.97
PROVINCE_0053,LANGUAGE_0024,14.22
PROVINCE_0053,LANGUAGE_0054,85.78
PROVINCE_0054,LANGUAGE_0070,13.13
PROVINCE_0054,LANGUAGE_0041,86.87
PROVINCE_0055,LANGUAGE_0046,40.09
PROVINCE_0055,LANGUAGE_0049,59.3
PROVINCE_0055,LANGUAGE_0039,0.61
PROVINCE_0056,LANGUAGE_0027,100.0
PROVINCE_0057,LANGUAGE_0033,100.0
PROVINCE_0058,LANGUAGE_0095,100.0
PROVINCE_0059,LANGUAGE_0003,100.0
PROVINCE_0060,LANGUAGE_0061,100.0
PROVINCE_0061,LANGUAGE_0054,100.0
PROVINCE_0062,LANGUAGE_0046,100.0
PROVINCE_0063,LANGUAGE_0020,31.44
PROVINCE_0063,LANGUAGE_0061,46.83
PROVINCE_0063,LANGUAGE_0029,21.73
PROVINCE_0064,LANGUAGE_0063,84.83
PROVINCE_0064,LANGUAGE_0035,3.51
PROVINCE_0064,LANGUAGE_0007,11.66
PROVINCE_0065,LANGUAGE_0076,100.0
PROVINCE_0066,LANGUAGE_0007,12.59
PROVINCE_0066,LANGUAGE_0056,76.13
PROVINCE_0066,LANGUAGE_0092,11.28
PROVINCE_0067,LANGUAGE_0010,11.33
PROVINCE_0067,LANGUAGE_0055,87.31
PROVINCE_0067,LANGUAGE_0054,1.36
PROVINCE_0068,LANGUAGE_0002,2.76
PROVINCE_0068,LANGUAGE_0052,51.3
PROVINCE_0068,LANGUAGE_0029,45.94
PROVINCE_0069,LANGUAGE_0016,100.0
PROVINCE_0070,LANGUAGE_0067,62.65
PROVINCE_0070,LANGUAGE_0083,37.35
PROVINCE_0071,LANGUAGE_0043,100.0
PROVINCE_0072,LANGUAGE_0033,44.99
PROVINCE_0072,LANGUAGE_0020,55.01
PROVINCE_0073,LANGUAGE_0080,62.2
PROVINCE_0073,LANGUAGE_0082,27.53
PROVINCE_0073,LANGUAGE_0000,10.28
PROVINCE_0074,LANGUAGE_0089,100.0
PROVINCE_0075,LANGUAGE_0036,23.97
PROVINCE_0075,LANGUAGE_0004,72.91
PROVINCE_0075,LANGUAGE_0031,3.12
PROVINCE_0076,LANGUAGE_0015,100.0
PROVINCE_0077,LANGUAGE_0078,100.0
PROVINCE_0078,LANGUAGE_0051,88.37
PROVINCE_0078,LANGUAGE_0063,11.63
PROVINCE_0079,LANGUAGE_0098,1.04
PROVINCE_0079,LANGUAGE_0081,98.58
PROVINCE_0079,LANGUAGE_0057,0.38
PROVINCE_0080,LANGUAGE_0054,79.86
PROVINCE_0080,LANGUAGE_0039,20.14
PROVINCE_0081,LANGUAGE_0008,37.07
PROVINCE_0081,LANGUAGE_0047,16.27
PROVINCE_0081,LANGUAGE_0056,46.66
PROVINCE_0082,LANGUAGE_0086,96.75
PROVINCE_0082,LANGUAGE_0099,0.34
PROVINCE_0082,LANGUAGE_0044,2.91
PROVINCE_0083,LANGUAGE_0036,20.66
PROVINCE_0083,LANGUAGE_0054,79.34
PROVINCE_0084,LANGUAGE_0031,100.0
PROVINCE_0085,LANGUAGE_0061,39.75
PROVINCE_0085,LANGUAGE_0013,60.25
PROVINCE_0086,LANGUAGE_0032,100.0
PROVINCE_0087,LANGUAGE_0055,32.33
PROVINCE_0087,LANGUAGE_0000,67.67
PROVINCE_0088,LANGUAGE_0005,100.0
PROVINCE_0089,LANGUAGE_0007,42.89
PROVINCE_0089,LANGUAGE_0098,5.66
PROVINCE_0089,LANGUAGE_0015,51.45
PROVINCE_0090,LANGUAGE_0015,48.58
PROVINCE_0090,LANGUAGE_0004,10.85
PROVINCE_0090,LANGUAGE_0026,40.57
PROVINCE_0091,LANGUAGE_0094,100.0
PROVINCE_0092,LANGUAGE_0070,45.58
PROVINCE_0092,LANGUAGE_0029,54.42
PROVINCE_0093,LANGUAGE_0057,100.0
PROVINCE_0094,LANGUAGE_0035,53.41
PROVINCE_0094,LANGUAGE_0097,46.59
PROVINCE_0095,LANGUAGE_0062,100.0
PROVINCE_0096,LANGUAGE_0054,100.0
PROVINCE_0097,LANGUAGE_0005,29.38
PROVINCE_0097,LANGUAGE_0069,64.88
PROVINCE_0097,LANGUAGE_0001,5.74
PROVINCE_0098,LANGUAGE_0012,26.88
PROVINCE_0098,LANGUAGE_0093,13.97
PROVINCE_0098,LANGUAGE_0085,59.15
PROVINCE_0099,LANGUAGE_0057,27.64
PROVINCE_0099,LANGUAGE_0013,72.36
PROVINCE_0100,LANGUAGE_0075,100.0
PROVINCE_0101,LANGUAGE_0092,100.0
PROVINCE_0102,LANGUAGE_0043,100.0
PROVINCE_0103,LANGUAGE_0007,39.6
PROVINCE_0103,LANGUAGE_0059,59.98
PROVINCE_0103,LANGUAGE_0010,0.43
PROVINCE_0104,LANGUAGE_0065,100.0
PROVINCE_0105,LANGUAGE_0052,100.0
PROVINCE_0106,LANGUAGE_0013,6.2
PROVINCE_0106,LANGUAGE_0031,93.8
PROVINCE_0107,LANGUAGE_0059,100.0
PROVINCE_0108,LANGUAGE_0029,19.49
PROVINCE_0108,LANGUAGE_0042,28.57
PROVINCE_0108,LANGUAGE_0010,51.94
PROVINCE_0109,LANGUAGE_0036,100.0
PROVINCE_0110,LANGUAGE_0067,67.9
PROVINCE_0110,LANGUAGE_0035,32.1
PROVINCE_0111,LANGUAGE_0038,7.57
PROVINCE_0111,LANGUAGE_0025,92.43
PROVINCE_0112,LANGUAGE_0022,45.36
PROVINCE_0112,LANGUAGE_0014,54.64
PROVINCE_0113,LANGUAGE_0025,2.76
PROVINCE_0113,LANGUAGE_0003,11.61
PROVINCE_0113,LANGUAGE_0002,85.62
PROVINCE_0114,LANGUAGE_0055,41.77
PROVINCE_0114,LANGUAGE_0023,24.79
PROVINCE_0114,LANGUAGE_0044,33.45
PROVINCE_0115,LANGUAGE_0067,53.13
PROVINCE_0115,LANGUAGE_0086,38.11
PROVINCE_0115,LANGUAGE_0045,8.76
PROVINCE_0116,LANGUAGE_0054,30.09
PROVINCE_0116,LANGUAGE_0090,69.91
PROVINCE_0117,LANGUAGE_0076,74.42
PROVINCE_0117,LANGUAGE_0032,25.58
PROVINCE_0118,LANGUAGE_0003,45.66
PROVINCE_0118,LANGUAGE_0026,54.34
PROVINCE_0119,LANGUAGE_0071,100.0
PROVINCE_0120,LANGUAGE_0042,100.0
PROVINCE_0121,LANGUAGE_0085,100.0
PROVINCE_0122,LANGUAGE_0077,100.0
PROVINCE_0123,LANGUAGE_0020,15.22
PROVINCE_0123,LANGUAGE_0056,84.78
PROVINCE_0124,LANGUAGE_0055,88.21
PROVINCE_0124,LANGUAGE_0050,11.79
PROVINCE_0125,LANGUAGE_0019,58.51
PROVINCE_0125,LANGUAGE_0010,41.49
PROVINCE_0126,LANGUAGE_0074,88.5
PROVINCE_0126,LANGUAGE_0008,11.5
PROVINCE_0127,LANGUAGE_0030,6.57
PROVINCE_0127,LANGUAGE_0017,79.79
PROVINCE_0127,LANGUAGE_0089,13.63
PROVINCE_0128,LANGUAGE_0002,39.98
PROVINCE_0128,LANGUAGE_0004,60.02
PROVINCE_0129,LANGUAGE_0034,100.0
PROVINCE_0130,LANGUAGE_0053,18.73
PROVINCE_0130,LANGUAGE_0054,81.27
PROVINCE_0131,LANGUAGE_0039,100.0
PROVINCE_0132,LANGUAGE_0080,31.33
PROVINCE_0132,LANGUAGE_0075,68.67
PROVINCE_0133,LANGUAGE_0096,100.0
PROVINCE_0134,LANGUAGE_0014,100.0
PROVINCE_0135,LANGUAGE_0057,100.0
PROVINCE_0136,LANGUAGE_0062,31.89
PROVINCE_0136,LANGUAGE_0085,47.24
PROVINCE_0136,LANGUAGE_0059,20.87
PROVINCE_0137,LANGUAGE_0032,100.0
PROVINCE_0138,LANGUAGE_0002,100.0
PROVINCE_0139,LANGUAGE_0083,34.18
PROVINCE_0139,LANGUAGE_0033,46.87
PROVINCE_0139,LANGUAGE_0074,18.95
PROVINCE_0140,LANGUAGE_0069,100.0
PROVINCE_0141,LANGUAGE_0008,56.31
PROVINCE_0141,LANGUAGE_0091,5.68
PROVINCE_0141,LANGUAGE_0072,38.01
PROVINCE_0142,LANGUAGE_0090,38.42
PROVINCE_0142,LANGUAGE_0080,43.01
PROVINCE_0142,LANGUAGE_0089,18.57
PROVINCE_0143,LANGUAGE_0073,87.85
PROVINCE_0143,LANGUAGE_0000,12.15
PROVINCE_0144,LANGUAGE_0031,18.76
PROVINCE_0144,LANGUAGE_0085,81.24
PROVINCE_0145,LANGUAGE_0008,42.1
PROVINCE_0145,LANGUAGE_0040,21.51
PROVINCE_0145,LANGUAGE_0022,36.4
PROVINCE_0146,LANGUAGE_0032,100.0
PROVINCE_0147,LANGUAGE_0077,77.45
PROVINCE_0147,LANGUAGE_0064,14.95
PROVINCE_0147,LANGUAGE_0004,7.6
PROVINCE_0148,LANGUAGE_0038,24.78
PROVINCE_0148,LANGUAGE_0082,49.02
PROVINCE_0148,LANGUAGE_0076,26.2
PROVINCE_0149,LANGUAGE_0050,72.72
PROVINCE_0149,LANGUAGE_0077,27.28
