CITY,TIME_ZONE
CITY_0168,TIME_ZONE_044
CITY_0169,TIME_ZONE_027
CITY_0170,TIME_ZONE_021
CITY_0171,TIME_ZONE_001
CITY_0172,TIME_ZONE_008
CITY_0173,TIME_ZONE_000
CITY_0174,TIME_ZONE_002
CITY_0175,TIME_ZONE_002
CITY_0176,TIME_ZONE_009
CITY_0177,TIME_ZONE_019
CITY_0178,TIME_ZONE_023
CITY_0179,TIME_ZONE_040
CITY_0180,TIME_ZONE_014
CITY_0181,TIME_ZONE_037
CITY_0182,TIME_ZONE_041
CITY_0183,TIME_ZONE_014
CITY_0184,TIME_ZONE_004
CITY_0185,TIME_ZONE_015
CITY_0186,TIME_ZONE_008
CITY_0187,TIME_ZONE_041
CITY_0188,TIME_ZONE_007
CITY_0189,TIME_ZONE_020
CITY_0190,TIME_ZONE_020
CITY_0191,TIME_ZONE_004
CITY_0192,TIME_ZONE_013
CITY_0193,TIME_ZONE_000
CITY_0194,TIME_ZONE_020
CITY_0195,TIME_ZONE_021
CITY_0196,TIME_ZONE_030
CITY_0197,TIME_ZONE_002
CITY_0198,TIME_ZONE_033
CITY_0199,TIME_ZONE_013
CITY_0200,TIME_ZONE_040
CITY_0201,TIME_ZONE_040
CITY_0202,TIME_ZONE_027
CITY_0203,TIME_ZONE_035
CITY_0204,TIME_ZONE_047
CITY_0205,TIME_ZONE_011
CITY_0206,TIME_ZONE_043
CITY_0207,TIME_ZONE_006
CITY_0208,TIME_ZONE_018
CITY_0209,TIME_ZONE_019
CITY_0210,TIME_ZONE_018
CITY_0211,TIME_ZONE_033
CITY_0212,TIME_ZONE_033
CITY_0213,TIME_ZONE_039
CITY_0214,TIME_ZONE_024
CITY_0215,TIME_ZONE_024
CITY_0216,TIME_ZONE_037
CITY_0217,TIME_ZONE_039
CITY_0218,TIME_ZONE_045
CITY_0219,TIME_ZONE_031
CITY_0220,TIME_ZONE_009
CITY_0221,TIME_ZONE_031
CITY_0222,TIME_ZONE_044
CITY_0223,TIME_ZONE_014
CITY_0224,TIME_ZONE_027
CITY_0225,TIME_ZONE_028
CITY_0226,TIME_ZONE_040
CITY_0227,TIME_ZONE_028
CITY_0228,TIME_ZONE_046
CITY_0229,TIME_ZONE_018
CITY_0230,TIME_ZONE_041
CITY_0231,TIME_ZONE_026
CITY_0232,TIME_ZONE_009
CITY_0233,TIME_ZONE_047
CITY_0234,TIME_ZONE_000
CITY_0235,TIME_ZONE_008
CITY_0236,TIME_ZONE_023
CITY_0237,TIME_ZONE_032
CITY_0238,TIME_ZONE_047
CITY_0239,TIME_ZONE_045
CITY_0240,TIME_ZONE_010
CITY_0241,TIME_ZONE_023
CITY_0242,TIME_ZONE_018
CITY_0243,TIME_ZONE_013
CITY_0244,TIME_ZONE_004
CITY_0245,TIME_ZONE_033
CITY_0246,TIME_ZONE_013
CITY_0247,TIME_ZONE_011
CITY_0248,TIME_ZONE_045
CITY_0249,TIME_ZONE_034
CITY_0250,TIME_ZONE_006
CITY_0251,TIME_ZONE_047
CITY_0252,TIME_ZONE_008
CITY_0253,TIME_ZONE_012
CITY_0254,TIME_ZONE_004
CITY_0255,TIME_ZONE_008
CITY_0256,TIME_ZONE_012
CITY_0257,TIME_ZONE_038
CITY_0258,TIME_ZONE_009
CITY_0259,TIME_ZONE_041
CITY_0260,TIME_ZONE_000
CITY_0261,TIME_ZONE_040
CITY_0262,TIME_ZONE_019
CITY_0263,TIME_ZONE_039
CITY_0264,TIME_ZONE_005
CITY_0265,TIME_ZONE_003
CITY_0266,TIME_ZONE_024
CITY_0267,TIME_ZONE_047
CITY_0268,TIME_ZONE_000
CITY_0269,TIME_ZONE_005
CITY_0270,TIME_ZONE_033
CITY_0271,TIME_ZONE_015
CITY_0272,TIME_ZONE_026
CITY_0273,TIME_ZONE_016
CITY_0274,TIME_ZONE_031
CITY_0275,TIME_ZONE_010
CITY_0276,TIME_ZONE_013
CITY_0277,TIME_ZONE_045
CITY_0278,TIME_ZONE_035
CITY_0279,TIME_ZONE_029
CITY_0280,TIME_ZONE_022
CITY_0281,TIME_ZONE_001
CITY_0282,TIME_ZONE_034
CITY_0283,TIME_ZONE_010
CITY_0284,TIME_ZONE_049
CITY_0285,TIME_ZONE_030
CITY_0286,TIME_ZONE_025
CITY_0287,TIME_ZONE_033
CITY_0288,TIME_ZONE_045
CITY_0289,TIME_ZONE_005
CITY_0290,TIME_ZONE_042
CITY_0291,TIME_ZONE_029
CITY_0292,TIME_ZONE_011
CITY_0293,TIME_ZONE_011
CITY_0294,TIME_ZONE_022
CITY_0295,TIME_ZONE_030
CITY_0296,TIME_ZONE_029
CITY_0297,TIME_ZONE_020
CITY_0298,TIME_ZONE_016
CITY_0299,TIME_ZONE_047
