MUNICIPALITY,CITY
MUNICIPALITY_1194,CITY_0050
MUNICIPALITY_0659,CITY_0051
MUNICIPALITY_0584,CITY_0052
MUNICIPALITY_0499,CITY_0053
MUNICIPALITY_0902,CITY_0054
MUNICIPALITY_1014,CITY_0055
MUNICIPALITY_0891,CITY_0056
MUNICIPALITY_0870,CITY_0057
MUNICIPALITY_0194,CITY_0058
MUNICIPALITY_1052,CITY_0059
MUNICIPALITY_0397,CITY_0060
MUNICIPALITY_0106,CITY_0061
MUNICIPALITY_1082,CITY_0062
MUNICIPALITY_0765,CITY_0063
MUNICIPALITY_1028,CITY_0064
MUNICIPALITY_0105,CITY_0065
MUNICIPALITY_0122,CITY_0066
MUNICIPALITY_0204,CITY_0067
MUNICIPALITY_1097,CITY_0068
MUNICIPALITY_0983,CITY_0069
MUNICIPALITY_0498,CITY_0070
MUNICIPALITY_0175,CITY_0071
MUNICIPALITY_0639,CITY_0072
MUNICIPALITY_0422,CITY_0073
MUNICIPALITY_1192,CITY_0074
MUNICIPALITY_0172,CITY_0075
MUNICIPALITY_0664,CITY_0076
MUNICIPALITY_0188,CITY_0077
MUNICIPALITY_0132,CITY_0078
MUNICIPALITY_0512,CITY_0079
MUNICIPALITY_0468,CITY_0080
MUNICIPALITY_0887,CITY_0081
MUNICIPALITY_0985,CITY_0082
MUNICIPALITY_1095,CITY_0083
MUNICIPALITY_0844,CITY_0084
MUNICIPALITY_0349,CITY_0085
MUNICIPALITY_0212,CITY_0086
MUNICIPALITY_0030,CITY_0087
MUNICIPALITY_0995,CITY_0088
MUNICIPALITY_1123,CITY_0089
MUNICIPALITY_0158,CITY_0090
MUNICIPALITY_1123,CITY_0091
MUNICIPALITY_0934,CITY_0092
MUNICIPALITY_0199,CITY_0093
MUNICIPALITY_0092,CITY_0094
MUNICIPALITY_0830,CITY_0095
MUNICIPALITY_1074,CITY_0096
MUNICIPALITY_0655,CITY_0097
MUNICIPALITY_0866,CITY_0098
MUNICIPALITY_0616,CITY_0099
MUNICIPALITY_0263,CITY_0100
MUNICIPALITY_0677,CITY_0101
MUNICIPALITY_0930,CITY_0102
MUNICIPALITY_0108,CITY_0103
MUNICIPALITY_0832,CITY_0104
MUNICIPALITY_1122,CITY_0105
MUNICIPALITY_0004,CITY_0106
MUNICIPALITY_0292,CITY_0107
MUNICIPALITY_0876,CITY_0108
MUNICIPALITY_1184,CITY_0109
MUNICIPALITY_0405,CITY_0110
MUNICIPALITY_0500,CITY_0111
MUNICIPALITY_0147,CITY_0112
MUNICIPALITY_0762,CITY_0113
MUNICIPALITY_0539,CITY_0114
MUNICIPALITY_0367,CITY_0115
MUNICIPALITY_0401,CITY_0116
MUNICIPALITY_0025,CITY_0117
MUNICIPALITY_0827,CITY_0118
MUNICIPALITY_0068,CITY_0119
MUNICIPALITY_0108,CITY_0120
MUNICIPALITY_0378,CITY_0121
MUNICIPALITY_0399,CITY_0122
MUNICIPALITY_0111,CITY_0123
MUNICIPALITY_0378,CITY_0124
MUNICIPALITY_1028,CITY_0125
MUNICIPALITY_0884,CITY_0126
MUNICIPALITY_0686,CITY_0127
MUNICIPALITY_0686,CITY_0128
MUNICIPALITY_0038,CITY_0129
MUNICIPALITY_0668,CITY_0130
MUNICIPALITY_0282,CITY_0131
MUNICIPALITY_0344,CITY_0132
MUNICIPALITY_0590,CITY_0133
MUNICIPALITY_0195,CITY_0134
MUNICIPALITY_0196,CITY_0135
MUNICIPALITY_0592,CITY_0136
MUNICIPALITY_0314,CITY_0137
MUNICIPALITY_0055,CITY_0138
MUNICIPALITY_0826,CITY_0139
MUNICIPALITY_0837,CITY_0140
MUNICIPALITY_0983,CITY_0141
MUNICIPALITY_0075,CITY_0142
MUNICIPALITY_0211,CITY_0143
MUNICIPALITY_0645,CITY_0144
MUNICIPALITY_0154,CITY_0145
MUNICIPALITY_0524,CITY_0146
MUNICIPALITY_0654,CITY_0147
MUNICIPALITY_1159,CITY_0148
MUNICIPALITY_0290,CITY_0149
MUNICIPALITY_0039,CITY_0150
MUNICIPALITY_0195,CITY_0151
MUNICIPALITY_0822,CITY_0152
MUNICIPALITY_0869,CITY_0153
MUNICIPALITY_0511,CITY_0154
MUNICIPALITY_0421,CITY_0155
MUNICIPALITY_1063,CITY_0156
MUNICIPALITY_0288,CITY_0157
MUNICIPALITY_0263,CITY_0158
MUNICIPALITY_0277,CITY_0159
MUNICIPALITY_0279,CITY_0160
MUNICIPALITY_0569,CITY_0161
MUNICIPALITY_0076,CITY_0162
MUNICIPALITY_0064,CITY_0163
MUNICIPALITY_0654,CITY_0164
MUNICIPALITY_0475,CITY_0165
MUNICIPALITY_0267,CITY_0166
MUNICIPALITY_0377,CITY_0167
MUNICIPALITY_0360,CITY_0168
MUNICIPALITY_0096,CITY_0169
MUNICIPALITY_0762,CITY_0170
MUNICIPALITY_0773,CITY_0171
MUNICIPALITY_0286,CITY_0172
MUNICIPALITY_0056,CITY_0173
MUNICIPALITY_0195,CITY_0174
MUNICIPALITY_0094,CITY_0175
MUNICIPALITY_0154,CITY_0176
MUNICIPALITY_0233,CITY_0177
MUNICIPALITY_0425,CITY_0178
MUNICIPALITY_0524,CITY_0179
MUNICIPALITY_1094,CITY_0180
MUNICIPALITY_0628,CITY_0181
MUNICIPALITY_0428,CITY_0182
MUNICIPALITY_0457,CITY_0183
MUNICIPALITY_1179,CITY_0184
MUNICIPALITY_0206,CITY_0185
MUNICIPALITY_0394,CITY_0186
MUNICIPALITY_0466,CITY_0187
MUNICIPALITY_0356,CITY_0188
MUNICIPALITY_0744,CITY_0189
MUNICIPALITY_0371,CITY_0190
MUNICIPALITY_1058,CITY_0191
MUNICIPALITY_0775,CITY_0192
MUNICIPALITY_0239,CITY_0193
MUNICIPALITY_0439,CITY_0194
MUNICIPALITY_0324,CITY_0195
MUNICIPALITY_0498,CITY_0196
MUNICIPALITY_0520,CITY_0197
MUNICIPALITY_0687,CITY_0198
MUNICIPALITY_0843,CITY_0199
MUNICIPALITY_0580,CITY_0200
MUNICIPALITY_0682,CITY_0201
MUNICIPALITY_0258,CITY_0202
MUNICIPALITY_0443,CITY_0203
MUNICIPALITY_0623,CITY_0204
MUNICIPALITY_0380,CITY_0205
MUNICIPALITY_1025,CITY_0206
MUNICIPALITY_0818,CITY_0207
MUNICIPALITY_0611,CITY_0208
MUNICIPALITY_0610,CITY_0209
MUNICIPALITY_0906,CITY_0210
MUNICIPALITY_0876,CITY_0211
MUNICIPALITY_0010,CITY_0212
MUNICIPALITY_0354,CITY_0213
MUNICIPALITY_0540,CITY_0214
MUNICIPALITY_1195,CITY_0215
MUNICIPALITY_1048,CITY_0216
MUNICIPALITY_0880,CITY_0217
MUNICIPALITY_0879,CITY_0218
MUNICIPALITY_0395,CITY_0219
MUNICIPALITY_0548,CITY_0220
MUNICIPALITY_0356,CITY_0221
MUNICIPALITY_0111,CITY_0222
MUNICIPALITY_1194,CITY_0223
MUNICIPALITY_0730,CITY_0224
MUNICIPALITY_0506,CITY_0225
MUNICIPALITY_0895,CITY_0226
MUNICIPALITY_0929,CITY_0227
MUNICIPALITY_0969,CITY_0228
MUNICIPALITY_0496,CITY_0229
MUNICIPALITY_0566,CITY_0230
MUNICIPALITY_1173,CITY_0231
MUNICIPALITY_1126,CITY_0232
MUNICIPALITY_0738,CITY_0233
MUNICIPALITY_0363,CITY_0234
MUNICIPALITY_0966,CITY_0235
MUNICIPALITY_0475,CITY_0236
MUNICIPALITY_0729,CITY_0237
MUNICIPALITY_0828,CITY_0238
MUNICIPALITY_0188,CITY_0239
MUNICIPALITY_0685,CITY_0240
MUNICIPALITY_0363,CITY_0241
MUNICIPALITY_0785,CITY_0242
MUNICIPALITY_0827,CITY_0243
MUNICIPALITY_0759,CITY_0244
MUNICIPALITY_0680,CITY_0245
MUNICIPALITY_1152,CITY_0246
MUNICIPALITY_0135,CITY_0247
MUNICIPALITY_0547,CITY_0248
MUNICIPALITY_0999,CITY_0249
MUNICIPALITY_0798,CITY_0250
MUNICIPALITY_0322,CITY_0251
MUNICIPALITY_0757,CITY_0252
MUNICIPALITY_0504,CITY_0253
MUNICIPALITY_1046,CITY_0254
MUNICIPALITY_0124,CITY_0255
MUNICIPALITY_0853,CITY_0256
MUNICIPALITY_0852,CITY_0257
MUNICIPALITY_0614,CITY_0258
MUNICIPALITY_0215,CITY_0259
MUNICIPALITY_0545,CITY_0260
MUNICIPALITY_0968,CITY_0261
MUNICIPALITY_0756,CITY_0262
MUNICIPALITY_0448,CITY_0263
MUNICIPALITY_0510,CITY_0264
MUNICIPALITY_0828,CITY_0265
MUNICIPALITY_1191,CITY_0266
MUNICIPALITY_0759,CITY_0267
MUNICIPALITY_0326,CITY_0268
MUNICIPALITY_0590,CITY_0269
MUNICIPALITY_0904,CITY_0270
MUNICIPALITY_0554,CITY_0271
MUNICIPALITY_0806,CITY_0272
MUNICIPALITY_0889,CITY_0273
MUNICIPALITY_0650,CITY_0274
MUNICIPALITY_0477,CITY_0275
MUNICIPALITY_0692,CITY_0276
MUNICIPALITY_0426,CITY_0277
MUNICIPALITY_1149,CITY_0278
MUNICIPALITY_1188,CITY_0279
MUNICIPALITY_0835,CITY_0280
MUNICIPALITY_0260,CITY_0281
MUNICIPALITY_1180,CITY_0282
MUNICIPALITY_1129,CITY_0283
MUNICIPALITY_0694,CITY_0284
MUNICIPALITY_0511,CITY_0285
MUNICIPALITY_0315,CITY_0286
MUNICIPALITY_0593,CITY_0287
MUNICIPALITY_0414,CITY_0288
MUNICIPALITY_0795,CITY_0289
MUNICIPALITY_1011,CITY_0290
MUNICIPALITY_0308,CITY_0291
MUNICIPALITY_0609,CITY_0292
MUNICIPALITY_0211,CITY_0293
MUNICIPALITY_0693,CITY_0294
MUNICIPALITY_0972,CITY_0295
MUNICIPALITY_0167,CITY_0296
MUNICIPALITY_0320,CITY_0297
MUNICIPALITY_0937,CITY_0298
MUNICIPALITY_0856,CITY_0299
