CITY,CLIMATE_ZONE
CITY_0089,CLIMATE_ZONE_008
CITY_0090,CLIMATE_ZONE_008
CITY_0091,CLIMATE_ZONE_000
CITY_0092,CLIMATE_ZONE_015
CITY_0093,CLIMATE_ZONE_014
CITY_0094,CLIMATE_ZONE_014
CITY_0095,CLIMATE_ZONE_019
CITY_0096,CLIMATE_ZONE_009
CITY_0097,CLIMATE_ZONE_012
CITY_0098,CLIMATE_ZONE_005
CITY_0099,CLIMATE_ZONE_001
CITY_0100,CLIMATE_ZONE_014
CITY_0101,CLIMATE_ZONE_004
CITY_0102,CLIMATE_ZONE_012
CITY_0103,CLIMATE_ZONE_013
CITY_0104,CLIMATE_ZONE_004
CITY_0105,CLIMATE_ZONE_019
CITY_0106,CLIMATE_ZONE_004
CITY_0107,CLIMATE_ZONE_011
CITY_0108,CLIMATE_ZONE_000
CITY_0109,CLIMATE_ZONE_017
CITY_0110,CLIMATE_ZONE_002
CITY_0111,CLIMATE_ZONE_015
CITY_0112,CLIMATE_ZONE_015
CITY_0113,CLIMATE_ZONE_012
CITY_0114,CLIMATE_ZONE_001
CITY_0115,CLIMATE_ZONE_005
CITY_0116,CLIMATE_ZONE_018
CITY_0117,CLIMATE_ZONE_019
CITY_0118,CLIMATE_ZONE_002
CITY_0119,CLIMATE_ZONE_008
CITY_0120,CLIMATE_ZONE_000
CITY_0121,CLIMATE_ZONE_012
CITY_0122,CLIMATE_ZONE_016
CITY_0123,CLIMATE_ZONE_017
CITY_0124,CLIMATE_ZONE_008
CITY_0125,CLIMATE_ZONE_002
CITY_0126,CLIMATE_ZONE_006
CITY_0127,CLIMATE_ZONE_006
CITY_0128,CLIMATE_ZONE_006
CITY_0129,CLIMATE_ZONE_014
CITY_0130,CLIMATE_ZONE_007
CITY_0131,CLIMATE_ZONE_002
CITY_0132,CLIMATE_ZONE_004
CITY_0133,CLIMATE_ZONE_010
CITY_0134,CLIMATE_ZONE_011
CITY_0135,CLIMATE_ZONE_005
CITY_0136,CLIMATE_ZONE_006
CITY_0137,CLIMATE_ZONE_011
CITY_0138,CLIMATE_ZONE_012
CITY_0139,CLIMATE_ZONE_003
CITY_0140,CLIMATE_ZONE_014
CITY_0141,CLIMATE_ZONE_017
CITY_0142,CLIMATE_ZONE_002
CITY_0143,CLIMATE_ZONE_014
CITY_0144,CLIMATE_ZONE_000
CITY_0145,CLIMATE_ZONE_006
CITY_0146,CLIMATE_ZONE_005
CITY_0147,CLIMATE_ZONE_003
CITY_0148,CLIMATE_ZONE_002
CITY_0149,CLIMATE_ZONE_019
CITY_0150,CLIMATE_ZONE_005
CITY_0151,CLIMATE_ZONE_000
CITY_0152,CLIMATE_ZONE_012
CITY_0153,CLIMATE_ZONE_003
CITY_0154,CLIMATE_ZONE_007
CITY_0155,CLIMATE_ZONE_013
CITY_0156,CLIMATE_ZONE_007
CITY_0157,CLIMATE_ZONE_016
CITY_0158,CLIMATE_ZONE_010
CITY_0159,CLIMATE_ZONE_004
CITY_0160,CLIMATE_ZONE_014
CITY_0161,CLIMATE_ZONE_015
CITY_0162,CLIMATE_ZONE_017
CITY_0163,CLIMATE_ZONE_018
CITY_0164,CLIMATE_ZONE_011
CITY_0165,CLIMATE_ZONE_012
CITY_0166,CLIMATE_ZONE_003
CITY_0167,CLIMATE_ZONE_006
CITY_0168,CLIMATE_ZONE_006
CITY_0169,CLIMATE_ZONE_014
CITY_0170,CLIMATE_ZONE_002
CITY_0171,CLIMATE_ZONE_017
CITY_0172,CLIMATE_ZONE_009
CITY_0173,CLIMATE_ZONE_009
CITY_0174,CLIMATE_ZONE_008
CITY_0175,CLIMATE_ZONE_018
CITY_0176,CLIMATE_ZONE_001
CITY_0177,CLIMATE_ZONE_005
CITY_0178,CLIMATE_ZONE_018
CITY_0179,CLIMATE_ZONE_010
CITY_0180,CLIMATE_ZONE_001
CITY_0181,CLIMATE_ZONE_004
CITY_0182,CLIMATE_ZONE_012
CITY_0183,CLIMATE_ZONE_009
CITY_0184,CLIMATE_ZONE_016
CITY_0185,CLIMATE_ZONE_001
CITY_0186,CLIMATE_ZONE_003
CITY_0187,CLIMATE_ZONE_013
CITY_0188,CLIMATE_ZONE_008
CITY_0189,CLIMATE_ZONE_009
CITY_0190,CLIMATE_ZONE_001
CITY_0191,CLIMATE_ZONE_007
CITY_0192,CLIMATE_ZONE_014
CITY_0193,CLIMATE_ZONE_006
CITY_0194,CLIMATE_ZONE_008
CITY_0195,CLIMATE_ZONE_003
CITY_0196,CLIMATE_ZONE_012
CITY_0197,CLIMATE_ZONE_015
CITY_0198,CLIMATE_ZONE_017
CITY_0199,CLIMATE_ZONE_003
CITY_0200,CLIMATE_ZONE_004
CITY_0201,CLIMATE_ZONE_014
CITY_0202,CLIMATE_ZONE_015
CITY_0203,CLIMATE_ZONE_016
CITY_0204,CLIMATE_ZONE_005
CITY_0205,CLIMATE_ZONE_005
CITY_0206,CLIMATE_ZONE_002
CITY_0207,CLIMATE_ZONE_000
CITY_0208,CLIMATE_ZONE_005
CITY_0209,CLIMATE_ZONE_002
CITY_0210,CLIMATE_ZONE_015
CITY_0211,CLIMATE_ZONE_018
CITY_0212,CLIMATE_ZONE_017
CITY_0213,CLIMATE_ZONE_005
CITY_0214,CLIMATE_ZONE_003
CITY_0215,CLIMATE_ZONE_006
CITY_0216,CLIMATE_ZONE_008
CITY_0217,CLIMATE_ZONE_016
CITY_0218,CLIMATE_ZONE_013
CITY_0219,CLIMATE_ZONE_005
CITY_0220,CLIMATE_ZONE_018
CITY_0221,CLIMATE_ZONE_017
CITY_0222,CLIMATE_ZONE_010
CITY_0223,CLIMATE_ZONE_015
CITY_0224,CLIMATE_ZONE_019
CITY_0225,CLIMATE_ZONE_014
CITY_0226,CLIMATE_ZONE_007
CITY_0227,CLIMATE_ZONE_013
CITY_0228,CLIMATE_ZONE_007
CITY_0229,CLIMATE_ZONE_017
CITY_0230,CLIMATE_ZONE_007
CITY_0231,CLIMATE_ZONE_003
CITY_0232,CLIMATE_ZONE_016
CITY_0233,CLIMATE_ZONE_005
CITY_0234,CLIMATE_ZONE_017
CITY_0235,CLIMATE_ZONE_010
CITY_0236,CLIMATE_ZONE_013
CITY_0237,CLIMATE_ZONE_000
CITY_0238,CLIMATE_ZONE_010
CITY_0239,CLIMATE_ZONE_007
CITY_0240,CLIMATE_ZONE_018
CITY_0241,CLIMATE_ZONE_014
CITY_0242,CLIMATE_ZONE_000
CITY_0243,CLIMATE_ZONE_015
CITY_0244,CLIMATE_ZONE_018
CITY_0245,CLIMATE_ZONE_017
CITY_0246,CLIMATE_ZONE_013
CITY_0247,CLIMATE_ZONE_012
CITY_0248,CLIMATE_ZONE_003
CITY_0249,CLIMATE_ZONE_014
CITY_0250,CLIMATE_ZONE_015
CITY_0251,CLIMATE_ZONE_001
CITY_0252,CLIMATE_ZONE_012
CITY_0253,CLIMATE_ZONE_015
CITY_0254,CLIMATE_ZONE_007
CITY_0255,CLIMATE_ZONE_012
CITY_0256,CLIMATE_ZONE_016
CITY_0257,CLIMATE_ZONE_004
CITY_0258,CLIMATE_ZONE_000
CITY_0259,CLIMATE_ZONE_011
CITY_0260,CLIMATE_ZONE_000
CITY_0261,CLIMATE_ZONE_012
CITY_0262,CLIMATE_ZONE_017
CITY_0263,CLIMATE_ZONE_004
CITY_0264,CLIMATE_ZONE_002
CITY_0265,CLIMATE_ZONE_005
CITY_0266,CLIMATE_ZONE_005
CITY_0267,CLIMATE_ZONE_007
CITY_0268,CLIMATE_ZONE_011
CITY_0269,CLIMATE_ZONE_010
CITY_0270,CLIMATE_ZONE_005
CITY_0271,CLIMATE_ZONE_002
CITY_0272,CLIMATE_ZONE_012
CITY_0273,CLIMATE_ZONE_011
CITY_0274,CLIMATE_ZONE_000
CITY_0275,CLIMATE_ZONE_010
CITY_0276,CLIMATE_ZONE_017
CITY_0277,CLIMATE_ZONE_014
CITY_0278,CLIMATE_ZONE_003
CITY_0279,CLIMATE_ZONE_008
CITY_0280,CLIMATE_ZONE_012
CITY_0281,CLIMATE_ZONE_018
CITY_0282,CLIMATE_ZONE_004
CITY_0283,CLIMATE_ZONE_002
CITY_0284,CLIMATE_ZONE_016
CITY_0285,CLIMATE_ZONE_005
CITY_0286,CLIMATE_ZONE_002
CITY_0287,CLIMATE_ZONE_018
CITY_0288,CLIMATE_ZONE_004
CITY_0289,CLIMATE_ZONE_010
CITY_0290,CLIMATE_ZONE_018
CITY_0291,CLIMATE_ZONE_012
CITY_0292,CLIMATE_ZONE_014
CITY_0293,CLIMATE_ZONE_019
CITY_0294,CLIMATE_ZONE_001
CITY_0295,CLIMATE_ZONE_017
CITY_0296,CLIMATE_ZONE_018
CITY_0297,CLIMATE_ZONE_017
CITY_0298,CLIMATE_ZONE_008
CITY_0299,CLIMATE_ZONE_007
