river_id,name,length,source_city,destination_city
RIVER_0054,Thomas River,347.7,Bishophaven,Lake Christopher
RIVER_0055,Gonzalez River,88.01,South Jonathanberg,East Brittanymouth
RIVER_0056,Barnes River,274.71,Jennifermouth,
RIVER_0057,Ritter River,108.69,,West Adrianburgh
RIVER_0058,Banks River,360.17,Johnmouth,South Audreyville
RIVER_0059,Vargas River,310.58,,
RIVER_0060,Diaz River,48.3,,
RIVER_0061,Vaughn River,546.31,,
RIVER_0062,Hayes River,78.01,Diazview,Port Jamesburgh
RIVER_0063,Hurst River,391.38,,Hernandezhaven
RIVER_0064,Adams River,230.61,West Patrick,Drakeside
RIVER_0065,Bryant River,1347.25,,Donnamouth
RIVER_0066,Baker River,113.5,,
RIVER_0067,Wilson River,97.59,,
RIVER_0068,Burns River,144.99,,Hawkinsbury
RIVER_0069,Vazquez River,103.15,Millsport,Benjaminville
RIVER_0070,Jimenez River,387.58,East Devin,East Patriciafurt
RIVER_0071,Jones River,21.34,,
RIVER_0072,Palmer River,41.91,,North Christopher
RIVER_0073,Lewis River,41.21,Smithland,Colemanfurt
RIVER_0074,Nelson River,464.22,Bushton,
RIVER_0075,Edwards River,1156.02,Lake Carlos,Lake Sharon
RIVER_0076,Mora River,130.93,,
RIVER_0077,Thomas River,121.2,Jonesbury,North Tiffany
RIVER_0078,Lopez River,161.43,,
RIVER_0079,Wong River,598.4,,South Autumn
RIVER_0080,Pierce River,48.77,Nelsonbury,
RIVER_0081,Weeks River,197.56,,Caitlinbury
RIVER_0082,Miller River,478.3,,East Kathy
RIVER_0083,Potts River,270.78,,Duncanside
RIVER_0084,Newton River,186.33,Sheilaton,
RIVER_0085,Harrison River,493.37,,
RIVER_0086,Blevins River,5.79,,West Marie
RIVER_0087,Sparks River,334.77,Brianland,Howemouth
RIVER_0088,Thompson River,,East Ryan,
RIVER_0089,Booth River,16.5,,
RIVER_0090,Harrison River,274.09,,Gonzalezberg
RIVER_0091,Davis River,771.54,South Michael,North Danielleburgh
RIVER_0092,Harris River,125.85,,Griffinfurt
RIVER_0093,Vega River,465.66,,
RIVER_0094,Giles River,1027.35,Gregoryburgh,Leonardburgh
RIVER_0095,Russell River,719.03,,East Derek
RIVER_0096,Williams River,1062.05,Lake Gabriel,
RIVER_0097,Castillo River,361.61,South Dakotatown,
RIVER_0098,Orozco River,162.47,,Snyderburgh
RIVER_0099,Holland River,21.71,,
RIVER_0100,Shannon River,,,
RIVER_0101,Pierce River,53.95,,West Heatherstad
RIVER_0102,Frank River,2008.48,Whitebury,Port Ethanfort
RIVER_0103,Miller River,120.17,,North Bobby
RIVER_0104,Alexander River,172.06,,
RIVER_0105,Lawson River,287.66,Valeriemouth,
RIVER_0106,Thomas River,156.39,,West Roberthaven
RIVER_0107,Simmons River,1134.63,,Cordovafurt
RIVER_0108,King River,70.3,Mitchellfurt,
RIVER_0109,Thomas River,187.45,,Hahnbury
RIVER_0110,Reilly River,60.89,,
RIVER_0111,Carlson River,30.45,,
RIVER_0112,Johnson River,71.23,,Port Lisaside
RIVER_0113,Kennedy River,141.96,Wagnermouth,East Brett
RIVER_0114,Scott River,88.66,Danielberg,
RIVER_0115,Woods River,64.66,Justinfort,Terrychester
RIVER_0116,Johnston River,27.45,,Alexisshire
RIVER_0117,Landry River,134.33,,
RIVER_0118,Frank River,24.39,Lake Lance,Lake Derrickberg
RIVER_0119,Burton River,369.47,,
RIVER_0120,Mills River,163.85,South Andrew,Schwartzstad
RIVER_0121,Harding River,25.81,North Vanessa,Lake Michelle
RIVER_0122,Stone River,102.41,,
RIVER_0123,Price River,,,
RIVER_0124,Parker River,217.68,Port Sandramouth,West William
RIVER_0125,Blackburn River,741.4,Valerieport,Jodiburgh
RIVER_0126,Webster River,,Shaneshire,New Brittney
RIVER_0127,Graham River,170.38,,
RIVER_0128,Hernandez River,122.47,,West Jenna
RIVER_0129,Robinson River,332.16,Joneshaven,Port Steven
RIVER_0130,Goodwin River,191.68,,Lake Connie
RIVER_0131,Ferguson River,,,
RIVER_0132,Burns River,101.2,Andrewside,
RIVER_0133,Smith River,57.1,Brianville,
RIVER_0134,Ellis River,539.81,West Amyview,
RIVER_0135,Martinez River,152.26,Sandraside,Morsefort
RIVER_0136,Patterson River,1453.06,,Josephview
RIVER_0137,Neal River,137.99,,Salinaschester
RIVER_0138,Lang River,63.43,,
RIVER_0139,Lopez River,24.13,,
RIVER_0140,Short River,17.05,,Karenstad
RIVER_0141,Murray River,22.18,Donnaton,
RIVER_0142,Marshall River,204.5,East Philip,Ryanbury
RIVER_0143,Dougherty River,273.27,,South Brian
RIVER_0144,Whitehead River,22.26,Emilytown,Rodneyfurt
RIVER_0145,Payne River,434.43,,Donnastad
RIVER_0146,Jones River,83.12,Heatherburgh,Staffordbury
RIVER_0147,Sanchez River,177.0,Christopherfort,Masonberg
RIVER_0148,Conway River,1027.27,,Peterbury
RIVER_0149,Chaney River,435.37,,
