PaymentTransaction,Account
TXN0000115,ACC000552
TXN0000116,ACC000000
TXN0000117,ACC000000
TXN0000118,ACC000067
TXN0000119,ACC000000
TXN0000120,ACC000005
TXN0000121,ACC000002
TXN0000122,ACC000042
TXN0000123,ACC000028
TXN0000124,ACC000008
TXN0000125,ACC000000
TXN0000126,ACC000000
TXN0000127,ACC000001
TXN0000128,ACC000000
TXN0000129,ACC000000
TXN0000130,ACC000002
TXN0000131,ACC000000
TXN0000132,ACC000050
TXN0000133,ACC000599
TXN0000134,ACC000599
TXN0000135,ACC000002
TXN0000136,ACC000005
TXN0000137,ACC000000
TXN0000138,ACC000001
TXN0000139,ACC000302
TXN0000140,ACC000000
TXN0000141,ACC000022
TXN0000142,ACC000000
TXN0000143,ACC000003
TXN0000144,ACC000000
TXN0000145,ACC000449
TXN0000146,ACC000012
TXN0000147,ACC000000
TXN0000148,ACC000002
TXN0000149,ACC000000
TXN0000150,ACC000002
TXN0000151,ACC000000
TXN0000152,ACC000001
TXN0000153,ACC000001
TXN0000154,ACC000000
TXN0000155,ACC000000
TXN0000156,ACC000003
TXN0000157,ACC000000
TXN0000158,ACC000105
TXN0000159,ACC000001
TXN0000160,ACC000004
TXN0000161,ACC000000
TXN0000162,ACC000000
TXN0000163,ACC000000
TXN0000164,ACC000000
TXN0000165,ACC000004
TXN0000166,ACC000001
TXN0000167,ACC000000
TXN0000168,ACC000015
TXN0000169,ACC000004
TXN0000170,ACC000007
TXN0000171,ACC000006
TXN0000172,ACC000005
TXN0000173,ACC000001
TXN0000174,ACC000001
TXN0000175,ACC000002
TXN0000176,ACC000016
TXN0000177,ACC000000
TXN0000178,ACC000000
TXN0000179,ACC000000
TXN0000180,ACC000002
TXN0000181,ACC000039
TXN0000182,ACC000002
TXN0000183,ACC000000
TXN0000184,ACC000000
TXN0000185,ACC000003
TXN0000186,ACC000003
TXN0000187,ACC000002
TXN0000188,ACC000012
TXN0000189,ACC000013
TXN0000190,ACC000010
TXN0000191,ACC000000
TXN0000192,ACC000006
TXN0000193,ACC000002
TXN0000194,ACC000064
TXN0000195,ACC000004
TXN0000196,ACC000000
TXN0000197,ACC000001
TXN0000198,ACC000002
TXN0000199,ACC000003
TXN0000200,ACC000010
TXN0000201,ACC000002
TXN0000202,ACC000002
TXN0000203,ACC000043
TXN0000204,ACC000000
TXN0000205,ACC000000
TXN0000206,ACC000000
TXN0000207,ACC000080
TXN0000208,ACC000001
TXN0000209,ACC000000
TXN0000210,ACC000000
TXN0000211,ACC000000
TXN0000212,ACC000005
TXN0000213,ACC000000
TXN0000214,ACC000001
TXN0000215,ACC000031
TXN0000216,ACC000001
TXN0000217,ACC000001
TXN0000218,ACC000599
TXN0000219,ACC000000
TXN0000220,ACC000003
TXN0000221,ACC000000
TXN0000222,ACC000000
TXN0000223,ACC000000
TXN0000224,ACC000000
TXN0000225,ACC000001
TXN0000226,ACC000000
TXN0000227,ACC000001
TXN0000228,ACC000003
TXN0000229,ACC000000
TXN0000230,ACC000000
TXN0000231,ACC000016
TXN0000232,ACC000001
TXN0000233,ACC000002
TXN0000234,ACC000002
TXN0000235,ACC000001
TXN0000236,ACC000001
TXN0000237,ACC000000
TXN0000238,ACC000001
TXN0000239,ACC000012
TXN0000240,ACC000000
TXN0000241,ACC000011
TXN0000242,ACC000002
TXN0000243,ACC000001
TXN0000244,ACC000011
TXN0000245,ACC000001
TXN0000246,ACC000008
TXN0000247,ACC000599
TXN0000248,ACC000000
TXN0000249,ACC000000
TXN0000250,ACC000000
TXN0000251,ACC000007
TXN0000252,ACC000065
TXN0000253,ACC000000
TXN0000254,ACC000000
TXN0000255,ACC000000
TXN0000256,ACC000000
TXN0000257,ACC000001
TXN0000258,ACC000000
TXN0000259,ACC000004
TXN0000260,ACC000008
TXN0000261,ACC000000
TXN0000262,ACC000000
TXN0000263,ACC000000
TXN0000264,ACC000009
TXN0000265,ACC000005
TXN0000266,ACC000000
TXN0000267,ACC000001
TXN0000268,ACC000000
TXN0000269,ACC000020
TXN0000270,ACC000000
TXN0000271,ACC000013
TXN0000272,ACC000000
TXN0000273,ACC000001
TXN0000274,ACC000000
TXN0000275,ACC000005
TXN0000276,ACC000000
TXN0000277,ACC000000
TXN0000278,ACC000000
TXN0000279,ACC000000
TXN0000280,ACC000000
TXN0000281,ACC000008
TXN0000282,ACC000034
TXN0000283,ACC000000
TXN0000284,ACC000017
TXN0000285,ACC000001
TXN0000286,ACC000000
TXN0000287,ACC000007
TXN0000288,ACC000000
TXN0000289,ACC000000
TXN0000290,ACC000000
TXN0000291,ACC000000
TXN0000292,ACC000443
TXN0000293,ACC000000
TXN0000294,ACC000047
TXN0000295,ACC000000
TXN0000296,ACC000033
TXN0000297,ACC000162
TXN0000298,ACC000001
TXN0000299,ACC000000
TXN0000300,ACC000000
TXN0000301,ACC000006
TXN0000302,ACC000000
TXN0000303,ACC000001
TXN0000304,ACC000002
TXN0000305,ACC000002
TXN0000306,ACC000000
TXN0000307,ACC000009
TXN0000308,ACC000000
TXN0000309,ACC000019
TXN0000310,ACC000000
TXN0000311,ACC000005
TXN0000312,ACC000000
TXN0000313,ACC000019
TXN0000314,ACC000001
TXN0000315,ACC000017
TXN0000316,ACC000001
TXN0000317,ACC000005
TXN0000318,ACC000525
TXN0000319,ACC000000
TXN0000320,ACC000000
TXN0000321,ACC000000
TXN0000322,ACC000000
TXN0000323,ACC000000
TXN0000324,ACC000001
TXN0000325,ACC000001
TXN0000326,ACC000293
TXN0000327,ACC000000
TXN0000328,ACC000033
TXN0000329,ACC000000
TXN0000330,ACC000599
TXN0000331,ACC000001
TXN0000332,ACC000003
TXN0000333,ACC000000
TXN0000334,ACC000000
TXN0000335,ACC000000
TXN0000336,ACC000001
TXN0000337,ACC000032
TXN0000338,ACC000023
TXN0000339,ACC000000
TXN0000340,ACC000001
TXN0000341,ACC000000
TXN0000342,ACC000004
TXN0000343,ACC000000
TXN0000344,ACC000005
TXN0000345,ACC000001
TXN0000346,ACC000000
TXN0000347,ACC000013
TXN0000348,ACC000001
TXN0000349,ACC000002
TXN0000350,ACC000599
TXN0000351,ACC000011
TXN0000352,ACC000001
TXN0000353,ACC000000
TXN0000354,ACC000000
TXN0000355,ACC000007
TXN0000356,ACC000059
TXN0000357,ACC000000
TXN0000358,ACC000002
TXN0000359,ACC000000
TXN0000360,ACC000005
TXN0000361,ACC000004
TXN0000362,ACC000001
TXN0000363,ACC000002
TXN0000364,ACC000110
TXN0000365,ACC000004
TXN0000366,ACC000005
TXN0000367,ACC000003
TXN0000368,ACC000000
TXN0000369,ACC000018
TXN0000370,ACC000071
TXN0000371,ACC000003
TXN0000372,ACC000599
TXN0000373,ACC000000
TXN0000374,ACC000008
TXN0000375,ACC000013
TXN0000376,ACC000003
TXN0000377,ACC000000
TXN0000378,ACC000003
TXN0000379,ACC000030
TXN0000380,ACC000011
TXN0000381,ACC000000
TXN0000382,ACC000000
TXN0000383,ACC000000
TXN0000384,ACC000003
TXN0000385,ACC000000
TXN0000386,ACC000002
TXN0000387,ACC000011
TXN0000388,ACC000000
TXN0000389,ACC000001
TXN0000390,ACC000002
TXN0000391,ACC000001
TXN0000392,ACC000002
TXN0000393,ACC000046
TXN0000394,ACC000003
TXN0000395,ACC000000
TXN0000396,ACC000000
TXN0000397,ACC000000
TXN0000398,ACC000007
TXN0000399,ACC000000
TXN0000400,ACC000000
TXN0000401,ACC000000
TXN0000402,ACC000009
TXN0000403,ACC000000
TXN0000404,ACC000001
TXN0000405,ACC000000
TXN0000406,ACC000016
TXN0000407,ACC000014
TXN0000408,ACC000000
TXN0000409,ACC000001
TXN0000410,ACC000000
TXN0000411,ACC000010
TXN0000412,ACC000001
TXN0000413,ACC000000
TXN0000414,ACC000001
TXN0000415,ACC000035
TXN0000416,ACC000208
TXN0000417,ACC000167
TXN0000418,ACC000005
TXN0000419,ACC000018
TXN0000420,ACC000001
TXN0000421,ACC000005
TXN0000422,ACC000002
TXN0000423,ACC000000
TXN0000424,ACC000137
TXN0000425,ACC000001
TXN0000426,ACC000006
TXN0000427,ACC000002
TXN0000428,ACC000034
TXN0000429,ACC000000
TXN0000430,ACC000000
TXN0000431,ACC000001
TXN0000432,ACC000000
TXN0000433,ACC000001
TXN0000434,ACC000000
TXN0000435,ACC000000
TXN0000436,ACC000000
TXN0000437,ACC000005
TXN0000438,ACC000000
TXN0000439,ACC000012
TXN0000440,ACC000002
TXN0000441,ACC000009
TXN0000442,ACC000002
TXN0000443,ACC000051
TXN0000444,ACC000000
TXN0000445,ACC000001
TXN0000446,ACC000000
TXN0000447,ACC000599
TXN0000448,ACC000000
TXN0000449,ACC000003
TXN0000450,ACC000000
TXN0000451,ACC000000
TXN0000452,ACC000000
TXN0000453,ACC000000
TXN0000454,ACC000002
TXN0000455,ACC000142
TXN0000456,ACC000003
TXN0000457,ACC000000
TXN0000458,ACC000000
TXN0000459,ACC000000
TXN0000460,ACC000000
TXN0000461,ACC000001
TXN0000462,ACC000018
TXN0000463,ACC000000
TXN0000464,ACC000004
TXN0000465,ACC000000
TXN0000466,ACC000002
TXN0000467,ACC000006
TXN0000468,ACC000014
TXN0000469,ACC000001
TXN0000470,ACC000000
TXN0000471,ACC000002
TXN0000472,ACC000000
TXN0000473,ACC000000
TXN0000474,ACC000599
TXN0000475,ACC000000
TXN0000476,ACC000002
TXN0000477,ACC000000
TXN0000478,ACC000599
TXN0000479,ACC000000
TXN0000480,ACC000000
TXN0000481,ACC000002
TXN0000482,ACC000000
TXN0000483,ACC000000
TXN0000484,ACC000469
TXN0000485,ACC000008
TXN0000486,ACC000081
TXN0000487,ACC000000
TXN0000488,ACC000000
TXN0000489,ACC000366
TXN0000490,ACC000070
TXN0000491,ACC000599
TXN0000492,ACC000000
TXN0000493,ACC000001
TXN0000494,ACC000000
TXN0000495,ACC000001
TXN0000496,ACC000000
TXN0000497,ACC000000
TXN0000498,ACC000014
TXN0000499,ACC000000
TXN0000500,ACC000000
TXN0000501,ACC000000
TXN0000502,ACC000010
TXN0000503,ACC000000
TXN0000504,ACC000001
TXN0000505,ACC000000
TXN0000506,ACC000006
TXN0000507,ACC000001
TXN0000508,ACC000281
TXN0000509,ACC000001
TXN0000510,ACC000002
TXN0000511,ACC000001
TXN0000512,ACC000006
TXN0000513,ACC000000
TXN0000514,ACC000001
TXN0000515,ACC000162
TXN0000516,ACC000000
TXN0000517,ACC000003
TXN0000518,ACC000002
TXN0000519,ACC000009
TXN0000520,ACC000002
TXN0000521,ACC000008
TXN0000522,ACC000000
TXN0000523,ACC000013
TXN0000524,ACC000000
TXN0000525,ACC000002
TXN0000526,ACC000000
TXN0000527,ACC000000
TXN0000528,ACC000008
TXN0000529,ACC000000
TXN0000530,ACC000004
TXN0000531,ACC000599
TXN0000532,ACC000000
TXN0000533,ACC000006
TXN0000534,ACC000007
TXN0000535,ACC000001
TXN0000536,ACC000000
TXN0000537,ACC000003
TXN0000538,ACC000003
TXN0000539,ACC000000
TXN0000540,ACC000000
TXN0000541,ACC000050
TXN0000542,ACC000002
TXN0000543,ACC000001
TXN0000544,ACC000095
TXN0000545,ACC000043
TXN0000546,ACC000000
TXN0000547,ACC000001
TXN0000548,ACC000000
TXN0000549,ACC000016
TXN0000550,ACC000000
TXN0000551,ACC000001
TXN0000552,ACC000000
TXN0000553,ACC000000
TXN0000554,ACC000001
TXN0000555,ACC000000
TXN0000556,ACC000001
TXN0000557,ACC000000
TXN0000558,ACC000000
TXN0000559,ACC000212
TXN0000560,ACC000186
TXN0000561,ACC000001
TXN0000562,ACC000010
TXN0000563,ACC000178
TXN0000564,ACC000010
TXN0000565,ACC000000
TXN0000566,ACC000003
TXN0000567,ACC000000
TXN0000568,ACC000001
TXN0000569,ACC000000
TXN0000570,ACC000008
TXN0000571,ACC000000
TXN0000572,ACC000095
TXN0000573,ACC000000
TXN0000574,ACC000000
TXN0000575,ACC000001
TXN0000576,ACC000000
TXN0000577,ACC000001
TXN0000578,ACC000002
TXN0000579,ACC000252
TXN0000580,ACC000000
TXN0000581,ACC000000
TXN0000582,ACC000000
TXN0000583,ACC000000
TXN0000584,ACC000000
TXN0000585,ACC000004
TXN0000586,ACC000007
TXN0000587,ACC000000
TXN0000588,ACC000171
TXN0000589,ACC000005
TXN0000590,ACC000002
TXN0000591,ACC000001
TXN0000592,ACC000003
TXN0000593,ACC000003
TXN0000594,ACC000001
TXN0000595,ACC000000
TXN0000596,ACC000000
TXN0000597,ACC000000
TXN0000598,ACC000033
TXN0000599,ACC000198
TXN0000600,ACC000599
TXN0000601,ACC000000
TXN0000602,ACC000001
TXN0000603,ACC000001
TXN0000604,ACC000000
TXN0000605,ACC000008
TXN0000606,ACC000000
TXN0000607,ACC000000
TXN0000608,ACC000000
TXN0000609,ACC000000
TXN0000610,ACC000580
TXN0000611,ACC000001
TXN0000612,ACC000000
TXN0000613,ACC000006
TXN0000614,ACC000004
TXN0000615,ACC000000
TXN0000616,ACC000000
TXN0000617,ACC000000
TXN0000618,ACC000000
TXN0000619,ACC000003
TXN0000620,ACC000011
TXN0000621,ACC000033
TXN0000622,ACC000027
TXN0000623,ACC000000
TXN0000624,ACC000003
TXN0000625,ACC000000
TXN0000626,ACC000003
TXN0000627,ACC000000
TXN0000628,ACC000054
TXN0000629,ACC000000
TXN0000630,ACC000006
TXN0000631,ACC000003
TXN0000632,ACC000059
TXN0000633,ACC000006
TXN0000634,ACC000000
TXN0000635,ACC000001
TXN0000636,ACC000003
TXN0000637,ACC000000
TXN0000638,ACC000001
TXN0000639,ACC000001
TXN0000640,ACC000012
TXN0000641,ACC000003
TXN0000642,ACC000008
TXN0000643,ACC000003
TXN0000644,ACC000048
TXN0000645,ACC000024
TXN0000646,ACC000001
TXN0000647,ACC000000
TXN0000648,ACC000048
TXN0000649,ACC000000
TXN0000650,ACC000000
TXN0000651,ACC000000
TXN0000652,ACC000000
TXN0000653,ACC000001
TXN0000654,ACC000160
TXN0000655,ACC000000
TXN0000656,ACC000005
TXN0000657,ACC000006
TXN0000658,ACC000422
TXN0000659,ACC000002
TXN0000660,ACC000599
TXN0000661,ACC000013
TXN0000662,ACC000001
TXN0000663,ACC000031
TXN0000664,ACC000000
TXN0000665,ACC000000
TXN0000666,ACC000001
TXN0000667,ACC000000
TXN0000668,ACC000000
TXN0000669,ACC000000
TXN0000670,ACC000000
TXN0000671,ACC000003
TXN0000672,ACC000004
TXN0000673,ACC000000
TXN0000674,ACC000000
TXN0000675,ACC000000
TXN0000676,ACC000000
TXN0000677,ACC000001
TXN0000678,ACC000000
TXN0000679,ACC000001
TXN0000680,ACC000568
TXN0000681,ACC000018
TXN0000682,ACC000000
TXN0000683,ACC000001
TXN0000684,ACC000010
TXN0000685,ACC000019
TXN0000686,ACC000000
TXN0000687,ACC000004
TXN0000688,ACC000102
TXN0000689,ACC000002
TXN0000690,ACC000001
TXN0000691,ACC000000
TXN0000692,ACC000001
TXN0000693,ACC000012
TXN0000694,ACC000019
TXN0000695,ACC000000
TXN0000696,ACC000003
TXN0000697,ACC000004
TXN0000698,ACC000003
TXN0000699,ACC000003
TXN0000700,ACC000000
TXN0000701,ACC000000
TXN0000702,ACC000175
TXN0000703,ACC000064
TXN0000704,ACC000002
TXN0000705,ACC000000
TXN0000706,ACC000001
TXN0000707,ACC000261
TXN0000708,ACC000001
TXN0000709,ACC000002
TXN0000710,ACC000003
TXN0000711,ACC000000
TXN0000712,ACC000000
TXN0000713,ACC000192
TXN0000714,ACC000000
TXN0000715,ACC000001
TXN0000716,ACC000002
TXN0000717,ACC000004
TXN0000718,ACC000000
TXN0000719,ACC000000
TXN0000720,ACC000001
TXN0000721,ACC000011
TXN0000722,ACC000044
TXN0000723,ACC000074
TXN0000724,ACC000001
TXN0000725,ACC000000
TXN0000726,ACC000000
TXN0000727,ACC000001
TXN0000728,ACC000000
TXN0000729,ACC000000
TXN0000730,ACC000001
TXN0000731,ACC000000
TXN0000732,ACC000599
TXN0000733,ACC000003
TXN0000734,ACC000028
TXN0000735,ACC000001
TXN0000736,ACC000001
TXN0000737,ACC000000
TXN0000738,ACC000006
TXN0000739,ACC000001
TXN0000740,ACC000003
TXN0000741,ACC000040
TXN0000742,ACC000000
TXN0000743,ACC000001
TXN0000744,ACC000005
TXN0000745,ACC000177
TXN0000746,ACC000021
TXN0000747,ACC000000
TXN0000748,ACC000000
TXN0000749,ACC000182
TXN0000750,ACC000000
TXN0000751,ACC000599
TXN0000752,ACC000005
TXN0000753,ACC000005
TXN0000754,ACC000068
TXN0000755,ACC000212
TXN0000756,ACC000009
TXN0000757,ACC000014
TXN0000758,ACC000001
TXN0000759,ACC000000
TXN0000760,ACC000001
TXN0000761,ACC000000
TXN0000762,ACC000041
TXN0000763,ACC000018
TXN0000764,ACC000004
TXN0000765,ACC000001
TXN0000766,ACC000011
TXN0000767,ACC000015
TXN0000768,ACC000000
TXN0000769,ACC000015
TXN0000770,ACC000000
TXN0000771,ACC000001
TXN0000772,ACC000599
TXN0000773,ACC000000
TXN0000774,ACC000599
TXN0000775,ACC000092
TXN0000776,ACC000009
TXN0000777,ACC000000
TXN0000778,ACC000000
TXN0000779,ACC000014
TXN0000780,ACC000005
TXN0000781,ACC000018
TXN0000782,ACC000000
TXN0000783,ACC000000
TXN0000784,ACC000000
TXN0000785,ACC000001
TXN0000786,ACC000125
TXN0000787,ACC000001
TXN0000788,ACC000000
TXN0000789,ACC000001
TXN0000790,ACC000000
TXN0000791,ACC000003
TXN0000792,ACC000000
TXN0000793,ACC000004
TXN0000794,ACC000001
TXN0000795,ACC000009
TXN0000796,ACC000003
TXN0000797,ACC000057
TXN0000798,ACC000599
TXN0000799,ACC000000
TXN0000800,ACC000005
TXN0000801,ACC000002
TXN0000802,ACC000000
TXN0000803,ACC000007
TXN0000804,ACC000000
TXN0000805,ACC000009
TXN0000806,ACC000000
TXN0000807,ACC000040
TXN0000808,ACC000000
TXN0000809,ACC000002
TXN0000810,ACC000035
TXN0000811,ACC000000
TXN0000812,ACC000000
TXN0000813,ACC000011
TXN0000814,ACC000000
TXN0000815,ACC000009
TXN0000816,ACC000001
TXN0000817,ACC000599
TXN0000818,ACC000001
TXN0000819,ACC000000
TXN0000820,ACC000001
TXN0000821,ACC000002
TXN0000822,ACC000001
TXN0000823,ACC000000
TXN0000824,ACC000141
TXN0000825,ACC000003
TXN0000826,ACC000002
TXN0000827,ACC000000
TXN0000828,ACC000000
TXN0000829,ACC000002
TXN0000830,ACC000002
TXN0000831,ACC000001
TXN0000832,ACC000003
TXN0000833,ACC000010
TXN0000834,ACC000001
TXN0000835,ACC000003
TXN0000836,ACC000599
TXN0000837,ACC000000
TXN0000838,ACC000599
TXN0000839,ACC000000
TXN0000840,ACC000007
TXN0000841,ACC000093
TXN0000842,ACC000001
TXN0000843,ACC000001
TXN0000844,ACC000016
TXN0000845,ACC000000
TXN0000846,ACC000010
TXN0000847,ACC000001
TXN0000848,ACC000001
TXN0000849,ACC000000
TXN0000850,ACC000000
TXN0000851,ACC000003
TXN0000852,ACC000002
TXN0000853,ACC000000
TXN0000854,ACC000002
TXN0000855,ACC000014
TXN0000856,ACC000051
TXN0000857,ACC000348
TXN0000858,ACC000002
TXN0000859,ACC000000
TXN0000860,ACC000006
TXN0000861,ACC000005
TXN0000862,ACC000000
TXN0000863,ACC000093
TXN0000864,ACC000003
TXN0000865,ACC000002
TXN0000866,ACC000262
TXN0000867,ACC000002
TXN0000868,ACC000000
TXN0000869,ACC000032
TXN0000870,ACC000001
TXN0000871,ACC000003
TXN0000872,ACC000000
TXN0000873,ACC000599
TXN0000874,ACC000010
TXN0000875,ACC000000
TXN0000876,ACC000000
TXN0000877,ACC000001
TXN0000878,ACC000000
TXN0000879,ACC000000
TXN0000880,ACC000000
TXN0000881,ACC000000
TXN0000882,ACC000001
TXN0000883,ACC000007
TXN0000884,ACC000010
TXN0000885,ACC000001
TXN0000886,ACC000000
TXN0000887,ACC000000
TXN0000888,ACC000002
TXN0000889,ACC000012
TXN0000890,ACC000005
TXN0000891,ACC000000
TXN0000892,ACC000009
TXN0000893,ACC000000
TXN0000894,ACC000000
TXN0000895,ACC000145
TXN0000896,ACC000000
TXN0000897,ACC000000
TXN0000898,ACC000000
TXN0000899,ACC000001
TXN0000900,ACC000003
TXN0000901,ACC000010
TXN0000902,ACC000000
TXN0000903,ACC000001
TXN0000904,ACC000001
TXN0000905,ACC000000
TXN0000906,ACC000448
TXN0000907,ACC000000
TXN0000908,ACC000000
TXN0000909,ACC000023
TXN0000910,ACC000001
TXN0000911,ACC000000
TXN0000912,ACC000002
TXN0000913,ACC000000
TXN0000914,ACC000002
TXN0000915,ACC000005
TXN0000916,ACC000000
TXN0000917,ACC000001
TXN0000918,ACC000003
TXN0000919,ACC000000
TXN0000920,ACC000013
TXN0000921,ACC000000
TXN0000922,ACC000000
TXN0000923,ACC000081
TXN0000924,ACC000043
TXN0000925,ACC000000
TXN0000926,ACC000000
TXN0000927,ACC000000
TXN0000928,ACC000002
TXN0000929,ACC000012
TXN0000930,ACC000001
TXN0000931,ACC000599
TXN0000932,ACC000010
TXN0000933,ACC000001
TXN0000934,ACC000000
TXN0000935,ACC000005
TXN0000936,ACC000001
TXN0000937,ACC000001
TXN0000938,ACC000003
TXN0000939,ACC000000
TXN0000940,ACC000000
TXN0000941,ACC000020
TXN0000942,ACC000012
TXN0000943,ACC000000
TXN0000944,ACC000004
TXN0000945,ACC000089
TXN0000946,ACC000000
TXN0000947,ACC000010
TXN0000948,ACC000000
TXN0000949,ACC000001
TXN0000950,ACC000000
TXN0000951,ACC000004
TXN0000952,ACC000000
TXN0000953,ACC000002
TXN0000954,ACC000154
TXN0000955,ACC000001
TXN0000956,ACC000001
TXN0000957,ACC000001
TXN0000958,ACC000002
TXN0000959,ACC000023
TXN0000960,ACC000000
TXN0000961,ACC000020
TXN0000962,ACC000009
TXN0000963,ACC000000
TXN0000964,ACC000000
TXN0000965,ACC000000
TXN0000966,ACC000003
TXN0000967,ACC000012
TXN0000968,ACC000006
TXN0000969,ACC000001
TXN0000970,ACC000358
TXN0000971,ACC000111
TXN0000972,ACC000001
TXN0000973,ACC000006
TXN0000974,ACC000007
TXN0000975,ACC000002
TXN0000976,ACC000004
TXN0000977,ACC000001
TXN0000978,ACC000000
TXN0000979,ACC000599
TXN0000980,ACC000005
TXN0000981,ACC000009
TXN0000982,ACC000000
TXN0000983,ACC000001
TXN0000984,ACC000034
TXN0000985,ACC000000
TXN0000986,ACC000000
TXN0000987,ACC000018
TXN0000988,ACC000025
TXN0000989,ACC000002
TXN0000990,ACC000007
TXN0000991,ACC000175
TXN0000992,ACC000000
TXN0000993,ACC000000
TXN0000994,ACC000000
TXN0000995,ACC000002
TXN0000996,ACC000000
TXN0000997,ACC000001
TXN0000998,ACC000599
TXN0000999,ACC000000
TXN0001000,ACC000001
TXN0001001,ACC000058
TXN0001002,ACC000001
TXN0001003,ACC000002
TXN0001004,ACC000000
TXN0001005,ACC000010
TXN0001006,ACC000000
TXN0001007,ACC000003
TXN0001008,ACC000000
TXN0001009,ACC000002
TXN0001010,ACC000056
TXN0001011,ACC000005
TXN0001012,ACC000000
TXN0001013,ACC000000
TXN0001014,ACC000034
TXN0001015,ACC000015
TXN0001016,ACC000000
TXN0001017,ACC000007
TXN0001018,ACC000000
TXN0001019,ACC000013
TXN0001020,ACC000000
TXN0001021,ACC000000
TXN0001022,ACC000036
TXN0001023,ACC000000
TXN0001024,ACC000005
TXN0001025,ACC000003
TXN0001026,ACC000026
TXN0001027,ACC000035
TXN0001028,ACC000031
TXN0001029,ACC000002
TXN0001030,ACC000000
TXN0001031,ACC000004
TXN0001032,ACC000000
TXN0001033,ACC000005
TXN0001034,ACC000002
TXN0001035,ACC000021
TXN0001036,ACC000000
TXN0001037,ACC000039
TXN0001038,ACC000000
TXN0001039,ACC000006
TXN0001040,ACC000000
TXN0001041,ACC000087
TXN0001042,ACC000001
TXN0001043,ACC000010
TXN0001044,ACC000046
TXN0001045,ACC000039
TXN0001046,ACC000007
TXN0001047,ACC000001
TXN0001048,ACC000001
TXN0001049,ACC000000
TXN0001050,ACC000001
TXN0001051,ACC000000
TXN0001052,ACC000005
TXN0001053,ACC000000
TXN0001054,ACC000000
TXN0001055,ACC000005
TXN0001056,ACC000000
TXN0001057,ACC000017
TXN0001058,ACC000024
TXN0001059,ACC000016
TXN0001060,ACC000599
TXN0001061,ACC000002
TXN0001062,ACC000061
TXN0001063,ACC000001
TXN0001064,ACC000351
TXN0001065,ACC000000
TXN0001066,ACC000000
TXN0001067,ACC000002
TXN0001068,ACC000599
TXN0001069,ACC000000
TXN0001070,ACC000241
TXN0001071,ACC000000
TXN0001072,ACC000000
TXN0001073,ACC000021
TXN0001074,ACC000002
