PaymentTransaction,RiskAssessment
TXN0000007,RA000563
TXN0000002,RA000564
TXN0000001,RA000565
TXN0000004,RA000566
TXN0000006,RA000567
TXN0000001,RA000568
TXN0000000,RA000569
TXN0000001,RA000570
TXN0000002,RA000571
TXN0000000,RA000572
TXN0000000,RA000573
TXN0000000,RA000574
TXN0000000,RA000575
TXN0000000,RA000576
TXN0000078,RA000577
TXN0000000,RA000578
TXN0000000,RA000579
TXN0001722,RA000580
TXN0000001,RA000581
TXN0000000,RA000582
TXN0000000,RA000583
TXN0000012,RA000584
TXN0000000,RA000585
TXN0000000,RA000586
TXN0000000,RA000587
TXN0000000,RA000588
TXN0000000,RA000589
TXN0000000,RA000590
TXN0000016,RA000591
TXN0000000,RA000592
TXN0000002,RA000593
TXN0000022,RA000594
TXN0001484,RA000595
TXN0000000,RA000596
TXN0000003,RA000597
TXN0000013,RA000598
TXN0000000,RA000599
TXN0000025,RA000600
TXN0000000,RA000601
TXN0000648,RA000602
TXN0000000,RA000603
TXN0000000,RA000604
TXN0000002,RA000605
TXN0000000,RA000606
TXN0000001,RA000607
TXN0000000,RA000608
TXN0000037,RA000609
TXN0000002,RA000610
TXN0000258,RA000611
TXN0000007,RA000612
TXN0000002,RA000613
TXN0000001,RA000614
TXN0000207,RA000615
TXN0000024,RA000616
TXN0000000,RA000617
TXN0000002,RA000618
TXN0000004,RA000619
TXN0000002,RA000620
TXN0000057,RA000621
TXN0000000,RA000622
TXN0000000,RA000623
TXN0000000,RA000624
TXN0000002,RA000625
TXN0000000,RA000626
TXN0000078,RA000627
TXN0000005,RA000628
TXN0000022,RA000629
TXN0000001,RA000630
TXN0000000,RA000631
TXN0000567,RA000632
TXN0000000,RA000633
TXN0000002,RA000634
TXN0000000,RA000635
TXN0000004,RA000636
TXN0000045,RA000637
TXN0000000,RA000638
TXN0000153,RA000639
TXN0000020,RA000640
TXN0000101,RA000641
TXN0000000,RA000642
TXN0000342,RA000643
TXN0000000,RA000644
TXN0000001,RA000645
TXN0000000,RA000646
TXN0000087,RA000647
TXN0000016,RA000648
TXN0000007,RA000649
TXN0000000,RA000650
TXN0000048,RA000651
TXN0000000,RA000652
TXN0000000,RA000653
TXN0000000,RA000654
TXN0000000,RA000655
TXN0000002,RA000656
TXN0000000,RA000657
TXN0000000,RA000658
TXN0000000,RA000659
TXN0000005,RA000660
TXN0000067,RA000661
TXN0000014,RA000662
TXN0000000,RA000663
TXN0000037,RA000664
TXN0000002,RA000665
TXN0000000,RA000666
TXN0000002,RA000667
TXN0000153,RA000668
TXN0000000,RA000669
TXN0000000,RA000670
TXN0000034,RA000671
TXN0000000,RA000672
TXN0000000,RA000673
TXN0000000,RA000674
TXN0000000,RA000675
TXN0000000,RA000676
TXN0000016,RA000677
TXN0000005,RA000678
TXN0000000,RA000679
TXN0000029,RA000680
TXN0000001,RA000681
TXN0000005,RA000682
TXN0000001,RA000683
TXN0000010,RA000684
TXN0000001,RA000685
TXN0000007,RA000686
TXN0000000,RA000687
TXN0000000,RA000688
TXN0000000,RA000689
TXN0000000,RA000690
TXN0000015,RA000691
TXN0000005,RA000692
TXN0000000,RA000693
TXN0000000,RA000694
TXN0000000,RA000695
TXN0000000,RA000696
TXN0000001,RA000697
TXN0000000,RA000698
TXN0000007,RA000699
TXN0000000,RA000700
TXN0000000,RA000701
TXN0000000,RA000702
TXN0000017,RA000703
TXN0000005,RA000704
TXN0000000,RA000705
TXN0001999,RA000706
TXN0000000,RA000707
TXN0000001,RA000708
TXN0000156,RA000709
TXN0000003,RA000710
TXN0000000,RA000711
TXN0000001,RA000712
TXN0000002,RA000713
TXN0000009,RA000714
TXN0000001,RA000715
TXN0000000,RA000716
TXN0000172,RA000717
TXN0000001,RA000718
TXN0000000,RA000719
TXN0000001,RA000720
TXN0000009,RA000721
TXN0000000,RA000722
TXN0000059,RA000723
TXN0000016,RA000724
TXN0000000,RA000725
TXN0000001,RA000726
TXN0000000,RA000727
TXN0000470,RA000728
TXN0000001,RA000729
TXN0000000,RA000730
TXN0000042,RA000731
TXN0000000,RA000732
TXN0000000,RA000733
TXN0000008,RA000734
TXN0000028,RA000735
TXN0000000,RA000736
TXN0000073,RA000737
TXN0000316,RA000738
TXN0000020,RA000739
TXN0000001,RA000740
TXN0000000,RA000741
TXN0000006,RA000742
TXN0000000,RA000743
TXN0000001,RA000744
TXN0000005,RA000745
TXN0000016,RA000746
TXN0000008,RA000747
TXN0001999,RA000748
TXN0000013,RA000749
TXN0000000,RA000750
TXN0000000,RA000751
TXN0000007,RA000752
TXN0000000,RA000753
TXN0000001,RA000754
TXN0000008,RA000755
TXN0000002,RA000756
TXN0001999,RA000757
TXN0001999,RA000758
TXN0000001,RA000759
TXN0000000,RA000760
TXN0000000,RA000761
TXN0000003,RA000762
TXN0000000,RA000763
TXN0000002,RA000764
TXN0000008,RA000765
TXN0000012,RA000766
TXN0001999,RA000767
TXN0000000,RA000768
TXN0000007,RA000769
TXN0000016,RA000770
TXN0000000,RA000771
TXN0000000,RA000772
TXN0000000,RA000773
TXN0000000,RA000774
TXN0000004,RA000775
TXN0000005,RA000776
TXN0000000,RA000777
TXN0000000,RA000778
TXN0000006,RA000779
TXN0000007,RA000780
TXN0000001,RA000781
TXN0000000,RA000782
TXN0000000,RA000783
TXN0000008,RA000784
TXN0000003,RA000785
TXN0000009,RA000786
TXN0000000,RA000787
TXN0000000,RA000788
TXN0000003,RA000789
TXN0000000,RA000790
TXN0001999,RA000791
TXN0000000,RA000792
TXN0000001,RA000793
TXN0000002,RA000794
TXN0000135,RA000795
TXN0000001,RA000796
TXN0000000,RA000797
TXN0000004,RA000798
TXN0000077,RA000799
TXN0000004,RA000800
TXN0000000,RA000801
TXN0000000,RA000802
TXN0000001,RA000803
TXN0000020,RA000804
TXN0000007,RA000805
TXN0000003,RA000806
TXN0000096,RA000807
TXN0000000,RA000808
TXN0000000,RA000809
TXN0000003,RA000810
TXN0000005,RA000811
TXN0000008,RA000812
TXN0000005,RA000813
TXN0000016,RA000814
TXN0000001,RA000815
TXN0000016,RA000816
TXN0000000,RA000817
TXN0000002,RA000818
TXN0000003,RA000819
TXN0000000,RA000820
TXN0000000,RA000821
TXN0000004,RA000822
TXN0000005,RA000823
TXN0000001,RA000824
TXN0000000,RA000825
TXN0000001,RA000826
TXN0000005,RA000827
TXN0000116,RA000828
TXN0000003,RA000829
TXN0000273,RA000830
TXN0000008,RA000831
TXN0000002,RA000832
TXN0000000,RA000833
TXN0000000,RA000834
TXN0000001,RA000835
TXN0000000,RA000836
TXN0000009,RA000837
TXN0000005,RA000838
TXN0000000,RA000839
TXN0000008,RA000840
TXN0000001,RA000841
TXN0000009,RA000842
TXN0000072,RA000843
TXN0001999,RA000844
TXN0000014,RA000845
TXN0000002,RA000846
TXN0000000,RA000847
TXN0000001,RA000848
TXN0000000,RA000849
TXN0000046,RA000850
TXN0000000,RA000851
TXN0000001,RA000852
TXN0000006,RA000853
TXN0000005,RA000854
TXN0000022,RA000855
TXN0000000,RA000856
TXN0000000,RA000857
TXN0000148,RA000858
TXN0000000,RA000859
TXN0000000,RA000860
TXN0000093,RA000861
TXN0000000,RA000862
TXN0000006,RA000863
TXN0000136,RA000864
TXN0000000,RA000865
TXN0000000,RA000866
TXN0000002,RA000867
TXN0000000,RA000868
TXN0000000,RA000869
TXN0000000,RA000870
TXN0000000,RA000871
TXN0000000,RA000872
TXN0000000,RA000873
TXN0000000,RA000874
TXN0000417,RA000875
TXN0000000,RA000876
TXN0000020,RA000877
TXN0000052,RA000878
TXN0000000,RA000879
TXN0001999,RA000880
TXN0000001,RA000881
TXN0000000,RA000882
TXN0000000,RA000883
TXN0000010,RA000884
TXN0000675,RA000885
TXN0000068,RA000886
TXN0000001,RA000887
TXN0000008,RA000888
TXN0000000,RA000889
TXN0000002,RA000890
TXN0000001,RA000891
TXN0000000,RA000892
TXN0000000,RA000893
TXN0000001,RA000894
TXN0000002,RA000895
TXN0000001,RA000896
TXN0001999,RA000897
TXN0000012,RA000898
TXN0000002,RA000899
TXN0000000,RA000900
TXN0000000,RA000901
TXN0000000,RA000902
TXN0000115,RA000903
TXN0000000,RA000904
TXN0000003,RA000905
TXN0000001,RA000906
TXN0000001,RA000907
TXN0000006,RA000908
TXN0000000,RA000909
TXN0000115,RA000910
TXN0001626,RA000911
TXN0000011,RA000912
TXN0000000,RA000913
TXN0000000,RA000914
TXN0000000,RA000915
TXN0000005,RA000916
TXN0000000,RA000917
TXN0000017,RA000918
TXN0000033,RA000919
TXN0000004,RA000920
TXN0000001,RA000921
TXN0000003,RA000922
TXN0001999,RA000923
TXN0000003,RA000924
TXN0000242,RA000925
TXN0001999,RA000926
TXN0000000,RA000927
TXN0000002,RA000928
TXN0000003,RA000929
TXN0000000,RA000930
TXN0000001,RA000931
TXN0000000,RA000932
TXN0000000,RA000933
TXN0000001,RA000934
TXN0000001,RA000935
TXN0000011,RA000936
TXN0000001,RA000937
TXN0000035,RA000938
TXN0000005,RA000939
TXN0000000,RA000940
TXN0000000,RA000941
TXN0000005,RA000942
TXN0000000,RA000943
TXN0000000,RA000944
TXN0000047,RA000945
TXN0000000,RA000946
TXN0000000,RA000947
TXN0000000,RA000948
TXN0000001,RA000949
TXN0000000,RA000950
TXN0000001,RA000951
TXN0000000,RA000952
TXN0000003,RA000953
TXN0000000,RA000954
TXN0000021,RA000955
TXN0000000,RA000956
TXN0000000,RA000957
TXN0000000,RA000958
TXN0000000,RA000959
TXN0000000,RA000960
TXN0000009,RA000961
TXN0000000,RA000962
TXN0000000,RA000963
TXN0000007,RA000964
TXN0000000,RA000965
TXN0000025,RA000966
TXN0000000,RA000967
TXN0000002,RA000968
TXN0000005,RA000969
TXN0000002,RA000970
TXN0000007,RA000971
TXN0000000,RA000972
TXN0000130,RA000973
TXN0000000,RA000974
TXN0000000,RA000975
TXN0000002,RA000976
TXN0000004,RA000977
TXN0000008,RA000978
TXN0000006,RA000979
TXN0000002,RA000980
TXN0000001,RA000981
TXN0000000,RA000982
TXN0000003,RA000983
TXN0001712,RA000984
TXN0000080,RA000985
TXN0000000,RA000986
TXN0000075,RA000987
TXN0000000,RA000988
TXN0000025,RA000989
TXN0000006,RA000990
TXN0000000,RA000991
TXN0000010,RA000992
TXN0000003,RA000993
TXN0000001,RA000994
TXN0001999,RA000995
TXN0000001,RA000996
TXN0000005,RA000997
TXN0000065,RA000998
TXN0000005,RA000999
TXN0000001,RA001000
TXN0000226,RA001001
TXN0000000,RA001002
TXN0000002,RA001003
TXN0000000,RA001004
TXN0000002,RA001005
TXN0000002,RA001006
TXN0000007,RA001007
TXN0000051,RA001008
TXN0000001,RA001009
TXN0000000,RA001010
TXN0000009,RA001011
TXN0000000,RA001012
TXN0000000,RA001013
TXN0000007,RA001014
TXN0000004,RA001015
TXN0000006,RA001016
TXN0000003,RA001017
TXN0000023,RA001018
TXN0000000,RA001019
TXN0000017,RA001020
TXN0000018,RA001021
TXN0000007,RA001022
TXN0000000,RA001023
TXN0000001,RA001024
TXN0000000,RA001025
TXN0000003,RA001026
TXN0000001,RA001027
TXN0000001,RA001028
TXN0000028,RA001029
TXN0001999,RA001030
TXN0000000,RA001031
TXN0000000,RA001032
TXN0000011,RA001033
TXN0000002,RA001034
TXN0000000,RA001035
TXN0000011,RA001036
TXN0000000,RA001037
TXN0000000,RA001038
TXN0000011,RA001039
TXN0000075,RA001040
TXN0000002,RA001041
TXN0000000,RA001042
TXN0000004,RA001043
TXN0000002,RA001044
TXN0000001,RA001045
TXN0000000,RA001046
TXN0000000,RA001047
TXN0000035,RA001048
TXN0000034,RA001049
TXN0000000,RA001050
TXN0000008,RA001051
TXN0000001,RA001052
TXN0000001,RA001053
TXN0000006,RA001054
TXN0000000,RA001055
TXN0000031,RA001056
TXN0000001,RA001057
TXN0000015,RA001058
TXN0000000,RA001059
TXN0000000,RA001060
TXN0000000,RA001061
TXN0000005,RA001062
TXN0000010,RA001063
TXN0000000,RA001064
TXN0000001,RA001065
TXN0000001,RA001066
TXN0000587,RA001067
TXN0000001,RA001068
TXN0000000,RA001069
TXN0000043,RA001070
TXN0000001,RA001071
TXN0000004,RA001072
TXN0000004,RA001073
TXN0000000,RA001074
TXN0000000,RA001075
TXN0000001,RA001076
TXN0000019,RA001077
TXN0000004,RA001078
TXN0000000,RA001079
TXN0000004,RA001080
TXN0000057,RA001081
TXN0000001,RA001082
TXN0000002,RA001083
TXN0000001,RA001084
TXN0000001,RA001085
TXN0000001,RA001086
TXN0000000,RA001087
TXN0000000,RA001088
TXN0000001,RA001089
TXN0000011,RA001090
TXN0000003,RA001091
TXN0000368,RA001092
TXN0000000,RA001093
TXN0000000,RA001094
TXN0000001,RA001095
TXN0000006,RA001096
TXN0000003,RA001097
TXN0000000,RA001098
TXN0000003,RA001099
TXN0000000,RA001100
TXN0000000,RA001101
TXN0000000,RA001102
TXN0000116,RA001103
TXN0000001,RA001104
TXN0000000,RA001105
TXN0000004,RA001106
TXN0000000,RA001107
TXN0000009,RA001108
TXN0000000,RA001109
TXN0000017,RA001110
TXN0000000,RA001111
TXN0000015,RA001112
TXN0000000,RA001113
TXN0000015,RA001114
TXN0000000,RA001115
TXN0000225,RA001116
TXN0000000,RA001117
TXN0000000,RA001118
TXN0000001,RA001119
TXN0000006,RA001120
TXN0000002,RA001121
TXN0000247,RA001122
TXN0000000,RA001123
TXN0000004,RA001124
TXN0000002,RA001125
TXN0000000,RA001126
TXN0000004,RA001127
TXN0000031,RA001128
TXN0000426,RA001129
TXN0000000,RA001130
TXN0000001,RA001131
TXN0000002,RA001132
TXN0000002,RA001133
TXN0001683,RA001134
TXN0000044,RA001135
TXN0000026,RA001136
TXN0000121,RA001137
TXN0000000,RA001138
TXN0000001,RA001139
TXN0000002,RA001140
TXN0000001,RA001141
TXN0000000,RA001142
TXN0000001,RA001143
TXN0000149,RA001144
TXN0000008,RA001145
TXN0000010,RA001146
TXN0000000,RA001147
TXN0000003,RA001148
TXN0000000,RA001149
TXN0000086,RA001150
TXN0000001,RA001151
TXN0000000,RA001152
TXN0000000,RA001153
TXN0000000,RA001154
TXN0000070,RA001155
TXN0000009,RA001156
TXN0000001,RA001157
TXN0000053,RA001158
TXN0000000,RA001159
TXN0000000,RA001160
TXN0000000,RA001161
TXN0000996,RA001162
