PaymentTransaction,AuditLog
TXN0000010,LOG0000083
TXN0000001,LOG0000084
TXN0000001,LOG0000085
TXN0000001,LOG0000086
TXN0000001,LOG0000087
TXN0000000,LOG0000088
TXN0000005,LOG0000089
TXN0000000,LOG0000090
TXN0000004,LOG0000091
TXN0000000,LOG0000092
TXN0000080,LOG0000093
TXN0000001,LOG0000094
TXN0000004,LOG0000095
TXN0000000,LOG0000096
TXN0000004,LOG0000097
TXN0000000,LOG0000098
TXN0000000,LOG0000099
TXN0000007,LOG0000100
TXN0000010,LOG0000101
TXN0000000,LOG0000102
TXN0000034,LOG0000103
TXN0000001,LOG0000104
TXN0000351,LOG0000105
TXN0000000,LOG0000106
TXN0000000,LOG0000107
TXN0000061,LOG0000108
TXN0000033,LOG0000109
TXN0000022,LOG0000110
TXN0000002,LOG0000111
TXN0000666,LOG0000112
TXN0000003,LOG0000113
TXN0001999,LOG0000114
TXN0000001,LOG0000115
TXN0000003,LOG0000116
TXN0000002,LOG0000117
TXN0000000,LOG0000118
TXN0000000,LOG0000119
TXN0000006,LOG0000120
TXN0000001,LOG0000121
TXN0000000,LOG0000122
TXN0000012,LOG0000123
TXN0000000,LOG0000124
TXN0000000,LOG0000125
TXN0000001,LOG0000126
TXN0000003,LOG0000127
TXN0000000,LOG0000128
TXN0000000,LOG0000129
TXN0000000,LOG0000130
TXN0000585,LOG0000131
TXN0000001,LOG0000132
TXN0000003,LOG0000133
TXN0000000,LOG0000134
TXN0000001,LOG0000135
TXN0000015,LOG0000136
TXN0000003,LOG0000137
TXN0000027,LOG0000138
TXN0000011,LOG0000139
TXN0000000,LOG0000140
TXN0000118,LOG0000141
TXN0000032,LOG0000142
TXN0000039,LOG0000143
TXN0000001,LOG0000144
TXN0000014,LOG0000145
TXN0000000,LOG0000146
TXN0000000,LOG0000147
TXN0000000,LOG0000148
TXN0000000,LOG0000149
TXN0000000,LOG0000150
TXN0000001,LOG0000151
TXN0000035,LOG0000152
TXN0000003,LOG0000153
TXN0000000,LOG0000154
TXN0000001,LOG0000155
TXN0000000,LOG0000156
TXN0000004,LOG0000157
TXN0000000,LOG0000158
TXN0000352,LOG0000159
TXN0000001,LOG0000160
TXN0000141,LOG0000161
TXN0000001,LOG0000162
TXN0000002,LOG0000163
TXN0000320,LOG0000164
TXN0000001,LOG0000165
TXN0000015,LOG0000166
TXN0000000,LOG0000167
TXN0000001,LOG0000168
TXN0001414,LOG0000169
TXN0000047,LOG0000170
TXN0000026,LOG0000171
TXN0000002,LOG0000172
TXN0000000,LOG0000173
TXN0000000,LOG0000174
TXN0000028,LOG0000175
TXN0000005,LOG0000176
TXN0000343,LOG0000177
TXN0000000,LOG0000178
TXN0000000,LOG0000179
TXN0000001,LOG0000180
TXN0000005,LOG0000181
TXN0001594,LOG0000182
TXN0000001,LOG0000183
TXN0000006,LOG0000184
TXN0000000,LOG0000185
TXN0000001,LOG0000186
TXN0000002,LOG0000187
TXN0000000,LOG0000188
TXN0000000,LOG0000189
TXN0000001,LOG0000190
TXN0000006,LOG0000191
TXN0000767,LOG0000192
TXN0000007,LOG0000193
TXN0000028,LOG0000194
TXN0000001,LOG0000195
TXN0000005,LOG0000196
TXN0000000,LOG0000197
TXN0000004,LOG0000198
TXN0000000,LOG0000199
TXN0000000,LOG0000200
TXN0000012,LOG0000201
TXN0000000,LOG0000202
TXN0000000,LOG0000203
TXN0000000,LOG0000204
TXN0000009,LOG0000205
TXN0000000,LOG0000206
TXN0000000,LOG0000207
TXN0000015,LOG0000208
TXN0000000,LOG0000209
TXN0000000,LOG0000210
TXN0000000,LOG0000211
TXN0000001,LOG0000212
TXN0000001,LOG0000213
TXN0000040,LOG0000214
TXN0000136,LOG0000215
TXN0000000,LOG0000216
TXN0000001,LOG0000217
TXN0000000,LOG0000218
TXN0000024,LOG0000219
TXN0000001,LOG0000220
TXN0000022,LOG0000221
TXN0000032,LOG0000222
TXN0000000,LOG0000223
TXN0000014,LOG0000224
TXN0000001,LOG0000225
TXN0000003,LOG0000226
TXN0000001,LOG0000227
TXN0000001,LOG0000228
TXN0000000,LOG0000229
TXN0000001,LOG0000230
TXN0001999,LOG0000231
TXN0000006,LOG0000232
TXN0000000,LOG0000233
TXN0000001,LOG0000234
TXN0000001,LOG0000235
TXN0000001,LOG0000236
TXN0000000,LOG0000237
TXN0000002,LOG0000238
TXN0000000,LOG0000239
TXN0000003,LOG0000240
TXN0000065,LOG0000241
TXN0000000,LOG0000242
TXN0000001,LOG0000243
TXN0000002,LOG0000244
TXN0000007,LOG0000245
TXN0000000,LOG0000246
TXN0000015,LOG0000247
TXN0000039,LOG0000248
TXN0000007,LOG0000249
TXN0000000,LOG0000250
TXN0000031,LOG0000251
TXN0000003,LOG0000252
TXN0000002,LOG0000253
TXN0000042,LOG0000254
TXN0000000,LOG0000255
TXN0000031,LOG0000256
TXN0000000,LOG0000257
TXN0000000,LOG0000258
TXN0000000,LOG0000259
TXN0000000,LOG0000260
TXN0000008,LOG0000261
TXN0000000,LOG0000262
TXN0000001,LOG0000263
TXN0000006,LOG0000264
TXN0000002,LOG0000265
TXN0001999,LOG0000266
TXN0000114,LOG0000267
TXN0000001,LOG0000268
TXN0000002,LOG0000269
TXN0000000,LOG0000270
TXN0000000,LOG0000271
TXN0000001,LOG0000272
TXN0000014,LOG0000273
TXN0000000,LOG0000274
TXN0000003,LOG0000275
TXN0000002,LOG0000276
TXN0000009,LOG0000277
TXN0000004,LOG0000278
TXN0000002,LOG0000279
TXN0000000,LOG0000280
TXN0000000,LOG0000281
TXN0000025,LOG0000282
TXN0000000,LOG0000283
TXN0000000,LOG0000284
TXN0000000,LOG0000285
TXN0000000,LOG0000286
TXN0000000,LOG0000287
TXN0000000,LOG0000288
TXN0000008,LOG0000289
TXN0000078,LOG0000290
TXN0000001,LOG0000291
TXN0000000,LOG0000292
TXN0000000,LOG0000293
TXN0000000,LOG0000294
TXN0000000,LOG0000295
TXN0000000,LOG0000296
TXN0000000,LOG0000297
TXN0000001,LOG0000298
TXN0000001,LOG0000299
TXN0000000,LOG0000300
TXN0000006,LOG0000301
TXN0000000,LOG0000302
TXN0000001,LOG0000303
TXN0000001,LOG0000304
TXN0000004,LOG0000305
TXN0000000,LOG0000306
TXN0000001,LOG0000307
TXN0000001,LOG0000308
TXN0000000,LOG0000309
TXN0000013,LOG0000310
TXN0000000,LOG0000311
TXN0000079,LOG0000312
TXN0000000,LOG0000313
TXN0000000,LOG0000314
TXN0000077,LOG0000315
TXN0000000,LOG0000316
TXN0000061,LOG0000317
TXN0000004,LOG0000318
TXN0000000,LOG0000319
TXN0000008,LOG0000320
TXN0000049,LOG0000321
TXN0000000,LOG0000322
TXN0000003,LOG0000323
TXN0000000,LOG0000324
TXN0000000,LOG0000325
TXN0000009,LOG0000326
TXN0000007,LOG0000327
TXN0000001,LOG0000328
TXN0000000,LOG0000329
TXN0000002,LOG0000330
TXN0000001,LOG0000331
TXN0000000,LOG0000332
TXN0000001,LOG0000333
TXN0000000,LOG0000334
TXN0000007,LOG0000335
TXN0000001,LOG0000336
TXN0000005,LOG0000337
TXN0000024,LOG0000338
TXN0000000,LOG0000339
TXN0000009,LOG0000340
TXN0000004,LOG0000341
TXN0000039,LOG0000342
TXN0000000,LOG0000343
TXN0000012,LOG0000344
TXN0000079,LOG0000345
TXN0000006,LOG0000346
TXN0000000,LOG0000347
TXN0000140,LOG0000348
TXN0000000,LOG0000349
TXN0000000,LOG0000350
TXN0000000,LOG0000351
TXN0000004,LOG0000352
TXN0001999,LOG0000353
TXN0000000,LOG0000354
TXN0000000,LOG0000355
TXN0001999,LOG0000356
TXN0000000,LOG0000357
TXN0000001,LOG0000358
TXN0000002,LOG0000359
TXN0000000,LOG0000360
TXN0000602,LOG0000361
TXN0000129,LOG0000362
TXN0000004,LOG0000363
TXN0000000,LOG0000364
TXN0000113,LOG0000365
TXN0000000,LOG0000366
TXN0000001,LOG0000367
TXN0000000,LOG0000368
TXN0000000,LOG0000369
TXN0000016,LOG0000370
TXN0000000,LOG0000371
TXN0000000,LOG0000372
TXN0000003,LOG0000373
TXN0000008,LOG0000374
TXN0000009,LOG0000375
TXN0000047,LOG0000376
TXN0000002,LOG0000377
TXN0000001,LOG0000378
TXN0000002,LOG0000379
TXN0000001,LOG0000380
TXN0000001,LOG0000381
TXN0000000,LOG0000382
TXN0000000,LOG0000383
TXN0000000,LOG0000384
TXN0000316,LOG0000385
TXN0000022,LOG0000386
TXN0000065,LOG0000387
TXN0000000,LOG0000388
TXN0000000,LOG0000389
TXN0000000,LOG0000390
TXN0000026,LOG0000391
TXN0000007,LOG0000392
TXN0000001,LOG0000393
TXN0000000,LOG0000394
TXN0000001,LOG0000395
TXN0000000,LOG0000396
TXN0000003,LOG0000397
TXN0000021,LOG0000398
TXN0000002,LOG0000399
TXN0000001,LOG0000400
TXN0000000,LOG0000401
TXN0000003,LOG0000402
TXN0000019,LOG0000403
TXN0000000,LOG0000404
TXN0000001,LOG0000405
TXN0000000,LOG0000406
TXN0000039,LOG0000407
TXN0000000,LOG0000408
TXN0000000,LOG0000409
TXN0000000,LOG0000410
TXN0000000,LOG0000411
TXN0000002,LOG0000412
TXN0000039,LOG0000413
TXN0000000,LOG0000414
TXN0000002,LOG0000415
TXN0000001,LOG0000416
TXN0000003,LOG0000417
TXN0000006,LOG0000418
TXN0000000,LOG0000419
TXN0000010,LOG0000420
TXN0000022,LOG0000421
TXN0000004,LOG0000422
TXN0000000,LOG0000423
TXN0000004,LOG0000424
TXN0000001,LOG0000425
TXN0000004,LOG0000426
TXN0000002,LOG0000427
TXN0000119,LOG0000428
TXN0000003,LOG0000429
TXN0000000,LOG0000430
TXN0000003,LOG0000431
TXN0000000,LOG0000432
TXN0000000,LOG0000433
TXN0000000,LOG0000434
TXN0000000,LOG0000435
TXN0000001,LOG0000436
TXN0000000,LOG0000437
TXN0000001,LOG0000438
TXN0000000,LOG0000439
TXN0000000,LOG0000440
TXN0000000,LOG0000441
TXN0000001,LOG0000442
TXN0000003,LOG0000443
TXN0000000,LOG0000444
TXN0000020,LOG0000445
TXN0000002,LOG0000446
TXN0000009,LOG0000447
TXN0000004,LOG0000448
TXN0000000,LOG0000449
TXN0000126,LOG0000450
TXN0000000,LOG0000451
TXN0000001,LOG0000452
TXN0000001,LOG0000453
TXN0000109,LOG0000454
TXN0000002,LOG0000455
TXN0000013,LOG0000456
TXN0000033,LOG0000457
TXN0000060,LOG0000458
TXN0000000,LOG0000459
TXN0000003,LOG0000460
TXN0000000,LOG0000461
TXN0000008,LOG0000462
TXN0000070,LOG0000463
TXN0000000,LOG0000464
TXN0000016,LOG0000465
TXN0000011,LOG0000466
TXN0000000,LOG0000467
TXN0000000,LOG0000468
TXN0000002,LOG0000469
TXN0000000,LOG0000470
TXN0000008,LOG0000471
TXN0000003,LOG0000472
TXN0000001,LOG0000473
TXN0000004,LOG0000474
TXN0000001,LOG0000475
TXN0000000,LOG0000476
TXN0000001,LOG0000477
TXN0000051,LOG0000478
TXN0000000,LOG0000479
TXN0000000,LOG0000480
TXN0000000,LOG0000481
TXN0000004,LOG0000482
TXN0000008,LOG0000483
TXN0000002,LOG0000484
TXN0000010,LOG0000485
TXN0001999,LOG0000486
TXN0000026,LOG0000487
TXN0000002,LOG0000488
TXN0000006,LOG0000489
TXN0000005,LOG0000490
TXN0000036,LOG0000491
TXN0000000,LOG0000492
TXN0000008,LOG0000493
TXN0000000,LOG0000494
TXN0000001,LOG0000495
TXN0000012,LOG0000496
TXN0000000,LOG0000497
TXN0000011,LOG0000498
TXN0000007,LOG0000499
TXN0000001,LOG0000500
TXN0000000,LOG0000501
TXN0000014,LOG0000502
TXN0000000,LOG0000503
TXN0000000,LOG0000504
TXN0000000,LOG0000505
TXN0000429,LOG0000506
TXN0000001,LOG0000507
TXN0000058,LOG0000508
TXN0000000,LOG0000509
TXN0000011,LOG0000510
TXN0000001,LOG0000511
TXN0000000,LOG0000512
TXN0000001,LOG0000513
TXN0000000,LOG0000514
TXN0000001,LOG0000515
TXN0000000,LOG0000516
TXN0000002,LOG0000517
TXN0000005,LOG0000518
TXN0000005,LOG0000519
TXN0000010,LOG0000520
TXN0000001,LOG0000521
TXN0000004,LOG0000522
TXN0000188,LOG0000523
TXN0000000,LOG0000524
TXN0000000,LOG0000525
TXN0000004,LOG0000526
TXN0000004,LOG0000527
TXN0000000,LOG0000528
TXN0000000,LOG0000529
TXN0000031,LOG0000530
TXN0000004,LOG0000531
TXN0000025,LOG0000532
TXN0000000,LOG0000533
TXN0000000,LOG0000534
TXN0000000,LOG0000535
TXN0000002,LOG0000536
TXN0000000,LOG0000537
TXN0000002,LOG0000538
TXN0000000,LOG0000539
TXN0000000,LOG0000540
TXN0000008,LOG0000541
TXN0000000,LOG0000542
TXN0000018,LOG0000543
TXN0000000,LOG0000544
TXN0000008,LOG0000545
TXN0000005,LOG0000546
TXN0000006,LOG0000547
TXN0000005,LOG0000548
TXN0000000,LOG0000549
TXN0000002,LOG0000550
TXN0000007,LOG0000551
TXN0000000,LOG0000552
TXN0000671,LOG0000553
TXN0000004,LOG0000554
TXN0000014,LOG0000555
TXN0000003,LOG0000556
TXN0000000,LOG0000557
TXN0000055,LOG0000558
TXN0000001,LOG0000559
TXN0000054,LOG0000560
TXN0000043,LOG0000561
TXN0000000,LOG0000562
TXN0000002,LOG0000563
TXN0000000,LOG0000564
TXN0000005,LOG0000565
TXN0000002,LOG0000566
TXN0000008,LOG0000567
TXN0000007,LOG0000568
TXN0000000,LOG0000569
TXN0000011,LOG0000570
TXN0000006,LOG0000571
TXN0000000,LOG0000572
TXN0000728,LOG0000573
TXN0000000,LOG0000574
TXN0000000,LOG0000575
TXN0000000,LOG0000576
TXN0000001,LOG0000577
TXN0000001,LOG0000578
TXN0000000,LOG0000579
TXN0000014,LOG0000580
TXN0000003,LOG0000581
TXN0000047,LOG0000582
TXN0000000,LOG0000583
TXN0000000,LOG0000584
TXN0000000,LOG0000585
TXN0000000,LOG0000586
TXN0000000,LOG0000587
TXN0000006,LOG0000588
TXN0000001,LOG0000589
TXN0000013,LOG0000590
TXN0000000,LOG0000591
TXN0000001,LOG0000592
TXN0000007,LOG0000593
TXN0000000,LOG0000594
TXN0000000,LOG0000595
TXN0000005,LOG0000596
TXN0000004,LOG0000597
TXN0000000,LOG0000598
TXN0000000,LOG0000599
TXN0000007,LOG0000600
TXN0000016,LOG0000601
TXN0000000,LOG0000602
TXN0000000,LOG0000603
TXN0000000,LOG0000604
TXN0000001,LOG0000605
TXN0000038,LOG0000606
TXN0000001,LOG0000607
TXN0000004,LOG0000608
TXN0000001,LOG0000609
TXN0000000,LOG0000610
TXN0000015,LOG0000611
TXN0000000,LOG0000612
TXN0000005,LOG0000613
TXN0000001,LOG0000614
TXN0000000,LOG0000615
TXN0000003,LOG0000616
TXN0000072,LOG0000617
TXN0000000,LOG0000618
TXN0000000,LOG0000619
TXN0000006,LOG0000620
TXN0000000,LOG0000621
TXN0000004,LOG0000622
TXN0000002,LOG0000623
TXN0000005,LOG0000624
TXN0000003,LOG0000625
TXN0000000,LOG0000626
TXN0000000,LOG0000627
TXN0000135,LOG0000628
TXN0000000,LOG0000629
TXN0000000,LOG0000630
TXN0000000,LOG0000631
TXN0000000,LOG0000632
TXN0000011,LOG0000633
TXN0000113,LOG0000634
TXN0000000,LOG0000635
TXN0000000,LOG0000636
TXN0000000,LOG0000637
TXN0000000,LOG0000638
TXN0000000,LOG0000639
TXN0000001,LOG0000640
TXN0000021,LOG0000641
TXN0000013,LOG0000642
TXN0000000,LOG0000643
TXN0000000,LOG0000644
TXN0000001,LOG0000645
TXN0000000,LOG0000646
TXN0000000,LOG0000647
TXN0000000,LOG0000648
TXN0000000,LOG0000649
TXN0000003,LOG0000650
TXN0000000,LOG0000651
TXN0000000,LOG0000652
TXN0000000,LOG0000653
TXN0000000,LOG0000654
TXN0000000,LOG0000655
TXN0000005,LOG0000656
TXN0000043,LOG0000657
TXN0000018,LOG0000658
TXN0000002,LOG0000659
TXN0000000,LOG0000660
TXN0000000,LOG0000661
TXN0000005,LOG0000662
TXN0000000,LOG0000663
TXN0000003,LOG0000664
TXN0001999,LOG0000665
TXN0000000,LOG0000666
TXN0001681,LOG0000667
TXN0000000,LOG0000668
TXN0000278,LOG0000669
TXN0000011,LOG0000670
TXN0000000,LOG0000671
TXN0000000,LOG0000672
TXN0000000,LOG0000673
TXN0000002,LOG0000674
TXN0000007,LOG0000675
TXN0000000,LOG0000676
TXN0000002,LOG0000677
TXN0000000,LOG0000678
TXN0000000,LOG0000679
TXN0000006,LOG0000680
TXN0000006,LOG0000681
TXN0000001,LOG0000682
TXN0000000,LOG0000683
TXN0001999,LOG0000684
TXN0000096,LOG0000685
TXN0000000,LOG0000686
TXN0000007,LOG0000687
TXN0000003,LOG0000688
TXN0000000,LOG0000689
TXN0000004,LOG0000690
TXN0000001,LOG0000691
TXN0000006,LOG0000692
TXN0000001,LOG0000693
TXN0000001,LOG0000694
TXN0000044,LOG0000695
TXN0000003,LOG0000696
TXN0000011,LOG0000697
TXN0000014,LOG0000698
TXN0000000,LOG0000699
TXN0000027,LOG0000700
TXN0000000,LOG0000701
TXN0000007,LOG0000702
TXN0000000,LOG0000703
TXN0000000,LOG0000704
TXN0000000,LOG0000705
TXN0001145,LOG0000706
TXN0000000,LOG0000707
TXN0000001,LOG0000708
TXN0000000,LOG0000709
TXN0000000,LOG0000710
TXN0001999,LOG0000711
TXN0000000,LOG0000712
TXN0000030,LOG0000713
TXN0000000,LOG0000714
TXN0000000,LOG0000715
TXN0000004,LOG0000716
TXN0000001,LOG0000717
TXN0000042,LOG0000718
TXN0000015,LOG0000719
TXN0000002,LOG0000720
TXN0000120,LOG0000721
TXN0000023,LOG0000722
TXN0000000,LOG0000723
TXN0000008,LOG0000724
TXN0000000,LOG0000725
TXN0000000,LOG0000726
TXN0000000,LOG0000727
TXN0000001,LOG0000728
TXN0000895,LOG0000729
TXN0000190,LOG0000730
TXN0000001,LOG0000731
TXN0000003,LOG0000732
TXN0000000,LOG0000733
TXN0000002,LOG0000734
TXN0000000,LOG0000735
TXN0000000,LOG0000736
TXN0000020,LOG0000737
TXN0000000,LOG0000738
TXN0000000,LOG0000739
TXN0000484,LOG0000740
TXN0000002,LOG0000741
TXN0000006,LOG0000742
TXN0000000,LOG0000743
TXN0000018,LOG0000744
TXN0000012,LOG0000745
TXN0000000,LOG0000746
TXN0000000,LOG0000747
TXN0000001,LOG0000748
TXN0000001,LOG0000749
TXN0000000,LOG0000750
TXN0000001,LOG0000751
TXN0000000,LOG0000752
TXN0000000,LOG0000753
TXN0000000,LOG0000754
TXN0000001,LOG0000755
TXN0000110,LOG0000756
TXN0000003,LOG0000757
TXN0000000,LOG0000758
TXN0000000,LOG0000759
TXN0000002,LOG0000760
TXN0000005,LOG0000761
TXN0000000,LOG0000762
TXN0000000,LOG0000763
TXN0000001,LOG0000764
TXN0000007,LOG0000765
TXN0000007,LOG0000766
TXN0000001,LOG0000767
TXN0000000,LOG0000768
TXN0000001,LOG0000769
TXN0000002,LOG0000770
TXN0000001,LOG0000771
TXN0000000,LOG0000772
TXN0000055,LOG0000773
TXN0000000,LOG0000774
TXN0000000,LOG0000775
TXN0000001,LOG0000776
TXN0000002,LOG0000777
TXN0000000,LOG0000778
TXN0000001,LOG0000779
TXN0000000,LOG0000780
TXN0000026,LOG0000781
TXN0000001,LOG0000782
TXN0000013,LOG0000783
TXN0000002,LOG0000784
TXN0000005,LOG0000785
TXN0000002,LOG0000786
TXN0000006,LOG0000787
TXN0000001,LOG0000788
TXN0000000,LOG0000789
TXN0000003,LOG0000790
TXN0000000,LOG0000791
TXN0000000,LOG0000792
TXN0000455,LOG0000793
TXN0000000,LOG0000794
TXN0000000,LOG0000795
TXN0000014,LOG0000796
TXN0001999,LOG0000797
TXN0000000,LOG0000798
TXN0000001,LOG0000799
TXN0000001,LOG0000800
TXN0000000,LOG0000801
TXN0000000,LOG0000802
TXN0000001,LOG0000803
TXN0000027,LOG0000804
TXN0000027,LOG0000805
TXN0000000,LOG0000806
TXN0000003,LOG0000807
TXN0000254,LOG0000808
TXN0000000,LOG0000809
TXN0000000,LOG0000810
TXN0000000,LOG0000811
TXN0000009,LOG0000812
TXN0000001,LOG0000813
TXN0000003,LOG0000814
TXN0000001,LOG0000815
TXN0000001,LOG0000816
TXN0000000,LOG0000817
TXN0000019,LOG0000818
TXN0000000,LOG0000819
TXN0000000,LOG0000820
TXN0000137,LOG0000821
TXN0000011,LOG0000822
TXN0000016,LOG0000823
TXN0000009,LOG0000824
TXN0000503,LOG0000825
TXN0000000,LOG0000826
TXN0000003,LOG0000827
TXN0000002,LOG0000828
TXN0000001,LOG0000829
TXN0000000,LOG0000830
TXN0000014,LOG0000831
TXN0000005,LOG0000832
TXN0000000,LOG0000833
TXN0000044,LOG0000834
TXN0000000,LOG0000835
TXN0000000,LOG0000836
TXN0000000,LOG0000837
TXN0000000,LOG0000838
TXN0000002,LOG0000839
TXN0000000,LOG0000840
TXN0000000,LOG0000841
TXN0000000,LOG0000842
TXN0000000,LOG0000843
TXN0000009,LOG0000844
TXN0000026,LOG0000845
TXN0000195,LOG0000846
TXN0000131,LOG0000847
TXN0000014,LOG0000848
TXN0000001,LOG0000849
TXN0000005,LOG0000850
TXN0000003,LOG0000851
TXN0000000,LOG0000852
TXN0000001,LOG0000853
TXN0001999,LOG0000854
TXN0000000,LOG0000855
TXN0000000,LOG0000856
TXN0000006,LOG0000857
TXN0000014,LOG0000858
TXN0001328,LOG0000859
TXN0000113,LOG0000860
TXN0000001,LOG0000861
TXN0000000,LOG0000862
TXN0000003,LOG0000863
TXN0000002,LOG0000864
TXN0000003,LOG0000865
TXN0001999,LOG0000866
TXN0000003,LOG0000867
TXN0000000,LOG0000868
TXN0000000,LOG0000869
TXN0000003,LOG0000870
TXN0000002,LOG0000871
TXN0000052,LOG0000872
TXN0000000,LOG0000873
TXN0000000,LOG0000874
TXN0000001,LOG0000875
TXN0000000,LOG0000876
TXN0000004,LOG0000877
TXN0000000,LOG0000878
TXN0000002,LOG0000879
TXN0000000,LOG0000880
TXN0000036,LOG0000881
TXN0000000,LOG0000882
TXN0000006,LOG0000883
TXN0000000,LOG0000884
TXN0000013,LOG0000885
TXN0000015,LOG0000886
TXN0000008,LOG0000887
TXN0000009,LOG0000888
TXN0000004,LOG0000889
TXN0000012,LOG0000890
TXN0000000,LOG0000891
TXN0000000,LOG0000892
TXN0000050,LOG0000893
TXN0000000,LOG0000894
TXN0000001,LOG0000895
TXN0000000,LOG0000896
TXN0000011,LOG0000897
TXN0000000,LOG0000898
TXN0000000,LOG0000899
TXN0000000,LOG0000900
TXN0000003,LOG0000901
TXN0000014,LOG0000902
TXN0000016,LOG0000903
TXN0000002,LOG0000904
TXN0001999,LOG0000905
TXN0000001,LOG0000906
TXN0000000,LOG0000907
TXN0000000,LOG0000908
TXN0000000,LOG0000909
TXN0000036,LOG0000910
TXN0000002,LOG0000911
TXN0000002,LOG0000912
TXN0000001,LOG0000913
TXN0000107,LOG0000914
TXN0000066,LOG0000915
TXN0000000,LOG0000916
TXN0000001,LOG0000917
TXN0000056,LOG0000918
TXN0000734,LOG0000919
TXN0000000,LOG0000920
TXN0001999,LOG0000921
TXN0000000,LOG0000922
TXN0000000,LOG0000923
TXN0000003,LOG0000924
TXN0000000,LOG0000925
TXN0000127,LOG0000926
TXN0000000,LOG0000927
TXN0000000,LOG0000928
TXN0000001,LOG0000929
TXN0000084,LOG0000930
TXN0000012,LOG0000931
TXN0000012,LOG0000932
TXN0000006,LOG0000933
TXN0000020,LOG0000934
TXN0000001,LOG0000935
TXN0000005,LOG0000936
TXN0000004,LOG0000937
TXN0000004,LOG0000938
TXN0000001,LOG0000939
TXN0000000,LOG0000940
TXN0000002,LOG0000941
TXN0000000,LOG0000942
TXN0000000,LOG0000943
TXN0000000,LOG0000944
TXN0000000,LOG0000945
TXN0000000,LOG0000946
TXN0000001,LOG0000947
TXN0000001,LOG0000948
TXN0000001,LOG0000949
TXN0001999,LOG0000950
TXN0000003,LOG0000951
TXN0000024,LOG0000952
TXN0000000,LOG0000953
TXN0000006,LOG0000954
TXN0000000,LOG0000955
TXN0000000,LOG0000956
TXN0000001,LOG0000957
TXN0000000,LOG0000958
TXN0000008,LOG0000959
TXN0000000,LOG0000960
TXN0000001,LOG0000961
TXN0000000,LOG0000962
TXN0000005,LOG0000963
TXN0000002,LOG0000964
TXN0000489,LOG0000965
TXN0000023,LOG0000966
TXN0000002,LOG0000967
TXN0000003,LOG0000968
TXN0000000,LOG0000969
TXN0000002,LOG0000970
TXN0000000,LOG0000971
TXN0000030,LOG0000972
TXN0000002,LOG0000973
TXN0000000,LOG0000974
TXN0000001,LOG0000975
TXN0000000,LOG0000976
TXN0000091,LOG0000977
TXN0000013,LOG0000978
TXN0000000,LOG0000979
TXN0000004,LOG0000980
TXN0000041,LOG0000981
TXN0000000,LOG0000982
TXN0000000,LOG0000983
TXN0000001,LOG0000984
TXN0000000,LOG0000985
TXN0000000,LOG0000986
TXN0000002,LOG0000987
TXN0000001,LOG0000988
TXN0000000,LOG0000989
TXN0000098,LOG0000990
TXN0000003,LOG0000991
TXN0000006,LOG0000992
TXN0000008,LOG0000993
TXN0000000,LOG0000994
TXN0000001,LOG0000995
TXN0000003,LOG0000996
