account_id,account_type,balance,currency,status,opened_date,last_activity
ACC000058,Savings,2522.89,USD,Active,2016-01-03,2025-01-30 07:17:46
ACC000059,Savings,768.27,USD,Active,2017-11-11,2023-01-28 06:29:17
ACC000060,Savings,989.01,CAD,Suspended,2020-02-04,2021-10-02 19:02:36
ACC000061,Investment,19037.0,USD,Closed,2023-10-06,2025-01-03 05:34:40
ACC000062,Credit,15320.78,USD,Active,2016-02-11,2018-07-12 14:31:48
ACC000063,Savings,7433.17,USD,Active,2023-05-16,2024-03-10 23:47:38
ACC000064,Savings,579.13,EUR,Active,2018-11-22,2024-12-17 11:42:33
ACC000065,Savings,1854.53,GBP,Closed,2016-02-07,
ACC000066,Checking,18391.55,EUR,Closed,2015-12-03,2025-02-10 04:11:28
ACC000067,Checking,3687.03,USD,Active,2021-10-11,2024-08-06 17:24:11
ACC000068,Checking,96663.81,JPY,Active,2018-03-18,2018-12-03 00:59:50
ACC000069,Checking,5377.49,USD,Active,2020-03-07,2022-02-24 04:40:36
ACC000070,Checking,3976.17,USD,Active,2019-01-16,2020-09-28 21:08:11
ACC000071,Savings,1874.93,USD,Active,2016-05-06,2025-08-13 22:33:04
ACC000072,Credit,3642.08,USD,Inactive,2017-05-21,2025-11-18 16:08:42
ACC000073,Credit,2371.54,USD,Active,2021-08-08,2022-03-15 00:53:44
ACC000074,Savings,8622.78,USD,Active,2024-01-03,2025-11-14 07:53:35
ACC000075,Savings,12519.63,USD,Inactive,2018-07-31,2023-08-29 02:39:10
ACC000076,Savings,916.92,USD,Active,2020-10-07,2024-10-07 04:09:02
ACC000077,Checking,404.7,USD,Active,2017-11-26,2021-12-11 01:37:58
ACC000078,Credit,189.75,JPY,Active,2023-02-05,2024-11-09 20:51:47
ACC000079,Savings,6386.79,JPY,Inactive,2019-03-18,2025-06-05 17:08:59
ACC000080,Savings,569.61,USD,Active,2021-05-06,2021-07-05 10:05:45
ACC000081,Savings,118.0,EUR,Active,2019-09-29,
ACC000082,Savings,5339.4,JPY,Active,2023-08-02,2024-07-22 01:05:27
ACC000083,Checking,125429.52,USD,Active,2024-03-07,
ACC000084,Checking,2953.94,USD,Active,2022-03-15,
ACC000085,Savings,10485.37,JPY,Active,2019-02-20,2021-02-04 16:23:22
ACC000086,Credit,3370.26,USD,Active,2018-05-26,
ACC000087,Savings,2570.01,USD,Active,2022-07-24,2025-03-05 09:15:35
ACC000088,Credit,11832.61,GBP,Active,2022-09-06,
ACC000089,Credit,1928.67,EUR,Active,2023-06-19,
ACC000090,Savings,4451.91,EUR,Active,2016-06-02,2019-01-01 21:05:51
ACC000091,Checking,4829.73,EUR,Active,2023-04-09,
ACC000092,Checking,1094.29,USD,Active,2023-09-29,2024-04-13 09:21:43
ACC000093,Savings,13201.21,EUR,Active,2018-08-07,2021-04-16 11:26:48
ACC000094,Credit,2292.87,CAD,Active,2018-08-06,2019-02-16 19:14:33
ACC000095,Checking,959.47,EUR,Active,2025-05-26,2025-11-26 12:54:38
ACC000096,Checking,6665.93,GBP,Inactive,2021-08-29,
ACC000097,Savings,774.56,USD,Active,2020-05-23,2021-05-02 18:54:15
ACC000098,Checking,3109.67,USD,Active,2023-12-15,2024-05-09 16:23:36
ACC000099,Checking,2940.46,CAD,Active,2018-04-24,2021-10-18 12:35:53
ACC000100,Credit,15196.85,USD,Suspended,2019-01-08,
ACC000101,Investment,6075.67,USD,Inactive,2020-02-29,
ACC000102,Checking,2871.13,JPY,Active,2024-12-22,2025-08-04 06:00:33
ACC000103,Checking,10164.43,USD,Active,2024-02-11,2024-06-03 11:03:58
ACC000104,Savings,23988.06,JPY,Active,2023-11-07,2024-10-25 13:48:20
ACC000105,Checking,6882.35,USD,Active,2025-02-08,
ACC000106,Savings,3027.61,USD,Active,2018-02-27,2023-12-23 23:48:35
ACC000107,Checking,416.65,USD,Active,2019-03-21,2021-01-10 08:54:25
ACC000108,Credit,603.25,USD,Active,2021-01-30,
ACC000109,Investment,1885.9,CAD,Active,2024-08-17,
ACC000110,Investment,1194.8,EUR,Active,2022-10-14,
ACC000111,Investment,2251.93,USD,Active,2017-10-05,2023-08-08 06:38:47
ACC000112,Credit,3245.34,USD,Inactive,2020-09-09,2021-01-20 19:14:07
ACC000113,Savings,6598.11,USD,Active,2024-09-30,2025-05-16 19:00:32
ACC000114,Credit,2681.82,CAD,Closed,2022-02-08,2025-06-10 02:24:16
ACC000115,Credit,6184.2,JPY,Closed,2018-09-13,2022-06-30 12:38:09
ACC000116,Credit,3283.65,USD,Active,2022-07-03,2025-04-23 08:24:35
ACC000117,Investment,153.98,USD,Closed,2022-02-22,
ACC000118,Savings,728.51,USD,Active,2019-03-31,
ACC000119,Savings,2401.55,USD,Active,2020-05-28,
ACC000120,Savings,485.64,USD,Closed,2016-02-09,2025-09-10 09:48:39
ACC000121,Checking,7331.19,CAD,Active,2020-01-29,2023-07-13 13:35:23
ACC000122,Credit,29617.66,GBP,Suspended,2024-08-18,
ACC000123,Checking,18548.47,USD,Inactive,2017-02-14,2021-07-09 00:36:55
ACC000124,Credit,2164.26,USD,Inactive,2018-08-12,2022-07-04 14:24:15
ACC000125,Checking,27891.83,CAD,Suspended,2021-08-28,
ACC000126,Credit,3725.67,EUR,Active,2024-10-03,2025-05-31 18:45:07
ACC000127,Checking,1797.89,USD,Active,2022-05-26,
ACC000128,Credit,1187.84,EUR,Active,2021-11-28,
ACC000129,Credit,1893.71,USD,Closed,2023-05-01,2024-02-10 05:58:13
ACC000130,Credit,1665.26,USD,Inactive,2017-11-29,
ACC000131,Savings,3849.21,EUR,Active,2018-12-14,
ACC000132,Savings,3792.8,EUR,Active,2016-09-17,2023-10-28 06:54:09
ACC000133,Credit,2994.61,USD,Active,2022-01-02,2023-12-28 20:10:56
ACC000134,Savings,5741.11,USD,Inactive,2018-03-15,
ACC000135,Savings,17782.49,USD,Active,2017-07-25,2018-08-13 17:53:26
ACC000136,Credit,12386.11,CAD,Active,2022-01-18,2024-09-12 15:27:07
ACC000137,Investment,321.39,USD,Active,2015-12-10,
ACC000138,Checking,64.66,USD,Active,2023-09-01,2024-01-18 13:46:29
ACC000139,Credit,12106.28,USD,Active,2017-06-16,2021-07-02 15:45:05
ACC000140,Credit,383.63,USD,Active,2022-10-31,
ACC000141,Savings,2127.82,USD,Active,2024-03-16,
ACC000142,Investment,515.34,USD,Closed,2021-08-06,2022-05-16 11:30:33
ACC000143,Checking,199.74,GBP,Active,2023-11-13,2024-04-22 13:12:10
ACC000144,Checking,6715.64,USD,Active,2022-01-18,2024-05-03 17:17:47
ACC000145,Savings,9308.96,USD,Closed,2020-09-28,2022-03-04 22:08:45
ACC000146,Savings,1255.43,USD,Active,2025-03-15,2025-06-03 08:31:41
ACC000147,Savings,61.16,EUR,Active,2018-09-18,2021-11-24 03:38:13
ACC000148,Checking,1313.74,USD,Inactive,2019-08-06,2023-09-08 16:02:09
ACC000149,Investment,5365.29,USD,Active,2017-05-25,2021-06-09 09:31:19
ACC000150,Savings,324.29,USD,Active,2016-11-25,
ACC000151,Savings,3924.68,USD,Active,2019-02-16,2022-09-26 19:18:43
ACC000152,Savings,2913.28,USD,Active,2016-11-20,2017-03-18 07:49:36
ACC000153,Investment,7107.72,USD,Active,2020-06-04,
ACC000154,Credit,3566.61,USD,Active,2019-10-17,2021-12-13 18:19:09
ACC000155,Savings,692.56,USD,Active,2017-11-23,
ACC000156,Savings,17941.24,USD,Active,2019-07-17,2025-11-27 08:35:36
ACC000157,Checking,2350.08,USD,Active,2017-12-18,
ACC000158,Investment,2861.33,USD,Closed,2018-12-30,2024-12-12 06:11:19
ACC000159,Savings,735.17,USD,Active,2024-08-06,2025-11-03 05:00:37
ACC000160,Credit,1533.15,USD,Active,2020-10-10,
ACC000161,Checking,790.6,USD,Active,2023-01-27,
ACC000162,Savings,2299.81,JPY,Active,2024-01-13,2024-05-21 20:14:56
ACC000163,Checking,38853.86,USD,Active,2016-11-02,
ACC000164,Checking,380.75,USD,Active,2025-03-16,2025-11-21 21:39:15
ACC000165,Credit,264.98,USD,Active,2023-02-07,2024-05-19 19:46:25
ACC000166,Checking,27085.55,USD,Active,2017-08-08,2025-03-31 15:33:20
ACC000167,Savings,2177.68,GBP,Active,2020-02-03,2025-02-21 18:46:58
ACC000168,Checking,1092.68,JPY,Active,2016-01-30,
ACC000169,Savings,14183.82,USD,Active,2021-06-26,2024-01-13 17:34:08
ACC000170,Credit,1201.8,USD,Closed,2020-04-13,2024-09-05 16:19:03
ACC000171,Checking,46120.58,EUR,Active,2021-02-17,
ACC000172,Savings,8241.1,USD,Inactive,2021-11-30,2024-08-23 12:14:50
ACC000173,Savings,1433.87,USD,Active,2017-12-13,2022-03-08 19:28:00
ACC000174,Checking,75808.24,USD,Active,2019-11-27,2024-08-15 20:49:24
ACC000175,Savings,1201.62,CAD,Active,2020-08-15,2024-09-30 21:03:10
ACC000176,Credit,9073.77,EUR,Active,2016-11-09,2019-02-06 17:58:31
ACC000177,Checking,4670.11,USD,Active,2023-07-26,2023-11-22 21:18:41
ACC000178,Credit,21007.02,USD,Active,2019-12-23,2022-08-24 16:34:08
ACC000179,Savings,31016.26,USD,Active,2017-08-02,2017-12-29 05:55:08
ACC000180,Savings,3127.55,USD,Active,2022-03-20,2025-07-31 12:38:35
ACC000181,Checking,962.83,USD,Active,2024-06-11,
ACC000182,Checking,5942.93,USD,Active,2020-01-25,
ACC000183,Checking,1078.61,USD,Active,2025-06-26,2025-10-08 17:03:15
ACC000184,Savings,61088.62,USD,Inactive,2018-04-14,2025-01-26 03:04:27
ACC000185,Checking,3658.48,EUR,Active,2016-10-05,2019-09-09 01:26:22
ACC000186,Savings,1723.34,USD,Inactive,2023-02-01,2023-03-22 10:56:25
ACC000187,Investment,3932.46,JPY,Inactive,2024-08-06,
ACC000188,Savings,395.17,CAD,Suspended,2018-09-21,2019-06-24 01:48:37
ACC000189,Credit,694.07,USD,Active,2022-10-11,2023-12-22 19:51:00
ACC000190,Savings,18044.94,GBP,Active,2016-05-09,
ACC000191,Savings,1112.83,JPY,Active,2020-09-10,2023-01-09 14:19:34
ACC000192,Checking,619.95,USD,Closed,2017-04-14,2022-09-27 09:54:10
ACC000193,Savings,6667.36,EUR,Active,2023-09-06,2024-08-07 11:18:39
ACC000194,Credit,17651.15,GBP,Active,2021-05-29,2022-11-09 20:11:48
ACC000195,Savings,8764.2,USD,Active,2020-08-14,2020-09-12 19:08:40
ACC000196,Savings,13280.76,GBP,Closed,2016-07-26,2025-06-23 10:46:46
ACC000197,Checking,957.96,JPY,Active,2020-08-14,2025-06-19 12:28:20
ACC000198,Checking,353.29,CAD,Active,2019-10-19,2024-08-09 15:11:49
ACC000199,Savings,28339.18,USD,Inactive,2024-03-10,
ACC000200,Checking,1837.17,JPY,Active,2021-10-22,2024-04-10 07:26:16
ACC000201,Savings,2046.22,USD,Active,2024-10-26,
ACC000202,Investment,21857.32,USD,Suspended,2016-04-06,
ACC000203,Credit,6866.06,USD,Closed,2022-10-09,2025-04-18 14:25:27
ACC000204,Checking,5906.64,GBP,Active,2017-08-03,
ACC000205,Checking,76688.23,USD,Inactive,2023-10-28,2025-03-18 00:21:34
ACC000206,Investment,1135.38,USD,Inactive,2019-02-14,2019-09-12 08:26:21
ACC000207,Checking,11989.18,USD,Active,2016-02-10,
ACC000208,Checking,3247.11,EUR,Closed,2022-06-15,2023-03-04 02:58:11
ACC000209,Credit,4459.93,USD,Inactive,2022-12-01,2025-06-25 00:15:45
ACC000210,Checking,29516.44,EUR,Active,2019-10-01,2021-05-17 10:22:14
ACC000211,Savings,6385.3,USD,Active,2023-12-30,
ACC000212,Checking,6683.81,JPY,Active,2025-02-18,
ACC000213,Credit,14894.7,JPY,Closed,2019-12-22,2024-03-16 21:59:55
ACC000214,Checking,1724.29,USD,Inactive,2024-01-17,2025-07-10 23:33:18
ACC000215,Savings,846.56,USD,Active,2023-07-09,
ACC000216,Savings,621.9,EUR,Active,2021-03-06,2023-12-27 07:00:30
ACC000217,Checking,156.1,USD,Active,2023-12-18,2024-03-05 20:02:38
ACC000218,Savings,65141.08,USD,Active,2016-03-03,
ACC000219,Credit,569.74,USD,Active,2017-03-27,2023-01-06 06:00:52
ACC000220,Credit,2139.06,EUR,Active,2018-11-17,
ACC000221,Checking,1968.01,EUR,Active,2018-10-21,2021-02-18 09:22:37
ACC000222,Checking,4727.3,EUR,Closed,2023-01-28,2025-05-05 05:41:37
ACC000223,Checking,10133.54,EUR,Active,2023-08-28,2024-01-06 13:44:03
ACC000224,Checking,10836.88,EUR,Active,2020-01-09,
ACC000225,Checking,1243.13,USD,Active,2016-05-11,2022-03-21 20:25:35
ACC000226,Checking,2319.99,USD,Active,2018-02-01,2022-12-07 07:11:32
ACC000227,Checking,4554.49,CAD,Active,2018-05-18,2022-11-14 21:28:33
ACC000228,Credit,2052.81,USD,Active,2024-12-03,2025-01-22 00:24:07
ACC000229,Savings,33223.69,EUR,Closed,2019-10-14,2022-06-27 13:57:36
ACC000230,Checking,6225.83,USD,Active,2025-09-23,
ACC000231,Checking,8976.06,USD,Active,2019-04-06,2021-04-09 01:21:04
ACC000232,Savings,8057.2,USD,Closed,2025-09-10,2025-10-01 11:51:38
ACC000233,Savings,17330.28,CAD,Inactive,2016-04-21,2019-06-07 02:26:25
ACC000234,Savings,3910.94,USD,Active,2019-08-06,2025-08-11 11:57:38
ACC000235,Checking,426.13,JPY,Inactive,2016-05-23,
ACC000236,Credit,5429.12,EUR,Suspended,2025-01-01,
ACC000237,Checking,1122.11,JPY,Active,2020-08-10,2025-11-26 18:35:38
ACC000238,Savings,1348.94,EUR,Active,2023-03-15,
ACC000239,Checking,7183.53,USD,Active,2021-01-28,
ACC000240,Checking,19099.64,USD,Active,2021-01-10,2021-07-26 10:35:49
ACC000241,Checking,3077.61,EUR,Suspended,2017-09-19,2023-02-12 08:44:01
ACC000242,Checking,4737.43,USD,Inactive,2022-02-14,
ACC000243,Savings,38304.49,GBP,Inactive,2022-01-25,2023-06-21 14:19:22
ACC000244,Checking,4277.52,USD,Active,2025-06-04,2025-11-16 17:03:04
ACC000245,Credit,147638.89,EUR,Active,2020-04-18,2025-02-15 00:04:04
ACC000246,Checking,6962.3,EUR,Active,2018-08-25,2019-07-05 17:23:01
ACC000247,Checking,212.48,CAD,Closed,2019-02-23,
ACC000248,Savings,9228.14,GBP,Active,2023-01-01,2025-11-06 09:43:37
ACC000249,Savings,5280.3,USD,Active,2024-09-21,2025-03-02 12:37:23
ACC000250,Checking,20632.63,USD,Suspended,2022-12-21,2025-10-27 17:29:18
ACC000251,Savings,8182.66,CAD,Active,2019-10-07,2023-08-14 22:31:44
ACC000252,Savings,2421.92,EUR,Active,2024-06-30,
ACC000253,Savings,475.11,GBP,Active,2024-01-01,
ACC000254,Checking,2178.66,USD,Active,2015-12-26,
ACC000255,Checking,832.32,USD,Active,2022-12-04,2023-02-26 16:55:33
ACC000256,Credit,1247.9,USD,Closed,2022-08-30,
ACC000257,Credit,7207.43,USD,Active,2024-10-24,2025-01-09 13:13:28
ACC000258,Credit,36492.31,USD,Active,2021-08-17,
ACC000259,Credit,5388.42,CAD,Active,2016-01-05,2021-09-28 00:10:43
ACC000260,Credit,495.8,CAD,Inactive,2024-09-08,2025-04-08 15:46:19
ACC000261,Credit,5807.49,EUR,Active,2016-03-15,
ACC000262,Savings,17942.85,USD,Active,2020-04-29,2021-08-13 18:14:33
ACC000263,Credit,1194.31,USD,Active,2021-10-31,
ACC000264,Investment,2438.1,USD,Active,2018-02-16,2024-01-28 08:26:13
ACC000265,Checking,3047.36,USD,Active,2020-09-28,2024-04-08 09:43:47
ACC000266,Credit,918.42,CAD,Active,2025-07-02,2025-10-13 12:31:38
ACC000267,Checking,7882.66,USD,Active,2021-09-29,2024-10-19 17:06:03
ACC000268,Credit,2486.37,USD,Inactive,2020-05-03,2021-07-23 17:46:01
ACC000269,Credit,5593.15,USD,Active,2024-05-06,2025-04-14 05:39:06
ACC000270,Checking,787.42,USD,Inactive,2022-07-08,
ACC000271,Checking,1546.6,USD,Active,2018-10-21,2023-04-18 10:37:50
ACC000272,Savings,8809.38,USD,Active,2016-08-05,
ACC000273,Checking,1704.03,USD,Active,2024-12-28,
ACC000274,Checking,39753.21,USD,Inactive,2020-03-18,2021-04-29 06:58:35
ACC000275,Investment,1636.88,JPY,Active,2018-06-20,2018-10-29 05:59:49
ACC000276,Savings,4175.66,USD,Active,2024-02-03,
ACC000277,Checking,12074.92,USD,Active,2025-07-29,
ACC000278,Checking,355.12,CAD,Active,2017-03-04,
ACC000279,Checking,212.47,GBP,Active,2020-10-08,2024-01-03 14:24:11
ACC000280,Checking,302.33,USD,Inactive,2016-06-04,2025-03-25 13:09:54
ACC000281,Savings,19808.69,USD,Active,2016-03-02,2021-09-08 20:13:10
ACC000282,Checking,1302.72,EUR,Suspended,2017-07-02,2020-09-06 10:33:50
ACC000283,Checking,138316.38,JPY,Active,2016-01-19,2025-08-08 05:45:38
ACC000284,Checking,1278.74,USD,Active,2016-03-20,2020-11-04 00:33:41
ACC000285,Checking,3931.7,USD,Active,2017-08-16,2020-05-31 18:27:22
ACC000286,Savings,30126.63,USD,Active,2016-02-08,2023-06-13 17:03:57
ACC000287,Savings,60423.86,JPY,Suspended,2019-01-22,2019-07-10 21:19:12
ACC000288,Checking,65660.67,USD,Inactive,2021-07-22,2022-10-15 09:47:39
ACC000289,Investment,18261.48,JPY,Active,2021-01-05,2024-12-03 19:45:49
ACC000290,Checking,13850.74,USD,Active,2016-12-23,2020-12-16 14:31:26
ACC000291,Credit,7250.24,GBP,Inactive,2018-09-22,
ACC000292,Checking,9581.04,GBP,Suspended,2018-01-03,2025-10-11 01:27:12
ACC000293,Credit,1304.04,CAD,Active,2020-12-03,2021-04-03 13:55:24
ACC000294,Checking,873.67,JPY,Active,2024-07-09,
ACC000295,Checking,2965.91,JPY,Active,2022-04-01,2024-12-01 16:17:25
ACC000296,Credit,2309.35,EUR,Suspended,2020-06-11,2022-05-25 13:33:26
ACC000297,Investment,1510.44,EUR,Active,2025-08-17,2025-11-21 10:13:10
ACC000298,Checking,8472.5,USD,Closed,2023-06-12,
ACC000299,Investment,12493.43,EUR,Inactive,2022-08-28,2023-04-08 17:33:46
ACC000300,Investment,3403.67,USD,Active,2025-02-17,2025-03-21 10:50:56
ACC000301,Checking,27345.17,USD,Active,2024-02-03,
ACC000302,Savings,537.79,USD,Active,2017-09-20,2018-05-20 06:51:45
ACC000303,Checking,2229.45,USD,Active,2018-03-25,2024-07-09 07:26:25
ACC000304,Credit,1017.16,GBP,Closed,2022-04-09,
ACC000305,Savings,181.31,USD,Active,2017-01-17,2020-03-09 15:47:08
ACC000306,Credit,2633.26,USD,Active,2019-03-18,2023-08-04 16:07:16
ACC000307,Checking,2483.39,EUR,Inactive,2021-01-29,
ACC000308,Checking,28858.93,USD,Active,2019-06-27,2022-09-09 17:02:40
ACC000309,Savings,7678.79,EUR,Active,2021-11-15,2025-05-15 19:30:15
ACC000310,Checking,641.44,GBP,Active,2020-01-26,2024-06-08 08:07:12
ACC000311,Investment,48104.88,USD,Inactive,2022-05-03,2023-08-17 17:26:26
ACC000312,Credit,18611.79,EUR,Active,2017-10-26,2018-08-14 17:20:34
ACC000313,Checking,7137.7,USD,Active,2018-10-18,2022-12-17 07:39:08
ACC000314,Checking,2122.34,USD,Active,2019-04-15,2023-10-01 10:07:54
ACC000315,Investment,706.87,EUR,Active,2024-02-02,
ACC000316,Credit,1705.63,JPY,Active,2021-02-14,2022-08-10 18:37:43
ACC000317,Savings,15262.02,USD,Active,2023-01-31,2023-06-30 11:58:01
ACC000318,Checking,50356.32,GBP,Active,2022-07-31,2022-12-11 06:56:20
ACC000319,Credit,30177.9,USD,Inactive,2017-12-31,2021-04-11 11:31:30
ACC000320,Investment,1431.85,EUR,Active,2024-04-29,
ACC000321,Savings,555.89,JPY,Active,2018-12-13,2021-01-16 16:25:07
ACC000322,Savings,3682.43,USD,Inactive,2021-10-10,2023-11-24 20:14:04
ACC000323,Checking,210.05,USD,Active,2021-05-06,
ACC000324,Credit,4840.39,CAD,Active,2022-05-12,
ACC000325,Credit,2388.92,USD,Active,2016-09-17,
ACC000326,Checking,1481.7,USD,Active,2020-03-05,2025-04-22 15:14:30
ACC000327,Savings,272.58,CAD,Active,2024-12-14,
ACC000328,Savings,6440.75,USD,Suspended,2020-09-25,2024-04-26 11:20:09
ACC000329,Checking,1340.7,USD,Inactive,2021-11-20,2022-09-03 00:38:12
ACC000330,Savings,515.49,EUR,Active,2024-02-11,2025-06-08 07:27:02
ACC000331,Savings,40.11,USD,Inactive,2021-01-05,2022-10-14 06:40:10
ACC000332,Savings,2860.43,GBP,Active,2022-08-25,2024-12-16 11:52:32
ACC000333,Credit,42547.54,EUR,Active,2024-10-29,2025-01-11 20:44:15
ACC000334,Checking,36022.13,USD,Active,2018-11-25,
ACC000335,Credit,1501.7,USD,Active,2016-02-01,2025-06-07 19:05:22
ACC000336,Checking,1207.95,CAD,Active,2022-04-12,
ACC000337,Investment,6021.92,JPY,Active,2023-01-10,2024-10-15 10:19:09
ACC000338,Savings,666.75,USD,Closed,2021-11-12,2025-01-09 05:29:44
ACC000339,Savings,4687.66,EUR,Active,2023-05-01,
ACC000340,Checking,9406.16,JPY,Active,2023-02-24,
ACC000341,Savings,18777.22,USD,Inactive,2016-11-26,2021-07-27 00:39:31
ACC000342,Checking,2565.14,EUR,Active,2025-02-22,2025-09-27 16:28:19
ACC000343,Savings,2196.21,JPY,Active,2017-08-24,2022-09-08 23:49:37
ACC000344,Checking,798.73,EUR,Active,2023-11-09,2025-07-21 14:19:56
ACC000345,Savings,862.37,USD,Active,2023-01-28,2024-03-02 21:24:15
ACC000346,Credit,2122.36,USD,Suspended,2018-05-04,2023-03-14 03:52:22
ACC000347,Savings,5172.17,EUR,Active,2025-01-14,
ACC000348,Investment,11735.54,GBP,Active,2018-07-29,2018-11-22 16:19:59
ACC000349,Checking,893.58,CAD,Active,2021-06-14,2024-03-22 00:54:09
ACC000350,Checking,27974.06,USD,Closed,2020-06-28,2023-04-13 11:05:19
ACC000351,Checking,1984.88,USD,Active,2024-10-27,2025-01-09 15:51:30
ACC000352,Checking,2886.93,USD,Active,2019-02-04,2022-11-09 15:13:56
ACC000353,Credit,971.83,EUR,Inactive,2024-02-14,2024-07-24 19:10:51
ACC000354,Savings,78.54,USD,Active,2018-07-22,2020-02-16 22:44:05
ACC000355,Savings,11226.9,USD,Active,2022-03-22,2025-02-27 10:48:30
ACC000356,Savings,9002.57,USD,Inactive,2017-11-26,2023-04-30 12:32:58
ACC000357,Savings,1954.73,USD,Active,2021-11-02,2024-03-04 00:06:11
ACC000358,Investment,3296.07,USD,Inactive,2018-08-06,2018-10-11 03:26:13
ACC000359,Savings,6463.39,USD,Active,2023-10-05,2025-08-25 01:04:36
ACC000360,Savings,286.05,USD,Active,2025-01-31,
ACC000361,Checking,1348.06,USD,Closed,2020-05-12,
ACC000362,Investment,9812.35,EUR,Closed,2025-05-10,
