transaction_id,amount,currency,status,created_at,completed_at,reference_number
TXN0000028,35.82,USD,Completed,2025-06-21 05:38:09,2025-06-24 01:38:09,
TXN0000029,5.96,EUR,Completed,2025-06-18 15:47:45,2025-06-19 02:47:45,REF952444V
TXN0000030,168.77,USD,Completed,2025-11-29 04:34:14,2025-11-29 09:34:14,REF266850S
TXN0000031,31.19,USD,Completed,2025-05-03 02:09:16,2025-05-03 05:09:16,
TXN0000032,60.02,EUR,Pending,2025-07-12 21:13:17,,
TXN0000033,162.05,USD,Completed,2025-04-17 22:28:21,2025-04-18 23:28:21,
TXN0000034,20.76,USD,Pending,2025-06-08 05:04:07,,REF537973M
TXN0000035,32.31,GBP,Pending,2025-10-29 00:04:00,,REF834450M
TXN0000036,67.7,USD,Completed,2025-06-18 12:26:29,2025-06-20 14:26:29,REF163380J
TXN0000037,6.77,GBP,Pending,2025-11-13 07:42:44,,REF137935O
TXN0000038,21.78,USD,Completed,2025-07-04 22:42:05,2025-07-06 13:42:05,REF297724W
TXN0000039,24.25,USD,Completed,2025-05-18 17:34:29,2025-05-20 17:34:29,
TXN0000040,4.79,GBP,Completed,2025-07-02 17:42:42,2025-07-05 00:42:42,REF223177C
TXN0000041,649.66,USD,Completed,2025-10-29 15:21:08,2025-10-31 19:21:08,REF969005X
TXN0000042,2.43,EUR,Completed,2025-11-26 22:03:07,2025-11-28 08:03:07,REF206338V
TXN0000043,2.87,USD,Pending,2025-01-21 03:24:03,,
TXN0000044,144.22,JPY,Completed,2025-11-17 03:07:51,2025-11-17 15:07:51,REF527361E
TXN0000045,58.55,EUR,Failed,2025-02-07 10:58:29,,REF789978T
TXN0000046,4.31,USD,Completed,2025-02-09 13:50:12,2025-02-12 12:50:12,REF351052E
TXN0000047,49.95,CAD,Completed,2025-08-07 22:36:07,2025-08-10 08:36:07,REF295726L
TXN0000048,181.59,USD,Completed,2025-08-01 01:51:59,2025-08-02 08:51:59,
TXN0000049,19.19,GBP,Pending,2025-04-30 23:11:41,,
TXN0000050,990.52,GBP,Completed,2025-10-30 14:45:34,2025-11-01 17:45:34,
TXN0000051,1.51,USD,Pending,2025-07-03 04:34:02,,REF509368W
TXN0000052,56.87,USD,Completed,2024-12-19 19:01:43,2024-12-22 05:01:43,REF846697X
TXN0000053,115.56,USD,Pending,2025-11-17 16:25:16,,REF766608K
TXN0000054,76.48,USD,Completed,2024-12-15 05:25:21,2024-12-17 04:25:21,REF998887I
TXN0000055,14.78,JPY,Completed,2025-04-16 05:40:42,2025-04-18 21:40:42,REF946088C
TXN0000056,12.99,JPY,Completed,2025-06-14 18:06:42,2025-06-15 16:06:42,REF487909A
TXN0000057,39.1,JPY,Completed,2025-11-28 05:38:33,2025-11-29 20:38:33,REF954344K
TXN0000058,68.28,USD,Completed,2025-08-08 12:36:55,2025-08-10 11:36:55,REF516363J
TXN0000059,49.59,USD,Pending,2025-06-20 02:10:10,,
TXN0000060,95.59,CAD,Completed,2025-10-02 14:34:34,2025-10-04 13:34:34,REF717088D
TXN0000061,4.36,USD,Failed,2025-11-16 22:49:00,,
TXN0000062,14.27,CAD,Completed,2025-03-16 08:19:32,2025-03-17 09:19:32,
TXN0000063,4.9,JPY,Pending,2025-01-08 13:37:12,,REF432120J
TXN0000064,11.26,GBP,Completed,2025-06-04 23:12:03,2025-06-07 03:12:03,
TXN0000065,92.1,USD,Failed,2025-05-27 18:47:20,,REF118949A
TXN0000066,23.62,EUR,Completed,2025-11-19 05:27:50,2025-11-22 00:27:50,REF275124E
TXN0000067,1002.54,USD,Pending,2025-10-17 18:27:49,,REF684037I
TXN0000068,26.85,USD,Pending,2025-03-29 02:46:06,,REF875028F
TXN0000069,21.97,JPY,Pending,2025-06-18 12:00:32,,
TXN0000070,23.55,EUR,Completed,2025-02-21 18:17:21,2025-02-22 00:17:21,
TXN0000071,7.72,CAD,Pending,2025-01-25 12:55:18,,REF809577A
TXN0000072,18.42,USD,Completed,2025-02-02 10:50:03,2025-02-03 04:50:03,
TXN0000073,109.04,USD,Completed,2025-11-23 23:04:44,2025-11-26 02:04:44,REF526495G
TXN0000074,23.83,USD,Completed,2025-10-03 16:30:16,2025-10-03 23:30:16,REF148906Y
TXN0000075,6.11,USD,Completed,2025-01-15 04:57:12,2025-01-17 12:57:12,REF165936A
TXN0000076,5.01,USD,Completed,2024-12-05 11:16:50,2024-12-05 16:16:50,
TXN0000077,10.22,USD,Completed,2025-07-01 02:12:42,2025-07-01 18:12:42,
TXN0000078,22.44,USD,Pending,2025-05-10 18:30:54,,
TXN0000079,120.35,EUR,Completed,2025-02-10 23:57:43,2025-02-11 14:57:43,REF328187Y
TXN0000080,2.69,GBP,Completed,2025-02-23 08:09:27,2025-02-25 23:09:27,REF136786G
TXN0000081,12.43,USD,Completed,2025-11-30 13:37:36,2025-12-01 08:37:36,REF509747F
TXN0000082,24.94,USD,Completed,2025-04-05 07:18:27,2025-04-07 21:18:27,REF460678E
TXN0000083,1.28,CAD,Completed,2025-06-04 07:53:11,2025-06-05 10:53:11,REF255565F
TXN0000084,5.75,EUR,Pending,2025-02-02 08:48:13,,
TXN0000085,7.24,JPY,Completed,2025-09-01 01:14:47,2025-09-01 23:14:47,
TXN0000086,6.09,USD,Completed,2025-08-10 18:50:21,2025-08-11 22:50:21,REF336455E
TXN0000087,26.78,USD,Completed,2025-08-25 02:32:18,2025-08-25 06:32:18,REF196089B
TXN0000088,15.79,USD,Completed,2025-10-19 01:17:45,2025-10-21 02:17:45,REF926185D
TXN0000089,8.73,GBP,Pending,2025-03-24 11:40:36,,
TXN0000090,38.17,USD,Completed,2025-07-16 04:06:04,2025-07-18 01:06:04,REF963635R
TXN0000091,266.3,CAD,Completed,2025-03-16 19:32:30,2025-03-17 18:32:30,REF616942V
TXN0000092,234.84,EUR,Failed,2025-04-30 02:07:02,,REF660078I
TXN0000093,1.12,USD,Completed,2025-03-23 07:07:25,2025-03-24 16:07:25,
TXN0000094,47.73,CAD,Completed,2025-10-24 07:16:29,2025-10-25 02:16:29,
TXN0000095,15.38,EUR,Completed,2025-05-03 16:22:29,2025-05-04 05:22:29,REF406222I
TXN0000096,25.35,USD,Cancelled,2025-04-26 23:31:23,,REF693571E
TXN0000097,11.05,EUR,Completed,2025-10-27 09:41:18,2025-10-28 08:41:18,
TXN0000098,23.96,USD,Completed,2025-05-10 02:13:40,2025-05-11 21:13:40,
TXN0000099,25.21,JPY,Completed,2025-06-24 02:54:03,2025-06-26 15:54:03,REF356525C
TXN0000100,8.43,USD,Completed,2025-04-26 09:00:48,2025-04-28 11:00:48,REF615664I
TXN0000101,5.24,USD,Completed,2025-04-12 23:55:05,2025-04-14 15:55:05,
TXN0000102,10.25,USD,Completed,2025-04-22 10:52:24,,REF114210V
TXN0000103,28.54,USD,Completed,2025-04-04 03:26:52,2025-04-06 20:26:52,REF796223M
TXN0000104,49.33,GBP,Completed,2025-03-12 17:57:32,2025-03-14 15:57:32,REF429075X
TXN0000105,72.24,USD,Completed,2025-03-21 07:04:31,2025-03-22 15:04:31,REF938108F
TXN0000106,9.57,EUR,Completed,2025-03-20 04:07:41,,REF380670C
TXN0000107,30.75,EUR,Completed,2025-08-17 06:53:39,2025-08-18 16:53:39,
TXN0000108,85.09,USD,Pending,2025-01-03 08:14:59,,REF321794S
TXN0000109,115.4,USD,Completed,2025-08-16 23:35:28,2025-08-17 22:35:28,
TXN0000110,18.39,GBP,Completed,2025-01-18 02:38:59,,REF265985V
TXN0000111,14.42,EUR,Completed,2025-05-23 14:28:35,2025-05-24 01:28:35,
TXN0000112,26.75,USD,Pending,2025-08-08 00:03:28,,REF750436M
TXN0000113,3.58,USD,Completed,2025-02-28 18:21:31,2025-02-28 22:21:31,REF648635P
TXN0000114,15.02,USD,Completed,2025-06-25 03:07:45,2025-06-27 16:07:45,
TXN0000115,61.37,CAD,Completed,2025-03-09 23:29:55,,REF807736Y
TXN0000116,52.61,EUR,Failed,2025-07-29 01:45:40,,REF598235U
TXN0000117,13.39,USD,Pending,2025-02-28 19:28:35,,REF761614V
TXN0000118,27.84,JPY,Completed,2025-07-05 01:34:52,,
TXN0000119,5.83,USD,Completed,2025-01-03 00:55:01,2025-01-05 17:55:01,REF923800S
TXN0000120,57.7,USD,Completed,2025-11-03 18:34:21,2025-11-03 23:34:21,
TXN0000121,17.87,USD,Completed,2025-10-30 00:19:08,2025-10-31 20:19:08,REF496504I
TXN0000122,13.28,USD,Completed,2025-10-17 12:34:21,2025-10-19 00:34:21,
TXN0000123,11.67,USD,Completed,2024-12-11 20:14:57,2024-12-13 11:14:57,REF899555N
TXN0000124,18.28,USD,Completed,2025-03-10 07:35:30,2025-03-12 16:35:30,REF193351N
TXN0000125,10.26,USD,Completed,2025-02-19 19:31:29,2025-02-19 23:31:29,
TXN0000126,53.9,USD,Completed,2025-10-01 09:50:35,,REF593103G
TXN0000127,11.1,CAD,Completed,2025-08-13 03:10:32,2025-08-14 02:10:32,REF562819C
TXN0000128,219.08,EUR,Completed,2025-01-02 18:46:57,2025-01-03 11:46:57,REF498623H
TXN0000129,180.88,USD,Completed,2025-04-25 05:46:54,2025-04-27 16:46:54,REF287953L
TXN0000130,5.27,USD,Completed,2025-06-15 20:24:32,2025-06-18 00:24:32,REF547287J
TXN0000131,22.3,USD,Completed,2025-02-22 18:04:44,2025-02-24 07:04:44,REF750919R
TXN0000132,7.57,GBP,Completed,2025-11-26 18:13:24,2025-11-28 14:13:24,REF534055V
TXN0000133,12.31,USD,Completed,2025-11-27 11:08:45,2025-11-28 20:08:45,REF406351X
TXN0000134,404.9,EUR,Pending,2025-07-17 05:53:16,,REF420185T
TXN0000135,12.66,USD,Completed,2025-09-22 21:55:28,2025-09-24 04:55:28,REF354235W
TXN0000136,34.48,USD,Completed,2025-04-04 07:21:17,2025-04-05 19:21:17,
TXN0000137,45.24,JPY,Completed,2025-02-14 12:03:07,2025-02-17 07:03:07,REF977418V
TXN0000138,4.48,USD,Completed,2025-05-03 11:37:46,2025-05-05 05:37:46,REF234536T
TXN0000139,5.57,EUR,Completed,2025-08-27 16:59:32,2025-08-30 12:59:32,REF647760S
TXN0000140,3.29,USD,Completed,2025-08-27 01:29:07,2025-08-27 14:29:07,REF897178S
TXN0000141,5.32,USD,Completed,2025-01-22 18:39:43,2025-01-25 07:39:43,REF602194K
TXN0000142,0.28,JPY,Completed,2024-12-27 13:47:45,2024-12-29 01:47:45,REF922470N
TXN0000143,45.46,USD,Completed,2025-10-28 10:08:15,2025-10-29 02:08:15,
TXN0000144,437.59,USD,Pending,2025-01-06 03:38:55,,REF167201E
TXN0000145,25.07,USD,Completed,2025-02-19 11:36:37,2025-02-19 14:36:37,
TXN0000146,2.4,USD,Completed,2025-08-09 01:38:29,2025-08-09 15:38:29,
TXN0000147,7.66,USD,Completed,2025-03-10 21:10:09,2025-03-12 18:10:09,REF723803M
TXN0000148,10.09,USD,Completed,2025-11-04 14:57:04,2025-11-07 02:57:04,REF682355N
TXN0000149,4.37,USD,Completed,2025-10-16 01:26:57,2025-10-17 04:26:57,REF373774W
TXN0000150,72.99,USD,Completed,2025-04-20 21:56:27,,REF332036C
TXN0000151,67.72,USD,Completed,2025-05-14 14:47:56,2025-05-15 16:47:56,
TXN0000152,3.55,GBP,Completed,2025-07-18 13:56:32,2025-07-19 06:56:32,
TXN0000153,59.6,USD,Completed,2024-12-07 17:18:12,2024-12-09 02:18:12,
TXN0000154,198.39,USD,Completed,2025-07-17 20:53:46,2025-07-20 12:53:46,REF807576Z
TXN0000155,348.57,GBP,Completed,2025-02-21 00:12:28,2025-02-21 03:12:28,
TXN0000156,1477.07,CAD,Completed,2025-09-22 12:11:19,2025-09-23 06:11:19,REF394209M
TXN0000157,5.19,CAD,Completed,2025-05-19 09:31:17,2025-05-19 20:31:17,REF610966O
TXN0000158,1388.99,USD,Completed,2025-06-10 12:35:06,2025-06-10 16:35:06,
TXN0000159,11.81,GBP,Pending,2025-04-11 12:31:06,,REF271305F
TXN0000160,8.26,EUR,Completed,2025-04-12 09:50:29,2025-04-14 11:50:29,REF570239Y
TXN0000161,32.81,JPY,Failed,2025-10-16 06:31:52,,
TXN0000162,8.39,USD,Completed,2025-01-03 15:19:51,2025-01-04 20:19:51,
TXN0000163,36.55,USD,Completed,2025-11-18 22:02:00,2025-11-20 00:02:00,REF340880A
TXN0000164,2.77,USD,Completed,2025-06-23 10:35:15,2025-06-23 18:35:15,REF228823V
TXN0000165,14.04,GBP,Completed,2025-06-06 23:09:44,2025-06-07 00:09:44,REF547603E
TXN0000166,138.15,EUR,Completed,2025-04-20 01:29:37,2025-04-21 17:29:37,
TXN0000167,18.44,USD,Completed,2025-07-07 06:29:07,2025-07-08 08:29:07,
TXN0000168,24.84,USD,Completed,2025-01-19 18:51:18,2025-01-22 17:51:18,REF955705P
TXN0000169,40.97,USD,Completed,2025-11-21 13:42:14,2025-11-22 05:42:14,
TXN0000170,116.28,USD,Failed,2025-08-11 04:13:57,,REF948821X
TXN0000171,1.68,JPY,Completed,2025-10-13 15:17:17,2025-10-16 01:17:17,REF271344V
TXN0000172,48.27,USD,Pending,2025-05-04 19:59:46,,
TXN0000173,13.43,EUR,Failed,2025-07-23 02:35:29,,
TXN0000174,25.79,USD,Pending,2024-12-15 14:23:45,,
TXN0000175,98.49,EUR,Completed,2025-04-29 15:04:53,2025-05-01 08:04:53,REF534026D
TXN0000176,3.35,GBP,Failed,2025-07-27 08:34:22,,
TXN0000177,4.4,USD,Completed,2025-05-27 09:19:47,2025-05-28 14:19:47,REF562113E
TXN0000178,1.1,USD,Completed,2025-09-04 08:41:48,2025-09-07 00:41:48,REF167202F
TXN0000179,8.81,USD,Pending,2025-12-02 15:01:27,,REF821517K
TXN0000180,147.77,GBP,Completed,2025-04-03 18:14:44,2025-04-05 02:14:44,REF859910X
TXN0000181,16.76,USD,Completed,2025-05-08 01:09:14,2025-05-09 01:09:14,REF906796C
TXN0000182,2.69,USD,Completed,2025-01-26 07:47:41,2025-01-26 13:47:41,
TXN0000183,9.69,USD,Completed,2025-04-20 01:17:44,2025-04-21 21:17:44,REF679651N
TXN0000184,2.16,EUR,Completed,2025-06-09 09:40:18,2025-06-09 18:40:18,REF151887P
TXN0000185,3.71,USD,Completed,2025-03-27 17:14:11,2025-03-28 21:14:11,REF469645D
TXN0000186,35.99,EUR,Completed,2025-07-06 01:19:37,2025-07-07 22:19:37,
TXN0000187,3.45,JPY,Pending,2025-03-10 08:01:56,,REF281050F
TXN0000188,106.59,USD,Completed,2025-06-28 04:59:48,2025-06-29 12:59:48,
TXN0000189,18.05,USD,Completed,2025-09-03 00:38:06,2025-09-04 13:38:06,
TXN0000190,22.84,USD,Completed,2025-02-19 00:26:32,2025-02-20 09:26:32,REF777431M
TXN0000191,13.23,USD,Completed,2024-12-26 18:37:56,2024-12-26 18:37:56,REF956114G
TXN0000192,64.02,USD,Completed,2025-03-16 20:32:54,2025-03-16 22:32:54,REF981451Q
TXN0000193,65.02,USD,Failed,2025-09-13 22:48:41,,
TXN0000194,33.2,GBP,Completed,2025-07-20 08:26:25,2025-07-22 07:26:25,REF495861Y
TXN0000195,46.86,USD,Completed,2025-01-12 11:54:49,2025-01-14 03:54:49,
TXN0000196,14.61,USD,Completed,2025-11-20 09:18:43,2025-11-21 08:18:43,REF765490V
TXN0000197,45.3,JPY,Completed,2025-02-08 16:46:53,2025-02-10 08:46:53,REF381026F
TXN0000198,12.1,USD,Completed,2025-09-01 02:26:51,2025-09-01 23:26:51,
TXN0000199,20.15,USD,Completed,2025-10-25 06:20:51,2025-10-27 09:20:51,REF187781E
TXN0000200,13.3,USD,Completed,2025-07-12 00:33:56,2025-07-12 20:33:56,
TXN0000201,10.12,USD,Failed,2025-08-29 20:41:23,,REF905940N
TXN0000202,7.14,USD,Completed,2024-12-20 00:29:21,2024-12-22 03:29:21,
TXN0000203,40.51,EUR,Pending,2025-06-06 03:09:59,,REF280733T
TXN0000204,143.44,EUR,Failed,2025-02-13 17:05:21,,
TXN0000205,116.36,USD,Completed,2024-12-10 05:56:28,2024-12-12 22:56:28,
TXN0000206,3.05,USD,Completed,2025-11-30 11:59:54,2025-12-01 00:59:54,
TXN0000207,138.91,JPY,Completed,2025-02-13 06:48:13,2025-02-16 02:48:13,REF335352W
TXN0000208,12.46,USD,Completed,2025-04-03 17:57:45,2025-04-04 15:57:45,REF198944F
TXN0000209,49.46,USD,Completed,2024-12-15 11:10:09,2024-12-16 01:10:09,REF664476E
TXN0000210,5.16,USD,Completed,2025-09-29 18:18:57,,
TXN0000211,24.85,USD,Completed,2025-09-17 22:02:13,2025-09-20 21:02:13,REF508381J
TXN0000212,32.16,GBP,Pending,2025-06-14 16:32:22,,REF144648Z
TXN0000213,2.17,USD,Completed,2025-04-11 18:29:42,2025-04-14 09:29:42,REF649891P
TXN0000214,50.02,USD,Completed,2025-11-28 08:26:27,2025-11-30 09:26:27,REF395456M
TXN0000215,151.25,GBP,Completed,2025-06-15 03:18:06,2025-06-17 10:18:06,REF328287J
TXN0000216,15.46,USD,Completed,2025-02-16 14:00:57,2025-02-18 21:00:57,REF287743C
TXN0000217,154.51,USD,Completed,2025-11-22 02:56:47,2025-11-22 07:56:47,
TXN0000218,15.11,USD,Pending,2025-07-04 21:54:50,,
TXN0000219,71.84,JPY,Failed,2024-12-11 04:38:33,,REF834021D
TXN0000220,0.72,USD,Pending,2025-08-21 06:42:58,,REF739013T
TXN0000221,756.09,USD,Completed,2024-12-24 11:33:31,2024-12-24 23:33:31,REF638640W
TXN0000222,189.27,EUR,Completed,2025-06-28 05:30:01,,REF542759N
TXN0000223,13.11,USD,Completed,2025-06-08 08:01:37,2025-06-08 08:01:37,REF306263X
TXN0000224,1.04,USD,Completed,2025-07-16 20:19:37,2025-07-17 20:19:37,REF104035K
TXN0000225,30.94,USD,Completed,2025-07-28 13:29:27,2025-07-29 20:29:27,REF346355R
TXN0000226,2.3,JPY,Completed,2025-08-17 09:03:18,2025-08-18 05:03:18,REF983374Z
TXN0000227,39.15,EUR,Completed,2025-03-28 14:22:54,2025-03-28 21:22:54,
TXN0000228,37.24,EUR,Completed,2025-09-12 03:02:48,2025-09-14 13:02:48,REF355921H
TXN0000229,4.89,USD,Pending,2025-03-25 16:21:19,,REF625967T
TXN0000230,107.93,EUR,Pending,2025-03-21 06:19:44,,
TXN0000231,67.25,USD,Pending,2025-02-12 23:40:29,,REF765845D
TXN0000232,86.81,CAD,Failed,2025-06-25 04:43:32,,REF905268M
TXN0000233,20.35,USD,Completed,2025-10-13 07:31:04,2025-10-16 05:31:04,
TXN0000234,2.4,USD,Completed,2025-01-13 22:59:11,2025-01-14 18:59:11,
TXN0000235,87.08,EUR,Completed,2025-03-01 07:23:45,2025-03-04 04:23:45,REF866603H
TXN0000236,13.39,USD,Pending,2025-01-16 19:58:48,,REF166375Q
TXN0000237,2.5,EUR,Pending,2025-01-26 02:23:41,,REF120745M
TXN0000238,152.64,USD,Completed,2025-10-10 12:45:44,2025-10-10 17:45:44,REF759711X
TXN0000239,468.3,USD,Completed,2025-04-15 16:25:21,2025-04-18 12:25:21,REF997896U
TXN0000240,18.88,USD,Completed,2025-10-15 21:33:07,2025-10-16 13:33:07,REF566191N
TXN0000241,512.18,JPY,Completed,2025-09-23 14:00:24,2025-09-25 11:00:24,REF539352S
TXN0000242,23.03,EUR,Completed,2025-07-29 05:11:38,2025-07-30 19:11:38,REF621644F
TXN0000243,11.35,USD,Pending,2025-05-19 22:22:43,,REF835571M
TXN0000244,7.8,EUR,Pending,2025-08-26 12:21:13,,REF900817F
TXN0000245,234.07,USD,Pending,2025-11-01 22:57:46,,
TXN0000246,6.23,USD,Completed,2025-01-20 16:40:53,2025-01-23 16:40:53,REF270401K
TXN0000247,60.52,EUR,Completed,2025-08-16 16:25:44,2025-08-16 17:25:44,REF874031J
TXN0000248,8.68,USD,Completed,2025-09-19 16:19:27,2025-09-22 00:19:27,
TXN0000249,10.07,GBP,Completed,2025-01-31 21:27:34,2025-02-02 11:27:34,
TXN0000250,94.2,EUR,Completed,2025-02-28 05:56:51,2025-03-03 04:56:51,
TXN0000251,11.36,USD,Completed,2025-09-23 23:54:57,2025-09-26 14:54:57,
TXN0000252,10.94,EUR,Completed,2025-06-02 13:37:32,2025-06-04 16:37:32,
TXN0000253,109.86,USD,Completed,2025-04-15 15:55:43,2025-04-18 07:55:43,REF218011N
TXN0000254,220.54,USD,Completed,2025-10-31 06:32:43,2025-11-02 01:32:43,
TXN0000255,52.83,USD,Completed,2025-10-23 08:11:34,2025-10-25 08:11:34,
TXN0000256,7.52,USD,Completed,2025-10-08 22:56:11,2025-10-08 23:56:11,REF274761V
TXN0000257,9.34,GBP,Pending,2025-03-07 05:42:56,,REF279203D
TXN0000258,22.64,CAD,Completed,2025-09-25 08:20:27,2025-09-26 01:20:27,REF140983M
TXN0000259,32.51,USD,Failed,2025-01-22 19:34:40,,
TXN0000260,4.56,USD,Pending,2025-09-13 11:02:52,,REF209444Y
TXN0000261,59.42,USD,Completed,2025-06-26 03:41:13,2025-06-29 02:41:13,
TXN0000262,22.83,USD,Completed,2025-01-26 01:01:38,2025-01-28 22:01:38,REF748915T
TXN0000263,1.53,USD,Pending,2025-04-26 14:39:23,,REF680210L
TXN0000264,4.99,JPY,Completed,2025-05-17 09:52:49,2025-05-19 18:52:49,
TXN0000265,9.43,USD,Completed,2025-09-25 18:27:14,2025-09-27 21:27:14,
TXN0000266,18.01,GBP,Completed,2025-01-18 06:13:20,2025-01-19 08:13:20,
TXN0000267,341.69,USD,Completed,2025-07-05 10:32:16,2025-07-08 09:32:16,
TXN0000268,28.71,GBP,Cancelled,2025-04-28 12:52:10,,REF408480N
TXN0000269,5.69,USD,Pending,2025-09-16 05:15:24,,REF120453U
TXN0000270,27.96,USD,Completed,2025-08-02 17:25:53,2025-08-02 21:25:53,
TXN0000271,11.84,USD,Completed,2024-12-31 02:08:52,2024-12-31 17:08:52,
TXN0000272,32.69,USD,Failed,2025-08-01 17:10:24,,
TXN0000273,47.98,JPY,Completed,2025-01-01 01:25:45,2025-01-02 12:25:45,REF542435R
TXN0000274,123.2,USD,Failed,2025-02-21 17:43:01,,
TXN0000275,19.37,USD,Pending,2025-10-07 17:03:03,,
TXN0000276,234.73,USD,Completed,2025-10-07 02:02:49,2025-10-09 15:02:49,
TXN0000277,78.42,GBP,Completed,2024-12-12 12:43:16,2024-12-13 11:43:16,
TXN0000278,6.95,JPY,Completed,2025-09-05 21:32:38,2025-09-07 10:32:38,REF130827I
TXN0000279,552.68,USD,Completed,2025-09-26 13:20:46,2025-09-29 10:20:46,
TXN0000280,32.8,USD,Completed,2025-09-18 23:13:35,2025-09-21 06:13:35,REF201071H
TXN0000281,5.74,USD,Completed,2025-03-04 23:58:48,2025-03-05 09:58:48,REF401433K
TXN0000282,239.7,USD,Completed,2025-05-05 16:38:55,2025-05-05 23:38:55,
TXN0000283,453.35,USD,Completed,2024-12-30 02:41:00,2024-12-30 13:41:00,REF171292W
TXN0000284,19.11,USD,Pending,2025-10-31 13:14:01,,
TXN0000285,9.44,USD,Completed,2025-11-07 06:48:44,2025-11-08 16:48:44,REF672079X
TXN0000286,15.51,USD,Completed,2025-04-20 19:04:58,2025-04-22 12:04:58,REF279274F
TXN0000287,58.68,USD,Completed,2025-06-18 22:06:57,2025-06-20 18:06:57,
TXN0000288,136.56,USD,Completed,2025-02-06 08:10:24,2025-02-09 00:10:24,
TXN0000289,47.26,USD,Completed,2025-04-22 10:51:21,2025-04-22 16:51:21,REF728397C
TXN0000290,23.4,USD,Completed,2025-05-12 15:37:47,2025-05-13 20:37:47,REF769650G
TXN0000291,190.0,USD,Completed,2025-08-24 23:16:20,2025-08-27 18:16:20,REF994618X
TXN0000292,12.56,GBP,Pending,2025-01-05 03:10:29,,
TXN0000293,94.29,EUR,Cancelled,2024-12-20 18:16:26,,REF372585J
TXN0000294,13.04,EUR,Completed,2025-11-16 23:18:18,2025-11-18 04:18:18,REF660270A
TXN0000295,38.34,USD,Completed,2025-09-21 18:17:32,2025-09-22 04:17:32,REF171982W
TXN0000296,16.94,GBP,Completed,2024-12-13 13:58:16,2024-12-14 12:58:16,REF139252Q
TXN0000297,18.47,USD,Completed,2025-05-08 21:52:56,2025-05-11 20:52:56,
TXN0000298,11.4,USD,Completed,2024-12-24 09:21:27,2024-12-24 10:21:27,
TXN0000299,151.0,USD,Completed,2025-06-02 04:32:09,2025-06-03 20:32:09,
TXN0000300,6.69,USD,Completed,2025-08-14 23:35:06,2025-08-16 02:35:06,REF864347H
TXN0000301,6.62,GBP,Completed,2025-11-19 15:20:19,2025-11-20 03:20:19,REF212596L
TXN0000302,483.71,USD,Completed,2025-01-24 12:41:23,2025-01-26 12:41:23,REF870934P
TXN0000303,87.08,USD,Completed,2025-08-28 04:21:46,2025-08-30 06:21:46,REF168476J
TXN0000304,0.56,GBP,Completed,2025-02-15 04:00:40,2025-02-16 12:00:40,REF759664Z
TXN0000305,8.6,CAD,Completed,2025-01-18 02:48:32,2025-01-18 05:48:32,REF217614B
