Customer,PaymentTransaction
CUST000013,TXN0000226
CUST000001,TXN0000227
CUST000000,TXN0000228
CUST000017,TXN0000229
CUST000001,TXN0000230
CUST000001,TXN0000231
CUST000001,TXN0000232
CUST000002,TXN0000233
CUST000000,TXN0000234
CUST000000,TXN0000235
CUST000000,TXN0000236
CUST000000,TXN0000237
CUST000001,TXN0000238
CUST000020,TXN0000239
CUST000002,TXN0000240
CUST000001,TXN0000241
CUST000000,TXN0000242
CUST000000,TXN0000243
CUST000010,TXN0000244
CUST000000,TXN0000245
CUST000001,TXN0000246
CUST000003,TXN0000247
CUST000010,TXN0000248
CUST000000,TXN0000249
CUST000000,TXN0000250
CUST000000,TXN0000251
CUST000000,TXN0000252
CUST000000,TXN0000253
CUST000061,TXN0000254
CUST000001,TXN0000255
CUST000029,TXN0000256
CUST000000,TXN0000257
CUST000000,TXN0000258
CUST000000,TXN0000259
CUST000186,TXN0000260
CUST000066,TXN0000261
CUST000000,TXN0000262
CUST000000,TXN0000263
CUST000002,TXN0000264
CUST000005,TXN0000265
CUST000013,TXN0000266
CUST000002,TXN0000267
CUST000000,TXN0000268
CUST000000,TXN0000269
CUST000000,TXN0000270
CUST000001,TXN0000271
CUST000000,TXN0000272
CUST000002,TXN0000273
CUST000001,TXN0000274
CUST000001,TXN0000275
CUST000000,TXN0000276
CUST000293,TXN0000277
CUST000041,TXN0000278
CUST000000,TXN0000279
CUST000000,TXN0000280
CUST000010,TXN0000281
CUST000008,TXN0000282
CUST000000,TXN0000283
CUST000000,TXN0000284
CUST000002,TXN0000285
CUST000000,TXN0000286
CUST000000,TXN0000287
CUST000001,TXN0000288
CUST000000,TXN0000289
CUST000000,TXN0000290
CUST000004,TXN0000291
CUST000000,TXN0000292
CUST000000,TXN0000293
CUST000000,TXN0000294
CUST000000,TXN0000295
CUST000000,TXN0000296
CUST000000,TXN0000297
CUST000004,TXN0000298
CUST000145,TXN0000299
CUST000000,TXN0000300
CUST000000,TXN0000301
CUST000002,TXN0000302
CUST000000,TXN0000303
CUST000094,TXN0000304
CUST000003,TXN0000305
CUST000000,TXN0000306
CUST000000,TXN0000307
CUST000000,TXN0000308
CUST000004,TXN0000309
CUST000003,TXN0000310
CUST000002,TXN0000311
CUST000051,TXN0000312
CUST000021,TXN0000313
CUST000077,TXN0000314
CUST000000,TXN0000315
CUST000000,TXN0000316
CUST000000,TXN0000317
CUST000000,TXN0000318
CUST000000,TXN0000319
CUST000000,TXN0000320
CUST000032,TXN0000321
CUST000002,TXN0000322
CUST000002,TXN0000323
CUST000000,TXN0000324
CUST000001,TXN0000325
CUST000002,TXN0000326
CUST000001,TXN0000327
CUST000000,TXN0000328
CUST000006,TXN0000329
CUST000000,TXN0000330
CUST000000,TXN0000331
CUST000000,TXN0000332
CUST000000,TXN0000333
CUST000012,TXN0000334
CUST000000,TXN0000335
CUST000499,TXN0000336
CUST000000,TXN0000337
CUST000000,TXN0000338
CUST000000,TXN0000339
CUST000003,TXN0000340
CUST000000,TXN0000341
CUST000000,TXN0000342
CUST000000,TXN0000343
CUST000012,TXN0000344
CUST000001,TXN0000345
CUST000001,TXN0000346
CUST000000,TXN0000347
CUST000000,TXN0000348
CUST000011,TXN0000349
CUST000000,TXN0000350
CUST000000,TXN0000351
CUST000000,TXN0000352
CUST000000,TXN0000353
CUST000002,TXN0000354
CUST000005,TXN0000355
CUST000000,TXN0000356
CUST000000,TXN0000357
CUST000000,TXN0000358
CUST000000,TXN0000359
CUST000006,TXN0000360
CUST000000,TXN0000361
CUST000000,TXN0000362
CUST000000,TXN0000363
CUST000004,TXN0000364
CUST000002,TXN0000365
CUST000007,TXN0000366
CUST000003,TXN0000367
CUST000019,TXN0000368
CUST000000,TXN0000369
CUST000001,TXN0000370
CUST000002,TXN0000371
CUST000000,TXN0000372
CUST000000,TXN0000373
CUST000001,TXN0000374
CUST000002,TXN0000375
CUST000045,TXN0000376
CUST000000,TXN0000377
CUST000000,TXN0000378
CUST000001,TXN0000379
CUST000000,TXN0000380
CUST000021,TXN0000381
CUST000004,TXN0000382
CUST000002,TXN0000383
CUST000003,TXN0000384
CUST000001,TXN0000385
CUST000000,TXN0000386
CUST000000,TXN0000387
CUST000001,TXN0000388
CUST000014,TXN0000389
CUST000001,TXN0000390
CUST000011,TXN0000391
CUST000000,TXN0000392
CUST000002,TXN0000393
CUST000002,TXN0000394
CUST000001,TXN0000395
CUST000026,TXN0000396
CUST000000,TXN0000397
CUST000000,TXN0000398
CUST000017,TXN0000399
CUST000000,TXN0000400
CUST000000,TXN0000401
CUST000000,TXN0000402
CUST000000,TXN0000403
CUST000009,TXN0000404
CUST000014,TXN0000405
CUST000000,TXN0000406
CUST000001,TXN0000407
CUST000000,TXN0000408
CUST000005,TXN0000409
CUST000001,TXN0000410
CUST000002,TXN0000411
CUST000003,TXN0000412
CUST000000,TXN0000413
CUST000000,TXN0000414
CUST000000,TXN0000415
CUST000002,TXN0000416
CUST000000,TXN0000417
CUST000000,TXN0000418
CUST000000,TXN0000419
CUST000000,TXN0000420
CUST000000,TXN0000421
CUST000000,TXN0000422
CUST000034,TXN0000423
CUST000000,TXN0000424
CUST000047,TXN0000425
CUST000000,TXN0000426
CUST000000,TXN0000427
CUST000000,TXN0000428
CUST000000,TXN0000429
CUST000000,TXN0000430
CUST000014,TXN0000431
CUST000000,TXN0000432
CUST000000,TXN0000433
CUST000001,TXN0000434
CUST000011,TXN0000435
CUST000007,TXN0000436
CUST000023,TXN0000437
CUST000000,TXN0000438
CUST000499,TXN0000439
CUST000199,TXN0000440
CUST000000,TXN0000441
CUST000003,TXN0000442
CUST000000,TXN0000443
CUST000000,TXN0000444
CUST000000,TXN0000445
CUST000001,TXN0000446
CUST000000,TXN0000447
CUST000004,TXN0000448
CUST000002,TXN0000449
CUST000001,TXN0000450
CUST000000,TXN0000451
CUST000014,TXN0000452
CUST000000,TXN0000453
CUST000004,TXN0000454
CUST000041,TXN0000455
CUST000000,TXN0000456
CUST000000,TXN0000457
CUST000000,TXN0000458
CUST000000,TXN0000459
CUST000000,TXN0000460
CUST000000,TXN0000461
CUST000000,TXN0000462
CUST000001,TXN0000463
CUST000000,TXN0000464
CUST000011,TXN0000465
CUST000002,TXN0000466
CUST000032,TXN0000467
CUST000001,TXN0000468
CUST000001,TXN0000469
CUST000000,TXN0000470
CUST000012,TXN0000471
CUST000000,TXN0000472
CUST000000,TXN0000473
CUST000002,TXN0000474
CUST000015,TXN0000475
CUST000000,TXN0000476
CUST000009,TXN0000477
CUST000009,TXN0000478
CUST000000,TXN0000479
CUST000000,TXN0000480
CUST000000,TXN0000481
CUST000002,TXN0000482
CUST000001,TXN0000483
CUST000000,TXN0000484
CUST000000,TXN0000485
CUST000047,TXN0000486
CUST000000,TXN0000487
CUST000000,TXN0000488
CUST000000,TXN0000489
CUST000000,TXN0000490
CUST000060,TXN0000491
CUST000000,TXN0000492
CUST000000,TXN0000493
CUST000001,TXN0000494
CUST000002,TXN0000495
CUST000000,TXN0000496
CUST000000,TXN0000497
CUST000001,TXN0000498
CUST000000,TXN0000499
CUST000000,TXN0000500
CUST000000,TXN0000501
CUST000000,TXN0000502
CUST000001,TXN0000503
CUST000000,TXN0000504
CUST000000,TXN0000505
CUST000001,TXN0000506
CUST000001,TXN0000507
CUST000001,TXN0000508
CUST000000,TXN0000509
CUST000000,TXN0000510
CUST000006,TXN0000511
CUST000002,TXN0000512
CUST000001,TXN0000513
CUST000003,TXN0000514
CUST000003,TXN0000515
CUST000001,TXN0000516
CUST000001,TXN0000517
CUST000000,TXN0000518
CUST000000,TXN0000519
CUST000000,TXN0000520
CUST000007,TXN0000521
CUST000002,TXN0000522
CUST000001,TXN0000523
CUST000000,TXN0000524
CUST000000,TXN0000525
CUST000000,TXN0000526
CUST000001,TXN0000527
CUST000013,TXN0000528
CUST000008,TXN0000529
CUST000000,TXN0000530
CUST000001,TXN0000531
CUST000006,TXN0000532
CUST000003,TXN0000533
CUST000065,TXN0000534
CUST000000,TXN0000535
CUST000005,TXN0000536
CUST000001,TXN0000537
CUST000002,TXN0000538
CUST000001,TXN0000539
CUST000008,TXN0000540
CUST000000,TXN0000541
CUST000000,TXN0000542
CUST000001,TXN0000543
CUST000000,TXN0000544
CUST000000,TXN0000545
CUST000000,TXN0000546
CUST000005,TXN0000547
CUST000000,TXN0000548
CUST000000,TXN0000549
CUST000003,TXN0000550
CUST000000,TXN0000551
CUST000005,TXN0000552
CUST000000,TXN0000553
CUST000000,TXN0000554
CUST000000,TXN0000555
CUST000000,TXN0000556
CUST000000,TXN0000557
CUST000000,TXN0000558
CUST000000,TXN0000559
CUST000008,TXN0000560
CUST000000,TXN0000561
CUST000006,TXN0000562
CUST000001,TXN0000563
CUST000499,TXN0000564
CUST000000,TXN0000565
CUST000000,TXN0000566
CUST000004,TXN0000567
CUST000000,TXN0000568
CUST000023,TXN0000569
CUST000123,TXN0000570
CUST000008,TXN0000571
CUST000001,TXN0000572
CUST000000,TXN0000573
CUST000009,TXN0000574
CUST000000,TXN0000575
CUST000002,TXN0000576
CUST000000,TXN0000577
CUST000003,TXN0000578
CUST000000,TXN0000579
CUST000180,TXN0000580
CUST000002,TXN0000581
CUST000001,TXN0000582
CUST000000,TXN0000583
CUST000001,TXN0000584
CUST000001,TXN0000585
CUST000001,TXN0000586
CUST000000,TXN0000587
CUST000000,TXN0000588
CUST000001,TXN0000589
CUST000004,TXN0000590
CUST000001,TXN0000591
CUST000000,TXN0000592
CUST000402,TXN0000593
CUST000000,TXN0000594
CUST000000,TXN0000595
CUST000001,TXN0000596
CUST000000,TXN0000597
CUST000000,TXN0000598
CUST000008,TXN0000599
CUST000002,TXN0000600
CUST000007,TXN0000601
CUST000001,TXN0000602
CUST000001,TXN0000603
CUST000001,TXN0000604
CUST000003,TXN0000605
CUST000000,TXN0000606
CUST000003,TXN0000607
CUST000000,TXN0000608
CUST000000,TXN0000609
CUST000002,TXN0000610
CUST000002,TXN0000611
CUST000110,TXN0000612
CUST000000,TXN0000613
CUST000001,TXN0000614
CUST000037,TXN0000615
CUST000014,TXN0000616
CUST000013,TXN0000617
CUST000001,TXN0000618
CUST000039,TXN0000619
CUST000000,TXN0000620
CUST000000,TXN0000621
CUST000002,TXN0000622
CUST000000,TXN0000623
CUST000000,TXN0000624
CUST000000,TXN0000625
CUST000002,TXN0000626
CUST000000,TXN0000627
CUST000000,TXN0000628
CUST000000,TXN0000629
CUST000000,TXN0000630
CUST000000,TXN0000631
CUST000003,TXN0000632
CUST000000,TXN0000633
CUST000047,TXN0000634
CUST000006,TXN0000635
CUST000000,TXN0000636
CUST000008,TXN0000637
CUST000002,TXN0000638
CUST000000,TXN0000639
CUST000000,TXN0000640
CUST000000,TXN0000641
CUST000098,TXN0000642
CUST000000,TXN0000643
CUST000000,TXN0000644
CUST000000,TXN0000645
CUST000000,TXN0000646
CUST000015,TXN0000647
CUST000033,TXN0000648
CUST000001,TXN0000649
CUST000000,TXN0000650
CUST000003,TXN0000651
CUST000001,TXN0000652
CUST000000,TXN0000653
CUST000000,TXN0000654
CUST000060,TXN0000655
CUST000121,TXN0000656
CUST000010,TXN0000657
CUST000000,TXN0000658
CUST000002,TXN0000659
CUST000003,TXN0000660
CUST000000,TXN0000661
CUST000021,TXN0000662
CUST000000,TXN0000663
CUST000001,TXN0000664
CUST000000,TXN0000665
CUST000003,TXN0000666
CUST000000,TXN0000667
CUST000000,TXN0000668
CUST000030,TXN0000669
CUST000003,TXN0000670
CUST000003,TXN0000671
CUST000000,TXN0000672
CUST000001,TXN0000673
CUST000115,TXN0000674
CUST000008,TXN0000675
CUST000002,TXN0000676
CUST000000,TXN0000677
CUST000000,TXN0000678
CUST000002,TXN0000679
CUST000000,TXN0000680
CUST000000,TXN0000681
CUST000165,TXN0000682
CUST000000,TXN0000683
CUST000006,TXN0000684
CUST000000,TXN0000685
CUST000087,TXN0000686
CUST000000,TXN0000687
CUST000007,TXN0000688
CUST000002,TXN0000689
CUST000010,TXN0000690
CUST000000,TXN0000691
CUST000000,TXN0000692
CUST000000,TXN0000693
CUST000442,TXN0000694
CUST000003,TXN0000695
CUST000003,TXN0000696
CUST000004,TXN0000697
CUST000003,TXN0000698
CUST000000,TXN0000699
CUST000001,TXN0000700
CUST000004,TXN0000701
CUST000000,TXN0000702
CUST000004,TXN0000703
CUST000000,TXN0000704
CUST000002,TXN0000705
CUST000001,TXN0000706
CUST000003,TXN0000707
CUST000000,TXN0000708
CUST000001,TXN0000709
CUST000015,TXN0000710
CUST000000,TXN0000711
CUST000004,TXN0000712
CUST000001,TXN0000713
CUST000000,TXN0000714
CUST000000,TXN0000715
CUST000007,TXN0000716
CUST000000,TXN0000717
CUST000000,TXN0000718
CUST000000,TXN0000719
CUST000018,TXN0000720
CUST000002,TXN0000721
CUST000000,TXN0000722
CUST000001,TXN0000723
CUST000000,TXN0000724
CUST000000,TXN0000725
CUST000005,TXN0000726
CUST000040,TXN0000727
CUST000000,TXN0000728
CUST000000,TXN0000729
CUST000001,TXN0000730
CUST000000,TXN0000731
CUST000000,TXN0000732
CUST000001,TXN0000733
CUST000001,TXN0000734
CUST000001,TXN0000735
CUST000000,TXN0000736
CUST000000,TXN0000737
CUST000000,TXN0000738
CUST000053,TXN0000739
CUST000001,TXN0000740
CUST000014,TXN0000741
CUST000006,TXN0000742
CUST000000,TXN0000743
CUST000000,TXN0000744
CUST000000,TXN0000745
CUST000000,TXN0000746
CUST000005,TXN0000747
CUST000068,TXN0000748
CUST000025,TXN0000749
CUST000001,TXN0000750
CUST000000,TXN0000751
CUST000000,TXN0000752
CUST000000,TXN0000753
CUST000008,TXN0000754
CUST000001,TXN0000755
CUST000000,TXN0000756
CUST000007,TXN0000757
CUST000007,TXN0000758
CUST000000,TXN0000759
CUST000010,TXN0000760
CUST000001,TXN0000761
CUST000000,TXN0000762
CUST000000,TXN0000763
CUST000001,TXN0000764
CUST000000,TXN0000765
CUST000000,TXN0000766
CUST000000,TXN0000767
CUST000003,TXN0000768
CUST000000,TXN0000769
CUST000019,TXN0000770
CUST000000,TXN0000771
CUST000003,TXN0000772
CUST000001,TXN0000773
CUST000000,TXN0000774
CUST000000,TXN0000775
CUST000000,TXN0000776
CUST000000,TXN0000777
CUST000000,TXN0000778
CUST000000,TXN0000779
CUST000000,TXN0000780
CUST000483,TXN0000781
CUST000000,TXN0000782
CUST000000,TXN0000783
CUST000000,TXN0000784
CUST000000,TXN0000785
CUST000000,TXN0000786
CUST000343,TXN0000787
CUST000000,TXN0000788
CUST000006,TXN0000789
CUST000000,TXN0000790
CUST000000,TXN0000791
CUST000000,TXN0000792
CUST000000,TXN0000793
CUST000000,TXN0000794
CUST000001,TXN0000795
CUST000040,TXN0000796
CUST000007,TXN0000797
CUST000000,TXN0000798
CUST000000,TXN0000799
CUST000001,TXN0000800
CUST000000,TXN0000801
CUST000009,TXN0000802
CUST000002,TXN0000803
CUST000002,TXN0000804
CUST000005,TXN0000805
CUST000143,TXN0000806
CUST000073,TXN0000807
CUST000003,TXN0000808
CUST000000,TXN0000809
CUST000004,TXN0000810
CUST000002,TXN0000811
CUST000000,TXN0000812
CUST000035,TXN0000813
CUST000005,TXN0000814
CUST000003,TXN0000815
CUST000000,TXN0000816
CUST000000,TXN0000817
CUST000000,TXN0000818
CUST000023,TXN0000819
CUST000021,TXN0000820
CUST000000,TXN0000821
CUST000000,TXN0000822
CUST000000,TXN0000823
CUST000419,TXN0000824
CUST000000,TXN0000825
CUST000002,TXN0000826
CUST000000,TXN0000827
CUST000001,TXN0000828
CUST000000,TXN0000829
CUST000000,TXN0000830
CUST000000,TXN0000831
CUST000000,TXN0000832
CUST000000,TXN0000833
CUST000000,TXN0000834
CUST000000,TXN0000835
CUST000005,TXN0000836
CUST000006,TXN0000837
CUST000000,TXN0000838
CUST000000,TXN0000839
CUST000000,TXN0000840
CUST000021,TXN0000841
CUST000000,TXN0000842
CUST000001,TXN0000843
CUST000001,TXN0000844
CUST000086,TXN0000845
CUST000018,TXN0000846
CUST000001,TXN0000847
CUST000001,TXN0000848
CUST000011,TXN0000849
CUST000000,TXN0000850
CUST000007,TXN0000851
CUST000002,TXN0000852
CUST000016,TXN0000853
CUST000000,TXN0000854
CUST000000,TXN0000855
CUST000001,TXN0000856
CUST000001,TXN0000857
CUST000002,TXN0000858
CUST000000,TXN0000859
CUST000000,TXN0000860
CUST000001,TXN0000861
CUST000003,TXN0000862
CUST000005,TXN0000863
CUST000001,TXN0000864
CUST000007,TXN0000865
CUST000000,TXN0000866
CUST000000,TXN0000867
CUST000423,TXN0000868
CUST000000,TXN0000869
CUST000001,TXN0000870
CUST000001,TXN0000871
CUST000007,TXN0000872
CUST000323,TXN0000873
CUST000002,TXN0000874
CUST000010,TXN0000875
CUST000000,TXN0000876
CUST000000,TXN0000877
CUST000001,TXN0000878
CUST000000,TXN0000879
CUST000007,TXN0000880
CUST000022,TXN0000881
CUST000000,TXN0000882
CUST000001,TXN0000883
CUST000000,TXN0000884
CUST000003,TXN0000885
CUST000000,TXN0000886
CUST000002,TXN0000887
CUST000000,TXN0000888
CUST000004,TXN0000889
CUST000001,TXN0000890
CUST000008,TXN0000891
CUST000010,TXN0000892
CUST000000,TXN0000893
CUST000000,TXN0000894
CUST000000,TXN0000895
CUST000000,TXN0000896
CUST000000,TXN0000897
CUST000000,TXN0000898
CUST000003,TXN0000899
CUST000000,TXN0000900
CUST000000,TXN0000901
CUST000000,TXN0000902
CUST000001,TXN0000903
CUST000005,TXN0000904
CUST000008,TXN0000905
CUST000000,TXN0000906
CUST000080,TXN0000907
CUST000011,TXN0000908
CUST000000,TXN0000909
CUST000000,TXN0000910
CUST000000,TXN0000911
CUST000499,TXN0000912
CUST000002,TXN0000913
CUST000032,TXN0000914
CUST000002,TXN0000915
CUST000000,TXN0000916
CUST000001,TXN0000917
CUST000002,TXN0000918
CUST000001,TXN0000919
CUST000000,TXN0000920
CUST000002,TXN0000921
CUST000000,TXN0000922
CUST000002,TXN0000923
CUST000144,TXN0000924
CUST000000,TXN0000925
CUST000002,TXN0000926
CUST000000,TXN0000927
CUST000017,TXN0000928
CUST000009,TXN0000929
CUST000000,TXN0000930
CUST000001,TXN0000931
CUST000000,TXN0000932
CUST000000,TXN0000933
CUST000001,TXN0000934
CUST000001,TXN0000935
CUST000001,TXN0000936
CUST000005,TXN0000937
CUST000000,TXN0000938
CUST000040,TXN0000939
CUST000000,TXN0000940
CUST000001,TXN0000941
CUST000000,TXN0000942
CUST000001,TXN0000943
CUST000005,TXN0000944
CUST000000,TXN0000945
CUST000001,TXN0000946
CUST000000,TXN0000947
CUST000000,TXN0000948
CUST000001,TXN0000949
CUST000055,TXN0000950
CUST000000,TXN0000951
CUST000000,TXN0000952
CUST000000,TXN0000953
CUST000001,TXN0000954
CUST000002,TXN0000955
CUST000001,TXN0000956
CUST000000,TXN0000957
CUST000000,TXN0000958
CUST000000,TXN0000959
CUST000001,TXN0000960
CUST000001,TXN0000961
CUST000001,TXN0000962
CUST000009,TXN0000963
CUST000004,TXN0000964
CUST000001,TXN0000965
CUST000000,TXN0000966
CUST000000,TXN0000967
CUST000000,TXN0000968
CUST000000,TXN0000969
CUST000002,TXN0000970
CUST000006,TXN0000971
CUST000001,TXN0000972
CUST000000,TXN0000973
CUST000000,TXN0000974
CUST000005,TXN0000975
CUST000003,TXN0000976
CUST000000,TXN0000977
CUST000000,TXN0000978
CUST000000,TXN0000979
CUST000007,TXN0000980
CUST000000,TXN0000981
CUST000004,TXN0000982
CUST000010,TXN0000983
CUST000002,TXN0000984
CUST000001,TXN0000985
CUST000004,TXN0000986
CUST000000,TXN0000987
CUST000000,TXN0000988
CUST000002,TXN0000989
CUST000000,TXN0000990
CUST000000,TXN0000991
CUST000000,TXN0000992
CUST000001,TXN0000993
CUST000000,TXN0000994
CUST000000,TXN0000995
CUST000005,TXN0000996
CUST000001,TXN0000997
CUST000007,TXN0000998
CUST000005,TXN0000999
CUST000036,TXN0001000
CUST000001,TXN0001001
CUST000049,TXN0001002
CUST000000,TXN0001003
CUST000000,TXN0001004
CUST000002,TXN0001005
CUST000000,TXN0001006
CUST000000,TXN0001007
CUST000001,TXN0001008
CUST000000,TXN0001009
CUST000000,TXN0001010
CUST000000,TXN0001011
CUST000001,TXN0001012
CUST000002,TXN0001013
CUST000007,TXN0001014
CUST000002,TXN0001015
CUST000001,TXN0001016
CUST000019,TXN0001017
CUST000001,TXN0001018
CUST000001,TXN0001019
CUST000001,TXN0001020
CUST000499,TXN0001021
CUST000000,TXN0001022
CUST000000,TXN0001023
CUST000002,TXN0001024
CUST000000,TXN0001025
CUST000499,TXN0001026
CUST000006,TXN0001027
CUST000000,TXN0001028
CUST000000,TXN0001029
CUST000004,TXN0001030
CUST000001,TXN0001031
CUST000002,TXN0001032
CUST000000,TXN0001033
CUST000000,TXN0001034
CUST000001,TXN0001035
CUST000000,TXN0001036
CUST000379,TXN0001037
CUST000001,TXN0001038
CUST000000,TXN0001039
CUST000000,TXN0001040
CUST000000,TXN0001041
CUST000000,TXN0001042
CUST000000,TXN0001043
CUST000001,TXN0001044
CUST000000,TXN0001045
CUST000000,TXN0001046
CUST000017,TXN0001047
CUST000001,TXN0001048
CUST000000,TXN0001049
CUST000005,TXN0001050
CUST000000,TXN0001051
CUST000000,TXN0001052
CUST000000,TXN0001053
CUST000001,TXN0001054
CUST000000,TXN0001055
CUST000000,TXN0001056
CUST000000,TXN0001057
CUST000000,TXN0001058
CUST000000,TXN0001059
CUST000000,TXN0001060
CUST000000,TXN0001061
CUST000046,TXN0001062
CUST000002,TXN0001063
CUST000045,TXN0001064
CUST000000,TXN0001065
CUST000000,TXN0001066
CUST000003,TXN0001067
CUST000000,TXN0001068
CUST000000,TXN0001069
CUST000009,TXN0001070
CUST000002,TXN0001071
CUST000000,TXN0001072
CUST000001,TXN0001073
