PaymentTransaction,PaymentMethod
TXN0000216,PM000001
TXN0000217,PM000229
TXN0000218,PM000000
TXN0000219,PM000001
TXN0000220,PM000073
TXN0000221,PM000699
TXN0000222,PM000006
TXN0000223,PM000699
TXN0000224,PM000002
TXN0000225,PM000000
TXN0000226,PM000002
TXN0000227,PM000005
TXN0000228,PM000699
TXN0000229,PM000699
TXN0000230,PM000064
TXN0000231,PM000285
TXN0000232,PM000000
TXN0000233,PM000014
TXN0000234,PM000000
TXN0000235,PM000009
TXN0000236,PM000000
TXN0000237,PM000017
TXN0000238,PM000699
TXN0000239,PM000000
TXN0000240,PM000018
TXN0000241,PM000002
TXN0000242,PM000000
TXN0000243,PM000000
TXN0000244,PM000000
TXN0000245,PM000699
TXN0000246,PM000699
TXN0000247,PM000525
TXN0000248,PM000003
TXN0000249,PM000001
TXN0000250,PM000009
TXN0000251,PM000004
TXN0000252,PM000003
TXN0000253,PM000699
TXN0000254,PM000043
TXN0000255,PM000001
TXN0000256,PM000699
TXN0000257,PM000001
TXN0000258,PM000030
TXN0000259,PM000000
TXN0000260,PM000104
TXN0000261,PM000023
TXN0000262,PM000699
TXN0000263,PM000002
TXN0000264,PM000009
TXN0000265,PM000000
TXN0000266,PM000001
TXN0000267,PM000012
TXN0000268,PM000000
TXN0000269,PM000699
TXN0000270,PM000066
TXN0000271,PM000000
TXN0000272,PM000026
TXN0000273,PM000001
TXN0000274,PM000003
TXN0000275,PM000003
TXN0000276,PM000006
TXN0000277,PM000012
TXN0000278,PM000006
TXN0000279,PM000699
TXN0000280,PM000699
TXN0000281,PM000001
TXN0000282,PM000000
TXN0000283,PM000000
TXN0000284,PM000115
TXN0000285,PM000007
TXN0000286,PM000699
TXN0000287,PM000006
TXN0000288,PM000001
TXN0000289,PM000186
TXN0000290,PM000004
TXN0000291,PM000010
TXN0000292,PM000000
TXN0000293,PM000009
TXN0000294,PM000002
TXN0000295,PM000699
TXN0000296,PM000019
TXN0000297,PM000001
TXN0000298,PM000000
TXN0000299,PM000000
TXN0000300,PM000003
TXN0000301,PM000051
TXN0000302,PM000699
TXN0000303,PM000682
TXN0000304,PM000699
TXN0000305,PM000000
TXN0000306,PM000000
TXN0000307,PM000008
TXN0000308,PM000162
TXN0000309,PM000002
TXN0000310,PM000030
TXN0000311,PM000002
TXN0000312,PM000004
TXN0000313,PM000003
TXN0000314,PM000699
TXN0000315,PM000009
TXN0000316,PM000002
TXN0000317,PM000000
TXN0000318,PM000000
TXN0000319,PM000699
TXN0000320,PM000453
TXN0000321,PM000699
TXN0000322,PM000000
TXN0000323,PM000002
TXN0000324,PM000002
TXN0000325,PM000001
TXN0000326,PM000699
TXN0000327,PM000001
TXN0000328,PM000690
TXN0000329,PM000699
TXN0000330,PM000001
TXN0000331,PM000021
TXN0000332,PM000040
TXN0000333,PM000054
TXN0000334,PM000006
TXN0000335,PM000046
TXN0000336,PM000037
TXN0000337,PM000000
TXN0000338,PM000000
TXN0000339,PM000002
TXN0000340,PM000137
TXN0000341,PM000002
TXN0000342,PM000002
TXN0000343,PM000002
TXN0000344,PM000016
TXN0000345,PM000002
TXN0000346,PM000004
TXN0000347,PM000003
TXN0000348,PM000000
TXN0000349,PM000005
TXN0000350,PM000006
TXN0000351,PM000002
TXN0000352,PM000002
TXN0000353,PM000314
TXN0000354,PM000699
TXN0000355,PM000002
TXN0000356,PM000378
TXN0000357,PM000018
TXN0000358,PM000000
TXN0000359,PM000000
TXN0000360,PM000000
TXN0000361,PM000030
TXN0000362,PM000184
TXN0000363,PM000000
TXN0000364,PM000000
TXN0000365,PM000188
TXN0000366,PM000072
TXN0000367,PM000045
TXN0000368,PM000000
TXN0000369,PM000003
TXN0000370,PM000020
TXN0000371,PM000278
TXN0000372,PM000038
TXN0000373,PM000001
TXN0000374,PM000000
TXN0000375,PM000002
TXN0000376,PM000011
TXN0000377,PM000000
TXN0000378,PM000001
TXN0000379,PM000012
TXN0000380,PM000001
TXN0000381,PM000080
TXN0000382,PM000010
TXN0000383,PM000001
TXN0000384,PM000000
TXN0000385,PM000000
TXN0000386,PM000000
TXN0000387,PM000000
TXN0000388,PM000016
TXN0000389,PM000002
TXN0000390,PM000003
TXN0000391,PM000000
TXN0000392,PM000007
TXN0000393,PM000009
TXN0000394,PM000022
TXN0000395,PM000033
TXN0000396,PM000024
TXN0000397,PM000005
TXN0000398,PM000699
TXN0000399,PM000001
TXN0000400,PM000041
TXN0000401,PM000699
TXN0000402,PM000002
TXN0000403,PM000000
TXN0000404,PM000001
TXN0000405,PM000001
TXN0000406,PM000003
TXN0000407,PM000001
TXN0000408,PM000000
TXN0000409,PM000005
TXN0000410,PM000001
TXN0000411,PM000046
TXN0000412,PM000000
TXN0000413,PM000699
TXN0000414,PM000022
TXN0000415,PM000002
TXN0000416,PM000000
TXN0000417,PM000699
TXN0000418,PM000000
TXN0000419,PM000001
TXN0000420,PM000003
TXN0000421,PM000699
TXN0000422,PM000004
TXN0000423,PM000699
TXN0000424,PM000699
TXN0000425,PM000000
TXN0000426,PM000000
TXN0000427,PM000000
TXN0000428,PM000005
TXN0000429,PM000699
TXN0000430,PM000003
TXN0000431,PM000001
TXN0000432,PM000005
TXN0000433,PM000000
TXN0000434,PM000009
TXN0000435,PM000000
TXN0000436,PM000012
TXN0000437,PM000050
TXN0000438,PM000000
TXN0000439,PM000000
TXN0000440,PM000699
TXN0000441,PM000699
TXN0000442,PM000007
TXN0000443,PM000026
TXN0000444,PM000000
TXN0000445,PM000098
TXN0000446,PM000516
TXN0000447,PM000000
TXN0000448,PM000699
TXN0000449,PM000000
TXN0000450,PM000002
TXN0000451,PM000001
TXN0000452,PM000001
TXN0000453,PM000001
TXN0000454,PM000022
TXN0000455,PM000000
TXN0000456,PM000244
TXN0000457,PM000000
TXN0000458,PM000099
TXN0000459,PM000002
TXN0000460,PM000001
TXN0000461,PM000699
TXN0000462,PM000002
TXN0000463,PM000025
TXN0000464,PM000000
TXN0000465,PM000005
TXN0000466,PM000000
TXN0000467,PM000000
TXN0000468,PM000015
TXN0000469,PM000143
TXN0000470,PM000006
TXN0000471,PM000000
TXN0000472,PM000062
TXN0000473,PM000000
TXN0000474,PM000017
TXN0000475,PM000000
TXN0000476,PM000117
TXN0000477,PM000016
TXN0000478,PM000699
TXN0000479,PM000151
TXN0000480,PM000012
TXN0000481,PM000699
TXN0000482,PM000010
TXN0000483,PM000004
TXN0000484,PM000699
TXN0000485,PM000003
TXN0000486,PM000006
TXN0000487,PM000000
TXN0000488,PM000005
TXN0000489,PM000699
TXN0000490,PM000037
TXN0000491,PM000000
TXN0000492,PM000188
TXN0000493,PM000007
TXN0000494,PM000000
TXN0000495,PM000000
TXN0000496,PM000072
TXN0000497,PM000699
TXN0000498,PM000021
TXN0000499,PM000008
TXN0000500,PM000002
TXN0000501,PM000001
TXN0000502,PM000000
TXN0000503,PM000122
TXN0000504,PM000006
TXN0000505,PM000004
TXN0000506,PM000004
TXN0000507,PM000003
TXN0000508,PM000033
TXN0000509,PM000699
TXN0000510,PM000014
TXN0000511,PM000005
TXN0000512,PM000699
TXN0000513,PM000699
TXN0000514,PM000000
TXN0000515,PM000065
TXN0000516,PM000007
TXN0000517,PM000006
TXN0000518,PM000001
TXN0000519,PM000000
TXN0000520,PM000021
TXN0000521,PM000004
TXN0000522,PM000002
TXN0000523,PM000003
TXN0000524,PM000204
TXN0000525,PM000023
TXN0000526,PM000002
TXN0000527,PM000013
TXN0000528,PM000699
TXN0000529,PM000011
TXN0000530,PM000000
TXN0000531,PM000096
TXN0000532,PM000039
TXN0000533,PM000005
TXN0000534,PM000003
TXN0000535,PM000030
TXN0000536,PM000000
TXN0000537,PM000012
TXN0000538,PM000000
TXN0000539,PM000055
TXN0000540,PM000039
TXN0000541,PM000002
TXN0000542,PM000001
TXN0000543,PM000027
TXN0000544,PM000186
TXN0000545,PM000133
TXN0000546,PM000039
TXN0000547,PM000699
TXN0000548,PM000041
TXN0000549,PM000000
TXN0000550,PM000209
TXN0000551,PM000000
TXN0000552,PM000066
TXN0000553,PM000018
TXN0000554,PM000379
TXN0000555,PM000029
TXN0000556,PM000000
TXN0000557,PM000000
TXN0000558,PM000452
TXN0000559,PM000000
TXN0000560,PM000016
TXN0000561,PM000000
TXN0000562,PM000007
TXN0000563,PM000036
TXN0000564,PM000001
TXN0000565,PM000000
TXN0000566,PM000000
TXN0000567,PM000234
TXN0000568,PM000001
TXN0000569,PM000004
TXN0000570,PM000112
TXN0000571,PM000237
TXN0000572,PM000192
TXN0000573,PM000009
TXN0000574,PM000699
TXN0000575,PM000021
TXN0000576,PM000073
TXN0000577,PM000023
TXN0000578,PM000000
TXN0000579,PM000002
TXN0000580,PM000007
TXN0000581,PM000000
TXN0000582,PM000001
TXN0000583,PM000000
TXN0000584,PM000000
TXN0000585,PM000005
TXN0000586,PM000000
TXN0000587,PM000205
TXN0000588,PM000000
TXN0000589,PM000013
TXN0000590,PM000025
TXN0000591,PM000000
TXN0000592,PM000062
TXN0000593,PM000003
TXN0000594,PM000004
TXN0000595,PM000017
TXN0000596,PM000478
TXN0000597,PM000699
TXN0000598,PM000009
TXN0000599,PM000699
TXN0000600,PM000001
TXN0000601,PM000019
TXN0000602,PM000000
TXN0000603,PM000000
TXN0000604,PM000699
TXN0000605,PM000000
TXN0000606,PM000699
TXN0000607,PM000003
TXN0000608,PM000002
TXN0000609,PM000008
TXN0000610,PM000236
TXN0000611,PM000001
TXN0000612,PM000000
TXN0000613,PM000007
TXN0000614,PM000000
TXN0000615,PM000005
TXN0000616,PM000000
TXN0000617,PM000000
TXN0000618,PM000004
TXN0000619,PM000699
TXN0000620,PM000000
TXN0000621,PM000030
TXN0000622,PM000008
TXN0000623,PM000001
TXN0000624,PM000397
TXN0000625,PM000002
TXN0000626,PM000699
TXN0000627,PM000699
TXN0000628,PM000000
TXN0000629,PM000004
TXN0000630,PM000000
TXN0000631,PM000009
TXN0000632,PM000001
TXN0000633,PM000002
TXN0000634,PM000004
TXN0000635,PM000001
TXN0000636,PM000008
TXN0000637,PM000015
TXN0000638,PM000699
TXN0000639,PM000006
TXN0000640,PM000031
TXN0000641,PM000011
TXN0000642,PM000029
TXN0000643,PM000000
TXN0000644,PM000002
TXN0000645,PM000000
TXN0000646,PM000000
TXN0000647,PM000007
TXN0000648,PM000699
TXN0000649,PM000004
TXN0000650,PM000002
TXN0000651,PM000000
TXN0000652,PM000000
TXN0000653,PM000001
TXN0000654,PM000065
TXN0000655,PM000025
TXN0000656,PM000001
TXN0000657,PM000000
TXN0000658,PM000014
TXN0000659,PM000699
TXN0000660,PM000000
TXN0000661,PM000006
TXN0000662,PM000000
TXN0000663,PM000009
TXN0000664,PM000001
TXN0000665,PM000540
TXN0000666,PM000001
TXN0000667,PM000001
TXN0000668,PM000002
TXN0000669,PM000045
TXN0000670,PM000253
TXN0000671,PM000036
TXN0000672,PM000006
TXN0000673,PM000014
TXN0000674,PM000004
TXN0000675,PM000012
TXN0000676,PM000007
TXN0000677,PM000007
TXN0000678,PM000699
TXN0000679,PM000699
TXN0000680,PM000011
TXN0000681,PM000009
TXN0000682,PM000429
TXN0000683,PM000010
TXN0000684,PM000002
TXN0000685,PM000000
TXN0000686,PM000049
TXN0000687,PM000000
TXN0000688,PM000018
TXN0000689,PM000003
TXN0000690,PM000001
TXN0000691,PM000000
TXN0000692,PM000001
TXN0000693,PM000001
TXN0000694,PM000000
TXN0000695,PM000002
TXN0000696,PM000010
TXN0000697,PM000000
TXN0000698,PM000079
TXN0000699,PM000042
TXN0000700,PM000026
TXN0000701,PM000037
TXN0000702,PM000001
TXN0000703,PM000003
TXN0000704,PM000001
TXN0000705,PM000079
TXN0000706,PM000059
TXN0000707,PM000012
TXN0000708,PM000000
TXN0000709,PM000003
TXN0000710,PM000020
TXN0000711,PM000007
TXN0000712,PM000003
TXN0000713,PM000012
TXN0000714,PM000035
TXN0000715,PM000005
TXN0000716,PM000699
TXN0000717,PM000000
TXN0000718,PM000054
TXN0000719,PM000001
TXN0000720,PM000699
TXN0000721,PM000000
TXN0000722,PM000666
TXN0000723,PM000000
TXN0000724,PM000010
TXN0000725,PM000002
TXN0000726,PM000277
TXN0000727,PM000008
TXN0000728,PM000000
TXN0000729,PM000001
TXN0000730,PM000000
TXN0000731,PM000000
TXN0000732,PM000699
TXN0000733,PM000014
TXN0000734,PM000062
TXN0000735,PM000000
TXN0000736,PM000135
TXN0000737,PM000001
TXN0000738,PM000699
TXN0000739,PM000000
TXN0000740,PM000000
TXN0000741,PM000015
TXN0000742,PM000000
TXN0000743,PM000000
TXN0000744,PM000699
TXN0000745,PM000008
TXN0000746,PM000024
TXN0000747,PM000000
TXN0000748,PM000050
TXN0000749,PM000088
TXN0000750,PM000699
TXN0000751,PM000000
TXN0000752,PM000000
TXN0000753,PM000002
TXN0000754,PM000014
TXN0000755,PM000001
TXN0000756,PM000000
TXN0000757,PM000000
TXN0000758,PM000000
TXN0000759,PM000000
TXN0000760,PM000000
TXN0000761,PM000001
TXN0000762,PM000008
TXN0000763,PM000000
TXN0000764,PM000004
TXN0000765,PM000001
TXN0000766,PM000003
TXN0000767,PM000001
TXN0000768,PM000419
TXN0000769,PM000699
TXN0000770,PM000000
TXN0000771,PM000009
TXN0000772,PM000016
TXN0000773,PM000036
TXN0000774,PM000075
TXN0000775,PM000012
TXN0000776,PM000699
TXN0000777,PM000000
TXN0000778,PM000000
TXN0000779,PM000009
TXN0000780,PM000001
TXN0000781,PM000002
TXN0000782,PM000699
TXN0000783,PM000039
TXN0000784,PM000000
TXN0000785,PM000699
TXN0000786,PM000000
TXN0000787,PM000034
TXN0000788,PM000002
TXN0000789,PM000000
TXN0000790,PM000197
TXN0000791,PM000001
TXN0000792,PM000699
TXN0000793,PM000011
TXN0000794,PM000000
TXN0000795,PM000000
TXN0000796,PM000002
TXN0000797,PM000011
TXN0000798,PM000007
TXN0000799,PM000699
TXN0000800,PM000699
TXN0000801,PM000009
TXN0000802,PM000000
TXN0000803,PM000090
TXN0000804,PM000014
TXN0000805,PM000635
TXN0000806,PM000001
TXN0000807,PM000699
TXN0000808,PM000244
TXN0000809,PM000699
TXN0000810,PM000003
TXN0000811,PM000697
TXN0000812,PM000024
TXN0000813,PM000003
TXN0000814,PM000006
TXN0000815,PM000000
TXN0000816,PM000020
TXN0000817,PM000000
TXN0000818,PM000699
TXN0000819,PM000026
TXN0000820,PM000003
TXN0000821,PM000000
TXN0000822,PM000000
TXN0000823,PM000009
TXN0000824,PM000699
TXN0000825,PM000002
TXN0000826,PM000000
TXN0000827,PM000000
TXN0000828,PM000000
TXN0000829,PM000000
TXN0000830,PM000011
TXN0000831,PM000073
TXN0000832,PM000004
TXN0000833,PM000004
TXN0000834,PM000076
TXN0000835,PM000699
TXN0000836,PM000002
TXN0000837,PM000000
TXN0000838,PM000484
TXN0000839,PM000167
TXN0000840,PM000004
TXN0000841,PM000003
TXN0000842,PM000001
TXN0000843,PM000042
TXN0000844,PM000000
TXN0000845,PM000008
TXN0000846,PM000016
TXN0000847,PM000011
TXN0000848,PM000007
TXN0000849,PM000003
TXN0000850,PM000001
TXN0000851,PM000000
TXN0000852,PM000002
TXN0000853,PM000129
TXN0000854,PM000197
TXN0000855,PM000000
TXN0000856,PM000699
TXN0000857,PM000027
TXN0000858,PM000000
TXN0000859,PM000000
TXN0000860,PM000000
TXN0000861,PM000003
TXN0000862,PM000001
TXN0000863,PM000002
TXN0000864,PM000000
TXN0000865,PM000011
TXN0000866,PM000001
TXN0000867,PM000058
TXN0000868,PM000015
TXN0000869,PM000000
TXN0000870,PM000002
TXN0000871,PM000003
TXN0000872,PM000001
TXN0000873,PM000013
TXN0000874,PM000007
TXN0000875,PM000000
TXN0000876,PM000001
TXN0000877,PM000000
TXN0000878,PM000152
TXN0000879,PM000001
TXN0000880,PM000285
TXN0000881,PM000002
TXN0000882,PM000014
TXN0000883,PM000699
TXN0000884,PM000089
TXN0000885,PM000304
TXN0000886,PM000016
TXN0000887,PM000000
TXN0000888,PM000000
TXN0000889,PM000000
TXN0000890,PM000005
TXN0000891,PM000000
TXN0000892,PM000000
TXN0000893,PM000000
TXN0000894,PM000008
TXN0000895,PM000001
TXN0000896,PM000042
TXN0000897,PM000001
TXN0000898,PM000012
TXN0000899,PM000000
TXN0000900,PM000002
TXN0000901,PM000007
TXN0000902,PM000699
TXN0000903,PM000004
TXN0000904,PM000000
TXN0000905,PM000050
TXN0000906,PM000000
TXN0000907,PM000004
TXN0000908,PM000014
TXN0000909,PM000032
TXN0000910,PM000001
TXN0000911,PM000003
TXN0000912,PM000033
TXN0000913,PM000010
TXN0000914,PM000000
TXN0000915,PM000058
TXN0000916,PM000005
TXN0000917,PM000000
TXN0000918,PM000287
TXN0000919,PM000020
TXN0000920,PM000699
TXN0000921,PM000699
TXN0000922,PM000000
TXN0000923,PM000003
TXN0000924,PM000004
TXN0000925,PM000007
TXN0000926,PM000110
TXN0000927,PM000001
TXN0000928,PM000002
TXN0000929,PM000007
TXN0000930,PM000003
TXN0000931,PM000699
TXN0000932,PM000000
TXN0000933,PM000004
TXN0000934,PM000001
TXN0000935,PM000000
TXN0000936,PM000089
TXN0000937,PM000005
TXN0000938,PM000000
TXN0000939,PM000000
TXN0000940,PM000661
TXN0000941,PM000000
TXN0000942,PM000002
TXN0000943,PM000001
TXN0000944,PM000000
TXN0000945,PM000010
TXN0000946,PM000006
TXN0000947,PM000699
TXN0000948,PM000000
TXN0000949,PM000031
TXN0000950,PM000032
TXN0000951,PM000699
TXN0000952,PM000016
TXN0000953,PM000093
TXN0000954,PM000000
TXN0000955,PM000005
TXN0000956,PM000001
TXN0000957,PM000699
TXN0000958,PM000010
TXN0000959,PM000001
TXN0000960,PM000699
TXN0000961,PM000000
TXN0000962,PM000001
TXN0000963,PM000004
TXN0000964,PM000009
TXN0000965,PM000033
TXN0000966,PM000000
TXN0000967,PM000114
TXN0000968,PM000001
TXN0000969,PM000000
TXN0000970,PM000006
TXN0000971,PM000087
TXN0000972,PM000154
TXN0000973,PM000002
TXN0000974,PM000002
TXN0000975,PM000002
TXN0000976,PM000001
TXN0000977,PM000000
TXN0000978,PM000001
TXN0000979,PM000000
TXN0000980,PM000000
TXN0000981,PM000000
TXN0000982,PM000000
TXN0000983,PM000071
TXN0000984,PM000699
TXN0000985,PM000000
TXN0000986,PM000001
TXN0000987,PM000000
TXN0000988,PM000021
TXN0000989,PM000699
TXN0000990,PM000001
TXN0000991,PM000007
TXN0000992,PM000002
TXN0000993,PM000000
TXN0000994,PM000394
TXN0000995,PM000007
TXN0000996,PM000001
TXN0000997,PM000186
TXN0000998,PM000001
TXN0000999,PM000006
TXN0001000,PM000000
TXN0001001,PM000000
TXN0001002,PM000005
TXN0001003,PM000699
TXN0001004,PM000594
TXN0001005,PM000000
TXN0001006,PM000699
TXN0001007,PM000000
TXN0001008,PM000002
TXN0001009,PM000277
TXN0001010,PM000000
TXN0001011,PM000007
TXN0001012,PM000011
TXN0001013,PM000046
TXN0001014,PM000001
TXN0001015,PM000006
TXN0001016,PM000000
TXN0001017,PM000002
TXN0001018,PM000033
TXN0001019,PM000000
TXN0001020,PM000632
TXN0001021,PM000699
TXN0001022,PM000001
TXN0001023,PM000051
TXN0001024,PM000073
TXN0001025,PM000222
TXN0001026,PM000004
TXN0001027,PM000022
TXN0001028,PM000005
TXN0001029,PM000003
TXN0001030,PM000000
TXN0001031,PM000001
TXN0001032,PM000000
TXN0001033,PM000015
TXN0001034,PM000001
TXN0001035,PM000000
TXN0001036,PM000008
TXN0001037,PM000002
TXN0001038,PM000001
TXN0001039,PM000032
TXN0001040,PM000000
TXN0001041,PM000000
TXN0001042,PM000022
TXN0001043,PM000000
TXN0001044,PM000699
TXN0001045,PM000699
TXN0001046,PM000699
TXN0001047,PM000186
TXN0001048,PM000003
TXN0001049,PM000283
TXN0001050,PM000003
TXN0001051,PM000342
TXN0001052,PM000000
TXN0001053,PM000004
TXN0001054,PM000001
TXN0001055,PM000699
TXN0001056,PM000357
TXN0001057,PM000034
TXN0001058,PM000051
TXN0001059,PM000000
TXN0001060,PM000000
TXN0001061,PM000000
TXN0001062,PM000317
TXN0001063,PM000699
TXN0001064,PM000003
TXN0001065,PM000003
TXN0001066,PM000081
TXN0001067,PM000001
TXN0001068,PM000233
TXN0001069,PM000009
TXN0001070,PM000699
TXN0001071,PM000002
TXN0001072,PM000572
TXN0001073,PM000060
TXN0001074,PM000108
TXN0001075,PM000001
TXN0001076,PM000052
TXN0001077,PM000028
TXN0001078,PM000001
TXN0001079,PM000002
TXN0001080,PM000699
TXN0001081,PM000004
TXN0001082,PM000113
TXN0001083,PM000058
TXN0001084,PM000491
TXN0001085,PM000699
TXN0001086,PM000020
TXN0001087,PM000699
TXN0001088,PM000001
TXN0001089,PM000004
TXN0001090,PM000011
TXN0001091,PM000006
TXN0001092,PM000699
TXN0001093,PM000001
TXN0001094,PM000000
TXN0001095,PM000001
TXN0001096,PM000076
TXN0001097,PM000131
TXN0001098,PM000011
TXN0001099,PM000036
TXN0001100,PM000006
TXN0001101,PM000002
TXN0001102,PM000000
TXN0001103,PM000699
TXN0001104,PM000000
TXN0001105,PM000000
TXN0001106,PM000002
TXN0001107,PM000530
TXN0001108,PM000029
TXN0001109,PM000009
TXN0001110,PM000027
TXN0001111,PM000001
TXN0001112,PM000019
TXN0001113,PM000699
TXN0001114,PM000001
TXN0001115,PM000027
TXN0001116,PM000003
TXN0001117,PM000001
TXN0001118,PM000000
TXN0001119,PM000075
TXN0001120,PM000001
TXN0001121,PM000012
TXN0001122,PM000004
TXN0001123,PM000000
TXN0001124,PM000096
TXN0001125,PM000000
TXN0001126,PM000002
TXN0001127,PM000003
TXN0001128,PM000005
TXN0001129,PM000000
TXN0001130,PM000000
TXN0001131,PM000002
TXN0001132,PM000005
TXN0001133,PM000002
TXN0001134,PM000699
TXN0001135,PM000483
TXN0001136,PM000000
TXN0001137,PM000000
TXN0001138,PM000008
TXN0001139,PM000000
TXN0001140,PM000000
TXN0001141,PM000000
TXN0001142,PM000042
TXN0001143,PM000009
TXN0001144,PM000025
TXN0001145,PM000000
TXN0001146,PM000000
TXN0001147,PM000001
TXN0001148,PM000011
TXN0001149,PM000001
TXN0001150,PM000002
TXN0001151,PM000002
TXN0001152,PM000001
TXN0001153,PM000004
TXN0001154,PM000011
TXN0001155,PM000001
TXN0001156,PM000000
TXN0001157,PM000016
TXN0001158,PM000001
TXN0001159,PM000000
TXN0001160,PM000699
TXN0001161,PM000006
TXN0001162,PM000699
