PaymentTransaction,ComplianceRule
TXN0000181,RULE0011
TXN0000182,RULE0001
TXN0000182,RULE0003
TXN0000183,RULE0007
TXN0000184,RULE0010
TXN0000185,RULE0000
TXN0000186,RULE0005
TXN0000187,RULE0013
TXN0000187,RULE0008
TXN0000188,RULE0005
TXN0000189,RULE0008
TXN0000189,RULE0018
TXN0000190,RULE0002
TXN0000191,RULE0016
TXN0000192,RULE0003
TXN0000192,RULE0012
TXN0000192,RULE0008
TXN0000193,RULE0019
TXN0000193,RULE0000
TXN0000194,RULE0019
TXN0000195,RULE0002
TXN0000196,RULE0015
TXN0000197,RULE0000
TXN0000198,RULE0019
TXN0000199,RULE0012
TXN0000199,RULE0014
TXN0000200,RULE0012
TXN0000201,RULE0001
TXN0000202,RULE0012
TXN0000203,RULE0005
TXN0000204,RULE0014
TXN0000204,RULE0005
TXN0000205,RULE0007
TXN0000206,RULE0001
TXN0000207,RULE0012
TXN0000208,RULE0014
TXN0000209,RULE0008
TXN0000209,RULE0011
TXN0000209,RULE0015
TXN0000210,RULE0011
TXN0000211,RULE0014
TXN0000212,RULE0005
TXN0000213,RULE0015
TXN0000213,RULE0014
TXN0000214,RULE0003
TXN0000215,RULE0009
TXN0000216,RULE0003
TXN0000217,RULE0014
TXN0000217,RULE0015
TXN0000218,RULE0005
TXN0000219,RULE0013
TXN0000219,RULE0000
TXN0000220,RULE0018
TXN0000220,RULE0013
TXN0000221,RULE0013
TXN0000222,RULE0017
TXN0000223,RULE0017
TXN0000223,RULE0013
TXN0000224,RULE0001
TXN0000224,RULE0016
TXN0000225,RULE0019
TXN0000226,RULE0011
TXN0000227,RULE0015
TXN0000228,RULE0018
TXN0000228,RULE0009
TXN0000229,RULE0006
TXN0000229,RULE0013
TXN0000230,RULE0015
TXN0000231,RULE0012
TXN0000232,RULE0015
TXN0000233,RULE0015
TXN0000234,RULE0011
TXN0000235,RULE0008
TXN0000236,RULE0016
TXN0000236,RULE0014
TXN0000237,RULE0012
TXN0000238,RULE0008
TXN0000239,RULE0008
TXN0000239,RULE0014
TXN0000240,RULE0011
TXN0000240,RULE0019
TXN0000241,RULE0007
TXN0000241,RULE0008
TXN0000242,RULE0008
TXN0000242,RULE0010
TXN0000243,RULE0004
TXN0000244,RULE0011
TXN0000245,RULE0015
TXN0000246,RULE0000
TXN0000247,RULE0008
TXN0000248,RULE0016
TXN0000249,RULE0010
TXN0000250,RULE0019
TXN0000250,RULE0008
TXN0000251,RULE0000
TXN0000252,RULE0011
TXN0000253,RULE0001
TXN0000254,RULE0015
TXN0000254,RULE0016
TXN0000255,RULE0007
TXN0000256,RULE0006
TXN0000257,RULE0011
TXN0000257,RULE0012
TXN0000258,RULE0005
TXN0000259,RULE0003
TXN0000259,RULE0007
TXN0000260,RULE0012
TXN0000261,RULE0016
TXN0000262,RULE0008
TXN0000263,RULE0000
TXN0000263,RULE0015
TXN0000264,RULE0006
TXN0000265,RULE0008
TXN0000266,RULE0000
TXN0000267,RULE0012
TXN0000267,RULE0006
TXN0000268,RULE0008
TXN0000269,RULE0010
TXN0000269,RULE0003
TXN0000270,RULE0004
TXN0000271,RULE0016
TXN0000272,RULE0017
TXN0000273,RULE0018
TXN0000274,RULE0006
TXN0000275,RULE0012
TXN0000275,RULE0014
TXN0000276,RULE0013
TXN0000277,RULE0012
TXN0000278,RULE0001
TXN0000278,RULE0007
TXN0000279,RULE0004
TXN0000280,RULE0006
TXN0000280,RULE0018
TXN0000281,RULE0008
TXN0000282,RULE0019
TXN0000283,RULE0001
TXN0000284,RULE0018
TXN0000284,RULE0009
TXN0000285,RULE0002
TXN0000285,RULE0001
TXN0000286,RULE0000
TXN0000286,RULE0005
TXN0000287,RULE0013
TXN0000288,RULE0017
TXN0000289,RULE0019
TXN0000290,RULE0012
TXN0000291,RULE0016
TXN0000292,RULE0014
TXN0000293,RULE0015
TXN0000294,RULE0006
TXN0000295,RULE0000
TXN0000295,RULE0013
TXN0000295,RULE0002
TXN0000296,RULE0006
TXN0000297,RULE0014
TXN0000297,RULE0011
TXN0000298,RULE0015
TXN0000299,RULE0006
TXN0000300,RULE0000
TXN0000300,RULE0011
TXN0000301,RULE0005
TXN0000302,RULE0005
TXN0000303,RULE0000
TXN0000303,RULE0012
TXN0000304,RULE0015
TXN0000304,RULE0010
TXN0000305,RULE0015
TXN0000306,RULE0002
TXN0000307,RULE0017
TXN0000308,RULE0003
TXN0000309,RULE0019
TXN0000309,RULE0005
TXN0000310,RULE0012
TXN0000311,RULE0006
TXN0000311,RULE0018
TXN0000312,RULE0006
TXN0000313,RULE0008
TXN0000314,RULE0018
TXN0000315,RULE0009
TXN0000316,RULE0003
TXN0000316,RULE0006
TXN0000316,RULE0007
TXN0000317,RULE0016
TXN0000318,RULE0010
TXN0000319,RULE0016
TXN0000319,RULE0000
TXN0000320,RULE0002
TXN0000321,RULE0012
TXN0000321,RULE0011
TXN0000322,RULE0000
TXN0000323,RULE0008
TXN0000323,RULE0001
TXN0000324,RULE0014
TXN0000325,RULE0017
TXN0000326,RULE0009
TXN0000327,RULE0008
TXN0000328,RULE0006
TXN0000329,RULE0007
TXN0000329,RULE0008
TXN0000330,RULE0011
TXN0000331,RULE0013
TXN0000332,RULE0010
TXN0000332,RULE0009
TXN0000333,RULE0000
TXN0000334,RULE0008
TXN0000334,RULE0004
TXN0000335,RULE0016
TXN0000336,RULE0000
TXN0000337,RULE0014
TXN0000338,RULE0016
TXN0000339,RULE0012
TXN0000340,RULE0008
TXN0000340,RULE0007
TXN0000341,RULE0002
TXN0000341,RULE0013
TXN0000342,RULE0016
TXN0000343,RULE0019
TXN0000344,RULE0008
TXN0000345,RULE0008
TXN0000345,RULE0001
TXN0000346,RULE0018
TXN0000347,RULE0018
TXN0000347,RULE0006
TXN0000348,RULE0005
TXN0000349,RULE0001
TXN0000349,RULE0014
TXN0000349,RULE0011
TXN0000350,RULE0010
TXN0000351,RULE0019
TXN0000352,RULE0001
TXN0000353,RULE0011
TXN0000354,RULE0001
TXN0000355,RULE0019
TXN0000355,RULE0012
TXN0000356,RULE0007
TXN0000357,RULE0019
TXN0000358,RULE0005
TXN0000358,RULE0007
TXN0000359,RULE0012
TXN0000360,RULE0000
TXN0000361,RULE0000
TXN0000361,RULE0014
TXN0000361,RULE0003
TXN0000362,RULE0008
TXN0000362,RULE0001
TXN0000363,RULE0014
TXN0000363,RULE0006
TXN0000364,RULE0000
TXN0000364,RULE0003
TXN0000365,RULE0019
TXN0000366,RULE0002
TXN0000367,RULE0010
TXN0000368,RULE0009
TXN0000369,RULE0002
TXN0000370,RULE0017
TXN0000371,RULE0001
TXN0000372,RULE0012
TXN0000372,RULE0016
TXN0000373,RULE0001
TXN0000374,RULE0003
TXN0000375,RULE0001
TXN0000375,RULE0018
TXN0000376,RULE0001
TXN0000377,RULE0011
TXN0000377,RULE0009
TXN0000378,RULE0014
TXN0000379,RULE0016
TXN0000380,RULE0015
TXN0000381,RULE0006
TXN0000382,RULE0016
TXN0000383,RULE0004
TXN0000383,RULE0008
TXN0000384,RULE0010
TXN0000384,RULE0019
TXN0000385,RULE0003
TXN0000386,RULE0002
TXN0000387,RULE0015
TXN0000388,RULE0006
TXN0000389,RULE0004
TXN0000389,RULE0013
TXN0000390,RULE0004
TXN0000390,RULE0018
TXN0000391,RULE0003
TXN0000392,RULE0005
TXN0000393,RULE0011
TXN0000393,RULE0014
TXN0000394,RULE0016
TXN0000395,RULE0002
TXN0000395,RULE0010
TXN0000396,RULE0018
TXN0000396,RULE0001
TXN0000397,RULE0016
TXN0000398,RULE0013
TXN0000399,RULE0019
TXN0000399,RULE0010
TXN0000400,RULE0008
TXN0000400,RULE0016
TXN0000401,RULE0003
TXN0000402,RULE0010
TXN0000403,RULE0009
TXN0000404,RULE0009
TXN0000405,RULE0003
TXN0000406,RULE0010
TXN0000406,RULE0000
TXN0000407,RULE0004
TXN0000408,RULE0009
TXN0000409,RULE0009
TXN0000410,RULE0010
TXN0000411,RULE0013
TXN0000412,RULE0011
TXN0000413,RULE0011
TXN0000414,RULE0006
TXN0000415,RULE0010
TXN0000416,RULE0002
TXN0000417,RULE0016
TXN0000417,RULE0004
TXN0000418,RULE0014
TXN0000419,RULE0010
TXN0000420,RULE0014
TXN0000421,RULE0015
TXN0000422,RULE0018
TXN0000423,RULE0011
TXN0000423,RULE0009
TXN0000424,RULE0003
TXN0000424,RULE0004
TXN0000425,RULE0014
TXN0000426,RULE0009
TXN0000427,RULE0007
TXN0000427,RULE0015
TXN0000428,RULE0019
TXN0000429,RULE0015
TXN0000430,RULE0009
TXN0000431,RULE0011
TXN0000431,RULE0009
TXN0000432,RULE0009
TXN0000433,RULE0013
TXN0000434,RULE0008
TXN0000435,RULE0003
TXN0000435,RULE0013
TXN0000436,RULE0006
TXN0000437,RULE0010
TXN0000438,RULE0015
TXN0000438,RULE0003
TXN0000439,RULE0011
TXN0000440,RULE0010
TXN0000441,RULE0005
TXN0000441,RULE0014
TXN0000442,RULE0008
TXN0000443,RULE0000
TXN0000444,RULE0003
TXN0000445,RULE0004
TXN0000445,RULE0015
TXN0000446,RULE0015
TXN0000447,RULE0006
TXN0000448,RULE0009
TXN0000448,RULE0011
TXN0000449,RULE0006
TXN0000449,RULE0008
TXN0000450,RULE0001
TXN0000451,RULE0009
TXN0000452,RULE0010
TXN0000452,RULE0017
TXN0000452,RULE0007
TXN0000453,RULE0011
TXN0000453,RULE0019
TXN0000454,RULE0010
TXN0000455,RULE0011
TXN0000455,RULE0013
TXN0000456,RULE0003
TXN0000456,RULE0013
TXN0000457,RULE0006
TXN0000457,RULE0019
TXN0000457,RULE0011
TXN0000458,RULE0015
TXN0000458,RULE0013
TXN0000459,RULE0001
TXN0000460,RULE0019
TXN0000461,RULE0000
TXN0000462,RULE0018
TXN0000463,RULE0016
TXN0000464,RULE0001
TXN0000465,RULE0002
TXN0000466,RULE0011
TXN0000467,RULE0015
TXN0000467,RULE0017
TXN0000468,RULE0005
TXN0000469,RULE0018
TXN0000470,RULE0007
TXN0000471,RULE0017
TXN0000472,RULE0001
TXN0000473,RULE0019
TXN0000473,RULE0007
TXN0000474,RULE0013
TXN0000474,RULE0001
TXN0000475,RULE0016
TXN0000476,RULE0017
TXN0000476,RULE0011
TXN0000476,RULE0000
TXN0000477,RULE0001
TXN0000477,RULE0011
TXN0000477,RULE0018
TXN0000478,RULE0017
TXN0000478,RULE0006
TXN0000479,RULE0002
TXN0000480,RULE0006
TXN0000481,RULE0005
TXN0000482,RULE0001
TXN0000483,RULE0006
TXN0000484,RULE0007
TXN0000485,RULE0018
TXN0000485,RULE0013
TXN0000486,RULE0018
TXN0000487,RULE0000
TXN0000488,RULE0007
TXN0000489,RULE0014
TXN0000490,RULE0002
TXN0000491,RULE0019
TXN0000492,RULE0009
TXN0000493,RULE0014
TXN0000494,RULE0013
TXN0000495,RULE0013
TXN0000495,RULE0012
TXN0000496,RULE0008
TXN0000497,RULE0004
TXN0000497,RULE0000
TXN0000498,RULE0009
TXN0000499,RULE0002
TXN0000500,RULE0005
TXN0000501,RULE0012
TXN0000501,RULE0013
TXN0000502,RULE0008
TXN0000503,RULE0013
TXN0000504,RULE0000
TXN0000505,RULE0017
TXN0000506,RULE0005
TXN0000507,RULE0019
TXN0000507,RULE0013
TXN0000508,RULE0014
TXN0000509,RULE0010
TXN0000510,RULE0017
TXN0000511,RULE0009
TXN0000512,RULE0018
TXN0000513,RULE0012
TXN0000514,RULE0002
TXN0000515,RULE0008
TXN0000516,RULE0019
TXN0000517,RULE0018
TXN0000518,RULE0010
TXN0000519,RULE0010
TXN0000520,RULE0013
TXN0000521,RULE0004
TXN0000522,RULE0008
TXN0000523,RULE0004
TXN0000524,RULE0018
TXN0000525,RULE0017
TXN0000525,RULE0018
TXN0000526,RULE0008
TXN0000526,RULE0018
TXN0000527,RULE0013
TXN0000528,RULE0016
TXN0000529,RULE0003
TXN0000530,RULE0017
TXN0000531,RULE0004
TXN0000532,RULE0004
TXN0000533,RULE0004
TXN0000534,RULE0017
TXN0000535,RULE0005
TXN0000536,RULE0007
TXN0000536,RULE0014
TXN0000537,RULE0015
TXN0000538,RULE0008
TXN0000538,RULE0001
TXN0000539,RULE0002
TXN0000539,RULE0006
TXN0000539,RULE0016
TXN0000540,RULE0009
TXN0000541,RULE0016
TXN0000541,RULE0010
TXN0000542,RULE0007
TXN0000543,RULE0008
TXN0000544,RULE0010
TXN0000544,RULE0018
TXN0000545,RULE0010
TXN0000546,RULE0014
TXN0000547,RULE0011
TXN0000548,RULE0014
TXN0000548,RULE0016
TXN0000549,RULE0000
TXN0000550,RULE0011
TXN0000551,RULE0004
TXN0000552,RULE0015
TXN0000552,RULE0013
TXN0000553,RULE0008
TXN0000554,RULE0008
TXN0000554,RULE0006
TXN0000555,RULE0007
TXN0000555,RULE0005
TXN0000555,RULE0014
TXN0000556,RULE0013
TXN0000557,RULE0013
TXN0000558,RULE0008
TXN0000559,RULE0005
TXN0000559,RULE0001
TXN0000560,RULE0004
TXN0000561,RULE0016
TXN0000562,RULE0008
TXN0000563,RULE0003
TXN0000564,RULE0004
TXN0000564,RULE0001
TXN0000565,RULE0002
TXN0000566,RULE0002
TXN0000567,RULE0016
TXN0000568,RULE0000
TXN0000569,RULE0013
TXN0000569,RULE0011
TXN0000570,RULE0007
TXN0000571,RULE0017
TXN0000572,RULE0017
TXN0000573,RULE0008
TXN0000574,RULE0005
TXN0000574,RULE0019
TXN0000574,RULE0016
TXN0000575,RULE0015
TXN0000575,RULE0013
TXN0000576,RULE0006
TXN0000577,RULE0015
TXN0000578,RULE0001
TXN0000579,RULE0004
TXN0000579,RULE0006
TXN0000580,RULE0003
TXN0000581,RULE0001
TXN0000582,RULE0016
TXN0000582,RULE0002
TXN0000583,RULE0015
TXN0000583,RULE0001
TXN0000584,RULE0004
TXN0000585,RULE0002
TXN0000586,RULE0011
TXN0000587,RULE0009
TXN0000588,RULE0013
TXN0000589,RULE0019
TXN0000590,RULE0004
TXN0000591,RULE0005
TXN0000592,RULE0019
TXN0000593,RULE0003
TXN0000594,RULE0006
TXN0000594,RULE0010
TXN0000595,RULE0016
TXN0000595,RULE0006
TXN0000596,RULE0000
TXN0000597,RULE0015
TXN0000598,RULE0011
TXN0000598,RULE0003
TXN0000599,RULE0013
TXN0000600,RULE0019
TXN0000601,RULE0004
TXN0000601,RULE0003
TXN0000602,RULE0018
TXN0000603,RULE0010
TXN0000604,RULE0006
TXN0000604,RULE0014
TXN0000605,RULE0014
TXN0000606,RULE0004
TXN0000607,RULE0007
TXN0000608,RULE0004
TXN0000609,RULE0007
TXN0000610,RULE0005
TXN0000610,RULE0013
TXN0000611,RULE0011
TXN0000612,RULE0001
TXN0000613,RULE0006
TXN0000614,RULE0013
TXN0000615,RULE0010
TXN0000615,RULE0016
TXN0000615,RULE0000
TXN0000616,RULE0004
TXN0000617,RULE0010
TXN0000618,RULE0004
TXN0000619,RULE0004
TXN0000620,RULE0007
TXN0000620,RULE0012
TXN0000621,RULE0015
TXN0000622,RULE0004
TXN0000622,RULE0014
TXN0000623,RULE0003
TXN0000623,RULE0000
TXN0000624,RULE0011
TXN0000625,RULE0013
TXN0000625,RULE0017
TXN0000626,RULE0013
TXN0000627,RULE0010
TXN0000628,RULE0002
TXN0000629,RULE0005
TXN0000629,RULE0002
TXN0000630,RULE0002
TXN0000631,RULE0014
TXN0000631,RULE0006
TXN0000632,RULE0007
TXN0000632,RULE0011
TXN0000633,RULE0006
TXN0000633,RULE0018
TXN0000634,RULE0007
TXN0000634,RULE0000
TXN0000635,RULE0011
TXN0000636,RULE0009
TXN0000637,RULE0010
TXN0000637,RULE0002
TXN0000638,RULE0013
TXN0000638,RULE0010
TXN0000639,RULE0001
TXN0000640,RULE0018
TXN0000640,RULE0009
TXN0000641,RULE0003
TXN0000642,RULE0007
TXN0000642,RULE0001
TXN0000643,RULE0005
TXN0000644,RULE0008
TXN0000645,RULE0016
TXN0000646,RULE0010
TXN0000646,RULE0003
TXN0000647,RULE0004
TXN0000648,RULE0009
TXN0000648,RULE0002
TXN0000649,RULE0002
TXN0000649,RULE0010
TXN0000650,RULE0017
TXN0000650,RULE0016
TXN0000651,RULE0010
TXN0000652,RULE0019
TXN0000653,RULE0009
TXN0000654,RULE0011
TXN0000655,RULE0007
TXN0000655,RULE0013
TXN0000656,RULE0007
TXN0000657,RULE0015
TXN0000658,RULE0011
TXN0000658,RULE0009
TXN0000659,RULE0001
TXN0000660,RULE0017
TXN0000661,RULE0003
TXN0000661,RULE0012
TXN0000662,RULE0008
TXN0000662,RULE0007
TXN0000663,RULE0014
TXN0000664,RULE0004
TXN0000665,RULE0014
TXN0000666,RULE0008
TXN0000667,RULE0003
TXN0000668,RULE0010
TXN0000668,RULE0005
TXN0000669,RULE0007
TXN0000670,RULE0018
TXN0000670,RULE0015
TXN0000671,RULE0017
TXN0000672,RULE0016
TXN0000673,RULE0012
TXN0000674,RULE0011
TXN0000675,RULE0019
TXN0000676,RULE0007
TXN0000677,RULE0018
TXN0000677,RULE0007
TXN0000677,RULE0000
TXN0000678,RULE0002
TXN0000678,RULE0001
TXN0000679,RULE0011
TXN0000680,RULE0018
TXN0000680,RULE0002
TXN0000681,RULE0019
TXN0000681,RULE0017
TXN0000682,RULE0002
TXN0000683,RULE0006
TXN0000684,RULE0012
TXN0000684,RULE0009
TXN0000684,RULE0015
TXN0000685,RULE0019
TXN0000686,RULE0008
TXN0000686,RULE0009
TXN0000687,RULE0011
TXN0000688,RULE0009
TXN0000688,RULE0011
TXN0000689,RULE0010
TXN0000689,RULE0018
TXN0000690,RULE0011
TXN0000691,RULE0015
TXN0000692,RULE0012
TXN0000692,RULE0011
TXN0000693,RULE0008
TXN0000694,RULE0000
TXN0000695,RULE0010
TXN0000696,RULE0005
TXN0000697,RULE0018
TXN0000698,RULE0005
TXN0000699,RULE0004
TXN0000700,RULE0012
TXN0000700,RULE0002
TXN0000700,RULE0003
TXN0000701,RULE0016
TXN0000702,RULE0000
TXN0000702,RULE0003
TXN0000703,RULE0019
TXN0000704,RULE0007
TXN0000704,RULE0013
TXN0000705,RULE0018
TXN0000705,RULE0002
TXN0000706,RULE0018
TXN0000707,RULE0017
TXN0000708,RULE0014
TXN0000709,RULE0006
TXN0000710,RULE0015
TXN0000710,RULE0012
TXN0000710,RULE0005
TXN0000711,RULE0011
TXN0000712,RULE0016
TXN0000712,RULE0014
TXN0000713,RULE0015
TXN0000714,RULE0001
TXN0000714,RULE0002
TXN0000715,RULE0018
TXN0000716,RULE0012
TXN0000717,RULE0003
TXN0000718,RULE0010
TXN0000719,RULE0019
TXN0000720,RULE0009
TXN0000720,RULE0013
TXN0000721,RULE0015
TXN0000722,RULE0010
TXN0000723,RULE0011
TXN0000723,RULE0012
TXN0000723,RULE0003
TXN0000724,RULE0005
TXN0000724,RULE0004
TXN0000724,RULE0001
TXN0000725,RULE0003
TXN0000726,RULE0011
TXN0000726,RULE0012
TXN0000726,RULE0007
TXN0000727,RULE0018
TXN0000727,RULE0014
TXN0000728,RULE0016
TXN0000728,RULE0005
TXN0000729,RULE0001
TXN0000730,RULE0003
TXN0000731,RULE0008
TXN0000732,RULE0016
TXN0000732,RULE0013
TXN0000733,RULE0006
TXN0000734,RULE0003
TXN0000735,RULE0003
TXN0000736,RULE0015
TXN0000737,RULE0014
TXN0000738,RULE0009
TXN0000738,RULE0015
TXN0000739,RULE0007
TXN0000740,RULE0019
TXN0000741,RULE0010
TXN0000741,RULE0017
TXN0000742,RULE0017
TXN0000743,RULE0012
TXN0000744,RULE0018
TXN0000745,RULE0003
TXN0000746,RULE0004
TXN0000747,RULE0002
TXN0000747,RULE0006
TXN0000748,RULE0012
TXN0000749,RULE0013
TXN0000749,RULE0018
TXN0000750,RULE0012
TXN0000751,RULE0003
TXN0000751,RULE0018
TXN0000752,RULE0013
TXN0000753,RULE0018
TXN0000753,RULE0006
TXN0000753,RULE0019
TXN0000754,RULE0001
TXN0000755,RULE0002
TXN0000756,RULE0017
TXN0000757,RULE0006
TXN0000758,RULE0012
TXN0000759,RULE0016
TXN0000760,RULE0015
TXN0000760,RULE0011
TXN0000761,RULE0010
TXN0000762,RULE0005
TXN0000762,RULE0013
TXN0000763,RULE0001
TXN0000764,RULE0008
TXN0000765,RULE0015
TXN0000765,RULE0008
TXN0000766,RULE0003
TXN0000767,RULE0017
TXN0000768,RULE0018
TXN0000769,RULE0018
TXN0000769,RULE0006
TXN0000770,RULE0011
TXN0000771,RULE0007
TXN0000772,RULE0005
TXN0000773,RULE0004
TXN0000773,RULE0018
TXN0000774,RULE0014
TXN0000775,RULE0016
TXN0000776,RULE0000
TXN0000777,RULE0018
TXN0000777,RULE0008
TXN0000778,RULE0014
TXN0000779,RULE0001
TXN0000780,RULE0015
TXN0000781,RULE0015
TXN0000782,RULE0018
TXN0000782,RULE0002
TXN0000783,RULE0006
TXN0000784,RULE0004
TXN0000785,RULE0006
TXN0000786,RULE0010
TXN0000787,RULE0007
TXN0000788,RULE0002
TXN0000789,RULE0010
TXN0000790,RULE0001
TXN0000791,RULE0004
TXN0000791,RULE0014
TXN0000792,RULE0019
TXN0000793,RULE0001
TXN0000794,RULE0006
TXN0000794,RULE0012
TXN0000795,RULE0011
TXN0000796,RULE0011
TXN0000797,RULE0005
TXN0000797,RULE0008
TXN0000797,RULE0006
