assessment_id,score,assessed_at,risk_level
RA000085,47,2025-02-03 19:46:25,Medium
RA000086,48,2025-03-22 04:13:37,Medium
RA000087,42,2025-10-09 23:18:37,Medium
RA000088,44,2025-06-30 01:31:24,Medium
RA000089,81,2025-09-16 04:34:20,High
RA000090,61,2025-02-18 05:16:54,Medium
RA000091,44,2025-11-19 23:40:36,Medium
RA000092,63,2025-02-28 01:39:04,Medium
RA000093,43,2025-11-19 02:26:20,Medium
RA000094,73,2025-08-29 02:35:26,High
RA000095,57,2025-11-06 06:47:07,Medium
RA000096,47,2025-04-29 16:06:16,Medium
RA000097,58,2025-07-29 21:13:13,Medium
RA000098,18,2025-11-19 09:24:50,Low
RA000099,27,2025-07-25 21:04:27,Low
RA000100,26,2024-12-28 19:38:39,Low
RA000101,52,2024-12-02 20:25:34,Medium
RA000102,84,2025-10-30 18:08:25,High
RA000103,94,2025-08-23 05:56:54,High
RA000104,62,2025-08-03 08:23:55,Medium
RA000105,60,2025-01-25 03:48:36,Medium
RA000106,13,2025-06-12 04:43:02,Low
RA000107,39,2025-05-13 11:05:48,Medium
RA000108,34,2025-11-28 22:07:46,Medium
RA000109,37,2025-04-15 00:36:56,Medium
RA000110,46,2025-07-30 22:14:13,Medium
RA000111,40,2025-08-26 21:46:14,Medium
RA000112,10,2025-03-10 09:57:38,Low
RA000113,64,2025-08-10 05:09:00,Medium
RA000114,28,2025-02-26 19:07:42,Low
RA000115,54,2025-11-30 10:20:53,Medium
RA000116,91,2024-12-19 15:15:06,High
RA000117,31,2025-08-25 05:33:18,Medium
RA000118,0,2025-05-10 02:09:46,Low
RA000119,44,2025-01-10 22:21:38,Medium
RA000120,72,2025-01-26 05:52:08,High
RA000121,89,2025-06-20 05:12:45,High
RA000122,25,2025-03-10 19:52:10,Low
RA000123,59,2025-09-24 21:52:42,Medium
RA000124,40,2024-12-24 07:26:59,Medium
RA000125,47,2025-05-03 20:06:27,Medium
RA000126,100,2025-02-07 08:55:06,High
RA000127,19,2025-07-12 18:34:31,Low
RA000128,55,2025-06-01 11:00:34,Medium
RA000129,59,2025-09-17 00:14:23,Medium
RA000130,71,2025-04-07 02:19:20,High
RA000131,51,2025-10-23 02:12:01,Medium
RA000132,56,2025-05-12 04:32:42,Medium
RA000133,42,2025-05-31 08:34:53,Medium
RA000134,55,2025-05-15 13:59:52,Medium
RA000135,43,2025-11-10 09:44:00,Medium
RA000136,62,2025-06-13 05:38:23,Medium
RA000137,42,2025-11-04 15:32:01,Medium
RA000138,57,2025-11-17 18:28:48,Medium
RA000139,49,2025-10-16 03:22:03,Medium
RA000140,72,2025-03-18 02:35:03,High
RA000141,48,2025-09-25 05:32:46,Medium
RA000142,14,2025-05-12 08:09:27,Low
RA000143,75,2025-06-30 01:29:34,High
RA000144,31,2025-03-12 01:55:04,Medium
RA000145,36,2025-10-12 23:19:34,Medium
RA000146,38,2025-10-13 19:39:04,Medium
RA000147,77,2025-01-20 06:42:17,High
RA000148,7,2025-01-11 17:53:04,Low
RA000149,100,2025-08-25 13:05:02,High
RA000150,71,2024-12-04 07:05:00,High
RA000151,54,2025-06-12 14:28:09,Medium
RA000152,48,2025-11-05 02:48:15,Medium
RA000153,55,2025-02-25 15:21:34,Medium
RA000154,60,2025-07-02 09:00:46,Medium
RA000155,62,2025-05-01 15:33:06,Medium
RA000156,61,2025-02-13 15:35:45,Medium
RA000157,51,2025-03-14 15:28:43,Medium
RA000158,46,2025-10-28 04:00:36,Medium
RA000159,46,2025-07-22 05:09:43,Medium
RA000160,46,2025-04-15 20:21:29,Medium
RA000161,72,2025-08-27 21:17:20,High
RA000162,61,2025-11-03 18:56:25,Medium
RA000163,0,2025-08-11 10:54:15,Low
RA000164,63,2025-06-20 13:23:23,Medium
RA000165,53,2025-06-30 23:54:09,Medium
RA000166,49,2025-05-04 22:28:20,Medium
RA000167,42,2024-12-04 17:12:43,Medium
RA000168,72,2025-04-24 08:36:46,High
RA000169,68,2025-05-27 22:19:11,Medium
RA000170,34,2025-07-22 19:31:20,Medium
RA000171,58,2025-05-26 04:55:47,Medium
RA000172,30,2025-01-19 23:32:49,Medium
RA000173,22,2025-09-22 11:18:59,Low
RA000174,37,2025-05-10 16:38:50,Medium
RA000175,67,2025-01-30 14:59:29,Medium
RA000176,69,2025-10-13 07:29:43,Medium
RA000177,60,2025-08-21 01:37:51,Medium
RA000178,64,2025-01-22 21:09:16,Medium
RA000179,60,2025-03-21 01:34:43,Medium
RA000180,37,2025-10-20 12:48:32,Medium
RA000181,58,2025-01-25 15:45:49,Medium
RA000182,66,2024-12-28 17:05:48,Medium
RA000183,65,2025-07-23 05:00:46,Medium
RA000184,73,2025-12-01 19:16:30,High
RA000185,64,2025-03-06 17:33:45,Medium
RA000186,57,2025-03-29 05:52:42,Medium
RA000187,71,2025-09-18 11:32:05,High
RA000188,49,2025-06-07 18:07:59,Medium
RA000189,32,2025-09-19 13:59:56,Medium
RA000190,46,2025-06-19 10:32:47,Medium
RA000191,35,2025-09-04 06:58:14,Medium
RA000192,36,2025-02-28 06:27:09,Medium
RA000193,47,2025-07-17 06:59:01,Medium
RA000194,34,2025-08-30 19:39:42,Medium
RA000195,43,2025-03-05 09:16:21,Medium
RA000196,12,2025-04-10 03:57:23,Low
RA000197,54,2025-09-06 02:48:08,Medium
RA000198,50,2025-10-03 02:56:38,Medium
RA000199,33,2025-11-26 10:15:08,Medium
RA000200,63,2025-10-22 09:43:21,Medium
RA000201,68,2025-02-11 18:37:29,Medium
RA000202,17,2025-08-28 13:37:33,Low
RA000203,34,2025-07-12 17:55:01,Medium
RA000204,34,2025-10-23 00:59:58,Medium
RA000205,31,2025-07-23 01:36:39,Medium
RA000206,66,2025-07-05 00:57:31,Medium
RA000207,46,2025-04-29 06:49:38,Medium
RA000208,44,2025-02-05 15:44:22,Medium
RA000209,9,2024-12-28 00:19:11,Low
RA000210,62,2025-04-13 20:29:21,Medium
RA000211,25,2025-06-12 13:01:57,Low
RA000212,51,2025-01-29 09:27:00,Medium
RA000213,55,2025-10-10 11:38:19,Medium
RA000214,77,2025-07-13 13:53:50,High
RA000215,23,2025-06-05 22:10:44,Low
RA000216,0,2025-10-23 03:13:02,Low
RA000217,53,2025-02-09 22:27:20,Medium
RA000218,86,2025-03-21 14:59:16,High
RA000219,74,2025-10-06 22:14:46,High
RA000220,54,2025-02-28 04:52:19,Medium
RA000221,40,2025-09-09 04:09:09,Medium
RA000222,66,2024-12-14 15:34:01,Medium
RA000223,30,2025-06-22 23:21:26,Medium
RA000224,59,2025-11-01 04:58:55,Medium
RA000225,60,2025-03-28 16:37:46,Medium
RA000226,71,2025-08-25 03:07:50,High
RA000227,100,2025-11-23 21:20:41,High
RA000228,57,2025-06-13 04:48:54,Medium
RA000229,39,2025-03-26 07:25:37,Medium
RA000230,49,2025-03-01 20:39:15,Medium
RA000231,14,2025-07-31 15:27:50,Low
RA000232,36,2025-09-27 19:16:46,Medium
RA000233,41,2025-01-20 14:43:59,Medium
RA000234,39,2025-10-15 20:50:03,Medium
RA000235,53,2025-01-05 23:30:10,Medium
RA000236,33,2025-06-29 03:47:37,Medium
RA000237,72,2025-03-14 03:55:27,High
RA000238,50,2025-08-16 15:57:15,Medium
RA000239,49,2025-07-28 17:02:30,Medium
RA000240,43,2024-12-30 20:54:49,Medium
RA000241,53,2025-05-31 18:04:20,Medium
RA000242,66,2025-01-31 08:57:34,Medium
RA000243,32,2025-07-19 23:14:30,Medium
RA000244,36,2025-04-05 22:18:35,Medium
RA000245,43,2025-11-17 18:35:21,Medium
RA000246,23,2025-10-04 17:17:13,Low
RA000247,33,2025-06-30 16:50:47,Medium
RA000248,40,2025-09-28 08:39:48,Medium
RA000249,67,2025-03-23 07:08:58,Medium
RA000250,55,2025-08-14 12:58:25,Medium
RA000251,53,2025-08-02 16:03:03,Medium
RA000252,67,2025-01-26 23:10:56,Medium
RA000253,47,2025-02-23 14:02:25,Medium
RA000254,57,2024-12-26 18:45:28,Medium
RA000255,47,2025-04-18 23:34:43,Medium
RA000256,55,2025-07-04 11:50:53,Medium
RA000257,38,2025-08-10 07:23:11,Medium
RA000258,1,2025-09-07 16:03:43,Low
RA000259,47,2025-10-12 09:49:16,Medium
RA000260,78,2025-03-08 08:06:28,High
RA000261,68,2025-06-12 14:41:20,Medium
RA000262,69,2025-06-27 12:45:15,Medium
RA000263,74,2025-05-28 07:35:02,High
RA000264,51,2025-07-09 21:03:53,Medium
RA000265,53,2025-05-06 00:14:22,Medium
RA000266,37,2025-09-02 15:50:55,Medium
RA000267,43,2025-07-08 16:19:47,Medium
RA000268,62,2025-02-07 01:13:23,Medium
RA000269,74,2025-02-17 23:41:08,High
RA000270,47,2025-01-04 17:39:36,Medium
RA000271,40,2025-02-07 12:40:48,Medium
RA000272,50,2025-02-11 10:48:49,Medium
RA000273,62,2025-11-28 18:19:10,Medium
RA000274,21,2025-08-11 03:26:02,Low
RA000275,4,2025-04-19 19:01:40,Low
RA000276,38,2025-01-13 06:16:26,Medium
RA000277,25,2024-12-18 08:42:53,Low
RA000278,39,2025-01-11 00:45:59,Medium
RA000279,47,2025-03-12 15:11:16,Medium
RA000280,40,2025-09-20 10:26:39,Medium
RA000281,79,2025-08-22 19:34:00,High
RA000282,56,2025-02-27 01:33:23,Medium
RA000283,56,2024-12-16 17:46:30,Medium
RA000284,62,2025-05-08 11:01:25,Medium
RA000285,27,2025-05-11 04:17:59,Low
RA000286,70,2025-01-10 12:51:23,High
RA000287,48,2025-09-30 01:12:48,Medium
RA000288,63,2025-07-09 15:07:57,Medium
RA000289,28,2025-07-28 12:42:41,Low
RA000290,18,2025-09-28 01:21:55,Low
RA000291,66,2025-02-08 21:47:40,Medium
RA000292,57,2025-07-11 16:15:18,Medium
RA000293,31,2025-08-28 05:49:38,Medium
RA000294,32,2025-02-23 18:22:00,Medium
RA000295,72,2025-04-12 02:52:11,High
RA000296,26,2025-06-04 17:18:46,Low
RA000297,82,2025-04-10 16:20:02,High
RA000298,31,2025-09-05 20:47:23,Medium
RA000299,62,2024-12-13 06:16:08,Medium
RA000300,43,2025-10-31 15:54:38,Medium
RA000301,62,2025-11-26 21:12:44,Medium
RA000302,39,2025-11-19 11:18:17,Medium
RA000303,46,2025-04-03 12:44:23,Medium
RA000304,50,2025-08-07 03:11:50,Medium
RA000305,29,2025-01-08 12:13:09,Low
RA000306,64,2025-01-23 06:37:12,Medium
RA000307,39,2025-03-27 07:03:26,Medium
RA000308,45,2025-01-10 12:10:28,Medium
RA000309,30,2025-04-10 12:14:00,Medium
RA000310,0,2025-01-27 04:46:34,Low
RA000311,46,2025-08-03 02:45:18,Medium
RA000312,98,2024-12-22 01:08:28,High
RA000313,65,2025-03-01 04:56:13,Medium
RA000314,49,2025-04-18 07:19:04,Medium
RA000315,44,2025-10-05 14:49:12,Medium
RA000316,50,2025-05-21 06:00:18,Medium
RA000317,60,2025-04-25 16:34:36,Medium
RA000318,26,2025-04-25 07:57:00,Low
RA000319,72,2025-04-11 12:31:23,High
RA000320,64,2025-09-17 15:35:59,Medium
RA000321,64,2025-10-10 17:21:36,Medium
RA000322,58,2024-12-25 09:45:26,Medium
RA000323,50,2025-06-07 09:22:55,Medium
RA000324,63,2025-05-14 05:06:55,Medium
RA000325,61,2025-10-12 11:51:43,Medium
RA000326,42,2025-06-03 17:49:40,Medium
RA000327,38,2025-04-26 07:28:40,Medium
RA000328,52,2025-03-25 02:00:33,Medium
RA000329,80,2025-06-02 17:50:04,High
RA000330,25,2025-02-02 00:38:34,Low
RA000331,20,2025-10-12 18:39:08,Low
RA000332,53,2025-08-08 15:21:10,Medium
RA000333,51,2025-06-05 16:26:08,Medium
RA000334,53,2025-10-18 08:25:04,Medium
RA000335,54,2025-03-19 16:25:05,Medium
RA000336,45,2025-08-14 12:43:23,Medium
RA000337,79,2025-03-06 08:58:47,High
RA000338,17,2025-08-31 11:15:28,Low
RA000339,33,2025-06-04 16:29:04,Medium
RA000340,47,2025-07-16 19:32:32,Medium
RA000341,17,2024-12-13 21:58:20,Low
RA000342,46,2025-08-10 23:05:11,Medium
RA000343,83,2025-06-26 23:21:09,High
RA000344,50,2025-08-02 22:29:48,Medium
RA000345,54,2025-06-23 11:28:27,Medium
RA000346,24,2025-02-12 10:53:26,Low
RA000347,37,2025-09-24 13:18:42,Medium
RA000348,42,2025-11-11 19:55:26,Medium
RA000349,43,2025-06-12 08:04:14,Medium
RA000350,75,2025-01-12 11:27:50,High
RA000351,61,2025-02-25 00:27:18,Medium
RA000352,27,2025-06-07 01:39:09,Low
RA000353,54,2025-05-03 11:16:49,Medium
RA000354,59,2025-06-01 03:25:16,Medium
RA000355,72,2025-03-25 00:35:16,High
RA000356,81,2025-05-30 22:09:37,High
RA000357,29,2025-01-19 14:35:19,Low
RA000358,33,2025-01-01 20:06:45,Medium
RA000359,24,2025-05-05 06:40:55,Low
RA000360,45,2025-03-15 17:33:30,Medium
RA000361,59,2025-10-03 20:05:04,Medium
RA000362,69,2025-01-19 22:27:35,Medium
RA000363,48,2025-03-14 17:59:33,Medium
RA000364,43,2025-09-10 10:52:58,Medium
RA000365,53,2025-11-05 22:23:10,Medium
RA000366,33,2025-09-30 05:20:38,Medium
RA000367,91,2025-08-31 20:30:42,High
RA000368,17,2024-12-12 13:21:05,Low
RA000369,53,2025-03-11 06:00:12,Medium
RA000370,90,2025-09-23 17:32:07,High
RA000371,50,2025-03-13 05:37:15,Medium
RA000372,46,2025-09-25 20:04:11,Medium
RA000373,42,2024-12-30 14:34:26,Medium
RA000374,46,2025-08-29 15:26:23,Medium
RA000375,77,2025-02-23 19:04:32,High
RA000376,5,2025-03-17 12:52:44,Low
RA000377,80,2025-01-10 07:59:49,High
RA000378,21,2025-06-11 12:50:47,Low
RA000379,44,2025-06-26 10:29:01,Medium
RA000380,41,2025-05-11 09:17:50,Medium
RA000381,61,2024-12-15 19:53:03,Medium
RA000382,18,2025-01-07 04:09:13,Low
RA000383,59,2025-06-03 07:34:10,Medium
RA000384,90,2025-03-04 10:34:17,High
RA000385,22,2025-01-05 18:37:35,Low
RA000386,53,2025-05-05 02:25:56,Medium
RA000387,36,2025-04-19 00:34:49,Medium
RA000388,58,2025-06-16 13:08:54,Medium
RA000389,50,2025-04-12 22:48:47,Medium
RA000390,37,2024-12-27 19:18:35,Medium
RA000391,59,2025-05-26 23:55:41,Medium
RA000392,86,2025-07-21 07:54:04,High
RA000393,46,2025-07-17 08:31:01,Medium
RA000394,64,2025-05-25 04:24:43,Medium
RA000395,24,2025-09-02 19:32:18,Low
RA000396,30,2025-02-09 23:25:16,Medium
RA000397,59,2025-07-24 20:18:41,Medium
RA000398,79,2025-11-04 10:20:53,High
RA000399,57,2025-07-12 02:50:35,Medium
RA000400,43,2025-11-03 02:20:01,Medium
RA000401,49,2025-02-02 20:32:26,Medium
RA000402,24,2025-10-02 06:15:49,Low
RA000403,62,2025-10-25 09:57:17,Medium
RA000404,67,2025-03-27 10:43:23,Medium
RA000405,40,2025-08-25 13:43:49,Medium
RA000406,40,2025-06-26 00:19:09,Medium
RA000407,55,2025-10-20 00:17:30,Medium
RA000408,41,2025-07-03 06:11:18,Medium
RA000409,48,2025-08-03 04:56:02,Medium
RA000410,91,2025-07-02 18:54:44,High
RA000411,45,2025-03-30 14:01:49,Medium
RA000412,42,2025-06-22 21:02:54,Medium
RA000413,37,2025-03-10 01:48:05,Medium
RA000414,64,2025-05-09 16:57:03,Medium
RA000415,46,2025-10-14 07:32:57,Medium
RA000416,37,2025-10-03 07:49:32,Medium
RA000417,76,2025-07-14 15:30:42,High
RA000418,78,2025-04-19 01:35:56,High
RA000419,37,2025-11-05 22:15:59,Medium
RA000420,12,2025-03-30 19:40:55,Low
RA000421,70,2025-04-16 02:10:08,High
RA000422,36,2025-08-14 08:17:40,Medium
RA000423,65,2025-11-14 18:31:35,Medium
RA000424,10,2025-10-26 22:25:15,Low
RA000425,67,2025-07-16 12:40:01,Medium
RA000426,25,2025-07-23 01:56:47,Low
RA000427,64,2025-03-13 03:33:45,Medium
RA000428,50,2025-06-19 15:10:46,Medium
RA000429,30,2025-09-10 04:41:02,Medium
RA000430,41,2025-03-31 16:30:06,Medium
RA000431,63,2025-05-15 10:39:20,Medium
RA000432,52,2025-05-12 19:01:22,Medium
RA000433,61,2025-11-01 09:12:31,Medium
RA000434,89,2024-12-03 20:06:30,High
RA000435,18,2025-06-04 05:27:05,Low
RA000436,82,2025-09-25 17:57:33,High
RA000437,52,2024-12-12 09:48:13,Medium
RA000438,32,2025-03-09 17:09:51,Medium
RA000439,23,2025-03-25 02:15:59,Low
RA000440,46,2025-11-07 16:04:05,Medium
RA000441,68,2025-02-11 20:11:48,Medium
RA000442,47,2024-12-28 17:57:33,Medium
RA000443,80,2025-04-19 04:24:03,High
RA000444,20,2025-07-22 19:52:58,Low
RA000445,49,2025-02-08 12:39:16,Medium
RA000446,24,2025-10-14 12:00:00,Low
RA000447,57,2025-01-24 21:45:16,Medium
RA000448,67,2025-07-14 18:22:26,Medium
RA000449,41,2025-01-17 16:48:54,Medium
RA000450,0,2025-03-12 23:54:39,Low
RA000451,53,2025-05-28 00:43:57,Medium
RA000452,58,2025-11-10 19:38:46,Medium
RA000453,58,2025-02-26 11:50:30,Medium
RA000454,74,2025-01-03 13:41:44,High
RA000455,28,2025-11-15 15:28:21,Low
RA000456,63,2025-03-25 19:09:17,Medium
RA000457,73,2025-11-17 07:38:38,High
RA000458,14,2025-03-25 13:04:28,Low
RA000459,56,2025-10-21 18:51:59,Medium
RA000460,39,2025-04-18 12:38:42,Medium
RA000461,48,2025-11-04 14:34:19,Medium
RA000462,56,2025-05-09 15:25:50,Medium
RA000463,40,2025-05-31 00:46:51,Medium
RA000464,36,2025-09-07 03:54:54,Medium
RA000465,50,2025-05-28 17:36:08,Medium
RA000466,28,2025-03-06 19:42:03,Low
RA000467,28,2025-11-18 00:32:51,Low
RA000468,63,2025-01-27 04:47:36,Medium
RA000469,27,2025-02-07 14:34:43,Low
RA000470,63,2025-04-02 15:13:34,Medium
RA000471,59,2025-02-14 13:39:30,Medium
RA000472,15,2025-01-19 03:19:07,Low
RA000473,36,2025-03-27 18:55:28,Medium
RA000474,73,2025-09-30 21:13:03,High
RA000475,30,2025-08-20 04:14:53,Medium
RA000476,40,2025-09-05 00:21:38,Medium
RA000477,59,2025-07-04 22:46:25,Medium
RA000478,65,2025-10-31 22:26:11,Medium
RA000479,44,2025-01-27 08:08:39,Medium
RA000480,38,2025-11-28 07:42:24,Medium
RA000481,78,2025-03-15 06:56:52,High
RA000482,84,2025-09-18 02:22:56,High
RA000483,69,2025-08-17 16:10:14,Medium
RA000484,51,2025-08-02 05:18:17,Medium
RA000485,33,2025-09-21 18:53:08,Medium
RA000486,33,2025-03-26 04:11:42,Medium
RA000487,60,2024-12-23 14:50:55,Medium
RA000488,58,2024-12-17 23:29:11,Medium
RA000489,78,2025-08-18 18:55:59,High
RA000490,63,2025-04-18 05:33:58,Medium
RA000491,19,2025-10-18 09:15:59,Low
RA000492,71,2025-07-13 06:25:02,High
RA000493,30,2025-01-04 20:36:45,Medium
RA000494,42,2025-10-07 02:57:25,Medium
RA000495,55,2025-05-22 21:00:49,Medium
RA000496,89,2025-05-04 08:16:27,High
RA000497,100,2024-12-26 00:10:25,High
RA000498,62,2025-07-22 06:18:15,Medium
RA000499,46,2025-11-02 06:13:53,Medium
RA000500,60,2025-05-17 13:23:54,Medium
RA000501,67,2025-07-25 00:31:57,Medium
RA000502,43,2025-08-25 10:35:56,Medium
RA000503,85,2025-05-27 00:40:13,High
RA000504,54,2025-08-10 09:37:10,Medium
RA000505,59,2025-05-24 14:29:52,Medium
RA000506,63,2025-03-05 18:47:36,Medium
RA000507,58,2025-08-12 05:35:57,Medium
RA000508,66,2025-11-10 19:34:51,Medium
RA000509,37,2025-05-25 05:24:51,Medium
RA000510,38,2025-04-12 11:49:11,Medium
RA000511,27,2025-06-26 00:38:16,Low
RA000512,58,2025-06-16 02:57:01,Medium
RA000513,65,2024-12-06 18:48:04,Medium
RA000514,59,2025-08-06 01:01:48,Medium
RA000515,83,2024-12-11 21:46:48,High
RA000516,49,2025-10-10 17:11:40,Medium
RA000517,63,2025-03-05 06:17:07,Medium
RA000518,28,2025-03-06 02:31:03,Low
RA000519,42,2025-06-03 02:24:27,Medium
RA000520,63,2025-01-12 15:47:23,Medium
RA000521,66,2025-04-19 02:28:48,Medium
RA000522,44,2025-10-08 02:04:44,Medium
RA000523,48,2025-02-10 16:11:33,Medium
RA000524,19,2025-08-29 22:07:10,Low
RA000525,42,2024-12-04 16:47:58,Medium
RA000526,67,2025-10-14 12:34:58,Medium
RA000527,61,2025-01-19 12:54:19,Medium
RA000528,60,2025-10-31 06:12:09,Medium
RA000529,50,2025-04-12 11:06:58,Medium
RA000530,50,2025-11-06 17:27:07,Medium
RA000531,36,2025-01-30 19:01:57,Medium
RA000532,63,2025-09-04 09:14:46,Medium
RA000533,58,2025-06-11 11:33:26,Medium
RA000534,59,2025-11-28 13:21:51,Medium
RA000535,39,2025-07-28 07:01:08,Medium
RA000536,6,2025-03-23 23:28:57,Low
RA000537,71,2025-07-05 22:46:11,High
RA000538,40,2025-06-02 05:32:43,Medium
RA000539,32,2025-11-06 09:18:11,Medium
RA000540,63,2025-10-16 08:56:58,Medium
RA000541,42,2025-05-22 22:01:05,Medium
RA000542,71,2025-08-19 09:30:56,High
RA000543,62,2024-12-21 15:57:17,Medium
RA000544,63,2025-07-20 16:55:53,Medium
RA000545,22,2025-09-17 08:02:13,Low
RA000546,74,2024-12-07 02:11:06,High
RA000547,55,2025-01-01 13:04:52,Medium
RA000548,42,2025-04-13 18:55:32,Medium
RA000549,52,2025-09-19 08:57:17,Medium
RA000550,14,2025-05-06 04:48:28,Low
RA000551,58,2025-01-17 22:08:18,Medium
RA000552,29,2025-11-30 06:42:18,Low
RA000553,22,2024-12-28 15:45:13,Low
RA000554,19,2025-02-22 14:24:48,Low
RA000555,72,2025-10-31 03:57:23,High
RA000556,37,2025-06-15 22:37:18,Medium
RA000557,80,2025-02-09 01:24:20,High
RA000558,39,2025-02-27 05:22:05,Medium
RA000559,15,2025-09-09 16:44:58,Low
RA000560,27,2025-11-08 03:09:59,Low
RA000561,74,2025-06-13 17:10:28,High
RA000562,46,2025-02-13 04:09:31,Medium
RA000563,39,2025-05-13 21:35:05,Medium
RA000564,53,2025-04-01 11:57:27,Medium
RA000565,60,2024-12-28 07:24:17,Medium
RA000566,72,2025-04-12 20:56:27,High
RA000567,78,2025-02-03 23:55:46,High
RA000568,42,2025-09-22 13:23:33,Medium
RA000569,23,2025-05-10 15:41:12,Low
RA000570,41,2025-03-10 04:07:34,Medium
RA000571,55,2025-07-04 06:29:29,Medium
RA000572,30,2025-07-31 07:03:31,Medium
RA000573,30,2025-10-23 08:05:19,Medium
RA000574,56,2025-07-16 05:02:33,Medium
RA000575,49,2025-10-20 05:37:37,Medium
RA000576,50,2025-02-28 16:13:19,Medium
RA000577,34,2025-04-29 08:02:35,Medium
RA000578,45,2025-10-18 01:11:33,Medium
RA000579,31,2025-02-08 12:29:47,Medium
RA000580,67,2025-01-06 05:09:23,Medium
RA000581,70,2025-04-21 00:16:01,High
RA000582,13,2025-08-01 00:32:15,Low
RA000583,31,2025-08-30 11:34:16,Medium
RA000584,20,2024-12-03 18:20:22,Low
RA000585,36,2025-09-23 20:06:29,Medium
RA000586,48,2025-09-23 23:34:55,Medium
RA000587,21,2025-04-22 16:02:01,Low
RA000588,31,2025-06-17 20:52:58,Medium
RA000589,29,2025-01-05 06:07:23,Low
RA000590,54,2025-04-23 19:48:28,Medium
RA000591,51,2025-04-30 21:50:44,Medium
