PaymentTransaction,Merchant
TXN0000397,MERC00000
TXN0000398,MERC00000
TXN0000399,MERC00005
TXN0000400,MERC00000
TXN0000401,MERC00000
TXN0000402,MERC00000
TXN0000403,MERC00000
TXN0000404,MERC00000
TXN0000405,MERC00000
TXN0000406,MERC00000
TXN0000407,MERC00096
TXN0000408,MERC00006
TXN0000409,MERC00001
TXN0000410,MERC00000
TXN0000411,MERC00000
TXN0000412,MERC00003
TXN0000413,MERC00001
TXN0000414,MERC00000
TXN0000415,MERC00000
TXN0000416,MERC00002
TXN0000417,MERC00001
TXN0000418,MERC00000
TXN0000419,MERC00003
TXN0000420,MERC00000
TXN0000421,MERC00000
TXN0000422,MERC00000
TXN0000423,MERC00000
TXN0000424,MERC00004
TXN0000425,MERC00000
TXN0000426,MERC00000
TXN0000427,MERC00000
TXN0000428,MERC00000
TXN0000429,MERC00000
TXN0000430,MERC00000
TXN0000431,MERC00000
TXN0000432,MERC00000
TXN0000433,MERC00007
TXN0000434,MERC00004
TXN0000435,MERC00001
TXN0000436,MERC00002
TXN0000437,MERC00017
TXN0000438,MERC00000
TXN0000439,MERC00002
TXN0000440,MERC00000
TXN0000441,MERC00008
TXN0000442,MERC00000
TXN0000443,MERC00008
TXN0000444,MERC00008
TXN0000445,MERC00002
TXN0000446,MERC00000
TXN0000447,MERC00000
TXN0000448,MERC00008
TXN0000449,MERC00000
TXN0000450,MERC00000
TXN0000451,MERC00000
TXN0000452,MERC00000
TXN0000453,MERC00003
TXN0000454,MERC00000
TXN0000455,MERC00005
TXN0000456,MERC00004
TXN0000457,MERC00000
TXN0000458,MERC00000
TXN0000459,MERC00003
TXN0000460,MERC00025
TXN0000461,MERC00002
TXN0000462,MERC00022
TXN0000463,MERC00003
TXN0000464,MERC00004
TXN0000465,MERC00000
TXN0000466,MERC00099
TXN0000467,MERC00007
TXN0000468,MERC00001
TXN0000469,MERC00016
TXN0000470,MERC00010
TXN0000471,MERC00001
TXN0000472,MERC00090
TXN0000473,MERC00000
TXN0000474,MERC00000
TXN0000475,MERC00000
TXN0000476,MERC00000
TXN0000477,MERC00000
TXN0000478,MERC00032
TXN0000479,MERC00008
TXN0000480,MERC00099
TXN0000481,MERC00001
TXN0000482,MERC00000
TXN0000483,MERC00004
TXN0000484,MERC00002
TXN0000485,MERC00000
TXN0000486,MERC00099
TXN0000487,MERC00005
TXN0000488,MERC00000
TXN0000489,MERC00001
TXN0000490,MERC00000
TXN0000491,MERC00099
TXN0000492,MERC00000
TXN0000493,MERC00016
TXN0000494,MERC00000
TXN0000495,MERC00001
TXN0000496,MERC00001
TXN0000497,MERC00003
TXN0000498,MERC00001
TXN0000499,MERC00000
TXN0000500,MERC00001
TXN0000501,MERC00000
TXN0000502,MERC00004
TXN0000503,MERC00000
TXN0000504,MERC00000
TXN0000505,MERC00000
TXN0000506,MERC00000
TXN0000507,MERC00000
TXN0000508,MERC00000
TXN0000509,MERC00001
TXN0000510,MERC00002
TXN0000511,MERC00003
TXN0000512,MERC00001
TXN0000513,MERC00000
TXN0000514,MERC00000
TXN0000515,MERC00099
TXN0000516,MERC00000
TXN0000517,MERC00000
TXN0000518,MERC00000
TXN0000519,MERC00039
TXN0000520,MERC00000
TXN0000521,MERC00004
TXN0000522,MERC00004
TXN0000523,MERC00000
TXN0000524,MERC00039
TXN0000525,MERC00002
TXN0000526,MERC00003
TXN0000527,MERC00099
TXN0000528,MERC00013
TXN0000529,MERC00037
TXN0000530,MERC00000
TXN0000531,MERC00005
TXN0000532,MERC00000
TXN0000533,MERC00004
TXN0000534,MERC00020
TXN0000535,MERC00000
TXN0000536,MERC00099
TXN0000537,MERC00001
TXN0000538,MERC00000
TXN0000539,MERC00008
TXN0000540,MERC00009
TXN0000541,MERC00001
TXN0000542,MERC00029
TXN0000543,MERC00099
TXN0000544,MERC00018
TXN0000545,MERC00099
TXN0000546,MERC00000
TXN0000547,MERC00099
TXN0000548,MERC00015
TXN0000549,MERC00000
TXN0000550,MERC00001
TXN0000551,MERC00001
TXN0000552,MERC00003
TXN0000553,MERC00000
TXN0000554,MERC00000
TXN0000555,MERC00012
TXN0000556,MERC00099
TXN0000557,MERC00015
TXN0000558,MERC00099
TXN0000559,MERC00014
TXN0000560,MERC00000
TXN0000561,MERC00038
TXN0000562,MERC00099
TXN0000563,MERC00001
TXN0000564,MERC00001
TXN0000565,MERC00000
TXN0000566,MERC00001
TXN0000567,MERC00000
TXN0000568,MERC00000
TXN0000569,MERC00003
TXN0000570,MERC00010
TXN0000571,MERC00000
TXN0000572,MERC00001
TXN0000573,MERC00000
TXN0000574,MERC00008
TXN0000575,MERC00003
TXN0000576,MERC00000
TXN0000577,MERC00002
TXN0000578,MERC00000
TXN0000579,MERC00001
TXN0000580,MERC00000
TXN0000581,MERC00000
TXN0000582,MERC00001
TXN0000583,MERC00010
TXN0000584,MERC00001
TXN0000585,MERC00000
TXN0000586,MERC00000
TXN0000587,MERC00000
TXN0000588,MERC00010
TXN0000589,MERC00002
TXN0000590,MERC00001
TXN0000591,MERC00000
TXN0000592,MERC00000
TXN0000593,MERC00023
TXN0000594,MERC00099
TXN0000595,MERC00000
TXN0000596,MERC00000
TXN0000597,MERC00004
TXN0000598,MERC00019
TXN0000599,MERC00032
TXN0000600,MERC00000
TXN0000601,MERC00000
TXN0000602,MERC00000
TXN0000603,MERC00008
TXN0000604,MERC00007
TXN0000605,MERC00017
TXN0000606,MERC00004
TXN0000607,MERC00003
TXN0000608,MERC00014
TXN0000609,MERC00000
TXN0000610,MERC00000
TXN0000611,MERC00000
TXN0000612,MERC00035
TXN0000613,MERC00099
TXN0000614,MERC00000
TXN0000615,MERC00099
TXN0000616,MERC00000
TXN0000617,MERC00000
TXN0000618,MERC00000
TXN0000619,MERC00000
TXN0000620,MERC00000
TXN0000621,MERC00006
TXN0000622,MERC00000
TXN0000623,MERC00000
TXN0000624,MERC00000
TXN0000625,MERC00001
TXN0000626,MERC00000
TXN0000627,MERC00000
TXN0000628,MERC00000
TXN0000629,MERC00000
TXN0000630,MERC00006
TXN0000631,MERC00002
TXN0000632,MERC00000
TXN0000633,MERC00000
TXN0000634,MERC00014
TXN0000635,MERC00001
TXN0000636,MERC00006
TXN0000637,MERC00099
TXN0000638,MERC00031
TXN0000639,MERC00009
TXN0000640,MERC00000
TXN0000641,MERC00007
TXN0000642,MERC00099
TXN0000643,MERC00002
TXN0000644,MERC00017
TXN0000645,MERC00000
TXN0000646,MERC00001
TXN0000647,MERC00006
TXN0000648,MERC00099
TXN0000649,MERC00099
TXN0000650,MERC00000
TXN0000651,MERC00002
TXN0000652,MERC00003
TXN0000653,MERC00001
TXN0000654,MERC00000
TXN0000655,MERC00000
TXN0000656,MERC00028
TXN0000657,MERC00004
TXN0000658,MERC00009
TXN0000659,MERC00029
TXN0000660,MERC00000
TXN0000661,MERC00000
TXN0000662,MERC00002
TXN0000663,MERC00004
TXN0000664,MERC00001
TXN0000665,MERC00016
TXN0000666,MERC00003
TXN0000667,MERC00014
TXN0000668,MERC00099
TXN0000669,MERC00000
TXN0000670,MERC00011
TXN0000671,MERC00001
TXN0000672,MERC00000
TXN0000673,MERC00015
TXN0000674,MERC00000
TXN0000675,MERC00002
TXN0000676,MERC00000
TXN0000677,MERC00008
TXN0000678,MERC00004
TXN0000679,MERC00000
TXN0000680,MERC00000
TXN0000681,MERC00001
TXN0000682,MERC00014
TXN0000683,MERC00017
TXN0000684,MERC00030
TXN0000685,MERC00000
TXN0000686,MERC00099
TXN0000687,MERC00099
TXN0000688,MERC00099
TXN0000689,MERC00001
TXN0000690,MERC00011
TXN0000691,MERC00015
TXN0000692,MERC00003
TXN0000693,MERC00001
TXN0000694,MERC00037
TXN0000695,MERC00002
TXN0000696,MERC00000
TXN0000697,MERC00000
TXN0000698,MERC00099
TXN0000699,MERC00030
TXN0000700,MERC00002
TXN0000701,MERC00001
TXN0000702,MERC00000
TXN0000703,MERC00004
TXN0000704,MERC00000
TXN0000705,MERC00000
TXN0000706,MERC00006
TXN0000707,MERC00000
TXN0000708,MERC00001
TXN0000709,MERC00099
TXN0000710,MERC00058
TXN0000711,MERC00000
TXN0000712,MERC00031
TXN0000713,MERC00001
TXN0000714,MERC00003
TXN0000715,MERC00000
TXN0000716,MERC00000
TXN0000717,MERC00014
TXN0000718,MERC00016
TXN0000719,MERC00002
TXN0000720,MERC00057
TXN0000721,MERC00011
TXN0000722,MERC00031
TXN0000723,MERC00003
TXN0000724,MERC00008
TXN0000725,MERC00000
TXN0000726,MERC00099
TXN0000727,MERC00089
TXN0000728,MERC00000
TXN0000729,MERC00002
TXN0000730,MERC00008
TXN0000731,MERC00004
TXN0000732,MERC00000
TXN0000733,MERC00007
TXN0000734,MERC00000
TXN0000735,MERC00000
TXN0000736,MERC00059
TXN0000737,MERC00000
TXN0000738,MERC00000
TXN0000739,MERC00000
TXN0000740,MERC00000
TXN0000741,MERC00001
TXN0000742,MERC00029
TXN0000743,MERC00001
TXN0000744,MERC00000
TXN0000745,MERC00001
TXN0000746,MERC00033
TXN0000747,MERC00000
TXN0000748,MERC00021
TXN0000749,MERC00001
TXN0000750,MERC00000
TXN0000751,MERC00000
TXN0000752,MERC00000
TXN0000753,MERC00007
TXN0000754,MERC00000
TXN0000755,MERC00000
TXN0000756,MERC00001
TXN0000757,MERC00000
TXN0000758,MERC00006
TXN0000759,MERC00000
TXN0000760,MERC00002
TXN0000761,MERC00003
TXN0000762,MERC00001
TXN0000763,MERC00003
TXN0000764,MERC00000
TXN0000765,MERC00001
TXN0000766,MERC00030
TXN0000767,MERC00011
TXN0000768,MERC00000
TXN0000769,MERC00001
TXN0000770,MERC00000
TXN0000771,MERC00038
TXN0000772,MERC00056
TXN0000773,MERC00002
TXN0000774,MERC00000
TXN0000775,MERC00002
TXN0000776,MERC00000
TXN0000777,MERC00001
TXN0000778,MERC00000
TXN0000779,MERC00000
TXN0000780,MERC00036
TXN0000781,MERC00000
TXN0000782,MERC00048
TXN0000783,MERC00000
TXN0000784,MERC00005
TXN0000785,MERC00000
TXN0000786,MERC00000
TXN0000787,MERC00077
TXN0000788,MERC00000
TXN0000789,MERC00030
TXN0000790,MERC00010
TXN0000791,MERC00000
TXN0000792,MERC00000
TXN0000793,MERC00000
TXN0000794,MERC00000
TXN0000795,MERC00000
TXN0000796,MERC00000
TXN0000797,MERC00008
TXN0000798,MERC00000
TXN0000799,MERC00000
TXN0000800,MERC00002
TXN0000801,MERC00001
TXN0000802,MERC00004
TXN0000803,MERC00000
TXN0000804,MERC00000
TXN0000805,MERC00003
TXN0000806,MERC00001
TXN0000807,MERC00099
TXN0000808,MERC00000
TXN0000809,MERC00015
TXN0000810,MERC00002
TXN0000811,MERC00000
TXN0000812,MERC00000
TXN0000813,MERC00002
TXN0000814,MERC00018
TXN0000815,MERC00014
TXN0000816,MERC00001
TXN0000817,MERC00000
TXN0000818,MERC00018
TXN0000819,MERC00000
TXN0000820,MERC00006
TXN0000821,MERC00000
TXN0000822,MERC00000
TXN0000823,MERC00003
TXN0000824,MERC00000
TXN0000825,MERC00000
TXN0000826,MERC00010
TXN0000827,MERC00002
TXN0000828,MERC00001
TXN0000829,MERC00005
TXN0000830,MERC00018
TXN0000831,MERC00000
TXN0000832,MERC00099
TXN0000833,MERC00000
TXN0000834,MERC00006
TXN0000835,MERC00065
TXN0000836,MERC00033
TXN0000837,MERC00000
TXN0000838,MERC00000
TXN0000839,MERC00000
TXN0000840,MERC00000
TXN0000841,MERC00001
TXN0000842,MERC00001
TXN0000843,MERC00099
TXN0000844,MERC00012
TXN0000845,MERC00000
TXN0000846,MERC00099
TXN0000847,MERC00000
TXN0000848,MERC00000
TXN0000849,MERC00026
TXN0000850,MERC00001
TXN0000851,MERC00021
TXN0000852,MERC00000
TXN0000853,MERC00002
TXN0000854,MERC00099
TXN0000855,MERC00000
TXN0000856,MERC00006
TXN0000857,MERC00000
TXN0000858,MERC00004
TXN0000859,MERC00073
TXN0000860,MERC00003
TXN0000861,MERC00005
TXN0000862,MERC00061
TXN0000863,MERC00000
TXN0000864,MERC00069
TXN0000865,MERC00000
TXN0000866,MERC00099
TXN0000867,MERC00008
TXN0000868,MERC00007
TXN0000869,MERC00000
TXN0000870,MERC00000
TXN0000871,MERC00000
TXN0000872,MERC00001
TXN0000873,MERC00001
TXN0000874,MERC00001
TXN0000875,MERC00009
TXN0000876,MERC00099
TXN0000877,MERC00000
TXN0000878,MERC00000
TXN0000879,MERC00001
TXN0000880,MERC00000
TXN0000881,MERC00000
TXN0000882,MERC00099
TXN0000883,MERC00002
TXN0000884,MERC00020
TXN0000885,MERC00099
TXN0000886,MERC00000
TXN0000887,MERC00001
TXN0000888,MERC00000
TXN0000889,MERC00014
TXN0000890,MERC00099
TXN0000891,MERC00000
TXN0000892,MERC00017
TXN0000893,MERC00000
TXN0000894,MERC00004
TXN0000895,MERC00099
TXN0000896,MERC00006
TXN0000897,MERC00000
TXN0000898,MERC00004
TXN0000899,MERC00030
TXN0000900,MERC00007
TXN0000901,MERC00000
TXN0000902,MERC00000
TXN0000903,MERC00012
TXN0000904,MERC00012
TXN0000905,MERC00000
TXN0000906,MERC00000
TXN0000907,MERC00003
TXN0000908,MERC00000
TXN0000909,MERC00040
TXN0000910,MERC00000
TXN0000911,MERC00002
TXN0000912,MERC00002
TXN0000913,MERC00099
TXN0000914,MERC00018
TXN0000915,MERC00001
TXN0000916,MERC00000
TXN0000917,MERC00000
TXN0000918,MERC00001
TXN0000919,MERC00002
TXN0000920,MERC00000
TXN0000921,MERC00071
TXN0000922,MERC00000
TXN0000923,MERC00000
TXN0000924,MERC00005
TXN0000925,MERC00000
TXN0000926,MERC00000
TXN0000927,MERC00000
TXN0000928,MERC00003
TXN0000929,MERC00000
TXN0000930,MERC00011
TXN0000931,MERC00000
TXN0000932,MERC00099
TXN0000933,MERC00006
TXN0000934,MERC00010
TXN0000935,MERC00000
TXN0000936,MERC00099
TXN0000937,MERC00008
TXN0000938,MERC00000
TXN0000939,MERC00000
TXN0000940,MERC00002
TXN0000941,MERC00003
TXN0000942,MERC00099
TXN0000943,MERC00041
TXN0000944,MERC00000
TXN0000945,MERC00012
TXN0000946,MERC00015
TXN0000947,MERC00099
TXN0000948,MERC00004
TXN0000949,MERC00000
TXN0000950,MERC00002
TXN0000951,MERC00079
TXN0000952,MERC00018
TXN0000953,MERC00003
TXN0000954,MERC00005
TXN0000955,MERC00000
TXN0000956,MERC00000
TXN0000957,MERC00000
TXN0000958,MERC00008
TXN0000959,MERC00001
TXN0000960,MERC00004
TXN0000961,MERC00004
TXN0000962,MERC00003
TXN0000963,MERC00003
TXN0000964,MERC00000
TXN0000965,MERC00005
TXN0000966,MERC00001
TXN0000967,MERC00021
TXN0000968,MERC00000
TXN0000969,MERC00035
TXN0000970,MERC00000
TXN0000971,MERC00000
TXN0000972,MERC00000
TXN0000973,MERC00003
TXN0000974,MERC00010
TXN0000975,MERC00099
TXN0000976,MERC00001
TXN0000977,MERC00099
TXN0000978,MERC00001
TXN0000979,MERC00000
TXN0000980,MERC00000
TXN0000981,MERC00029
TXN0000982,MERC00000
TXN0000983,MERC00001
TXN0000984,MERC00003
TXN0000985,MERC00004
TXN0000986,MERC00002
TXN0000987,MERC00000
TXN0000988,MERC00009
TXN0000989,MERC00000
TXN0000990,MERC00000
TXN0000991,MERC00000
TXN0000992,MERC00018
TXN0000993,MERC00002
TXN0000994,MERC00001
TXN0000995,MERC00000
TXN0000996,MERC00000
TXN0000997,MERC00000
TXN0000998,MERC00000
TXN0000999,MERC00000
TXN0001000,MERC00021
TXN0001001,MERC00001
TXN0001002,MERC00016
TXN0001003,MERC00028
TXN0001004,MERC00005
TXN0001005,MERC00099
TXN0001006,MERC00039
TXN0001007,MERC00000
TXN0001008,MERC00001
TXN0001009,MERC00000
TXN0001010,MERC00000
TXN0001011,MERC00000
TXN0001012,MERC00000
TXN0001013,MERC00001
TXN0001014,MERC00002
TXN0001015,MERC00003
TXN0001016,MERC00009
TXN0001017,MERC00000
TXN0001018,MERC00000
TXN0001019,MERC00003
TXN0001020,MERC00000
TXN0001021,MERC00099
TXN0001022,MERC00000
TXN0001023,MERC00001
TXN0001024,MERC00000
TXN0001025,MERC00002
TXN0001026,MERC00000
TXN0001027,MERC00001
TXN0001028,MERC00001
TXN0001029,MERC00000
TXN0001030,MERC00003
TXN0001031,MERC00011
TXN0001032,MERC00099
TXN0001033,MERC00000
TXN0001034,MERC00000
TXN0001035,MERC00099
TXN0001036,MERC00002
TXN0001037,MERC00000
TXN0001038,MERC00005
TXN0001039,MERC00037
TXN0001040,MERC00099
TXN0001041,MERC00005
TXN0001042,MERC00099
TXN0001043,MERC00000
TXN0001044,MERC00000
TXN0001045,MERC00003
TXN0001046,MERC00099
TXN0001047,MERC00007
TXN0001048,MERC00009
TXN0001049,MERC00000
TXN0001050,MERC00000
TXN0001051,MERC00003
TXN0001052,MERC00000
TXN0001053,MERC00067
TXN0001054,MERC00013
TXN0001055,MERC00001
TXN0001056,MERC00007
TXN0001057,MERC00002
TXN0001058,MERC00002
TXN0001059,MERC00000
TXN0001060,MERC00005
TXN0001061,MERC00000
TXN0001062,MERC00073
TXN0001063,MERC00000
TXN0001064,MERC00000
TXN0001065,MERC00009
TXN0001066,MERC00000
TXN0001067,MERC00002
TXN0001068,MERC00000
TXN0001069,MERC00000
TXN0001070,MERC00016
TXN0001071,MERC00005
TXN0001072,MERC00001
TXN0001073,MERC00000
